sn,State_LGD,DISTRICT_L,FID_1,District_1,STATE
1,35,603,267,NICOBAR,ANDAMAN & NICOBAR
2,35,632,271,NORTH MIDDLE ANDAMAN,ANDAMAN & NICOBAR
3,35,602,346,SOUTH ANDAMAN,ANDAMAN & NICOBAR
4,28,502,24,ANANTAPUR,ANDHRA PRADESH
5,28,503,96,CHITTOOR,ANDHRA PRADESH
6,28,504,99,Y S R KADAPA,ANDHRA PRADESH
7,28,505,130,EAST GODAVARI,ANDHRA PRADESH
8,28,506,155,GUNTUR,ANDHRA PRADESH
9,28,510,227,KRISHNA,ANDHRA PRADESH
10,28,511,229,KURNOOL,ANDHRA PRADESH
11,28,515,265,POTTI SRIRAMULU NELLORE,ANDHRA PRADESH
12,28,517,287,PRAKASAM,ANDHRA PRADESH
13,28,519,351,SRIKAKULAM,ANDHRA PRADESH
14,28,520,378,VISAKHAPATNAM,ANDHRA PRADESH
15,28,521,379,VIZIANAGARAM,ANDHRA PRADESH
16,28,523,384,WEST GODAVARI,ANDHRA PRADESH
17,12,628,447,ANJAW,ARUNACHAL PRADESH
18,12,229,469,CHANGLANG,ARUNACHAL PRADESH
19,12,230,474,DIBANG VALLEY,ARUNACHAL PRADESH
20,12,231,476,EAST KAMENG,ARUNACHAL PRADESH
21,12,233,519,KURUNG KUMEY,ARUNACHAL PRADESH
22,12,234,523,LOHIT,ARUNACHAL PRADESH
23,12,235,524,LOWER DIBANG VALLEY,ARUNACHAL PRADESH
24,12,237,558,PAPUMPARE,ARUNACHAL PRADESH
25,12,238,598,TAWANG,ARUNACHAL PRADESH
26,12,239,601,TIRAP,ARUNACHAL PRADESH
27,12,240,603,UPPER SIANG,ARUNACHAL PRADESH
28,12,241,604,UPPER SUBANSIRI,ARUNACHAL PRADESH
29,12,242,611,WEST KAMENG,ARUNACHAL PRADESH
30,12,719,612,LOWER SIANG,ARUNACHAL PRADESH
31,12,236,623,LOWER SUBANSIRI,ARUNACHAL PRADESH
32,12,679,635,SIANG,ARUNACHAL PRADESH
33,12,243,636,WEST SIANG,ARUNACHAL PRADESH
34,12,725,637,SHI YOMI,ARUNACHAL PRADESH
35,12,724,638,LEPA RADA,ARUNACHAL PRADESH
36,12,723,639,PAKKE KESSANG,ARUNACHAL PRADESH
37,12,677,640,KRA DAADI,ARUNACHAL PRADESH
38,12,678,641,NAMSAI,ARUNACHAL PRADESH
39,12,718,642,KAMLE,ARUNACHAL PRADESH
40,12,232,665,EAST SIANG,ARUNACHAL PRADESH
41,12,666,666,LONGDING,ARUNACHAL PRADESH
42,18,616,709,BAKSA,ASSAM
43,18,280,710,BARPETA,ASSAM
44,18,705,711,BISWANATH,ASSAM
45,18,281,712,BONGAIGAON,ASSAM
46,18,282,713,CACHAR,ASSAM
47,18,708,714,CHARAIDEO,ASSAM
48,18,612,715,CHIRANG,ASSAM
49,18,283,716,DARRANG,ASSAM
50,18,284,717,DHEMAJI,ASSAM
51,18,285,718,DHUBRI,ASSAM
52,18,286,719,DIBRUGARH,ASSAM
53,18,299,720,DIMA HASAO,ASSAM
54,18,287,721,GOALPARA,ASSAM
55,18,288,722,GOLAGHAT,ASSAM
56,18,289,723,HAILAKANDI,ASSAM
57,18,709,724,HOJAI,ASSAM
58,18,290,725,JORHAT,ASSAM
59,18,618,726,KAMRUP METRO,ASSAM
60,18,291,727,KAMRUP RURAL,ASSAM
61,18,292,728,KARBI ANGLONG,ASSAM
62,18,293,729,KARIMGANJ,ASSAM
63,18,294,730,KOKRAJHAR,ASSAM
64,18,295,731,LAKHIMPUR,ASSAM
65,18,706,732,MAJULI,ASSAM
66,18,296,733,MARIGAON,ASSAM
67,18,297,734,NAGAON,ASSAM
68,18,298,735,NALBARI,ASSAM
69,18,300,736,SIBSAGAR,ASSAM
70,18,301,737,SONITPUR,ASSAM
71,18,707,738,SOUTH SALMARA MANCACHAR,ASSAM
72,18,302,739,TINSUKIA,ASSAM
