district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2015_03_01
PRAKASAM,1848.3625348312162,1875.651161283481,1868.1872686587706,1868.8923266203894,1894.3332449151737,1874.7965730038793,1865.624902423919,1882.3157634008637,1868.4493347685584,1868.5131075944093,1850.8599200785384,1864.0391439984714,1848.970214461931,1876.4027270216156,1885.1685266391846,1886.9325160627343,1875.0049415859685,1868.9125257460435,1873.2987207016276,1872.038588624986,1861.1382743188153,1853.0207533481284,1861.900309845147,1850.885492659713,1875.5053529313386,1873.2226116690993,1882.0907663158719,1885.7897836272414,1879.522464609708,1869.9956822641454,1880.5109572044094,1871.2628430061163,1854.0869911300083,1857.568250722527,1857.247446505551,1852.7643353218405,1876.0771770915,1873.2237904411643,1869.847819678781,1891.4765201233581,1875.604601550229,1869.6111460091392,1884.2721721635244,1875.613434162804,1855.284225011225,1860.8060368213075,1853.5956354471994,1853.3291866451136,1871.5574901790574,1875.1766568205246,1868.3246884330288,1882.6299004131881,1873.6590574127706,1869.036617256912,1882.0247717604564,1874.5212821344999,1854.1041497461247,1862.0912306655205,1848.8846231998784,1848.6500114848598,1875.2154825243051,1874.7529065209421,1869.4129863730957,1894.8663256731547,1877.3343356285948,1868.9955893585982,1883.4345234487726,1873.1672023810956,1847.7265910212595,1850.4118492434195,1849.250785936781,1848.0509675909652,1876.1616066093015,1874.4424730977892,1867.465078565221,1891.4304338810532,1871.3917409265193,1871.3470832968048,1886.2091534194665,1868.7320250870312,1861.3087787950758,1852.3681846912266,1864.7052750922783,1853.0581626015069,1875.983498215336,1875.2996312029386,1876.601233697207,1885.8457579637409,1878.281504834186,1869.1392599685946,1878.4991435552283,1871.6173829217448,1858.1881142640334,1853.5738703809498,1862.8510299546112,1851.1845646598604,1875.3352528894786,1874.8557998636588,1902.31718450628,1891.243610004646,1884.496459625389,1869.608415296922,1903.7671324796654,1865.6607074256367,1854.5576543505185,1861.5344758370074,1849.6227924972734,1851.3511583954391,1875.0848871083183,1874.9715043632164,1872.7009820747223,1883.1488800823306,1884.1708029102613,1869.796997889487,1880.5180796516972,1868.5802880757794,1854.4374265167467,1863.663855268632,1853.3764188373275,
KURNOOL,1850.169126548687,1874.526264497535,1873.7125553571939,1879.1319002241937,1891.675402816356,1879.4729605823156,1869.6410673843332,1876.986759398598,1873.986752806164,1870.757882515067,1855.3878282546139,1851.5017686829501,1851.637247131711,1874.2103566216715,1871.0790508884388,1889.686426805704,1885.1533337600067,1868.168407455677,1877.0731936313523,1870.0441490506062,1859.4392760399564,1858.2107359683444,1854.5169194776413,1853.7671030974552,1872.8851893693184,1874.0236888877646,1871.1663559018598,1888.8059950725624,1878.6325966304362,1868.5931284622093,1878.8762994886476,1865.1056787777716,1853.4711668357468,1851.7900334096548,1859.3811407812673,1850.6977641628164,1875.5726024993394,1874.3836543483726,1873.8534940997886,1891.8410594579757,1868.2254599905489,1868.3050916614445,1877.3802227569945,1872.6813048224285,1856.323475933579,1851.656394629532,1859.2916649696742,1850.1131765727878,1876.4182269674504,1874.5864929045176,1873.9631852774996,1890.8965026361916,1866.754515006999,1867.0702726952509,1872.766567461414,1871.8823942351369,1857.1070506106832,1854.2169259130767,1856.4089568783609,1851.5622215361755,1875.463236341059,1874.1649610188667,1880.6181747479366,1892.3894974452835,1875.8534927729863,1868.1460995672082,1881.5288942500454,1872.7541666805478,1852.598304141243,1855.9033632740732,1856.820321011469,1851.0807231836463,1874.4834915127046,1873.6471608668805,1878.2687432854796,1890.8684174740658,1871.316251439635,1867.179383415422,1902.1348683372219,1875.7868770772648,1860.3824122673802,1850.5647879642763,1855.6468990979797,1855.529228767445,1874.2452163152204,1876.1860774443173,1868.1966890103836,1881.5413566949455,1876.8221518174719,1869.4609387913995,1879.270385389528,1870.8671772257692,1859.1813711657958,1847.3960782586043,1853.6392343869388,1853.4675876743202,1874.2153061094969,1874.3900547609258,1870.3830510640296,1890.6666092810349,1882.886245133113,1868.4559894190454,1882.8604551417807,1883.2721889392346,1860.7384178535965,1851.5771481144955,1860.4945585335538,1850.4562822875037,1875.1434919982541,1875.020657276319,1872.6521877992643,1889.5725243213587,1868.8938222792956,1866.3062323802483,1870.5977177882148,1868.102923299428,1860.3555374563298,1851.7280483972525,1852.3672485474208,1874.089646014769
CHITTOOR,1850.1796518913202,1874.3133185079546,1874.2071640355532,1870.1167361579614,1887.7077627632646,1865.6359037704383,1873.3540289048565,1870.3743041717933,1867.5216193133242,1873.6459213475257,1848.2084529864262,1849.2941569450857,1852.808972148026,1874.5822246837715,1875.8670391795554,1884.6993460240976,1864.8500941053437,1870.3708163653682,1865.7847218298696,1866.3041299792371,1862.072925786631,1851.9801101681965,1850.644292643663,1854.7807659389377,1874.5941371401075,1870.301356603723,1879.2652157858577,1884.2139700161379,1863.4951973656657,1871.0968862410548,1866.1368352349032,1867.7396211161777,1860.599320866641,1849.5519779240954,1849.5203829761986,1855.290632739042,1874.0343350617698,1875.0245250343662,1870.4373708840938,1896.1854886802337,1864.5198418938157,1872.0486784324848,1867.8754747674916,1868.0301422623736,1867.2817312371483,1849.718921610736,1849.4586484053757,1854.960554207408,1872.4744246167481,1874.5354370214545,1866.0651910349557,1887.6462401068848,1865.0123570905423,1872.4847256963048,1867.956288709746,1873.8348388952213,1856.9986602283711,1849.7527190150258,1848.5476503998063,1851.1546782220626,1874.3333363725872,1874.0691233176778,1870.270415193022,1880.3973953686684,1864.0531111302237,1872.5254203130705,1869.5955131647788,1871.278729647892,1867.0893623193092,1848.4380115892957,1849.746031673305,1852.2989366901174,1874.2915983935563,1874.0405277214334,1865.6496502114362,1885.1924299157356,1866.364525306745,1872.193585938483,1874.2137175178032,1867.2240628963393,1871.828882429074,1849.8779641600127,1849.5346852076925,1870.486849942863,1875.4024215356449,1875.3416385093574,1875.5222934331975,1878.188583911132,1863.8878967739884,1870.1648313009666,1865.3880984653802,1865.3486933970435,1872.1616329180404,1849.384597521386,1849.5318427499283,1854.8363078960365,1875.1201711871763,1874.6710042711256,1875.8829580242048,1891.3275005027892,1863.6009626315977,1870.515960936448,1871.7437888979189,1864.2114767416313,1864.2200077380317,1849.6948959964816,1848.71480099781,1855.3324499407324,1875.036986007781,1874.8750754232642,1870.9745725863277,1875.727922353795,1862.893939010397,1870.201507512007,1867.3815133774897,1867.1464882967327,1866.448415116708,1849.8172755968606,1849.2847203413824,1873.9711870576825
ANANTAPUR,1851.7844916414695,1874.0842579818982,1874.015222243178,1894.6622553312434,1896.8264011056951,1870.3875636462142,1867.9098874759425,1872.3459448592578,1869.324470065296,1856.6898848355304,1849.239464033286,1850.7650322461964,1852.8891824663328,1874.1447452284474,1870.5744420052567,1892.221763501414,1865.4461921154787,1867.8800438570374,1872.7860355436378,1868.531256021022,1853.977599843632,1849.0320297237104,1851.4568932511843,1853.4666507986983,1873.2279286121918,1873.1064490487308,1876.0277587196233,1893.0156876776546,1865.6015216502544,1867.5628428255732,1880.8107858535834,1868.2337545090181,1853.9646473971673,1851.3084926149088,1850.9129774248563,1851.2013807979927,1872.0586308484014,1874.6988559018948,1872.1296974994525,1888.6119230314978,1864.7169687253756,1866.947432893804,1882.5054439189475,1879.5272404549578,1864.7003024480646,1850.1900804100637,1850.886955043486,1851.476176181598,1873.7410172106129,1874.043896361077,1871.3526919746012,1886.2800601460592,1863.4946052764249,1868.0970106573493,1868.4281058970791,1869.2217817812013,1864.7886177470384,1850.421103901889,1849.2470215201977,1852.027784949151,1874.404457673199,1874.1303113664528,1884.805524377163,1875.3377304825628,1872.058182884711,1867.2637277306433,1870.081342712718,1869.2817701564863,1861.1116953920407,1849.5050163679268,1849.9939790623419,1852.45683012112,1873.8295818670538,1873.7929657255572,1891.1951632474068,1892.724719805081,1869.565272648328,1867.8133469052696,1886.2389050727327,1871.2600491659425,1857.3072400547135,1849.4978203216485,1850.714779549672,1854.1894495749777,1874.465921709069,1872.46805134109,1872.474629663952,1886.221518254018,1867.01601632431,1867.6659008154884,1879.1058473901517,1870.335234284514,1853.892731518025,1846.4762515980606,1850.8870894374127,1854.0085018679686,1876.1251402184,1875.908130990889,1873.7160202315565,1890.5020391563396,1865.6958601438475,1865.5396901362567,1874.9609599210798,1869.5028472627705,1870.248779010997,1849.7945446710862,1850.3301666110501,1851.2218338114697,1874.8709599416818,1873.6278803428415,1873.075792441596,1885.790935962203,1863.60824131734,1866.3274271532712,1870.7706335057007,1866.5578643795482,1873.4335474472196,1849.6207327481206,1849.7712450760753,1874.1366390355329
Y S R KADAPA,1847.2780202662054,1874.6171456523946,1872.583789504094,1874.3566683923873,1886.538760713109,1864.3485517151976,1866.5878639208727,1875.5182929246075,1870.9567376547282,1871.0676224836152,1849.4335281422254,1849.8122462540605,1851.929442432243,1874.8756774785847,1873.1119372952915,1885.1908471050938,1871.4149490903494,1865.43645293017,1871.1320916902769,1868.775129436809,1871.2681539793437,1851.0879262791177,1850.6518540459913,1854.2098262022002,1874.4882187988944,1864.4872463307097,1878.4202219303015,1876.9588141966137,1869.4678422614545,1866.832323052336,1871.69440225119,1877.0297186797054,1861.9837402137075,1850.5234650380776,1852.1453434369475,1851.6951074769026,1872.7759997671226,1874.1435809442019,1871.0940832900228,1894.4317010317313,1867.5367374958112,1866.0000625382083,1880.3919851996172,1873.4625310317806,1857.5866030158154,1848.9073318758765,1850.9983030997328,1855.3415820108141,1873.520566862844,1875.2304318761076,1870.651069782749,1890.6502734140754,1864.115532232044,1867.2571854456683,1877.6658636731956,1875.5669385074618,1855.7784116589005,1850.0887324453038,1849.4800358520786,1850.935179020294,1875.5628573746483,1874.4779098532836,1874.6033347939667,1890.1612404091804,1866.5627452998015,1866.3453685289328,1878.2345718932881,1873.5491976131598,1846.7864151195433,1849.8576640924014,1850.7506167067868,1851.5936796020057,1874.9508325211555,1874.3154930467733,1867.9826727873813,1884.997821238607,1863.783778165802,1866.687135585121,1911.8944710795706,1867.262396459461,1866.2895920759709,1850.7301308228627,1849.8735425429975,1865.825345891611,1875.591203663177,1876.2922775223378,1874.335741093024,1876.6772125953173,1873.190639046186,1868.1000863322304,1871.903784217302,1867.3348569619482,1865.4350591166776,1849.9133633928786,1849.8150061418905,1854.113566560372,1875.1681771769547,1876.2446671791827,1893.4559721179967,1884.3981528466525,1870.53848816012,1865.2228339432706,1885.926223694897,1869.8207876863958,1864.9245889247904,1849.8302162470382,1851.6369322631067,1851.2649871946435,1876.0822744330885,1872.5311885570384,1871.2836703688934,1882.2198873935586,1865.611176889636,1863.0291363339365,1868.9734823352558,1872.0484925285473,1857.076934826811,1849.6356749679696,1850.667290496998,1874.2722386540784
POTTI SRIRAMULU NELLORE,1851.1666302948618,1874.6807077110018,1872.128560871443,1873.2610118320695,1891.675061965995,1862.9704377921637,1866.984766833667,1873.426129288973,1875.0058313969414,1863.1577619956313,1849.5270554681676,1850.5898030330313,1853.0528532183228,1874.66903089569,1879.2914287183276,1886.5488475773504,1864.8092544588953,1867.188462953937,1868.8521244462731,1869.5193032527463,1860.306406857773,1848.3992011552864,1850.66447449251,1852.4782089648977,1873.9926110925346,1868.7541155665874,1877.2520969912953,1880.9960098638885,1864.7109629907206,1866.199487001912,1871.6863354918942,1877.2416595016878,1861.4326557333354,1849.2764333131088,1849.7725998447468,1853.3396816978707,1874.1718829720016,1872.5183595192393,1866.0877668054657,1889.3118479969132,1866.8674911680052,1867.5037835517696,1879.317719479391,1867.231763016502,1864.4461041299178,1850.0302407734375,1849.278014826349,1853.5693851192254,1873.0237008479771,1875.6712197894499,1863.7410421993882,1877.3991513817477,1864.9059977396441,1867.408987122955,1879.3113170593294,1873.4535982559194,1863.4759855986583,1851.047522470801,1849.4417045125917,1851.5860836009715,1874.3036314652595,1873.9640617602893,1867.8723916212004,1884.9526954344478,1865.2261255477194,1866.9836740255507,1879.881932721449,1874.0042667943947,1868.0164144827452,1849.6676989046705,1849.5673116513121,1851.517757901731,1874.7176275851032,1873.6295476742819,1873.0083584448391,1889.6281857398644,1863.02976291341,1867.7888976282425,1867.14956684881,1871.9071492077765,1859.5574929193801,1849.6978867613911,1850.8514769589815,1853.8186747833365,1874.4798423275386,1873.6927120085907,1878.292900640315,1879.9120736724794,1868.383674950153,1867.0341551599108,1868.1866624247073,1870.4203775151423,1869.0393762554825,1848.0484395390472,1850.3930687342258,1852.902433581558,1873.8022047054305,1873.237728399228,1878.2957397765078,1877.67645291331,1868.7289722384187,1866.3511005674802,1879.5605726478716,1865.8822042246143,1862.9099932912761,1851.0039795377418,1849.9741765710069,1852.9901473575894,1873.9083023433693,1873.2530571783082,1866.659330994652,1880.661975275106,1865.8122420130135,1866.5877979105803,1873.6722857494894,1869.6170205746018,1865.285293751883,1852.3489805351248,1848.7120014166153,
EAST GODAVARI,1849.9830391595708,1876.6070362935866,1873.7475432582169,1869.871688961923,1893.9868134310616,1884.6311864724619,1874.289035589497,1885.5870018402109,1874.1768672989542,1855.881293490816,1860.9237715890476,1872.457380949656,1851.3147482861038,1874.728569089752,1869.8204635614977,1888.8899106532544,1872.8862294972193,1879.1600989894748,1874.632697581961,1873.169377929733,1851.172072326756,1864.749473701652,1868.3146613415336,1851.1674001197023,1870.7297769898587,1874.07589543851,1863.8662021754556,1890.6381168864132,1871.0775618954713,1873.9716586302573,1879.0764708576667,1870.7679345152108,1851.8660723675516,1871.5199301025748,1866.137772138966,1851.403457780735,1875.505311937587,1876.2354702100583,1870.8654418366855,1888.5108927711735,1877.1885296210326,1874.6703568890912,1886.6537910478787,1875.6202263708133,1853.6801360410168,1872.2641129102083,1864.3548532563555,1851.5932399702303,1867.8449092096528,1874.0305430401907,1878.505999777454,1889.7439377922306,1885.4319513849066,1878.1331974292964,1878.798234814783,1869.0580042550387,1861.7717131136953,1863.9429146563723,1873.8102851644971,1850.3563785179792,1875.5362687870384,1873.6227890756356,1872.1736286786872,1901.1570446773223,1887.7403486968656,1878.0557416793843,1887.4744709883614,1877.4670858976258,1859.6720362086362,1864.9261940307752,,1849.5849840618362,1875.626476442657,1873.4355772725348,1869.3293957430776,1890.1255183167082,1884.924076508335,1872.6236530726458,1889.2458181736035,1874.1921001598582,1851.756143238428,1865.821625164868,1874.093427621515,1851.3486593958962,1874.0819392533879,1874.2103818121434,1865.0734663694989,1888.9745703878334,1879.8378096536699,1877.7207473265998,1886.1554684523057,1870.7268693947638,1851.1257720472718,1866.8135879570045,1870.660792616969,1851.17932479326,1872.3132796454026,1874.018060796264,1868.791775281961,1892.934331837225,1878.3595477465337,1868.9757829995174,1872.5432078940187,1872.0297382156605,1852.0652451439948,1872.3873997066273,1868.8437589070056,1850.4064095247227,1873.4586844497028,1873.579385216649,1870.7583744972228,1890.667164872001,1867.1237513074368,1872.7707842818324,1885.6129315066812,1872.6154812319944,1862.9703899816993,1852.2262426618388,1864.3606122388198,1873.635957892928
VISAKHAPATNAM,1850.4737909294527,1875.910256463184,1874.81594046099,1866.3316679699735,1895.381806664702,1874.3895951651832,1875.5761678927838,1909.1114990315384,1868.292310957301,1853.3666784946756,1852.3170436031285,1877.8989677376053,1850.5387265055,1877.6890675782395,1869.0337948723823,1894.9092479894728,1876.8518236585267,1879.5230737321529,1899.1335820782374,1856.019942468353,1853.8062084656478,1878.346143722089,1875.8428250903487,1850.5787832083047,1875.007076364361,1876.3894294311401,1887.4059462487648,1903.0845754914371,1869.5166179502305,1897.5410295081701,1899.3040836694452,1863.939714864982,1851.7924834678104,1875.9033430164757,1875.572219698634,1851.1088067821127,1876.484956933648,1877.17971273881,1875.922109426821,1890.734273932325,1873.5951690152826,1889.7175806967346,1879.809066537828,1876.6874006957855,1849.8253737324508,1875.7134057833325,1875.2007208062148,1851.400710054291,1867.892773713427,1875.871497217429,1874.1756892663561,1890.3792197536527,1880.910671797299,1882.5558048510393,1895.2701471435873,1875.4236656262674,1867.6220128719062,1868.2357976009716,1877.0918998031311,1850.8288041371113,1874.9053941414888,1875.9060410885909,1864.9671783634374,1893.4644124021395,1874.1091055001002,1892.3057474443901,1913.3170590595216,1876.0134978004514,1855.2857017637596,1874.9243524836363,1877.0974770109797,1850.7386588100683,1876.6579456297231,1876.1896575014132,1868.9411847936565,1887.6533053446926,1878.2637400047536,1879.6423860563063,1892.9071183852159,1866.962624008509,1852.987027282528,1876.3747932335598,1876.2477225862324,1850.7931849789422,1877.5332193748227,1875.7508231662302,1871.5421489547455,1887.8716307624595,1880.675812963341,1898.7525205322474,1895.6700385481306,1858.3398847053297,1852.8187855713472,1880.3399012684586,1881.2231734245636,1851.0511852147695,1873.4138916585014,1875.9004004804965,1874.8897794751767,1901.3009242160413,1874.6146312903365,1888.6289398585282,1895.6016711631937,1866.2152403943585,1850.6844082731816,1876.5395468646714,1881.4429463168017,1850.2895749802394,1875.7058265132669,1876.2687961644815,1878.133550077444,1894.956383174381,1865.1543151985945,1884.0303177985913,1890.139863830953,1876.2713589698837,1873.562227647183,1862.8396467499765,1876.9862392097602,1876.4079691602255
GUNTUR,1851.308338532356,1874.1567488451592,1871.7114840015442,1870.4666006545615,1894.4935973281442,1888.5248467191327,1864.1835771557537,1889.3378142119063,1863.1154378852257,1859.6557597697938,1858.754761952472,1866.6301820184692,1851.0325718413985,1876.219220350998,1888.033764457067,1891.1414043359844,1876.5705956965435,1870.1154864600064,1888.0367754349072,1863.96802904085,1855.9906758213563,1859.9074083448277,1865.1257370497756,1850.1830439110574,1875.6520740999,1875.3328209933045,1885.035016004894,1889.3210282371103,1870.9671316981721,1872.8234881905457,1895.2941348162499,1864.685656799315,1862.840364096324,1864.4264071169625,1862.9692826260234,1849.4078987243063,1875.883862849194,1874.048919460343,1869.6220736142416,1883.7600904915232,1876.654384111395,1871.046734448035,1898.1892564741343,1871.4005060419818,1854.5214059266004,1864.1848835419876,1860.3825119197456,1852.34109971628,1872.8849054446557,1876.1608602369322,1867.7672586371366,1886.7946890710903,1882.917617559312,1872.5083909305608,1889.067381936838,1871.5869568958612,1853.9476100072382,1865.0458694810095,1856.6415330633272,1850.633344663563,1874.0988382443902,1875.0744530420209,1878.4765737173582,1892.8303989312067,1883.925829451333,1867.0277871327473,1897.037642842653,1872.1771408286174,1857.9657679167328,1858.3291110616638,1859.9818734485902,1851.4083250510967,1874.77936356857,1874.8873643977236,1869.311620941219,1892.402958489009,1889.1538121194574,1876.8106669065894,1875.936569228436,1870.7377509072478,1856.9256089006903,1861.0520986828863,1865.8309906262743,1855.2206916905384,1877.2246905833592,1875.9699067349204,1874.0619946166817,1893.4178511336163,1883.7820915185955,1870.9150973721685,1896.9639101630523,1864.5030288595374,1855.4717439303026,1862.431628946552,1865.2846469333344,1849.0035994433906,1876.1075069831677,1875.4419923668715,1894.3222308044697,1883.7478276036295,1877.883742484016,1873.3382104729144,1915.2062414111103,1868.881223309995,1862.390207285724,1863.8881603819407,1859.118802407717,1848.7906916712034,1876.086622989575,1873.1922862830875,1872.725379184604,1888.770730777087,1880.0008980846785,1872.6382699063445,1888.7132307488525,1868.814918125636,1856.9300755517422,1867.4931812241314,1860.6776163460077,1875.0602426668522
KRISHNA,1851.1486517285357,1876.9986313474203,1876.9118051540404,1874.7612159827236,1891.0239481933916,1878.1902613956086,1876.5020015870837,1896.1911395222278,1859.012789979148,1848.4982511222008,1869.6017624595695,1857.0316557817778,1851.4603162912936,1876.8342860463442,1872.8507193348473,1892.2050667269841,1885.6563218595202,1871.424133666962,1882.9387892498473,1852.0131171580701,1852.263397363921,1854.0646364401453,1872.423828015075,1849.7276919942863,1875.7731915423876,1876.5611437411378,1869.6140655086015,1890.6028449412076,1876.533043928663,1876.3933783577363,1876.7130961311211,1852.39172891416,1873.6443957931083,1853.041271163392,1870.8319428790949,1849.2261374567402,1878.6241995823634,1876.274532479929,1868.757096529477,1873.5753963790348,1878.8331067961585,1878.7044788440166,1895.4062465263344,1866.1158388890349,1853.5468332345629,1857.0924652834071,1868.473167739679,1849.8993826181447,1865.4196111612648,1877.263092750994,1871.705468317943,1894.2922700432764,1881.262283220366,1869.8975267347116,1876.5096067500988,1866.6318572956882,1855.5920478677663,1857.7726269544203,1863.8378663716085,1849.901320347181,1872.3522412068342,1876.6032190408935,1891.5959051631135,1890.9823364483188,1884.6906321884285,1868.6052877844845,1902.8710730205598,1873.2123280485437,1855.3100070233545,1866.7084064366993,1862.6418084014945,1852.4637335648968,1876.4576675187357,1876.7193844133935,1875.063525991085,1889.5970184728717,1884.400446010567,1876.9826916284,1888.6925189119397,1877.4954024978952,1851.531204154297,1868.7048062388444,1856.349921940436,1852.8838550719668,1877.2669921514232,1877.1687080888335,1869.8074017211766,1886.7304993887883,1881.4155969912586,1875.1319472838627,1896.05075671861,1851.6280421539436,1850.9537098782055,1853.6250979419021,1874.3171193581281,1849.5457336250233,1876.638900790063,1877.244300135358,1867.627745266407,1875.2139365571657,1874.6323653682498,1869.640404959126,1904.06418833919,1868.6506740787427,1874.740055575966,1853.0319932522725,1873.305892724373,1849.5623393160638,1878.3011279346813,1863.5103197456306,1865.5465111762367,1890.1091207105121,1877.3024535077564,1871.592924770301,1884.6151299053045,1869.2280832258523,1856.2739583839918,1854.1900496446392,1872.109723856859,1874.704511337186
