district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2020_06_01,2020_07_01,2022_06_01
DIBANG VALLEY,1871.807875393459,1848.300576776628,1868.874485275869,1862.1933101621867,1899.2371022218626,1916.9512069968944,1920.3971533475308,1899.2391329540633,1873.86586841623,1870.8629587898479,1871.6419689941677,1870.6937402253457,1870.666837082702,1847.7057196722953,1872.3710082706557,1862.1162700934544,1895.2946308767725,1921.1213682216805,1911.764749496879,1896.3493737020588,1862.1465913128393,1874.6809333519086,1870.488719211214,1871.437744556068,1870.1472124041336,1846.7192427808873,1853.1909441379105,1866.0295957672522,1900.723528162457,1911.4958393743068,1911.8751082856097,1871.7495031761212,1873.5909371084817,1873.5571003441046,1872.799380823836,1872.4558289873353,1871.2914175869923,1849.6301358953585,1853.3169254260135,1874.3518577002142,1920.8119558661983,1912.1894319606135,1921.0596849527537,1873.006542171652,1852.9425950380755,1872.2617066515118,1870.4209305724735,1871.1313468359285,1870.1015918013718,1851.873695960284,1860.0035349577715,1872.5616021902451,1907.1177099287502,1911.0426993103665,1914.0063593013,1873.606785628653,1854.6264619145707,1870.9932997992307,1872.3304671980022,1870.559400979751,1870.647333110021,1848.438383113526,1867.7614118549325,1866.958526619944,1907.9941331321172,1918.3232843607163,1905.9882186155644,1866.870871856413,1859.1950003866864,1871.8559600695744,1871.3723907912868,1871.714844958522,1870.6522486429542,1848.9633992815716,1870.9046734502817,1861.0241285101697,1928.3015589184895,1880.6988613481383,1872.7999963909042,1873.4273304677818,1870.400327464997,1871.3347031232602,1869.916051734555,1847.8925653854983,1863.0252911303935,1862.5955270132556,1914.128213377142,1920.6632659480122,1906.8183934699505,1896.3807378224583,1856.6074258208514,1872.4108729030681,1871.52715695014,1870.815635437148,1871.4073298681067,1846.8260250293874,1866.017565291863,1866.0154042087233,1941.9690026619894,1913.305569854013,1869.4317930669226,1866.5556126375573,1873.5811274744221,1872.68365040887,1870.4407504291291,1869.9099439585268,1850.4512732538362,1853.3522161235649,1860.4979390092965,1907.6981619913138,1915.8777493799544,1909.0108932707699,1866.6452350130949,1868.1385752159001,1870.6388526229264,1873.5496731103644,1871.1444792393413,,,
UPPER SUBANSIRI,1871.7359108062444,1851.1391154398887,1862.917014622231,1869.3122860485853,1904.8846905770658,1920.52384243486,1922.935289252204,1875.3929791191,1873.1247034414807,1871.4497876952287,1872.4503932831506,1872.2377084454815,1871.0869814294988,1850.7155417681054,,1872.3438197902678,1910.4456372438112,1922.7605078938525,1918.4444505014908,1866.5036583863075,1857.3623431217536,1872.784560397485,1872.6859469743633,1872.1704849071837,1871.5908734222137,1848.1918499134104,1869.0864845281242,1868.8092149660765,1914.3087013956529,1927.6584297329446,1915.987820600725,1870.7577754600293,1853.610115511276,1873.745699644115,1873.5636183573927,1871.205625959709,1871.8261284897262,1848.296488889708,1867.5252592510521,1871.0012406230749,1922.9529971243237,1929.0903508657925,1926.7402035115383,1869.8205751320534,1864.7522374739724,1875.1203587368477,1873.367678301444,1870.614302048437,1870.246893618601,1847.8770155237387,1853.2131534315654,1882.8413001958081,1913.9737086430164,1907.9004922905092,1920.4324350684547,1873.7236168260304,1862.8191914326062,1873.5021325658029,1870.3076373487065,1872.9017720330635,1871.634848562688,1849.1507741301925,1862.4569761134644,1869.1530363729585,1901.0292700772163,1922.851903022149,1928.5241630048663,1874.7788181407236,1871.6889124816055,1860.0680161762987,1872.4075799316934,1870.709049802445,1872.169159800547,1848.794598431439,1863.878204996516,1864.7841667443417,1907.6906946340782,1869.9990998930161,1875.1740465126838,1873.0902848621504,1872.2716649222045,1871.748072886053,1871.590245359195,1850.6967132006016,1869.2155278904952,1871.2493396753566,1911.1406488626146,1919.351782309919,1925.6937429710479,1866.4744003902897,1852.9013145931601,1871.7853775978144,1872.2537952860607,1872.2554078595572,1872.4192038341582,1848.2831430764231,1870.158459931517,1870.3206903495052,1908.9517163332941,1925.4259807964884,1867.4439826929147,1863.0378716205378,1875.020484814733,1873.6833933285386,1870.5277653160401,1872.2958817906479,1848.10245015398,1871.4221321203586,1867.8001761648877,1919.2728102725473,1912.5081423247734,1922.0859954589016,1877.8345096603737,1865.1505276602788,1872.081294503657,1871.428918089787,1870.4237314118245,1914.1033534490957,1918.067374040541,1909.8429742007552
UPPER SIANG,1872.4327834423264,1847.2870406431987,1874.2144396316764,1860.9092255707792,1910.20971977341,1914.42576662097,1924.835409814864,1889.9585792134387,1874.6477723666328,1872.2962700766304,1873.3966434547378,1873.8854371426733,1874.5624624420943,1849.7681114085235,1860.9672026425756,1872.882991983629,1903.3770672244862,1912.2434764203638,1914.9836625192293,1867.707250254968,1853.3375444125493,1874.1355657528889,1874.9495864103724,1874.4724067123152,1873.3235756558943,1849.4959434465889,1856.606670208362,1869.865020322781,1911.5354991816898,1914.64494123636,1913.730442848778,1873.0999981229436,1850.6170883117754,1875.7988598824795,1874.600815286074,1871.5223927142983,1873.3698472703843,1850.055807258975,1862.2084097659113,1866.7108389645482,1933.048808054812,1919.738382640303,1916.6110743963866,1876.3693332902442,1869.014262342293,1876.2022778607068,1873.1570030673292,1872.3392441930105,1874.096882275083,1848.6049254448933,1862.2923641795621,1919.1043761651422,1908.613235462425,1906.9106331383234,1912.7327937693988,1869.914799023302,1866.9929899133779,1872.5910764081332,1874.499477280375,1874.1091460794123,1872.4525567013238,1849.392113559409,1872.1280046912345,1870.9762106481194,1901.0126209275245,1909.153425438098,1923.5593283327785,1868.5136061828182,1871.3247020415897,1873.37460093052,1872.5468464104695,1872.92558830569,1874.1591013662296,1849.353856311851,1868.1093593828948,1866.5521037012118,1911.7119221073642,1874.0726407128177,1870.524077169613,1874.8203156007626,1872.5247209609856,1874.6616443349778,1872.1507882277153,1851.7887360277684,1854.4206351152527,1866.4625141782024,1915.6150516376458,1915.954583847201,1918.9403151567524,1870.0964177664503,1854.1558679534182,1877.1447719698483,1874.463738423488,1874.7745721397532,1873.0120053870955,1848.9608785346002,1855.3300828123636,1867.7688129968894,1909.578369804489,1920.5414796729358,1865.862918142105,1873.1653131486912,1877.3168800970495,1873.0567175826245,1872.3874118404494,1873.3271819877364,1849.805479456841,1865.97957768719,1862.9754185979934,1907.3029542469183,1911.7289397884874,1922.0841067069182,1867.7282082482468,1868.4000687682094,1871.7424298024318,1872.5855206026672,1873.7723836078933,1905.1033349275945,1908.5761705602474,1917.364603916098
ANJAW,1869.5020039357616,1847.632500041387,1867.4850292826347,1868.3272234164253,1909.660521550537,1919.1144050972327,1925.5536367434195,1871.9828696511433,1867.4922116784833,1870.4254183867647,1869.8385170316474,1869.3237279804289,1869.683333045731,1847.368882639986,1872.4747698790911,1869.865273579786,1906.4633769892193,1924.5366143281415,1922.8885493905907,1881.147742948861,1856.2259587905091,1868.9812382200532,1869.7764897034708,1869.6509849595207,1868.9778545954425,1846.3149125663638,1870.6299193532755,1869.1194099530326,1910.7619011705272,1914.2049563320752,1921.244807014603,1869.6941484761278,1873.6875576898765,1871.2234062908133,1870.715437288222,1870.2564980870206,1869.466548292229,1846.2051835984748,1851.2406892147997,1874.2195493455604,1915.3611022333987,1909.76808688448,1924.899279693276,1873.950775500346,1856.0272439725245,1870.7037581448099,1869.1153700637876,1869.7205036264666,1868.5469562203882,1852.9987931586643,1858.5710584050294,1867.4917911278453,1913.9739047523076,1913.6417404497101,1921.2028925248585,1872.6126580492687,1855.816449391737,1869.3826926585327,1869.0802876108276,1869.1271741839446,1869.555151910633,1848.7425117245327,1865.9027897838453,1869.9557586171925,1914.1934767487026,1911.7206568067259,1932.3642615002968,1868.7114995173047,1871.2633963409332,1871.8553374521211,1869.8287213378337,1869.901817696785,1868.7514323929295,1848.9056660283388,1870.063657745996,1869.6953551704848,1908.7782610430186,1873.453103504591,1869.06020810184,1870.3704392659843,1868.7983071070234,1870.0351060514934,1868.925958469955,1847.4359994961376,1870.0020964709051,1868.7585806846607,1905.7624506476125,1912.5055316796102,,1902.5999667958508,1856.636772481363,1868.2672127292478,1870.2468288006862,1869.76310611961,1869.0679828636,1846.3760683783626,1874.6518537772147,1871.3709389307692,1913.060957059932,1917.5641706377648,1869.448333140301,1856.4733701592636,1868.4624664632618,1870.26820792241,1868.8657118016513,1868.345783875222,1846.5815903602945,1851.3892811552535,1869.8145181803936,1920.5254869486416,1917.5912911681257,1930.6547337802294,1894.2774224700577,1862.9575571539126,1869.9152563437815,1870.4927219571234,1870.2483373946243,1931.437948788232,1923.683901610961,
CHANGLANG,1873.2607346281113,1849.0265913873359,1865.980891045071,1875.2773704720828,1917.6201513160086,1921.2315259652014,,,1876.9321485898224,1876.6820543216525,1873.7014869244672,1874.2669557455902,1873.6787833121998,1849.1585241298778,1877.3529570910368,1856.7795151887365,1910.8795550322707,1926.1382185539383,1923.965988035767,1904.0895387164408,1867.4370360663413,1873.899731872652,1875.1959112690365,1873.7306450445492,1873.0130414490463,1849.7206599584028,1873.900745017519,1877.134889131048,1910.2160669910813,1916.627532711284,1924.5433364359121,1865.3417123268005,1875.329341487093,1877.2790981536598,1875.3584470159942,1875.0190720217843,1873.1394670437057,1853.3584339886845,1855.1161838899025,1872.4180524703006,1912.7082330129247,1916.1506630829408,1922.5722795484544,1867.516967803509,1855.5354122514043,1876.8021678223465,1873.7288923848707,1872.5826890540961,1873.8363439907434,1852.097479961774,1876.3203111818373,1859.7800313620717,1921.0660265862953,1917.399800412115,1918.0934232747372,1860.9616246254734,1855.9122571719947,1870.7962170646636,1872.8081720515893,1872.1322125411382,1874.6167903999192,1850.3187087679578,1867.6241855621206,1879.677695399579,1920.6771917601768,1915.3336033977905,,,1872.4260832120976,1875.2554328981632,1876.5549590144087,1874.4499203361172,1873.6364414276704,1849.470958519635,1874.4443330849253,1864.701386033586,1915.0624525502299,1871.8171234283664,1876.586888245294,1870.4602852282133,1873.847686544491,1873.6620000771788,1874.0214515734112,1849.169258451231,1875.7649445308793,1872.6119480056202,1910.2375923602972,1922.8448889166723,,1913.6576303854138,1866.8654499117793,1872.3329410277186,1875.679479110508,1873.8602380476302,1872.5357084389696,1850.4391213601584,1878.0286953531113,1873.387037786095,1917.689353727323,1918.1649103562313,1867.7318287149385,1863.960002900165,1869.5222203488272,1875.498191734802,1873.8560570395239,1872.8927312749197,1850.7637959408567,1864.1811282869844,1868.349191358486,1919.1607711794857,1909.035243509075,,,1857.0695222244344,1874.4330164546711,1875.9797469666987,1873.7749170506356,,,
WEST KAMENG,1872.3739034537891,1848.7438027421674,1869.921531002702,1870.7623435806588,1913.1551601184515,1927.8501421413494,1926.4527808042706,1873.1714354252567,1872.5598192340165,1870.891664932254,1873.6299710186454,1872.0273567739146,1872.9748793351614,1849.0526194374597,1863.191147749988,1865.8656955189042,1916.6501919107666,1928.6584592847432,1927.6526031308717,1880.451273237436,1861.5518746228533,1874.2684617126329,1872.6747991385719,1871.962951657076,1869.9206739515535,1853.181168174804,1860.153255529615,1870.7089079687219,1909.28791839666,1913.113840212288,1921.3195684752877,1874.0392715981318,1863.0364919987298,1873.5809091798747,1874.4115362618625,1872.710427256344,1871.6414586475555,1849.262358173228,1868.5318110181277,1869.4713800653533,1908.470204671323,1928.9432237351434,1924.8392595740409,1875.182724754524,1868.9740999036567,1873.2114362830926,1873.4196597213127,1872.398724526606,1871.8572827244534,1849.778200414348,1866.6978760163515,1870.5347388370958,1907.1693450580942,1929.1254065694511,1932.9743939778614,1871.9908272734635,1855.0761648118598,1871.023739248298,1872.9075854351713,1873.1612492220024,1872.5456888748251,1846.9396327158279,1867.8868073032756,1868.5264930386525,1911.6279875889354,1929.7411775921862,1931.407137671837,1867.343792966932,1851.2427191411928,1859.1060701404406,1872.7658332801052,1870.931788713465,1862.052766513402,1846.9175282627068,1869.816940542671,1870.7517828636262,1902.7467904316616,1868.9652267243969,,1873.841201231075,1871.5186238019894,1871.8349473997605,1871.7068221300965,1849.2120275748614,1859.3922015623436,1870.5693274263317,1916.8623717334067,1931.0734486522401,1927.9290624236303,1866.7198717400734,1858.987413221685,1857.149750039808,1872.8964370826193,1872.3912251057563,1871.8798349915207,1853.4036377194318,1864.6889160046214,1870.2792124852988,1909.7221053035917,1926.9689865005685,1874.1483239371305,1863.8532956884947,1870.0390548003445,1873.1686560553082,1872.6009563829293,1872.787920273925,1849.8080923310868,1868.5333775576894,1871.3270754873502,1903.555130702795,1928.202244180899,1931.824604864803,1872.8134847993826,1869.3194231579096,1873.862187615403,1873.9653235177052,1872.4499567183952,1924.430391514681,1919.9559186178287,1917.6763751169415
EAST KAMENG,1874.9052372392302,1850.5522125986186,1858.5674456019353,1861.6010991128098,1909.697434096207,1926.4781176771774,1920.6123935086766,1876.6582879836342,1877.6719481342009,1877.200034423448,1875.4893538166348,1873.6387663872729,1875.012221034157,1850.2237116303927,1869.6877223910085,1864.107284583387,1916.5745337053906,1930.120595142965,1921.329279311065,1871.66279695425,1877.201491065167,1877.4500992665096,1873.0869939187498,1873.7638549247379,1872.148630695593,1845.8331765994817,1871.5295383286355,1872.9164682776602,1904.5046295360758,1917.5522290086371,1924.3990855687482,1867.7165153934855,1861.198362981421,1875.5366116652353,1877.2941609956517,1873.5628222565654,1872.369254940121,1855.5307653758805,1870.8030257199734,1848.201679324232,1907.5392429685191,1931.504961843919,1926.2486467831668,1874.1442597523496,1860.6726778669793,1874.1057820654817,1876.4949233837722,1874.9643358158073,1873.9619583784245,1855.2470710523821,1855.846360268115,1875.5818911117265,1904.6461471023795,1925.873662868403,1933.6215299716223,1877.0762181199434,1857.0381597599346,1874.7010165316199,1873.6248749024364,1875.352873525982,1875.741677452743,1849.7942886085025,1861.712422010723,1862.503881009652,1909.5869044226065,1925.1586371547648,1925.3835703872805,1865.4203597099702,1853.906515420519,1870.7388248230968,1875.9568588765612,1872.9544520506913,1872.6190980008148,1850.378539236606,1865.5122115014483,1877.1111579412145,1891.2539772755497,1851.9913731861434,1860.9189315632307,1876.0396292680307,1873.6325758739697,1872.9089093211055,1873.6186008174623,1850.4309285808952,1864.0732150326182,1867.4588246695148,1916.5887436950507,1931.2574817899547,1927.8406061150708,1866.0917713587185,1856.5265064769794,1847.5919862795934,1875.0871780271646,1874.1289584450556,1874.066201306473,1848.927764504721,1877.0906402615658,1875.5775786385354,1909.1671164054194,1930.4492928661048,1868.8724687509512,1875.2070871672836,1871.5483700962227,1874.891211678097,1874.2029611260598,1875.4803118640202,1855.03848162207,1865.3544328893897,1877.197069802649,1902.0650133678273,1925.363247198865,1934.0379816831962,1876.7511568947302,1859.5424931987884,1875.3329482765878,1876.6391000217732,1874.5786934216496,1920.6208955863508,1916.8450669676956,1920.0990327365666
PAPUMPARE,1873.2106731826545,1847.1811292346572,1865.714886797578,1869.0279113465667,1913.7644019487038,1925.6471635943235,1923.548562476031,1871.4379086206861,1872.9990368418275,1877.8286643016397,1875.8356728483002,1872.960349375062,1873.1082945647809,1850.2258109275592,1870.5458291276036,1868.4513277180654,1912.4575725857576,1928.698604747303,1922.3805804023377,1865.6442138853322,1858.247782787649,1876.938138226054,1874.2489020891514,1872.029470847014,1871.585880086444,1845.8863990897423,1869.8989407430659,1872.1736573213393,1910.8669012289351,1923.9866764751087,,1869.6361269654008,1856.785486330797,1872.1511468784495,1876.0400271263127,1872.7029595136344,1873.4978249254425,1845.9830891482695,1873.3029884324887,1871.005331580194,1910.9271563343068,1930.7154768614319,1925.471049449163,1866.8633872148894,1851.705571944262,1874.2314856807525,1876.0699467765278,1871.9475320089075,1872.2441353812217,1854.61887312271,1852.0306594916312,1873.6206224665539,1906.9615294382627,1917.0003314641474,1932.789569727832,1874.9641598662604,1853.6047264460408,1876.3183899148376,1872.7196870429025,1872.7785954400306,1872.8086671401124,1847.0524325267334,1866.9119169859318,1872.571921954063,1907.245616547566,1920.9606837555154,1927.8561104583619,1873.5600866137115,1856.1967160855334,1872.90730106458,1873.9077587057855,1871.903889908194,1872.2670417900913,1847.4975239616515,1871.5738230538575,1869.2609976031376,1905.6311031441294,1870.4696569550101,1872.075247779857,1877.4511893860083,1875.1844394727177,1872.1307676594581,1871.632311817913,1848.3600114494686,1865.679288081704,1870.6048864313973,1922.4461999375824,1928.975275419431,1928.6089594548396,1866.11007074076,1856.1677553601085,1867.2562805164318,1874.6409731580688,1872.7226170302245,1871.6301196426637,1847.9037993641057,1874.8544636791903,1870.6671617390016,1916.7927020193251,1928.9795434881758,1865.0775455471999,1867.2824914778548,1870.8140807059588,1875.336297757529,1874.3170870990673,1872.7870692324798,1846.0382644068334,1871.992227686801,1874.5569433189598,1909.0940819694054,1919.2737460143055,1929.8391201256902,1871.8949981663036,1852.8443746993298,1875.036137846522,1875.305282646162,1872.6599588478325,1914.4279684878807,,1913.2832805014832
LOWER DIBANG VALLEY,1874.8679481620015,1847.8432472641553,1872.2037379562248,1862.8584977340774,1915.4861847214422,1917.7624969685419,1923.4073952013953,1896.9437969911792,1876.694264492633,1875.8535231623994,1875.7511430945237,1875.313381963375,1874.5487008088364,1848.315183711076,1870.962954484912,1870.451529546325,1889.0337635783042,1920.9494960634836,1921.4094142388299,1903.764342340478,1860.2607086391558,1877.7346643247138,1875.3444802415604,1874.1340317064828,1872.1304261306861,1847.6926456024014,1858.5254063755904,1869.348116336272,1908.767035371562,1915.7606873894247,1917.821555977111,1874.4353395192288,1866.6929044052076,1876.0938193643105,1876.0968109798118,1876.3028535570884,1873.4825527373757,1851.0799072871962,1859.510399729078,1873.8751692618275,1912.0969917035468,1916.436395044693,1922.5979461297436,1866.7880827061977,1853.0992452843811,1877.4045801626542,1876.1845681083516,1874.2764071493643,1873.0397768418109,1851.94342612085,1865.602578569714,1862.7243789332813,1911.802927090488,1913.4735411601157,1920.5347017001327,1869.8340245472946,,1873.9154008555424,1871.356309376386,1873.8012422731088,1874.5970208747124,1848.3078413178036,1863.1258959693796,1868.0428515569035,1906.6865865240443,1915.2766699144952,1922.3768043175364,1867.3003441580347,1866.8337747764783,1875.9540854939955,1876.8090340325639,1874.9211196144659,1871.8163005539209,1851.1579134169344,1872.361309983015,1865.0808432325,1911.0459459262677,1879.6353371211628,1869.7957650530889,1873.3993512568659,1874.3284171941866,1874.1341974984,1873.35660310432,1849.2978900805292,1861.890041728744,1865.4877715940545,,1918.1369982566043,1918.1686230373837,1902.2336697903145,1863.9422830623198,1874.8057539107556,1876.6093175741794,1874.4134542440277,1872.3558118902483,1847.4025382966465,1863.5816319064456,1860.1406169636484,1912.9062497734026,1918.953273353735,1871.5702304890074,1862.449430257706,1873.1091807354414,1876.6573372049495,1874.6396924425217,1871.426059887376,1850.4945794410257,1859.539378913367,1862.041598099196,1915.5009332081377,1916.831941955273,1907.054500894764,1868.572732284937,1858.5370720994608,1875.643740903234,1876.8040986277904,1874.0304639259043,,,
KURUNG KUMEY,1873.776314224503,1850.663364048798,1861.3047053424668,1855.7481768154273,1906.1066027034603,1921.804000156227,1914.9731098594448,1877.0145970275794,1873.0288083696507,1875.217804566782,1873.2437571153464,1872.567829035575,1874.4590148959012,1850.4816648105746,1861.7253488172246,1867.578879693649,1910.0753887878805,1924.2663222743379,1917.6000041014452,,1876.184301156676,1875.3154793012898,1871.5657942867952,1872.6820109851408,1871.772960800863,1849.7144246969717,1857.2683917725185,1866.3538466402342,,,,1867.2198464569958,1871.8209621752344,1872.7224312152746,1875.382657582197,1871.2643652990182,1871.5068144521479,1846.1082103773997,1864.262660103517,1857.7689676673608,1906.921117367979,1927.9708251500576,1932.3724250179039,1868.993787181563,1857.5720633725314,1872.1841774573884,1874.3526725135441,1873.6770715266625,1872.0484536901301,1857.1309193638053,1856.9677507110307,1875.627781716334,1903.812174978018,1923.5145641991553,1928.7528124414146,1876.747868107693,1856.350251244161,1873.2664729458145,1871.4494980827171,1874.1502771653074,1874.9073843721546,1850.3026153420358,1860.7886767363839,1866.9246805551911,1905.3370048367608,1920.9910549123158,1922.0381800598916,1865.2451904081222,1857.3452899527192,1875.8444552912918,1875.0445870259582,1871.7118768705782,1873.0798315930062,1850.6091647997691,1862.3543868617169,1875.0238152710804,1889.8630842296745,1861.2351482416614,,1873.2508914334712,1871.7215528200948,1872.0027258800856,1872.1158932785186,1850.6121430135897,1857.7432819359074,1860.689244156402,1911.5037751085385,1923.4513350752009,1928.7482383762094,1866.042072108592,1866.2846502232442,1850.097500949188,1873.4280197337896,1871.7007655266132,1873.0119134377103,1849.1150841409137,1876.1517196296682,1873.6083119908074,,1926.6224892972677,1867.7438323024032,1864.796199994818,1871.5676848806918,1873.4394733516656,1872.7623908174558,1875.0855605315523,1846.04866662709,1867.9867536666047,1876.9553539146066,1906.0188564419802,1920.7445358495731,1931.107314092297,1876.449139410657,1857.5754471489524,1872.575123260257,1874.8263035248747,1872.943759763692,1919.4905784134542,1927.060211586802,1914.6622806901455
