district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2020_07_01
KARBI ANGLONG,1874.7829778576765,1849.498514836423,1871.6158558236102,1872.3843890607436,1913.6736888197734,1922.0160455113173,1924.4615401278857,1901.2837778178405,1871.929462149379,1879.7601311042943,1876.275760632803,1874.7022529813069,1869.9605959622443,1851.7939871740678,1874.3573849706831,1871.976004635009,1919.7103809185526,1910.1486680535393,1918.769677106519,1872.4654863576661,1868.224040965429,1869.7871181585695,1876.9757339845564,1873.6275181676465,1873.8141185609488,1847.5468814625187,1875.6854303111604,1872.8113561255416,1919.1376915139213,1912.5153922503066,1917.258703065993,1870.929832968821,1873.0430012529484,1868.146794942292,1876.7870164035473,1875.6412979090878,1875.7463651644823,1852.6364645538272,1873.6357424978178,1871.781257905813,1913.6206075265623,1919.530504940871,1924.8391820999677,1867.277861591473,1867.5805452831637,1864.5540159973746,1877.1997710296146,1874.5262185018462,1873.9426583452275,1853.9177207181874,1868.950889743123,1873.0770573475988,1914.617423371217,1912.7752181284454,1929.2663669102112,1866.9968669505067,1855.3989414096027,1874.732662305912,1875.105722176367,1874.5339284298045,1874.2371359200974,1847.973011815883,1870.9426852356924,1872.7543124771635,1913.7208203347293,1923.6073661324156,1917.4284785763073,1871.5288519602605,1874.1965885772677,1863.9921797444931,1873.9290678076209,1870.9015754029667,1872.5158364904935,1851.7237375710897,1873.4190206082778,1872.9439045374345,1911.01443101343,1918.1822152233563,1877.607861993819,1872.523214912119,1878.6201333742574,1875.7083548327266,1874.314221746451,1868.1659632378673,1853.2129554072296,1874.9495196754835,1873.6969768873723,1922.0012362773439,1909.1041027560607,1911.8752108719355,1872.5073559145335,1865.981232513117,1848.6065459940596,1877.0594798418776,1875.5655404372394,1874.2332394712196,1849.3469250504581,1876.1737678213274,1869.5931243454586,1922.6726672560012,1932.8424052208352,1916.7854103390923,1877.9888964863037,1869.810786328097,1851.817428211567,1877.5540147173162,1876.3322193997403,1874.196275033135,1852.3820010768598,1872.2459785836336,1871.4893674724353,1915.5462213905155,1912.790890833805,1918.5608307150028,1915.8928754549388,1867.6721145714876,1851.1095223575387,1877.1563195369356,1874.5734680253997,
DIMA HASAO,1874.534008681211,1848.5643185348897,1875.9406271443602,1873.0787841233919,1915.367987215326,1914.1591873623263,1924.3300094634467,1892.771674858231,1873.9550531207367,1867.3287559780438,1876.5873586842445,1874.6875327149849,1873.7011528012615,1848.5632625010576,,1871.0983261095018,1919.9939698369053,1912.8802526744453,1921.0557489414887,1873.8696793875638,1870.7728447929371,1878.0843257955303,1877.092841931837,1873.9593707711454,1873.602337910317,1852.7588574804522,1872.8275301736167,1874.397109878618,1916.9721708448794,1900.383313986241,1915.0543920028986,1869.2192878372732,1873.526901992586,1876.3333987200965,1874.968534468303,1874.1788676343567,1874.8205210233946,1853.0425057139428,1874.0357439604559,1869.817089644213,1909.8022443673544,1899.1887807294472,1918.1624846271404,1867.9685102510252,1868.1616650396256,1876.7266842759666,1876.3564327072997,1873.9172511612126,1872.9058496781633,1852.9208668626056,1868.4761838947202,1873.6909617925562,1920.2875124343338,1910.8645379166403,1927.6494084429435,1866.129818666532,1864.6864170469785,1873.9406539874901,1876.518994198367,1873.523321495044,1870.9759112723846,1847.0035468739136,1874.0207496887742,1873.6561539567363,1904.2716888301668,1914.6084275701107,1928.0211808339204,1878.1726813459343,1874.574581020375,1859.566322594453,1877.520625317241,1871.405104701183,1852.7387711758267,1850.88177387394,1874.770252564882,1872.6192009707677,1907.5014009453444,1911.0393229391345,1876.3940554364108,1871.7574301250327,1870.4252026234135,1875.215974517072,1874.0991420752325,1873.631548306958,1851.2340662321253,1876.7609690665993,1875.0518372873555,1918.1805146614422,1899.2203596875013,1915.1580256576135,1870.9348974697996,1866.150839616578,1855.5227900451296,1877.0196834285189,1873.6149074778882,1874.095818686967,1851.8284256701086,1877.1417293363602,1871.2437655762913,1920.8230002823432,,1923.2104806375853,1873.4378515498206,1868.0324517065726,1847.5174727320175,1877.5810258502727,1874.2621984366137,1873.4326482140314,1854.1923290145542,1874.2661368304286,1869.4628506862653,1914.5105163624337,1913.5796335031123,1923.2328552338045,,1868.6534076541327,1857.8354344433985,1876.479565185949,1872.6465994258633,
GOLAGHAT,1881.3011100692704,1853.7528406145443,1876.036427425866,1862.4164000304922,1909.9419717798412,1915.3096183959804,1936.8595697665223,1906.8907343897745,1871.7668801065518,1883.1258506634024,1882.5504496195485,1881.482826305354,1879.464067725667,1855.3803685054434,1876.8906055929538,1871.1784201548066,1914.3949579328166,1917.7112655481092,1917.7236384185564,1870.2009945930731,1859.3882480761554,1854.1560831343986,1883.8393272622013,1878.069170801231,1881.8559380539407,1849.0100177785387,1877.6423848989527,1856.678199773203,1921.8663526077114,1917.9620869589767,,1873.6155142112632,1865.512607077071,1853.8585979165603,1881.517218657853,1882.0080758150978,1882.2465387114717,1847.165132949618,1876.0023470323886,1876.6414188911185,1920.365073019666,1916.2393141286343,1922.8264801673392,1871.622565456113,1871.2971970185044,1860.5946279125874,1883.3677972779062,1881.351295707319,1881.8692032187644,1851.6431219063397,1870.5927036022995,1874.8868742437242,1921.3740099408712,1911.6433581051674,1931.5356575940723,1866.3448408306242,1866.5868729676306,1881.8358794985957,1881.7420071600095,1881.9642676622016,1881.8663525190113,1852.868305363825,1874.7951687279274,1852.6740792266094,1905.2418177049292,1930.8900992915494,1917.7523040072992,1866.147146852625,1876.4165200429616,1873.4342273084799,1877.7454717132118,1875.2184178851176,1881.5698871680795,1854.099838556581,1866.506765917985,1858.918233258595,1911.3337013966204,1926.8571639952522,1872.5100547547602,1866.8970008641381,1883.2128905981929,1881.5326390625664,1881.4894520721882,1877.1151522588698,1855.6420437607212,1868.8463924631124,1877.3500599184765,1916.625973492884,1909.8091490052955,1915.252393768773,1873.2043845998573,1858.3946061751226,1849.4595743744055,1883.891790006059,1882.387211132052,1881.1111044911804,1848.0417308288602,1878.6888451338941,1851.5426546135188,1918.9880871557896,1929.8983845731007,1914.4963786204416,1868.6185090927274,1861.073704474874,1853.3603341578712,1880.0655700062384,1883.7378580684356,1881.4846822526342,1848.4637546060785,1876.8807134391702,1875.1863335119212,1920.3689890892952,1923.4756719122065,1920.212633801382,1908.1207534051562,1871.7026457683903,1867.7819279154362,1883.677863457224,1881.4790801519007,
CACHAR,1872.9345358371531,1849.4964177330733,1876.936825219377,1872.3784017315986,1922.9194592106653,1909.3769709804558,1906.547668628604,1892.7420445737366,1871.9142321211018,1862.5293736529363,1876.8165003694069,1873.80925332422,1874.285895442491,1852.1755753992643,1874.2715366729753,1871.0707897361856,1918.1967492681263,1900.258367727851,1927.5953872879966,1875.0949131594552,1873.2558614774427,1869.8791384858046,1876.8303011710266,1872.1119255552128,1871.9103576738669,1854.4571759957616,1867.754958756308,1873.1482114361452,1923.0197654529766,1893.7571253416145,1896.213710189166,1870.506831098294,1872.9050241535415,1873.8174323827063,1875.9656994799175,1872.9313229899203,1872.7656245047901,1853.8364538841809,1873.9442787628789,1869.3147281435245,1922.1485424283203,1889.843680178631,1916.5863811721188,1870.6381246432918,1875.2809379851578,1877.1711490924065,1877.3283541076864,1873.0498222754934,1871.9221470859427,1854.9309475020823,1872.8420851670128,1873.665246218694,1923.1267711115463,1910.989885492186,,1865.451809058071,1870.7322513024744,1854.9852920257663,1875.2940020387764,1870.793851090023,1856.876130215441,1845.5573257047333,1870.2840986205492,1870.3525551013051,1919.0557097958797,1904.9957874334386,1931.5355724787694,1866.8817152429747,1873.012532577446,1846.832133216874,1876.2876509047853,1872.7327935004464,1848.7840440532702,1850.4286729377304,1874.2937208164244,1871.709902143804,1920.066113714804,1901.3666800467106,1880.3280236614908,1871.9087304800564,1866.5131581133217,1876.6493015792187,1873.3589839162985,1873.7988957697048,1851.4308882917958,1873.0255341224777,1874.576665062654,1920.9504960700974,1896.382748182985,1921.330198374916,1876.8344226634324,1872.1855362659137,1869.2022317313222,1877.6421052561566,1871.4216952941142,1872.6730033417596,1854.1493451442445,1875.0713881582046,1870.7609229994837,,,1926.8353434609335,1876.533900219986,1869.759377211046,1848.3705302904648,1875.230097184477,1879.1819612615652,1871.9684736395375,1854.1463631421327,1874.3514511992457,1872.6815574186655,1922.7485025551666,1908.2041606963785,1920.564648572485,,1871.2961024753715,1876.38811474387,1876.770492312605,1871.1544601894955,
TINSUKIA,1877.5950257892473,1849.3224199789818,1875.1607201849677,1872.8143966751823,1919.4640687674146,1922.4071293204727,1916.5430293812158,1906.78879524521,1874.0622998837598,1881.9468510005947,1879.2883332112879,1878.043553908266,1878.0935479045238,1850.9473537091478,1869.8201603144514,1873.7466399679463,1888.868728341962,1915.295548871668,1917.3552130904538,1917.1553834046483,1869.0968759199964,1881.2491946901916,1880.2196819860462,1877.8358147777235,1875.9322124968915,1851.0722158441006,1867.2744302369467,1869.9268660062232,1911.1606766403786,1913.068770359586,1921.5419183482518,1889.3065815975165,1873.4311135417938,1878.8915527600852,1881.2522728373608,1878.5839620457377,1876.3870408530513,1852.2366022044766,1869.2376299518519,1875.759193947825,1910.5799352219897,1914.8941194368647,1909.6337502657818,,1855.1978259727669,1881.355568442831,1881.1721554967708,1877.635577383836,1875.8040172326105,1849.380197222417,1873.5906617637515,1867.4660366606693,1924.6171874045035,1914.381990591903,1917.7742107922902,1872.6141685484645,1853.9854578149527,1856.336103751295,1872.2977671193182,1876.3392146063018,1877.249670947355,1848.8912159032602,1867.3273746460118,1866.4345745708754,,1916.2126716047044,1899.3965079544585,1870.6707625626689,1866.8392517278032,1876.4888736049695,1881.5542995975204,1877.9866933966844,1872.8927331823133,1852.0526244325322,1875.2777630081703,1868.630167220356,1915.1018795547607,,1883.8094806567124,1874.0125609241793,1874.8344821466383,1878.5371802563411,1877.609888706103,1876.5586771406497,1851.657554685595,1869.620566943168,1872.2503067876582,,1920.6727613892438,1902.8670339361565,1908.95191158094,1866.8722184233143,1877.938329789934,1880.4731338734919,1878.19386269226,1875.5795155961594,1851.052170104222,1870.9243744935088,1870.1597813087706,1921.5751248480465,,1913.7324460450382,1875.3283434242762,1868.5761472955114,1874.879416280017,1881.1900241167368,1878.0701507077633,1873.343754977671,1850.6513613656175,1870.2535237722423,1875.693307391807,1915.2487361488083,1908.7184343093288,1881.4812501552265,1863.5987274078761,1854.6848555161994,1880.8457726655115,1881.014081032102,1877.1236259721109,
KAMRUP RURAL,1876.529381619018,1851.104631665062,1875.685173452315,1875.2132391656667,1907.9700889810442,1918.1488688841114,1913.7532722566493,1866.412466276471,1865.406405537949,1880.784596850136,1879.982600845179,1873.49836235918,1876.9773204742958,1851.686775058325,1862.122624677163,1871.2960846636945,1900.014555726276,1923.1652609091896,1916.0770039982383,1865.6075888051346,1864.946242821608,1881.4345139145953,1880.0889388559124,1875.229181126998,1875.1804754825587,1851.9600890103277,1870.2635152055668,1869.9561428476281,1913.760119607584,1911.7559634373076,1921.4867901802947,1873.3424869485623,1853.8622887841505,1859.489541140703,1880.3895599370771,1879.1109996381601,1876.6151288329836,1850.697583423704,1874.7789643956696,1873.490524326726,1912.5921741628954,1915.5463732576948,1927.5662760009404,1877.7202214977208,1867.9467930408518,1866.2168225007963,1879.2448931182118,1877.843061012837,1876.4363652527782,1848.917886494111,1877.009775183562,1875.153427567824,1901.229757754632,1910.9557512202919,1925.699437546478,1869.6598590183232,1864.6414435855772,1876.5439634722948,1876.6717173551037,1876.1199188900769,1877.358914750679,1850.131335411401,1877.035704245095,1873.6771794459569,1923.561518027684,1914.8978050807925,1927.8784253072467,1865.5995834368098,1877.400237392463,1880.3550343589513,1880.7091866648577,1877.5115337398342,1877.2550187066192,1850.6321630039533,1868.5721584122477,1873.919899994776,1909.7280785669334,1913.935711907968,1880.0083370888567,,1851.6061330562834,1878.8056567603187,1876.9081927880961,1875.991096809415,1851.0903833580069,1873.7761405656431,1876.6678274206345,1907.1784362278256,1923.3881590503588,1919.3217226300885,1865.2659035703002,1862.5730424105914,1878.2494158397553,1878.5513481466767,1877.2377670689427,1875.4584428082246,1852.1745422771003,1874.9017642252713,1872.9307403973978,1920.4255621189666,1922.8735105996655,1918.8797949478349,1886.441532586383,1853.2565899044353,1849.1894281034208,1880.3615430687107,1880.064158389021,1876.4585954265328,1849.3994384551693,1874.4263148214275,1877.0164478367417,1917.596933790678,1908.7523559921453,1902.7664798842698,1876.63454466189,1874.1037465360976,1870.8102435541014,1876.2030311125034,1878.2068016805467,1912.6655824364232
DIBRUGARH,1872.9126265205016,1848.3797517324724,1876.6264727360585,1868.4596987951807,1925.864045984085,1922.2829532526496,,1912.431903085138,1874.2870199843842,1879.1588565961167,1876.9023655042733,1874.29324760336,1873.932365937216,1851.784382496373,1854.4659113870384,1869.2711135413786,1908.0206350871351,1918.7327512856166,1916.014728982932,1889.2173342361052,1854.6116218746163,1869.3447023016774,1875.2337748524221,1872.5124313055458,1873.4142345235045,1846.0351750210207,1869.6790279105537,1873.3829544241125,1908.829686621664,1921.0306980070209,,1874.8566091399837,1873.5641411023903,1879.026685529115,1878.2771241291318,1872.1636140202522,1874.4854865572588,1850.627817633388,1870.764193251489,1874.6824615932271,1914.6594883764697,1921.0633066718974,1918.2756492815217,,1868.8205967891897,1877.6134698185726,1879.1436994510236,1872.725401939955,1874.6822947067901,1845.7976693492474,1869.0524217977127,1890.4072764125012,1941.554107144342,1911.5992886379763,1924.9635840297874,1869.3432613501275,1857.7682313062028,1878.7645159301144,1872.8830306444377,1874.4978287902977,1874.0858440399047,1845.3019476331065,1873.4176317549175,1865.5039974653075,,1916.1706646542962,1910.8437007371404,1864.0779602007713,1857.435840027069,1846.4278324726592,1876.4218857346843,1873.110047003977,1873.8416240857446,1850.927816416691,1875.6046766559634,1869.972602734399,1908.5019589230476,,1869.744315080249,1874.040207594839,1877.5003647622639,1878.682025998996,1873.5059958728075,1871.663762619792,1852.0512551082704,1856.2996828161042,1869.4864718072831,,1914.8842100097443,1910.5629246020383,1895.3229724887365,1853.4606499754993,1869.9423609019968,1876.2613799670382,1874.3220517920922,1873.932652758495,1846.395563490539,1872.7246345618446,1872.0846101120605,1912.8063669475334,,1917.8785912693393,1874.341728400852,1870.962698403646,1876.1261616413237,1877.3223381954008,1873.8202980943415,1873.4117037010371,1845.8250472336965,1869.2696601481177,1872.6862192968067,1914.0815644500638,1912.6555299434924,,,1861.016495671871,1879.4295782925346,1878.4623387413699,1872.6546818567354,
LAKHIMPUR,1881.613951755389,1852.9124280656706,1874.401213339375,1872.8187202319202,1918.485390683135,1921.470494882372,1924.5418783355376,1896.1110728040694,1874.5310324217214,1881.3241218900685,1880.8929864573454,1880.5667419791696,1880.372150434358,1853.4792878792653,1873.1449523031376,1867.0058977596773,1908.1196951750992,1917.2023230247562,1905.335757164496,1867.7300804659824,1856.2570559128626,1854.2687364069002,1882.2956712638643,1879.0063414074878,1880.2997018280141,1849.6332373395546,1873.9733887978957,1872.614209920432,1909.8420200723795,1919.974048334249,,1874.4485656317715,1863.1130484838054,1859.6192051696974,1881.451136027577,1875.3249081023082,1881.3076623992815,1848.735526325041,1873.858771248705,1871.662765539671,1920.8825248509415,1920.6590196951274,1918.1206380536998,1876.2185450767163,1871.5385704803857,1877.3723323280376,1881.0301911227796,1878.4894658811168,1880.8310709883517,1847.5967282586616,1864.4194887014899,1896.6029844294055,1918.533322835869,1914.3525390104562,1928.9882953785118,1865.1535967528114,1874.8876242593533,1881.8117470317204,1881.3758568437504,1880.610640635039,1879.9112011622476,1852.3963145301943,1874.8566190495933,1873.5093608700602,1906.2072383263883,1916.4445680360795,1924.1395858359854,1871.6789289834173,1873.1030257351122,1852.8193083278766,1877.1376739433124,1875.425035086789,1879.7620459313705,1852.1517362441964,1875.1510167118204,1864.1950548176903,1907.3554021303437,1907.9326537553022,1873.6291513592664,1873.3462192826828,1881.3661370010989,1876.987954114377,1878.1711547353684,1875.8140004289908,1854.0770282224826,1872.1052986086777,1868.2151991237822,1921.4501647666864,1921.7002925373192,1916.8939575929282,1868.5280024351107,1856.2529413090924,1850.0575716827666,1881.742041515691,1879.0784237144962,1879.5946916136838,1849.564960137569,1874.7507454918486,1869.0428689232128,1913.7982300696674,1897.78455898242,1920.6737526542997,1867.596614492674,1874.879852819015,1866.9322182780127,1879.5851044019844,1881.4526408959277,1880.3798909455486,1847.8630257414736,1876.562435911546,1873.2874121498105,1921.5010501059292,1918.7708035688484,1898.6551242060361,1904.1172746971772,1870.9166163440377,1881.7383087759806,1882.2112522019647,1879.0084525726083,
DHEMAJI,1877.1634031683523,1851.0955740149711,1877.6215130225999,1866.3672069599843,1925.2165816368276,1915.0049963841334,1931.6410690094472,1911.3289718563324,1876.424750792992,1878.917373255935,1879.8395683891051,1877.748471609382,1878.379857164629,1852.2171665310807,1862.2593358711504,1867.4252345110704,1908.0750093047313,1917.5093177434298,1910.3105312740372,1871.1150277692393,1855.584034111291,1860.2543107653946,1878.3151252921625,1875.5189966437456,1876.7442439219146,1848.508884701226,1868.686451030471,1867.2279671008077,1905.306985276976,1924.4645538720893,1919.998061384721,1876.2055259673054,1873.9488345764132,1879.0837833673233,1879.6981682092742,1875.4459398580423,1878.8977472497384,1850.0648282956197,1875.1842406885419,1873.12839047791,1914.3489009129753,1921.4105165463773,1919.5607782252146,,1868.7224912181443,1878.5269128111456,1878.4190858998445,1873.4629386204554,1877.9793689414332,1846.7906456784785,1870.2062156133804,1906.0363745151628,1922.7214423678358,1903.5637206118909,1920.451105209633,1868.2206719177839,1865.9597880317108,1880.0466069242402,1875.6720075920061,1876.59841698588,1876.188720216492,1847.7853998494413,1875.6002100555163,1866.0054545377745,,1914.579653782887,1915.4862614925469,1865.4772397638535,1865.4907564675896,1854.9448619328357,1874.8675718084053,1874.5687176445615,1876.2782435526594,1850.3282790970109,1876.1160178892999,1858.1152712091289,1907.4725607823561,,1874.2415751845328,1875.9693492583926,1879.458713238892,1876.6955823681371,1874.7566592429528,1873.7136970609372,1853.8756505196045,1863.8029426856997,1861.9840098659863,,1910.1293767586321,1912.283512876214,1876.9207998000757,1854.7234162263637,1864.3154670656045,1878.5452273529447,1876.7234466322313,1875.8354710384604,1847.6973481167754,1868.8613608877392,1873.8351892251687,1920.7255021578367,,1915.5400645551763,1871.5605042205889,1870.9018767627626,1877.5910931419821,1876.5552124658136,1877.9818188983243,1876.107942152563,1847.973948534086,1873.1964741341467,1872.841972253841,1914.7524162513687,1908.1802660485123,1920.5501511728312,1878.4114886897275,1867.749645847164,1877.7637277970575,1880.2264825152808,1875.0024601585487,
KOKRAJHAR,1873.6075990506272,1848.237851215649,1872.6395451191856,1874.766545328748,1914.9056158280819,1932.1905493486897,1934.360151787068,1874.6251846454047,1870.970639187186,1863.3237306828626,1878.4540415109104,1879.0264891226498,1868.5700950714534,1848.7347753146632,1873.1118624980186,1871.6504243144384,1914.179459218996,1937.3336972506097,1933.789994123295,1868.5743085629467,1871.3038972922204,1879.2336965145464,1880.5869436790454,1875.8637907388454,1875.8668874313364,1849.5775408400448,1876.9007157131425,1872.5623335869298,1921.2317763886574,1921.1699950763614,1926.6549669727588,1879.595026195685,1867.5280567464333,1876.5737445096224,1875.726531367058,1876.730967674982,1879.238389058127,1850.9687984412376,1876.1007590806028,1875.6624038314328,1909.9218345747724,1924.2893605856375,1928.5953504712604,1865.0376140901728,1871.0900815811801,1880.2565166203515,1876.7792072942298,1877.9886353002103,1871.569770412337,1851.512436476877,1872.885789886876,1871.7060300139528,1911.8511937636556,1927.7112490325712,1922.4663349441332,1865.7960856029422,1860.08578221221,1875.1021241544008,1878.3612005120501,1878.410730616431,1876.3069679216753,1853.0252339736169,1871.3266277646294,1869.6890452853308,1917.805071243874,1928.256326281972,1927.1020205888228,1872.2239235863083,1852.559656341822,1860.3442501793782,1878.1687284443276,1876.3622172012433,1874.9490795692845,1848.233903449403,1869.120115326993,1869.5876495514053,1905.6457281439154,1922.0637108013532,1875.830310938116,1873.0712800902616,1868.0856589433042,1876.5469804704774,1879.2629054388472,1876.376903986576,1850.879705378864,1874.0732381729345,1873.115346494443,1916.6349717057524,1925.3124576991681,1909.8085569613486,1868.911606377359,1869.923006268861,1867.4775854354527,1877.7875501430817,1878.3990156044238,1876.137007961634,1848.6856642346834,1875.8693502438266,1874.0212639721644,1928.9407044633494,1924.8705325113417,1929.1756353481817,1867.3117387437892,1860.0487442604453,1875.4778114457915,1877.4318055873591,1878.562922009244,1877.5227822444979,1850.0800655280843,1875.6494412326083,1876.1915337294174,1905.809582507978,1920.521860874024,1916.2275749393975,1867.3677158501273,1872.0056180409615,1875.9757176430694,1879.0992262128848,1877.6510191993505,1925.91546000423
