district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01
PASHCHIMI CHAMPARAN,1872.3197396798191,1849.0703195963406,1875.4903139934854,1872.6992625858006,1914.5982993165687,1915.357759419038,1928.9672505493352,1873.7835100187392,1854.312090190033,1877.148263872146,1877.6223565494306,1873.8146086641345,1875.880574699106,1852.851732197877,1869.5119503789815,1872.1987624751857,1916.1337431039603,1921.539203383989,1920.174356180231,1888.8882994222886,1860.5082610084798,1873.8814166232532,1879.725235712935,1876.586519337533,1876.0962345613402,1852.0856276462303,1870.077099251108,1875.1015837890136,1912.2705539495776,1920.8950473043342,1913.7857131422743,1884.3149167381134,1872.2005291712742,1876.4094823118166,1876.2398627161708,1875.194433410537,1874.5629369329731,1851.4378815834684,1868.498780262237,1869.9321814898271,1917.5209296812707,1923.0947584110118,1924.2289451661125,1872.5656099164546,1864.8555339278419,1878.3416880191553,1876.1472606146142,1874.3747998126585,1869.237698255834,1849.4573293042113,1875.6788692158896,1873.2812747143596,1913.7225681398127,1920.8429289034689,1927.9471247629579,1868.0971598998062,1868.8314079541844,1867.4807659178944,1878.5229109646978,1875.6404165773708,1873.552126007531,1848.661689878873,1877.086769420228,1871.4949789841658,1911.1910921701676,1920.1975100706095,1921.9427769346994,1866.1925943801361,1857.633953479039,1875.7266272026166,1875.9260783408852,1874.8927659349317,1871.618118903755,1852.1152069245143,1858.6213364229745,1871.5298288696547,1914.0123026141466,1922.7021756779152,1919.2227362030626,1871.101583966495,1857.9270557352986,1875.410848116212,1878.3134200906238,1875.6548292591367,1871.7040803800255,1852.2877373663619,1870.3492878153145,1870.2716287511728,1908.8879218130107,1920.751386052144,1918.0596749441079,1873.139654458117,1861.3351569708434,1876.5131162713722,1876.3991490636986,1879.039137358916,1871.2892552759554,1850.9611002683964,1870.9199131781063,1873.0896297670383,1916.916532794298,1924.738606793504,1920.5406161930896,1873.589712995361,1867.1331309229324,1873.9110036584432,1877.0903566154996,1878.1068989024163,1875.3402417763891,1849.3805337913248,1867.336315345382,1871.3906105844828,1923.3725281254776,1920.522607021669,1924.7667209066956,1877.2570343657176,1858.7119602904445,1867.5783904249802,1876.7597183734558,1875.996588974093
GAYA,1869.407238621877,1852.4307700081326,1875.615869052523,1872.1433493071804,1902.1327914386698,1891.5587697402418,1921.5887098078947,1906.7570265369204,1873.3263883542,1863.6558059710226,1875.9721599233326,1876.691080127358,1875.0708674936584,1854.5105060978724,1875.9620441670634,1873.875330234316,1922.275614481947,1906.6918225202546,1926.0705761066395,1866.7440870980688,1876.964708149453,1872.4255737587114,1876.0074474030819,1878.630394683439,1879.169813028618,1853.553872654465,1875.5482860196742,1873.4672674489716,1922.5698519132934,1904.918633651282,1925.7553584021994,1874.6692780644594,1876.0167445689488,1875.6652369931471,1875.938926031123,1875.1542107039784,1868.2182643566232,1854.7024633151138,1876.0356858488922,1875.0718926923926,1898.675848126676,1902.070582133965,1906.6859662878403,1865.3071467057734,1874.329798127596,1874.5845753564518,1877.3321534079248,1877.5437814854424,1855.2509363596575,1848.626818792208,1858.4929077827635,1874.367474395596,1910.9099640574045,1897.129752580201,1907.077952869522,1869.3843632109244,1875.358910603402,1849.70424219345,1876.49631634318,1879.6290800888871,1876.864190682054,1850.9752506112184,1876.340877375017,1874.205491057932,1902.5897592783504,1893.7316327011426,1910.3662703969592,1885.1280362166303,1875.393114984064,1849.2992366111794,1874.8453506001404,1878.4017620905265,1875.9181921007714,1852.3596539595312,1875.7765421985798,1871.9224608544177,1908.7759668559763,1894.000192177356,1918.3683869145927,1901.5165541065026,1866.404386977838,1866.7341686813022,1880.5671225959322,1878.0015782915877,1877.0543259695862,1851.770597392328,1874.3334786116013,1875.111357503618,1925.0763350172324,1908.4674022827464,1924.4495579672223,1865.042785439738,1877.3543883715697,1873.7584677916414,1875.7752630195569,1878.4566475814863,1874.6900643862487,1852.9843110336892,1874.8216554110932,1874.3503547840712,1923.706870656763,1906.2721107601822,1927.8372155727352,1865.568220009165,1857.7904419560007,1875.230802702457,1875.7358867821217,1880.8443721092904,1867.1695271886313,1854.9569445007153,1858.9540921965681,1874.97195013892,1904.3341435977854,1898.0485460655068,1926.0620055907086,1865.2933195637095,1874.497991574503,1848.323061840746,1876.33802548015,1878.6475649820843
ROHTAS,1870.9704801422206,1854.8503028890523,1872.1095877738182,1869.7001743898102,1912.387508157089,1896.2314471421703,1924.1198812563737,1896.131955087047,1870.324109258897,1860.8367754835517,1877.8654905107385,1876.5849805333194,1874.052889206882,1852.4147805592586,1872.675114501246,1872.7574100731981,1908.1715615114572,1904.7565673058896,1926.268711507823,1865.518190880309,1862.0877833266704,1867.5325540157378,1878.8895115877906,1879.61209370313,1873.3339185831862,1853.2942819542814,1872.3302876694631,1873.0439493571948,1921.053430438778,1902.3333614464893,1924.1615533962377,1889.1465154870948,1861.433470681451,1874.7801855742207,1877.3488262107353,1873.9111230900958,1858.5264491148848,1854.0479860449348,1874.4451044234959,1871.4556790108725,1905.226561107398,1909.6065266885032,1907.5116782814441,1876.1816385029801,1870.3689039765577,1876.6707318230442,1875.6691479729247,1878.7221642476713,1858.7422067283599,1850.9383630423417,1871.4098884816817,1872.2096316119628,1908.5946811539643,1897.3020170409293,1909.5439538583303,1871.0530239560667,1869.317442184547,1860.2467942507599,1878.1588496937802,1877.25877093851,1876.164158637571,1854.0357906738102,1871.5793620303582,1871.2125059924588,1917.9875181727627,1896.7317547727887,1926.425158865579,1865.094583933043,1872.8499097971471,1848.1755549320928,1876.3456714577947,1877.7020586681722,1875.3631877597275,1854.7991201911734,1870.269954694309,1869.5048109288591,1919.1557147994433,1894.337038034044,1923.7699164943594,1885.8780397051385,1873.494811527145,1860.477663128298,1878.14049813492,1878.8765193294373,1874.8553926016154,1851.3731461531186,1873.1015478529882,1870.771465302874,1917.4653986661478,1917.7502987223988,1925.6254973256207,1866.4922846092009,1859.6607271783419,1870.457814915226,1875.8835209891536,1878.307197175543,1870.0085660897207,1853.0210664010265,1874.3788411850087,1872.9482421655443,1924.6746088271973,1905.1252572808153,1927.2869061540487,1865.4045769692268,1871.6654351390914,1874.2572792801445,1877.309378075105,1877.8513270580574,1857.6519398000892,1854.670946263721,,,,,,,,,,
PATNA,1869.9707620765153,1850.8492983393637,1876.7061377387113,1875.8335720512107,1900.2479138370081,1895.9023873886385,1928.2623668456774,1911.735995321104,1874.8606677385562,1871.2491869938597,1876.4010422298809,1876.380749168319,1875.1002633243897,1853.8327267012166,1876.1389010241967,1874.5494549550735,1918.5690070763183,1920.5516812506405,1921.9989361535952,1866.3283081192512,1877.0755717865632,1872.9612896517037,1877.755707966951,1878.999989150394,1878.5229881940627,1851.694377533825,1876.1381797280455,1868.5320461521187,1924.976279395059,1926.514166781871,1924.68251591048,1909.4755033646632,1874.138991749158,1872.550067757484,1878.852978212712,1877.1851657957752,1877.882965514747,1852.9143516208583,1872.2790731913976,1875.038996818456,1929.034546379268,1913.4011225528216,1927.554710303958,1865.3103820440192,1871.6643000617182,1872.1952097754759,1878.6701264352002,1881.809598047388,1867.6033820217137,1850.4796368295206,1869.6860315220765,1875.274821177464,1918.9128245293118,1911.9670863889805,1917.1917102096845,1875.4850887257999,1875.061258662378,1855.2719981399644,1879.3934252548129,1881.5754306550093,1877.5315989086255,1850.4598805275912,1877.4418067341962,1875.0464047188823,1919.6084594568056,1901.5262392443872,1923.4204587841423,1870.6596010194164,1870.6420597076715,1861.7521569362955,1877.423768284109,1880.0334663623796,1872.622807699824,1851.3157908144774,1876.4411010968263,1874.8472106032384,1907.0985982405252,1907.9985559479537,1922.8360410253633,1871.1215741610442,1860.5024425572976,1870.558541661518,1876.8416652597975,1881.2297240254347,1880.6498650545168,1851.6023880310295,1874.0059582854199,1870.8452396300158,1913.6446548056263,1917.6870878957536,1924.3708047639777,1866.5364509373628,1876.5253902352372,1873.3690538954197,1877.10227761406,1881.0801288133134,1874.0782325072653,1851.0524446013249,1875.9261856052046,1875.1216226692725,1927.7085484697006,1916.3399382920793,1919.3435864311787,1866.1112771416424,1869.1640607578554,1872.477114327075,1877.1653602312506,1881.5049306138956,1877.9536353428118,1853.1436464687467,1863.619102315339,1875.1670949872919,1936.8383117765666,1908.591045620658,1922.042325964534,1866.9995414126556,1866.802143749549,1852.2914610108764,1877.1078383399931,1878.9395828055947
MADHUBANI,1873.2762634652145,1850.5519145365358,1875.6772319773077,1872.8502314574894,1927.384171838227,1925.3595496415855,1922.0753260991419,1871.081700589591,1860.0573685056072,1864.3499634463367,1880.0711720237628,1874.0776176187737,1877.3125279333433,1849.4428003873256,1878.3691978373238,1874.2231758757737,1923.370416111792,1922.0131708039096,1924.2375640366888,1867.8081752700928,1877.166299906759,1854.5068135645884,1879.9320166330306,1879.1078305244787,1878.1070249632796,1850.2930462088514,1877.1316186184004,1874.8527932987615,1918.4558372481813,1916.9728709031533,1924.1891809806166,1865.8730245908864,1871.908217730599,1869.8304298877981,1876.1072434364035,1878.4598653317487,1878.2798412128527,1851.441684080388,1875.2023605381244,1874.586024699855,1914.6721769146932,1917.4044353124727,1927.8999294022167,1866.6804011923768,1870.213389474184,1878.9577634888167,1875.6355251864445,1879.6514086287957,1878.668107885233,1854.465390791614,1876.7332677486152,1875.6412682792786,1915.7839141787376,1929.8783438144885,1926.1908702415844,1870.8372679721826,1873.214337087766,1875.3248623407405,1878.05476456068,1881.2627853444837,1878.1330990752915,1852.1899139394216,1875.5593540801965,1864.485522347542,1905.3216000272494,1931.2834796328748,1928.9667990874636,1907.0733430053829,1876.054552689391,1876.4631656452334,1875.6700701545267,1875.5574065463045,1873.8859167943604,1852.4354201012472,1876.8874451258853,1870.8832586743347,1895.8111032548788,1922.8306902853546,1918.3578464881812,1865.0230510942645,1855.384985270842,1853.7230927397038,1875.6412043074818,1878.6772498770051,1878.0658603806482,1848.4975334153178,1876.5765634502363,1875.0777397342144,1916.4207433165777,1923.628364698445,1926.8348286568757,1871.0297131992045,1868.6797481864915,1855.61372545815,1876.8353027310307,1879.7979228296983,1873.6666445566748,1846.4771523605011,1876.3487382629257,1875.225255716601,1922.2406317971906,1917.2007494174713,1918.9407967562147,1866.0716012516878,1850.8660294743072,1877.7848538361593,1875.9666981919756,1880.2000847050006,1878.027758804451,1851.2213121744571,1874.2738103989282,1874.777484027431,1911.450952604894,1922.162567122692,1917.9660773809278,1865.8574966540689,1848.2557289036222,1875.0370214149693,1881.6320376218218,1880.7309897978923
KAIMUR,1868.636506255369,1852.6197112930874,1871.507182559901,1872.4367234904778,1921.1795031369666,1902.38771555671,1923.4603552823035,1865.4409449607672,1872.0045369024479,1875.8013905011485,1876.7539673623107,1872.3401945132327,1872.2793542926745,1851.8087938137542,1874.926304878898,1869.6059104135586,1910.8099520034673,1897.17977315623,1928.0022668226895,1866.2415034196447,1858.3498535967638,1849.9314932825685,1876.0752155127366,1876.5016240422508,1875.6350017473444,1850.0483722222145,1873.2703729582704,1874.8790521444223,1916.4474335486855,1896.0639095718325,1926.434694440659,1918.3267124479594,1874.2199373115525,1860.3614608379037,1875.7101537672613,1876.4756316656453,1872.3771894880642,1850.9416686847524,1874.2603752259765,1874.8007771640866,1906.5540792286174,1897.5203940854665,1915.7586780904232,1877.3444509800133,1871.65410578122,1874.972134163322,1875.6453209547303,1877.6879955708637,1877.1718133371883,1851.1441491523956,1872.3249734677026,1875.1356152046144,1909.843770477993,1895.3539523771663,1915.1683732040729,1869.7757251853313,1872.2998930648055,1875.4262658039115,1876.6084599022786,1878.5836788805755,1875.444080070592,1854.0838972777558,1872.9973018473493,1867.977340018076,1920.2897503133256,1910.470330522267,1924.659494380168,1865.5191438240472,1873.9910903973148,1846.3527263999417,1878.67409429562,1873.9970823482106,1874.9370982442006,1851.9035136041653,1868.5979803292096,1867.9785490942843,1922.4744741828954,1893.938078478144,1925.828223173011,1865.965161895587,1873.5062044439935,1874.939517665049,1877.1271949087152,1876.4611447509087,1870.0002683610742,1851.8188438225147,1877.2799896436939,1869.6338292086002,1912.724572927015,1905.5743636920745,1924.320370849035,1866.2436530373946,1851.7621343680903,1848.6417931130447,1878.4409675652157,1879.1897236228265,1868.9908512615632,1848.6130642872733,1876.000476337569,1874.6652119766898,1913.0505917946543,1901.9300412265936,1920.2219441688383,1882.0428233907678,1870.5452765485925,1863.0901563551126,1875.5153004122928,1878.0649320435823,1872.4818792417916,1851.2198963015746,1875.7480431763927,1870.3147047964997,1898.266608604829,1894.7700806857943,1918.81695415733,1890.3628644511143,1873.477164727387,1873.9435992294289,1876.0869502513804,1873.669675970981
PURBI CHAMPARAN,1873.824606644839,1849.4292884426525,1878.4264191700865,1875.8935849694756,1901.909866230297,1931.8017632544781,1916.5148350815011,1890.2548898275465,1877.0977472262973,1874.9229693839925,1875.6047590565934,1876.5033541539083,1877.1554028389767,1851.8295921060967,1877.6616931927958,1849.514394807294,1914.891011313148,1920.855782526848,1924.9424900447832,1876.336845955935,1876.795834155469,1876.3050836116956,1880.3053088620313,1879.3620046271212,1878.4152895678208,1852.8727111895275,1877.6909318972616,1876.5425950367605,1914.4544403135808,1932.8266311989858,1924.1441917023299,1914.1358846710687,1876.7015883724414,1874.0833581999461,1875.8528223258552,1876.3466232549958,1878.4293419496778,1852.4611272578145,1876.799791950124,1868.1098819848062,1923.0710094195138,1933.3000577635032,1921.898658115274,1876.89106830026,1859.4223360377378,1880.614111653636,1875.8490085029146,1875.607264157012,1872.8917811734007,1850.127057886345,1876.9171067428133,1875.907389009418,1925.8259484081514,1919.6486188200868,1924.84375733287,1853.114847836419,1857.2244849938502,1850.00524231629,1882.2391265561232,1880.537097507762,1879.7729497065798,1849.5012867761777,1878.420635931864,1849.9802022635274,1919.0428098538325,1924.4507197927937,1928.047768812034,1868.2036323201387,1871.5367429029357,1873.230995071565,1874.691430111679,1881.819444521117,1875.5003012092068,1849.7052283196892,1878.5650327029248,1859.0050857872461,1912.2428783967414,1922.3006209517166,1920.01487349055,1866.7174719873306,1868.5118913418153,1874.5375605841668,1882.1035370463173,1879.6766592573722,1877.6150154674972,1851.271399453106,1862.5892006345455,1865.987591501348,1898.8117648005748,1921.2074789931262,1927.1566994104853,1867.4754193038034,1877.4392507145624,1881.926462090703,1876.5758686582462,1880.379110914369,1874.448872807409,1852.7693744009848,1877.6982017280138,1876.1385431767355,1917.3449772253748,1929.2370544058163,1923.6156966254416,1870.517233212238,1857.1541515948782,1871.8224094803945,1876.9147358879504,1880.3099081275047,,,,,,,,,1857.971660307406,,,
JAMUI,1871.7279577844668,,1877.3743364817958,1875.0697523330698,1895.1618584184523,1896.301615303986,1926.7151435437966,1866.0389780118815,1874.7616403044278,1879.1558168080412,1878.0279871580117,1874.6515047783173,1881.0854149089832,1848.5666446259947,1875.4518946946782,1874.1887605508089,1920.5211118792404,1892.6284619578323,1925.8744812777231,1891.6127571723725,1876.5884125048854,1850.1933310205814,1878.3296376730477,1879.0125029404492,1881.8685423834656,1850.714738348178,1876.1368103739449,1876.6190802986719,1919.778364688121,1896.0946363603953,1908.4273888986652,1888.1634062998826,1869.7555555587758,1850.006970493979,1876.4113310184675,1880.8492904758684,1878.5893198759418,1851.206218587223,1876.564751420954,1869.0354966630127,1910.0374792604114,1894.221916964556,1918.7913028721791,1870.939765871443,1858.8466895487763,1854.582320507344,1876.3217297853012,1881.745330144218,1881.523623786007,1854.4135163030753,1875.2514974525754,1870.8645755007115,1917.9184442463118,1910.825413873474,1925.7666930119353,1869.1129954374128,1868.3168785403604,1876.5258347125796,1877.7811732100924,1881.884101929096,1880.4103561816041,1854.352253166848,1875.6684619895168,1875.606030509036,1916.174774386399,1910.5097660387592,1922.3428072464624,1865.9556395298555,1876.066450053299,1852.5767938711197,1876.752232375655,1873.3153474598787,1860.1144400655887,1856.7129169708437,1877.9861699998273,1854.4834249042788,1883.9985070234077,1901.520693988135,1927.7338946235523,1867.0836911797157,1868.976366432725,1850.183000687337,1877.6231322398949,1879.2545724300437,1881.0946380672747,1849.833705426577,1875.2399151558923,1874.569789487562,1913.1422735427134,1890.780554525727,1926.4333962592787,1902.6779054666108,1856.5271214549248,1851.6656213905126,1877.3066185235434,1879.9437121650528,1877.8638303052924,1850.024799942224,1874.9735687860493,1876.431799380646,1913.6045851273252,1895.0406015465521,1900.8412153730837,1870.5596130521756,1862.9376843728567,1850.552140451795,1876.435438908558,1881.0456565505879,1881.3806970816593,1851.0056917364598,1874.8684405397898,1866.5857274141213,1913.1367718067415,1894.7293932636278,1923.8956391164015,1869.2031079010528,1872.195301198492,1872.24056140963,1877.750495631394,1882.3216457277772
PURNIA,1874.4780103108264,1852.9797148471894,1874.5953373484592,1875.2851211434647,1920.039714324821,1909.8250530333946,1927.6226373906854,1866.5031288823136,1860.188283069885,1874.9449851162672,1878.9714418547226,1872.0012298210538,1872.4772083766597,1850.3732037682273,1874.9267691237087,1874.1192357412308,1916.0108498657726,1926.617719068367,1922.2737752023424,1901.8137399856976,1875.5055534203373,1874.7111065504623,1875.9161736363535,1880.6753941680283,1875.6382620337235,1850.3015822442765,1876.1890501084515,1872.8868373627795,1919.2020940396617,1921.8391050891512,1922.1914292123283,1877.5603170498753,1866.5836115849374,1872.4211106430685,1875.036946754571,1874.9917915448948,1865.1075370472474,1854.4451362407185,1878.4965018883581,1874.1332416910766,1921.1387895468552,1915.6999364233166,1923.5281782866768,1897.647813410468,1862.0092188633223,1878.6389721190458,1872.6958335639497,1875.5715423107997,1872.5239881635955,1851.4190504570868,1874.4878488655072,1875.1897301151805,1915.6362718864273,1917.7927537816583,1928.8516168383312,1865.323968428062,1874.0040907315547,1862.603891031387,1875.1966571482615,1879.8600651581453,1875.6451730341535,1854.183837559977,1867.9364713868947,1873.65213115224,1921.4920860698664,1918.5804115130525,1925.3225977261166,1866.9325713463695,1865.9208600916113,1872.343362449499,1876.0468642375904,1874.9035733908606,1874.6051527912557,1855.8735113665252,1871.9943528961642,1872.5957094429646,1918.8598939992098,1912.270340976564,1918.5948425833558,1866.497194910623,1851.0474542659724,1876.01754273779,1877.3690774619758,1875.45151320672,1874.5183349112112,1848.7950035945903,1875.0543600019935,1877.8338423314142,1916.100190458932,1922.4870847556615,1925.0817423713124,1869.594656635095,1853.47728628968,1881.2518394066924,1874.6870930928035,1879.0967864969195,1872.7246994094128,1848.9580854426627,1875.4032810134252,1873.2293206686452,1922.038991124889,1903.684969393059,1919.2949783825338,1877.4617566724366,1866.2221090030357,1875.3935008734009,1874.9391648388746,1878.3293508127165,,,,,,,,,,,,
KATIHAR,1877.1209839570133,1852.30096857326,1877.5541680527672,1877.8650319468468,1911.0575202908037,1892.4184039187664,1927.1067212841394,1865.5063473420482,1871.2420533217614,1873.8794783554897,1881.7378461671155,1873.9013470557193,1873.9233286324416,1852.3220554752945,1877.9187435347117,1876.234193504993,1914.8959230648618,1931.501741469702,1925.4508389636517,1901.5327793523595,1874.129831981743,1875.8481461419462,1877.1161678430333,1879.3402992932656,1877.4626587326588,1854.3163652101694,1878.6968494790724,1869.2664024410828,1916.8592163071603,1918.4428206293235,1916.8554920309873,1869.8064010539965,1866.0406719533771,1877.9123905986937,1875.6772165732527,1875.1491135114136,1858.9137287200874,1856.718955621066,1876.9297484861738,1878.990609920898,1917.765782151929,1910.9944646172694,1917.6302290433728,1889.7504697790475,1861.4846462055282,1851.6638928121429,1872.851681649665,1880.3829309722807,1875.8443311184528,1847.8734936203737,1877.7293653001595,1876.9382537354084,1921.3488967152477,1904.8121816249027,1922.0899405998052,1866.5298575230424,1877.8595698194488,1851.4608974816722,1876.673666995808,1879.423181962974,1879.1710351884144,1851.5488565627602,1867.223369747283,1877.6112126836103,1919.7865295276752,1893.630185481015,1921.7214587521357,1867.042109891152,1874.648977363616,1863.8376613829785,1879.8832742139293,1875.9072538285773,1877.3714006593286,1855.823041485915,1867.173497830693,1877.911372981632,1908.6654795442041,1906.2496759242895,1917.6291004945313,1866.256462171776,1843.8232650970574,1874.9153222898842,1881.0864453046204,1879.5235282906424,1878.7377921824552,1853.129547862757,1877.809333096643,1869.6061944570433,1921.771681530737,1926.4660303027001,1923.933655646394,1864.5318810039444,1868.537330988397,1882.5543632166512,1877.4350767157262,1881.6781530262808,1874.4905507735164,1854.30632654664,1878.4954847810795,1878.1068492724878,1920.3077333938504,1910.3077601014136,1914.74730502694,1869.7202691808407,1853.3112922534024,1874.9206496224735,1875.8916904848331,1879.7242412265887,1854.0104085758742,1849.7514819508913,1865.4299811051646,1876.3642789995918,1911.3459853280524,1908.6302601048183,1921.9556401270572,1866.0748378900905,1877.1617713700794,1852.00304487958,1879.3791366167611,1877.3443703679784
