district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2015_03_01
BIJAPUR,1850.2578965661314,1863.0735241247316,1869.264098656736,1880.2194785630265,1904.8421482661881,1868.849265196446,1897.8386267512983,1881.1681415323096,1871.5085913340336,1861.9427565688297,1869.6898963303966,1874.8822934923737,1851.7722580408688,1867.859913203929,1876.7796183826613,1889.2582799736635,1873.6077516109424,1877.177644574137,1899.004104386636,1872.6750431735225,1861.8777872591759,1869.198671708863,1879.0185209259641,1851.3075564991161,1870.7982514867424,1872.736214637982,1873.7990689068588,1890.2012675815408,1870.7738276810228,1899.9415420628586,1887.7630497087036,1872.3674888739172,1849.859253557619,1877.9234435932135,1879.204029845155,1849.9261446048558,1872.4511287898451,1870.4251045719652,1875.313670174562,1900.8902166554174,1875.9875770029892,1877.9488207967104,1895.1583777612025,1869.4344169544183,1850.7797095196581,1879.9656190903506,1879.4365717593662,1850.7841575457173,1876.047482488269,1872.8275219105772,1868.3294663136435,1897.4475427675022,1868.2153754869296,1878.2581847101978,1874.9343438553042,1870.3817523081473,1852.6078424466766,1875.9082318158637,1878.5910163992708,1850.7980295633938,1861.2709910717576,1873.0920807523382,1867.0782725186134,1909.475899922638,1868.9190813947585,1892.1830837988548,1865.1851313883492,1872.964224228413,1861.0418273878258,1877.084608785188,1880.4319660997253,1849.8378236821836,1863.0271007055871,1872.3510280758314,1868.900769305173,1903.1826169391006,1870.342990014789,1875.0597301183752,1866.1642379067562,1875.391612458556,1850.5069637411768,1878.0775323898204,1879.1915305978762,1850.5159291294592,1872.7672466529336,1873.0047367592263,1871.4357007079498,1893.9644733801022,1867.6707281488277,1906.370949791054,1871.4939365451921,1871.772531570676,1858.1597146065856,1870.936592660464,1880.0274431312907,1851.1749104773166,1872.965754517883,1872.741454483071,1881.3314885572904,1906.1714288062685,1872.3904840213331,1885.2793630693368,1925.5810068024114,1871.4412995418695,1849.9956997856052,1876.3149797453277,1877.488840258299,1849.9362165612506,1872.3949465034918,1869.1379361032166,1867.7484207680889,1906.9758805856804,1872.4034005102799,1875.9863883669059,1909.214149212947,1872.4822059500561,1851.828298328818,1876.2990180941479,1877.260857021894,
RAIGARH,1853.968805725891,1852.7233813193834,1870.5421013036755,1874.623686948566,1905.756657834396,1892.9735224073622,1890.5212167808102,1866.9518040092928,1871.506204604009,1848.8076572539462,1875.4569136248247,1876.0451368995393,1850.4659555492171,1854.9697733150822,1867.3474183772441,1918.7460275802637,1883.0677331373076,1894.5458269949559,1905.1970899742666,1873.5910612172452,1849.590638356606,1875.8697026864845,1877.0975719917556,1861.248495087635,1863.458869312462,1872.5339950062469,1872.8008368929616,1908.8910067005702,1881.3363217862834,1905.6096509094282,1867.9862228363554,1871.0611859339494,1847.8235694239545,1875.2086584421224,1876.9311568147107,1861.4553205524057,1863.4941384373549,1871.6583525375488,1872.2600462564392,1904.9240083469783,1888.3033060671094,1894.857001982224,1868.8995956714584,1870.9771128630127,1847.501079824175,1877.0244988646482,1876.0709460794562,1861.181903643105,1852.3200839870938,1870.01908482947,1871.0981269937506,1910.1774868729808,1876.5829318460794,1884.3578489955287,1906.8001439876589,1868.7486348116938,1851.3931739937375,1875.4129652989645,1878.6323145651913,1858.7722868573633,1852.3818622950625,1871.1532804457304,1871.0827813845915,1911.9957260498163,1888.9874318075424,1893.890374222274,1882.4066165652266,1871.7945584161127,1848.6165674222416,1874.4088149043257,1878.1260662606037,1850.6964269000864,1859.0030678981657,1872.78944978811,1873.4692539058892,1915.3035321174166,1887.1017864333526,1894.7092320665622,1909.5623178016108,1872.231932341623,1860.3566994599569,1878.7722396757094,1875.6977931240467,1847.3826593219762,1857.3481965236376,1872.405195117008,1870.3426397743817,1912.8943390326995,1892.8138957668373,1889.3246277602266,1902.8862340445419,1873.150466035935,1848.5575133545367,1875.2439143283616,1878.7154423296038,1860.55115425324,1863.1545138957356,1872.6273074800501,1871.90438563396,1923.6166332123125,1873.5825564600161,1898.7172799185723,1865.2719516731927,1873.112688510024,1847.626870042185,1875.4546399390163,1879.2495434100313,1861.8306155963676,1864.2026653522619,1871.6813174755844,1871.6583406914044,1918.2275399621853,1874.0302576195825,1900.5840761358795,1866.3642297236906,1872.0257443560442,1849.9444833227467,1877.7732335255187,1878.638272069937,1871.802368012579
BALRAMPUR,1871.5394355352653,1853.273812539075,1865.6858138355312,1871.5488452034517,1912.6522856925037,1894.2019765829853,1912.6601760282613,1866.5419849457987,1875.4463842542702,1861.7927692697485,1877.3409772668733,1876.5874174237376,1851.5137785703282,1851.3746814489068,1873.7204702409733,1915.4961570487174,1896.796453568138,1917.063031988987,1877.2601944868322,1871.6729517835488,1850.1999097725452,1878.0763257728806,1878.2883814272027,1868.5854008929643,1853.4303971737538,1869.8914969369564,1871.0825657691612,1907.1735770723128,1890.1988964278426,1919.9192677559008,1866.448892098497,1874.163963253062,1848.3674688108752,1877.6315375000902,1877.4961820799535,1865.7214242736452,1853.811760815908,1874.0212887482978,1873.916288644507,1899.8031711698163,1891.4101033783497,1901.4801240880556,1879.2159472758665,1870.7497934602125,1868.4537427378932,1877.9852061298834,1878.159278744158,1867.4115913333349,1852.1465668419369,1868.4857074905995,1871.1558689620997,1908.8418143405422,1885.8677722795842,1889.9716816847572,1879.2765412729536,1869.933461216322,1860.270596512901,1876.9787817509916,1878.0270770780019,1876.333816231788,1852.845663700178,1872.8215899526683,1869.3832744331198,1913.9603449491929,1893.16807142311,1907.867806685379,1871.631396010681,1870.2820999001679,1848.1706187941525,1878.737583650619,1875.5677540006152,1871.5440625745682,1851.0801476179172,1875.9943939312345,1868.9320993440788,1914.762366910921,1892.388779127604,1916.7233086610659,1883.5831367435355,1869.069822973996,1865.268847573526,1879.257546566142,1877.4539731900527,1848.5439830109426,1852.5756596224558,1868.3500035709424,1867.14268657027,1915.4463225709267,1892.5672516446166,1919.1807370638878,1887.9815448216896,1872.0300181052771,1849.481627774683,1877.9898408200436,1877.3915081258704,1865.1499595741916,1853.7743660719475,1873.915070840047,1873.9894974389492,1909.6712827478707,1893.367067267607,1910.8617420211579,1866.7994006641763,1868.9900815655278,1851.8770141538193,1877.7068751890715,1876.5438486734802,1866.0487464519258,1854.5086404086167,1863.5947802679846,1867.624830801582,1908.1527838114653,1891.0277503984455,1921.873980045551,1872.3727429269854,1874.1880808672443,1851.2336821942479,1877.556041568252,1876.201629331408,1875.3470963971836
RAJ NANDGAON,1874.8467179636182,1854.5868541849584,1875.8224206245056,1866.4040222667907,1906.142890795203,1888.5505542982971,,1917.4042130634111,1875.2241409444237,1849.9589912355852,1876.3682988687808,1878.0723138999492,1850.0502493676802,1856.9030560829237,1869.4031565721077,1897.1324752039998,1891.4718989522617,1877.2231527297977,1915.351912875012,1877.9108117181559,1851.9021099746474,1876.5926520070925,1876.0358672363177,1851.2636492645663,1863.8377830460222,1876.2468492774724,1887.1936775503439,1890.6886131767396,1891.2377484544504,,1890.5795909222481,1872.1919617904275,1850.5771958635949,1876.4459514949483,1878.0113944820473,1849.7859608432668,1867.7738587826998,1875.4547885751533,1876.2537855420376,1902.1956043537934,1895.2127171770237,1882.9660866963873,1872.1655580241113,1876.1536373237243,1850.5223171371883,1877.4436333764916,1877.2054095529206,1849.9035684740195,1874.735808895772,1875.738944127207,1875.4731320920177,1917.6921281387813,1880.1008601495762,,,1877.08887181596,1853.4497990961104,1876.6088174688048,1875.465050922942,1872.6367458491634,1854.137689655381,1876.135626360286,1873.4582334622226,1897.7296837182603,1893.6676851015081,1882.1916146773292,1869.537745105375,1876.6501761386737,1850.0626978838168,1875.6450215906746,1879.4835456566236,1859.6642547025551,1857.9846352334357,1875.5829020669958,1867.6439922199972,1900.840420324016,1881.2174295930179,1906.2591559746368,,1872.913415613108,1849.7027271630911,1877.8179717253834,1876.8735152335707,1850.9776247402351,1857.1409503780412,1873.103649697964,1875.1702721141,1895.019406018961,1890.2501101993612,1888.936439470702,,1873.0894467482426,1850.5362979351603,1875.7839306404949,1878.4355138401206,1849.8396259784786,1866.0515986055714,1875.7328070203878,1868.4754900659273,1916.0247524581546,1893.4991407131292,,1925.6824111613828,1868.5257015357251,1850.5931120330686,1876.9535178453982,1881.0386673900753,1850.6553541840353,1873.5073459138687,1875.065123980458,1875.576537251764,1906.3613269127684,1894.0434292906814,,,1873.3386512640373,1850.4194200472696,1873.4338426001707,1880.9716204568927,1875.6188736027777
UTTAR BASTAR KANKER,1860.012187191466,1860.3171887866208,1873.0052627105172,1866.1640752184107,1914.0826274377016,1884.4972516376583,1873.2088853610603,1880.5749276014606,1872.9248571428975,1858.911944501154,1878.390526325989,1874.9544615431666,1851.8442088795487,1860.1679563186538,1867.9488198361314,1897.9454721473644,1881.5395628178633,1878.0979370877214,1908.6040362555582,1873.8714837303896,1852.4496070343814,1874.8154835585992,1878.3882980264873,1850.9365024351944,1856.1699477590316,1872.6055720919555,1872.346843962915,1895.388898782694,1877.9655207665273,1892.8263212446734,1906.692578487418,1870.65525321456,1851.1310046967903,1875.5633234082084,1877.632084905603,1850.2887468809593,1868.2596590571795,1872.4728257879103,1875.418544345423,1909.0132575598602,1878.0003982322469,1876.9532337264372,1893.6895747369417,1871.0542335938987,1850.061536240389,1875.8278996741606,1876.5761853039812,1851.352289273149,1874.5314965290174,1873.1473865650714,1868.724506054044,1907.4517544273058,1877.0504487060084,1882.5107362864414,1918.3004631835497,1871.402015861229,1852.2605035042134,1875.4028086483283,1877.569895384564,1860.3764762117914,1859.504526966034,1873.5995332284228,1867.1396835838964,1907.0853516230866,1871.2897611367757,1878.6887543848768,1893.225293692472,1873.2733172809628,1859.9250314779886,1875.7776376766415,1878.539641748936,1852.552149345133,1860.141370452747,1873.3846799578498,1870.3274086516865,1911.6073561459098,1868.7421722833149,1888.0695800933356,1864.106763269012,1871.719777881282,1849.1440198491148,1879.3374902618932,1877.270032369023,1851.791952407411,1861.7598649417941,1871.4960898446811,1871.248630149219,1907.0060132354035,1883.9583292562836,1887.5373729232765,1865.2781640012697,1871.6842576749243,1849.9662915220385,1875.6632226707463,1878.577992947644,1851.2123035601473,1857.8418262977946,1873.4976540238642,1874.208380663745,1912.1098518070562,1880.2374869673836,1890.2299024725014,1918.9287934578542,1871.0766632972943,1850.517935414802,1877.412218311428,1877.4033574892067,1849.5925100598124,1868.9554195494377,1871.4873647007928,1870.373918557081,1905.183802082865,1884.8944883567688,,,1872.895452476734,1851.125207149315,1878.3970580221153,1874.6290435254186,
KOREA,1858.0096694021283,1855.5621809667264,1857.0990778653243,1874.1861257183891,1920.645392543663,1895.7401005842376,1897.2984134519877,1873.408737368205,1875.1354322899497,1849.02707122989,1877.046644918458,1874.949368373325,1857.450716683215,1864.9341450208428,1872.852941376185,1905.7341802897834,1892.1669713029496,1918.424307064603,1870.3519828134233,1876.563157659258,1851.6178102521928,1876.188581641545,1875.4519563925564,1878.4554250320302,1852.5517586343474,1870.9279985201897,1869.9876328346654,1906.6075112439908,1894.8040476820597,1922.2283173188332,1901.433312700822,1875.1786790590327,1857.236517833439,1876.9854474296817,1880.422147535646,1880.1078099825615,1851.8167369815299,1874.654968660001,1875.063715572843,1907.5417892982712,1893.5809070157175,1891.5606818057897,1869.0346009514715,1876.1818410955511,1857.2558570170024,1876.4900489380395,1880.4380052719966,1867.1027485727038,1855.3940926551486,1875.1927614898807,1874.1201776461883,1918.0459142965385,1894.3517189460401,1879.8470046972589,1874.1939664231759,1866.1447964605086,1849.7511731390741,1876.5820322480406,1879.664703491851,1857.7261146977387,1855.2656516751892,1869.3330183275943,1869.0229317745075,1901.362586782027,1892.5061054223781,1916.3332176712008,1867.186208973683,1859.1596820849866,1852.0067424014674,1877.1436257791975,1878.7621271474047,1857.8511843004148,1856.1899447475257,1876.0434555632996,1863.6444692392056,1916.9783589118658,1898.2460328474958,1916.389946159965,1872.52003665648,1866.4272611866045,1865.9059325488213,1881.7919850756389,1874.3206173325884,1858.0860895165665,1865.115727277266,1874.4333970450894,1858.0419474266964,1915.4454831159894,1888.0547003525767,1893.859487197061,1868.9981642016437,1876.9781955127241,1853.0446144103769,1879.6796414974935,1880.650126497377,1873.5494239499503,1852.881641754162,1874.657583520264,1874.2069415490141,1915.7166899037488,1891.6864592488514,1892.2802079484577,1921.1086819742245,1867.1938801810081,1857.3936941217682,1876.6793601365464,1879.9582998617836,1879.83918044479,1851.819368612712,1861.2459662660508,1861.4163291179475,1905.4472838782654,1893.075952173581,1916.5125647517498,1922.3491319240882,1875.975749330691,1857.4992810496017,1875.0716148383349,1876.1096543353335,1875.09460398425
KORBA,1851.1192978182837,1856.3255638815367,1867.340670268658,1874.6798446357573,1913.5495471706115,1890.5774683133056,1892.147230816299,1869.5351349250695,1876.3507026418185,1851.1869426959224,1879.2085338418467,1873.2381468901776,1850.389571503148,1874.4258621063368,1874.7492392356987,1901.9918055523979,1891.1810430420126,1904.8061236476215,1867.1037571493366,1876.838078051396,1850.7016447429207,1876.8393045724274,1877.3527088977694,1879.4187566040412,1850.5917509997248,1862.5311396178815,1872.5543579378382,1909.1192349511944,1894.9360338660535,1922.5807210166308,1864.447900554438,1875.885957396945,1850.2659929825847,1877.2745297580475,1879.8336180325487,1879.9139044221586,1852.5311791789566,1875.3697186601455,1869.9117073918221,1909.743695595184,1893.328398999447,1885.7298863452916,1903.350786919917,1871.6696849498499,1852.6464878187396,1877.8078818847855,1880.85444198613,1864.7484048563074,1856.034004268887,1875.4786198766335,1865.9666635690614,1920.9835805975054,1894.6452541530894,1879.9695239412758,1880.023805943037,1856.848003288677,1850.01291669153,1876.9084179049883,1881.318072268834,1850.2410296302212,1856.2169545281108,1873.831049834936,1869.7903573210194,1916.5648396602144,1890.8779619720053,1896.6293137521616,1881.3023077432192,1861.0109466454737,1855.0469554602792,1878.4787364189635,1881.3106794141963,1850.9863138350174,1859.7216403446141,1876.7380023843164,1871.562758142339,1919.6579883765182,1888.9420895434628,1907.8282327563977,1868.9775551469977,1863.8022895936558,1865.451019641469,1881.140386414158,1874.0328590939068,1850.8753634737182,1869.6455928184848,1875.5696637677381,1873.6851970345394,1918.0512386833345,1888.5098743549088,1883.013759237322,1867.39111140311,1877.5742249317666,1850.8145968238932,1881.7881244148743,1881.2451916284178,1879.3577871389057,1851.5094463226255,1875.5218870592164,1875.5181834215898,1918.458243628172,1886.9505283977878,1883.9631919947028,1878.2888671300693,1872.891416100161,1850.0173353948048,1879.5493928580424,1880.3574806062938,1879.7250192222707,1852.8323601424695,1868.9405178557572,1863.450328412365,1919.238552480557,1893.2946944672105,1882.392779435,1873.3701091408136,1877.5292875159664,1850.4808149079308,1877.0859401499472,1876.6041854231394,1875.569070162853
JASHPUR,1880.3951561360893,1854.21410900339,1852.0735712934536,1873.0768795029016,1903.6422543729575,1896.4400601091522,1886.5393717319394,1875.8660209392397,1876.8904239315295,1850.1094199430042,1877.1856477629979,1879.4998564736238,1853.7001359490869,1856.2794796855512,1866.8443961475946,1927.4553897930757,1890.026888778422,1893.5589049932914,1893.1400386940127,1860.894733206943,1850.0943265692358,1879.3578282008311,1880.3588273370913,1853.1023222312629,1857.13181544248,1876.985298537135,1871.6738520848278,1905.513020748883,1888.989130881027,1898.9925273370868,1865.7996947024087,1876.6476347073249,1850.3513003521712,1877.6990610394691,1880.0402284443828,1851.5906945130687,1868.7726089141806,1875.360627694714,1875.0926602928953,1900.1350463225863,1889.894253919838,1887.4631371144774,1866.65345016591,1868.4245800794474,1868.1504750846714,1878.7228460977917,1878.6068726016413,1852.0584219515579,1851.923714865789,1870.8601908139776,1875.1349721510371,1908.124036166924,1881.222620317895,1883.2284186537854,1915.6867931372317,1875.2187869183863,1851.2799570669056,1877.0192564882852,1880.7797728222345,1880.7994967216468,1852.276446043022,1874.961918363671,1874.6722172469144,1913.206987765423,1887.7678838164406,1892.5762256168532,1906.8610580434124,1870.9212312368293,1849.8907738663113,1878.198938313614,1881.184166950267,1871.0454068707986,1855.089185335956,1875.2856848257031,1873.0043200965788,1903.0430867591297,1892.4690092002093,1892.0773184464601,1911.3574371328007,1849.5148388053185,1851.0165284572588,1881.006662168933,1878.1476822441457,1851.305750643871,1856.5432505463668,1857.4896596742406,1867.404834348391,1904.7892018564737,1891.0481277392853,1894.0939973285538,1930.5533909223543,1876.926209499252,1850.241724011367,1878.2094502350758,1881.7832661487084,1852.8949689107676,1857.7802626748432,1875.498657511668,1875.1105028439342,1912.0150016478162,1891.6131199329523,1907.0984589486866,1866.939930409951,1857.9533708724252,1852.6434070684281,1879.4446923050853,1879.8038394006853,1851.3001641754179,1870.544444968336,1847.8711748862033,1871.93819244324,1909.199388509407,1885.821941346594,1907.2617941194314,1866.2475438628524,1873.2792380446629,1851.1385753445861,1881.6482257876182,1881.458112689608,1875.630953318723
SURAJPUR,1851.49870315303,1856.6714207986197,1861.7844113921758,1875.4216747959001,1919.7603171892645,1897.3720331224845,1901.093743510892,1866.6892555044928,1877.994013255671,1861.0980387434156,1877.9801444625898,1873.287967128114,1850.2850895550623,1860.3955842803884,1875.5264265712299,1904.0335079642853,1895.7997780745138,1921.604306504467,1866.162971946626,1877.6576748264179,1849.7511417963594,1876.770233047762,1874.387242192432,1879.7277144301995,1850.4069266562562,1866.0613053984591,1863.299114630153,1910.58656649809,1890.7386971924332,1926.167379436905,1865.3556063722524,1877.758827368573,1850.3105727166164,1877.4559482927573,1881.3499807649155,1880.9330437715328,1850.0967058195813,1875.8235756903655,1870.796933927122,1907.145941131027,1889.1475987761605,1893.7676295410795,1899.2700112371308,1863.494911676305,1850.3294244386013,1877.2504019840817,1880.7037146041805,1878.1600167034317,1853.808101653099,1876.3433138199352,1866.0219845587433,1920.0565199935452,1891.9354447574929,1885.0205653371181,1870.5256435050976,1863.4778057946044,1849.8236268776857,1877.2351062744729,1881.3464440802084,1860.7115641374053,1856.716654275503,1870.078715703991,1866.6522827660317,1911.6653641380785,1893.5495765548148,1912.9232700543002,1869.1167039860857,1851.1104705171817,1852.2922326250066,1877.1171550144234,1878.1413710797426,1850.9541644030066,1856.4555122579898,1878.5235750420197,1860.9415105107546,1920.142828244786,1880.0341096252844,1918.686300098549,1865.6319132418819,1868.658116420448,1873.0502389780233,1882.1683463046888,1874.3514359251094,1850.7002971324353,1859.763647286643,1875.9637217329005,1858.1294133427034,1920.817436614812,1888.1289777532045,1897.088868890159,1864.662104790126,1876.178449821213,1850.2348543884807,1879.7147095962866,1881.8706019019141,1876.7714307190927,1850.6323882395163,1875.6789349801513,1878.3016170821563,1915.5532080819605,1890.2943016024822,1890.8471621909798,1868.5785098494753,1863.3901597476918,1850.3005311119498,1877.5407104528504,1881.8669047819958,1880.4931196284615,1849.816282757949,1858.303795732605,1858.7763943327927,1906.7192157769582,1891.0230759863857,1904.7925325407978,1878.7689718829747,1877.7813223639741,1850.456945086635,1876.2540888514775,1877.7744398732502,1875.8273518729036
SUKMA,1851.3314540941833,1877.9117566486414,1875.956709767673,1863.3908600005243,1899.1738422499475,1872.1829687787156,1880.41991470468,1884.0517950031144,1876.466367280394,1866.435044901139,1873.5248574399182,1873.8717636446142,1851.3822572074757,1877.14686357786,1875.790630402327,1889.9679907994844,1875.6121746839049,1888.297116910941,1900.6765316086944,1866.6989286395697,1871.5425642958978,1870.5287822963423,1879.7554781537078,1849.9993594376451,1870.6669455659305,1875.7258909183456,1870.399772124186,1892.6491266812159,1869.3586718576257,1885.1547564265272,1915.2870579653988,1882.3909911167116,1856.6199659405213,1878.86827715162,1878.1166626388672,1850.025461942313,1876.8891283999747,1875.582544475718,1872.9627621517373,1883.2599353749654,1868.72638824805,1894.327114430977,1921.399563299935,1867.5124862300866,1855.7453849970893,1882.4108169131873,1877.424375679708,1850.1319591706401,1853.8104971480354,1875.426077629156,1865.2858612544758,1894.049158013804,1872.3067780430365,1883.9310178916287,1900.4544323906935,1866.7432528294798,1851.0276265231485,1876.7095964427285,1880.7703404766928,1850.4116918682005,1877.7000374247689,1875.8672918817063,1875.8414500132308,1921.0721173841625,1873.4914360390198,1889.3050388073752,1890.3435036212572,1876.999495031369,1865.0264728651832,1876.5302215817696,1882.0965812030142,1851.1456975820063,1876.7319027351068,1876.0224169785245,1875.4955756087777,1901.402268886356,1873.4054443323676,1878.1517257017153,1883.1148887037577,1872.0617173459002,1849.379041049077,1878.6650434135386,1880.1892742338503,1850.9720205161354,1877.2367343045198,1875.877037299232,1876.7631959690348,1892.4399854367443,1870.180518261758,1892.3119526780756,1876.7993488754437,1866.6343809537464,1858.598090255839,1877.3714004980084,1878.8493861903562,1850.5313327364208,1872.452346413639,1876.066753891246,1864.9487433040563,1891.3724903438497,1869.8144545933562,1880.5459780169883,1896.4448477632436,1879.6776859339977,1856.6326284133222,1876.5016469428977,1876.8655067722998,1849.9319273478636,1876.424852866595,1872.3844066012573,1865.1993378536129,1890.3567196256724,1867.5577944194727,1868.8622055005508,1910.78818429426,1860.410401786635,1855.5868494515767,1869.5897780143575,1881.590161855199,1875.5468963705073
