district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01
WEST,1876.4267066069742,1848.2188348822178,1870.8504376498777,1853.8998769946854,1895.0317325862402,1930.4722220192439,1927.7112871266256,1865.8820268727634,1876.2929501619096,1879.6309054482185,1878.0274259570663,1876.93043538944,1875.3203234773341,1851.403402101507,1876.2821942166481,1841.8980821352359,1900.7102969164412,1922.2070643765721,1930.4646417617523,1878.5126736488705,1878.2618328151789,1878.203815363585,1876.0567713832404,1875.5814287369715,1874.3019508956722,1853.411769921938,1860.9919450668522,1869.0434389171533,1909.198173047027,1926.232681264365,1932.2885951648645,1867.2547798594442,1873.492276117617,1877.5370534255153,1874.806521331115,1877.1299117113738,1876.4574131761196,1853.1341094652912,1853.434684311049,1871.0825652715735,1911.198909014708,1932.497909288227,1932.058287193208,1868.124412054347,1856.287713347309,1850.19551630051,1874.4775536217276,1876.3482400386297,1876.5765589492823,1850.470273058947,1868.6472634667045,1850.2855608583031,1911.4302157736277,1924.2457145082283,1925.7737285095975,1865.6008287762872,1870.1019059746445,1875.8472288967907,1875.9808291413462,1874.8443325608912,1875.3162062499946,1849.0611870719752,1844.3925218903503,1866.131561949796,1898.3116483944148,1928.780679468444,1929.4531667625174,1866.4357209711054,1876.6058630258383,1873.607747134987,1875.5127588973314,1874.8501029414074,1873.5944911590038,1850.4189924503387,1870.9598684655116,1869.4985267452344,1917.6862961731147,1925.1065449963987,1931.5799589574858,1866.5550400581303,1868.7440842729723,1877.9442098162665,1875.5402573056429,1876.1997677075174,1875.4590102203354,1851.9305575759854,1868.3268561136595,1848.1319436813633,1907.7158004584312,1924.4958218241316,1933.5472119463648,1878.947791817272,1870.3876372944897,1875.3652445055184,1876.337334374804,1874.1425893285987,1876.0670685770235,1853.4389357030686,1868.939309049727,1847.518253964657,1906.8620779467346,1924.98067706794,1929.463184005745,1870.836392745649,1857.6025648190146,1876.0691263477645,1876.0758596998157,1876.4837757848127,1875.9554994630976,1851.1264095775932,1869.0756047068026,1863.9872442876047,1897.4081552088296,1926.9130575272738,1926.4456562762023,1851.9341176723683,1876.0628548151537,1850.2239058039622,1878.146937103742,1876.5669517075366
NORTH,1864.944962395356,1844.1509917115955,1878.7362525100964,1876.7927328630235,1918.7701340377096,1910.986992284788,1926.798762647507,1872.943683183216,1848.507257437862,1874.1589416693355,1874.171260763119,1873.9980062032828,1865.406244848831,1847.640107240914,1846.9703467635559,1873.9433674345473,1905.7579112255369,1919.9435062646135,1927.3628399860495,1869.3985836880568,1847.4846710293248,1874.2558274800763,1874.0178916197513,1872.6110503670243,1867.8487936692832,1845.841597162469,1848.5639918436684,1879.5619055478717,1902.5668705644166,1921.3684689193772,1924.2202676047516,1870.3268690842929,1846.6741715647058,1874.3917206980443,1873.8362104935904,1868.9938571230973,1870.1969928316319,1844.0248129389224,1868.6129279697896,1872.1660360869794,1918.1570245226324,1929.6673559756237,1926.9648475114839,1865.110474511742,1846.8322265745285,1874.2199831071812,1874.4411844334222,1871.7099921275965,1868.1962975011365,1850.2274075714736,1872.4083296463832,1871.7471637176095,1898.0397397896415,1930.4496154897852,1923.5321907090554,1880.1751080535334,1874.1106196940807,1874.28651026429,1873.960406003286,1868.229483035982,1866.454725275431,1845.978367266796,1875.1174069431838,1876.9644671621425,1912.1749734669074,1901.9078901416083,1925.3047526533837,1871.213348282231,1853.3213830913164,1874.3883030397026,1874.4596631928418,1869.5563164771752,1865.4634378484932,1848.2855987230505,1847.3245571237492,1871.8817038905727,1918.7264804567894,1919.6449689896262,1925.4201755595043,1869.5242320049902,1845.8519053811958,1874.2480194173897,1868.0727135981613,1870.9712926498269,1867.504239585481,1845.6835279409338,1845.8738358744345,1872.2801670686456,1911.406889940566,1904.8096098534027,1924.5372666416154,1874.8507216732983,1846.8051574451983,1872.2300670492632,1876.4124595213439,1870.3909944882432,1863.7817487650625,1849.6624796179835,1855.6587833875099,1879.7784332864717,1912.1611158924516,1915.2527874370699,1927.2751102043312,1870.4545099056693,1853.731039450407,1874.4906386408331,1876.5554155325829,1869.3517805487008,1865.185592722539,1848.9511990820874,1867.6009571264601,1878.1506202308917,1921.60813546195,1931.4684602167192,1920.6085013350475,1865.0938447469334,1846.7393189520797,1874.251265235159,1874.3561967598305,1869.845285210402
NEW DELHI,1867.0647583096809,1850.6301759316707,1876.7259575737091,1874.31855635442,1922.4682358761347,1917.410770517952,1924.741515930464,1875.177138504897,1850.5043242298477,1874.1607420402554,1874.34375482772,1875.7344790825725,1868.8935647519456,1850.7033522005704,1847.0200938744335,1875.6219369325022,1911.5591005077338,1915.8584605598305,1924.7324320005396,1870.3046866495606,1847.1538314959403,1874.1619007272052,1874.5889231572019,1871.4184676406048,1871.6659211319843,1845.5424446283248,1857.6206265718886,1878.565023888088,1905.6465585297738,1922.823870725138,1923.1745415128903,1871.4988987101385,1846.7771212746652,1874.1868668148452,1874.5344077567843,1870.7269266125993,1870.3844510600456,1844.1164760669467,1868.9065080609614,1874.0811796129065,1914.1615576898732,1931.785113935774,1923.1670606946957,1866.0850599811276,1847.1768426284632,1874.1232756345714,1874.1835822660635,1870.2461262530528,1870.6844656920844,1848.649226998551,1870.4173830137372,1877.109703965558,1887.5327514730395,1928.8484005901405,1920.9157838027074,1871.1440470101154,1873.7435776223494,1874.1761935647921,1875.6376960649995,1870.2346964063859,1869.7901364342679,1845.7722601822068,1876.5270724884574,1882.4087342752825,1907.510783703103,1903.8277414769655,1920.4608366463576,1876.2493101622856,1852.9005047376236,1874.6636745867952,1877.6617208446685,1870.7636600018757,1867.1652483235723,1849.8384282251322,1846.4188208647147,1871.8355064937155,1920.6069442858986,1917.1834371526104,1924.5407256383098,1872.156467449599,1848.159238784671,1874.1487603056498,1870.8397604324548,1870.5774271720447,1869.8494612697175,1850.0384503258642,1846.4460157468056,1873.4089593976262,1911.7061893713858,1893.4812945467602,1930.2717515170243,1875.676593469176,1846.9750245555522,1872.5213930572752,1876.832178494091,1870.520822359092,1866.9220219728836,1851.7103778748271,1862.644594346008,1877.4776868433933,1909.436353616108,1915.401404801253,1925.655307286847,1871.4660673710682,1850.7777336033985,1874.8229629129578,1876.7458359950897,1870.44525748189,1868.5741683281926,1851.7838236570426,1866.9004672512824,1877.5282678886542,1914.4454756858536,1931.228784018408,1918.9080289636981,1865.8421960321314,1846.8201428434495,1873.8523133372687,1874.6187740752368,1870.434106165094
SOUTH WEST,1864.7989430526657,1842.3312334748575,1877.3925684707258,1872.0723375365503,1921.5600112838454,1915.3086275584142,1922.5947120334251,1872.3841564843617,1852.1350460005526,1874.5779329564693,1874.3883661283028,1874.553320649036,1867.9372814362846,1849.9330653606094,1847.101107861291,1874.4267304509892,1905.3906391871735,1921.0947238040037,1923.7106965256135,1867.3365621510172,1847.6587286964693,1874.1925295792787,1874.5572116903215,1872.826472458018,1871.9355131483612,1844.540235750967,1866.2082442687797,1873.2642201940614,1901.7230791537315,1921.9700951499792,1922.5257527291712,1871.720502716496,1847.1399399227414,1874.2046860204562,1874.356670459921,1870.7771417721135,1870.2979671353294,1842.9955474120566,1873.2613526405753,1876.6576350731264,1912.7828461938109,1931.117055111772,1923.4588375843305,1866.3294754575318,1847.3220483672515,1874.2313558274775,1874.0708663965906,1869.7915982040797,1867.9042345172895,1849.6228666486847,1864.9015368737346,1879.2060057057963,1869.4375953997453,1927.6574761310324,1920.795409591219,1879.9785041908128,1874.5689097669342,1874.166098971006,1875.114203590275,1870.6514591245036,1869.787179364393,1843.955632834086,1876.9597822034614,1874.5087289125013,1915.8742612240221,1907.8131982580348,1922.4273116450352,1871.9356007702659,1853.8276819456614,1874.3113131336743,1874.727749181036,1869.4891937524717,1868.7556940750653,1848.8846506478008,1846.280590006465,1872.0930304236065,1917.653261490246,1921.4838525790672,1924.6584613959392,1868.6674904174554,1849.3218828426564,1874.1835561096987,1872.9638041671299,1870.6486185730905,1870.3692538952982,1844.0026122986992,1845.7742795464587,1872.9146921962308,1910.6831272636384,1915.779026700456,1931.095041057831,1875.724489571797,1847.003756968922,1873.8976679603431,1875.2552865052717,1870.6577338228624,1866.7946197963527,1851.4955797158618,1867.4146162314385,1880.7508846224514,1912.4197664446779,1920.196726094213,1925.8121846864572,1869.8629442840192,1846.8182403718542,1874.379234633023,1874.2208798109168,1869.6713915306152,1866.7055466564568,1849.4816850615737,1871.4122100405912,1874.2131351940934,1911.5552063839673,1930.9178816493077,1915.3363799820127,1865.8039102521948,1846.8731090062618,1874.2845366877386,1874.3590595262604,1868.6887891648182
NORTH WEST,1887.7670093704946,1878.6811696159466,1893.8851564319662,1891.4983849477906,1913.66417181386,1909.5110319926455,1915.8583861430166,1891.6277325897595,1881.4463627355592,1892.7526805533914,1892.2162278942237,1892.1515306851431,1888.4282464097562,1880.4474561370894,1879.7488144360834,1891.8210423679607,1905.9633879289415,1913.2690165539386,1916.323766013775,1890.6838639065081,1882.5606625106916,1899.85699615238,1892.413691935393,1892.674327821381,1889.8981334471077,1878.5389153952535,1885.4707489276934,1893.5985337855464,1906.4319288297338,1913.2650188727089,1914.4325162998357,1890.925352490958,1880.5815411856397,1892.1301719162745,1895.945382696472,1890.4549270581294,1890.6330045800673,1880.5666480409227,1889.960710549263,1891.3789034963713,1910.0030094242304,1916.8398742099048,1915.6402949715252,1890.0337693985207,1882.1007257284568,1898.691922672098,1892.2040330774453,1891.2443325256572,1889.4441444279914,1880.3249791229075,1891.241337552652,1890.6020995342828,1893.6528148796026,1917.2258825254892,1915.199648107547,1894.5447079225821,1892.1677822971799,1898.842631323924,1892.6614050841004,1889.8050393060212,1889.8873997540948,1882.8763601362011,1893.1528267090762,1892.1827823240233,1907.7524297237142,1903.4741651539575,1914.8336334879784,1891.4536628394135,1883.4817419606775,1897.35721526112,1892.8570491301969,1891.5578366972818,1889.3954195023712,1880.3142610514678,1879.6731177125378,1891.6105865730772,1912.4321539875566,1913.197355265173,1915.3230697469676,1890.8044060949326,1880.4481053657034,1899.6239814563235,1890.9368191286603,1890.504193154974,1890.689835920538,1887.3094226301957,1879.9859326083317,1891.3766743263243,1909.4908195249768,1908.61286304006,1914.5635563753053,1891.8429040738151,1879.4294001780029,1891.526775251998,1892.9166893487884,1891.42456562802,1887.5847228469809,1881.5555541470242,1888.2565571240852,1895.3037099156452,1906.5634753679035,1911.7807378523687,1915.9116932650595,1890.0330934011652,1880.875620753381,1893.7971977312263,1893.9532610933265,1890.4908043580335,1888.2048661084148,1880.6952711287727,1889.8021176928726,1892.8963685285962,1912.957902237184,1918.4982708659622,1913.5517135330876,1888.1295397842057,1880.5591854426632,1892.086363349913,1892.7675100265024,1891.0931484981993
SOUTH,1867.5560059579225,1852.0946483324801,1878.0963898701837,1874.2427498696006,1921.446595550877,1915.5156455882225,1922.8658529168126,1873.083662662378,1850.419136082402,1874.1058237689551,1874.5122922003059,1876.0527510918266,1872.1081533296756,1851.1636075677498,1848.1710355665189,1876.032515585973,1911.0717902841502,1916.937197902759,1922.2488415950781,1867.9034920661325,1847.0907495541621,1874.079779246758,1872.6244152605939,1873.5029872280916,1872.658806816351,1846.021877157579,1855.6255055068243,1873.4768525426505,1910.603320809006,1923.5140192425226,1923.9814861778184,1871.211948831903,1846.7041168309568,1874.0886955356646,1875.4942750242885,1871.7161308166144,1870.241257513367,1844.2328026872328,1869.1473632821996,1874.5796940685175,1918.980154302388,1921.074447319698,1921.8439321663222,1867.073064023385,1847.0812971402659,1874.1991057301268,1873.3767565800447,1871.6085742854818,1871.7557057448,1850.0567964433076,1867.8231991943803,1877.268606044533,1888.4585358942445,1926.4700989907192,1920.0072441858167,1869.455648553171,1874.4010867199797,1874.1067644034079,1876.9335708282815,1872.0664345873674,1871.4012280368204,1846.216668060904,1878.0317424226482,1880.6214872424823,1905.400964644285,1907.5866720161366,1919.794786192108,1880.431275807076,1854.43750630336,1874.594075722644,1877.3910943643446,1871.8093025903536,1874.3300475855917,1851.0097679251742,1846.3850842622953,1869.0248471302,1918.3523448554618,1913.5096786330741,1923.8833473302939,1871.825005997054,1848.3533597821781,1874.0745932455193,1871.5095761296368,1872.9850712928765,1870.556341300016,1850.4598466650675,1846.4619134982113,1873.8715377933509,1913.9242632148528,1889.307236362604,1931.7779898795432,1871.5611442256309,1846.9249424310433,1871.3661932295856,1876.7936793700094,1871.636749609048,1872.120566506778,1853.034640870096,1862.1738211632166,1875.1263235729282,1908.2761781252718,1916.3933024481817,1923.7868454508607,1873.2240529191627,1851.7469992573667,1874.8967920496675,1877.4900098572984,1871.7538641202743,1870.8682980722526,1853.305839446435,1860.224128328063,1869.74669839798,1915.0975895003157,1932.0636579517013,1921.6344828612914,1866.6346071669727,1846.8205763321255,1872.1821554980525,1874.5171461272337,1870.4581794929998
CENTRAL,1866.16199901251,1848.236157084255,1876.3100482415139,1874.9400364287474,1922.4601823464855,1913.5347007510911,1923.5940430297637,1873.4838543520705,1848.857013582983,1874.156687331764,1875.0144774180371,1873.2321511163098,1869.6807087712702,1850.5269998752015,1850.1106251272274,1875.9934017702662,1905.254134938871,1917.540133145417,1923.7282078973985,1865.7376493224772,1847.6521346416155,1874.088936852094,1874.1501121976864,1873.0206696727814,1870.7445595129034,1846.0774729462976,1848.021073127938,1872.791495077014,1908.0829181311042,1923.7952084668623,1922.696550428275,1871.012852399326,1846.1356060792502,1874.1489219052646,1875.674886155007,1871.424445071925,1870.314921083424,1844.793967342438,1871.9169635659,1874.3953279459606,1918.8891617578179,1927.776806140348,1924.8150424075545,1866.7495280683415,1846.7855875118635,1874.3135012696262,1872.7295321612562,1870.8855997359155,1869.23831280017,1849.992906841362,1867.4982066361974,1873.9006569679311,1916.2334721727882,1925.5391585339157,1921.1802103230837,1873.3898441838496,1877.6682780076221,1874.1352913339679,1876.0236622005575,1870.6121166913028,1869.6411117255645,1845.8088437876515,1880.0328898325627,1880.8970984404652,1912.5316029651585,1900.9783899494694,1922.5217863528906,1875.959590147731,1851.787533750326,1874.2286837459465,1877.599787854248,1870.9174269288249,1870.8636221414909,1850.016352501536,1848.453451778965,1866.3552087338296,1926.2210657227981,1914.5670237571262,1923.4901211151182,1870.2694206551394,1849.3225754935604,1874.2706973021075,1870.6025815071778,1871.6165793435189,1870.3289645648688,1849.7251949384943,1846.3131646983027,1873.9903848144547,1912.5651944775502,1892.7657409540825,1925.3067861170218,1872.400080129043,1846.834070399032,1872.3511958183703,1875.5003678139228,1869.9632842302613,1870.7433302890697,1851.936972431411,1850.6756530510308,1877.0530098695806,1910.493356574733,1913.052044246248,1924.146494375823,1872.5587348152044,1853.5822546738975,1873.9074264091123,1878.9742322833658,1871.2273209769505,1869.7204117536146,1851.7031921028065,1866.416537254344,1875.217015188128,1921.720880182893,1933.2905459039514,1923.1148669599604,1866.1770525045622,1846.7312264032564,1872.4114376876234,1874.5052404449145,1870.185187682369
SOUTH EAST,1870.431042789861,1850.9784894024504,1877.9714357339606,1871.3702256166728,1923.6322631603257,1910.2215058065844,1924.1649675614897,1871.6458236771978,1856.2964262459377,1875.1940762825018,1875.599008116487,1876.2245105212496,1871.0997882256752,1852.2386427988677,1860.3707322716682,1877.0127565214048,1909.3754689096788,1913.1588171426495,1924.5662872645917,1868.1515534455439,1851.472964380001,1874.8264395969857,1875.4639610304407,1875.3945989309602,1870.1040031307637,1850.0705577073504,1853.7681791063073,1870.7208315569537,1907.409746269485,1918.0520515686176,1926.147895861577,1868.8709002562043,1850.4555783494895,1874.898166783873,1878.4173995045892,1874.5653903303828,1871.4386015768564,1845.9672867502825,1870.0177895467496,1872.38538952295,1918.676101844815,1916.7163844080033,1922.4252622839026,1865.2689562511591,1855.7953406567876,1875.5476512367884,1874.494457164679,1873.4175313205733,1873.4885411206951,1850.1750505822524,1869.0286289706635,1870.755953554385,1913.0472243636614,1921.158721641793,1919.1183494810964,1868.0178376721087,1873.8026373908122,1875.0426121301646,1878.0500735991322,1873.559838515064,1870.5051734901672,1849.7955745174413,1879.5842925174886,1879.6533321379923,1908.2829219446057,1903.762443716543,1925.0705653053665,1892.5755541657663,1858.1279845784275,1875.2629907914654,1878.3776813911225,1874.0430158432869,1877.897888938294,1851.1383386660382,1859.8026529451806,1869.3494530820476,1938.1283370926924,1911.4538879915954,1927.2011624707372,1872.0017585136604,1859.4394793212862,1875.2723310107908,1872.5884843394983,1875.837886774412,1872.5581741407127,1852.0908663558837,1856.2809922147712,1872.2859713003475,1912.0820971535734,1903.3022165723619,1925.6765410151017,1870.2963611386742,1851.0983814559333,1874.8763020975848,1875.7600872607497,1872.226210938273,1875.4280197889423,1853.9272110948946,1860.1389007973653,1872.8606845627958,1905.3843152707263,1910.176355424825,1923.9035852428328,1871.6038575300133,1854.4199068919575,1864.1623788626675,1880.7937233445605,1872.647725664641,1875.7142798324433,1852.0018643569445,1867.0147934823544,1867.2174519665869,1910.3211253373474,1925.8082839078274,1921.265650471932,1864.5402959480093,1856.7494671095203,1870.943285557919,1875.0110420981027,1873.0332276606653
NORTH EAST,1892.756208066248,1882.3867228642714,1892.9651231767634,1892.6128068290805,1914.2256522226107,1912.345088404984,1914.0971136382698,1892.1996472448554,1881.6261355400732,1900.60872891844,1901.8840435807047,1892.7670557177655,1891.73959061084,1881.9263519770038,1883.3332005184304,1893.392962093132,1905.2096350521795,1912.5765564871117,1914.0355600472822,1890.1447679512632,1880.6090958380871,1907.3911379915364,1893.135065031554,1893.1680725447454,1892.074011270459,1880.500062932238,1880.5036521788832,1890.0532482144552,1909.9239313719863,1913.5976398198638,1914.4432455596668,1892.7977429019156,1883.2857765823956,1900.360977674943,1902.6463932193349,1895.7499634095418,1891.7287019673245,1879.742236821683,1893.5988157562085,1893.3092293064399,1913.43505881591,1917.1310879443427,1914.8751596348372,1891.8107700616135,1884.0430288238676,1906.8268573885507,1892.8807848949116,1891.9641043615254,1890.4620003643768,1881.8548129791773,1895.3549989482985,1892.7878845881635,1916.555511166289,1915.4342280891608,1913.8583929662448,1892.3876824343274,1895.837280940305,1893.753219068466,1894.819414640313,1891.983105341074,1894.6392743670813,1892.768967512007,1897.0245131682389,1895.064643852584,1911.7972707724884,1904.6614280188849,1914.4709476386986,1892.730517808161,1883.726302204237,1893.4994243954795,1894.6392535995506,1891.3583743160941,1891.771238233368,1882.9896385209229,1881.7331432723074,1888.2332281757635,1914.2083735437768,1910.4444325057668,1914.497928319379,1891.1366024895178,1880.9002786390151,1907.3911379915364,1894.0419880485258,1892.3532867186902,1891.6677698221376,1883.1909161122057,1881.8774901411439,1892.6420869877809,1909.3819422552529,1901.610467364054,1915.5462882942634,1892.0571312357495,1880.511477365606,1893.6744333215968,1893.7974955917516,1897.2424216892848,1892.8290647925735,1882.465962458833,1883.1921115680818,1894.4531638986552,1909.6373807952052,1909.9533396568588,1914.740478898073,1894.794488958139,1884.5257868210342,1893.718480041674,1894.1671234109983,1893.314495354406,1891.0138032263117,1883.3135933070798,1888.9333885874983,1893.280039333953,1914.2174200524123,1918.6432899784909,1914.968178132502,1889.2567525110437,1880.4564711866478,1894.5980329870933,1893.725271624158,1891.6102822437283
SHAHADRA,1864.1980756155099,1851.4583023142532,1875.1575314962538,1873.0202776539006,1925.4601267202113,1917.5518780372897,1921.3620018290922,1868.5689830132123,1850.5855131544183,1874.3232778022862,1873.7839020744652,1869.4024878012945,1867.1180965729911,1851.3696687529382,1860.4064950713196,1872.0592398583688,1906.0843522120067,1920.961661802793,1921.7686218761949,1859.6093436964168,1847.5007146697465,1874.0692915869654,1873.6431606317608,1869.7099911719413,1865.8197616137868,1846.7002672746612,1847.0465469960704,1867.1461143223885,1925.8225807740844,1915.4220404102255,1925.746188057875,1865.1005736452519,1846.6998234950697,1874.315808526561,1874.944195712594,1867.9722547594688,1865.8128694175296,1846.8536828425229,1877.5592731417003,1872.3035571230478,1923.0833619281439,1929.426626161158,1925.7640661602347,1867.2738294855822,1846.6865192627774,1874.3204894791938,1868.142404233057,1868.192445900374,1868.4810161256366,1851.625307990078,1859.5358673850533,1871.7558719071483,1903.712050204413,1924.8128551083669,1921.4721981677983,1871.224215495068,1882.803511116293,1874.1211739218934,1876.9777238070565,1868.3751704745198,1866.8684354788154,1845.7634474589897,1885.4554537994593,1875.6990363833388,1915.9758646637486,1893.4237717817334,1923.2973805884785,1879.3618456906056,1852.1001687876928,1874.2059004602268,1875.2468298693686,1870.374826817513,1876.5320002107358,1852.0147558683684,1854.236059132268,1867.1734089689155,1924.9301118999554,1914.0421367137815,1923.8529218322358,1863.2257000947093,1854.295611606887,1874.469997464273,1867.8915571884145,1868.2041183006672,1868.8142364759224,1851.8094259569443,1847.3994848119328,1871.6582152287024,1921.986481454526,1903.3651203736845,1923.0692267476231,1867.6021375666087,1846.9389274046207,1873.8413669249587,1875.3759417408776,1866.2155627395664,1875.7424437331256,1853.2056039446775,1851.149229066896,1873.423143393633,1913.3530825907428,1904.1977331985156,1923.6453342225939,1870.9067168652462,1853.482313961557,1872.713780495122,1879.536917591732,1867.2062544078944,1867.0951967492363,1852.1418440976774,1865.7165350111466,1865.6005958857766,1912.7684131556202,1935.1900067409617,1923.3159422183196,1865.7043089297326,1847.3731172415253,1866.8384951920557,1874.197818361513,1867.3485889794079
