district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01
KACHCHH,1872.806511232604,1854.3137073124858,1872.8477313553974,1874.5487951097432,1911.5689254475467,1895.5546795932273,1902.248384262311,1874.5169497820104,1874.0220626813143,1855.286507474176,1875.6329882874475,1876.244381787403,1865.6483987589568,1854.4415267522338,1874.1858246897907,1881.1990535946488,1909.4083968855525,1891.6307527426166,1901.379819738855,1870.241010695836,1874.2983759426756,1857.2150006724457,1875.7511578160695,1876.5904640343547,1869.750519496194,1854.3003649702666,1875.4080364336241,1873.2838246171034,1911.0753877614231,1893.427189637934,1917.4015558403312,1867.7979833805268,1874.518709771662,1860.6484872287122,1875.618699852346,1875.9601387708979,1866.414732371285,1854.8826349054655,1873.1202760031113,1884.9603166383674,1913.82142063071,1890.7929517441987,1891.6131103619582,1871.3269452744744,1873.8985697633282,1865.1504532436436,1875.4907153376603,1875.615522894829,1860.3377235176335,1857.3541560312294,1873.7257074810614,1869.9759632266291,1908.9064436947695,1890.0814926354765,1896.7891853407891,1888.9500210416104,1869.3093389495443,1868.349153018111,1875.3529466191376,1875.5049597982986,1872.9074469292334,1852.3834351321877,1873.2364969908292,1886.6397156494738,1913.0049782350843,1894.5818898653504,1904.9028602034598,1883.5211975872583,1869.2877904609247,1853.2898289022678,1876.8077345414522,1877.4813466454025,1870.2129313480584,1854.4114063063473,1865.320252261827,1874.4733483546956,1908.0298985560846,1893.741088026203,1911.4447512946488,1892.0461325711467,1874.7948429886626,1864.560703456458,1875.7509424308605,1875.9903249721733,1865.142727048272,1854.4419452923507,1876.2068084541665,1876.8406678128392,1916.1890504166988,1890.497867710258,1900.8904974452475,1868.1981919485115,1873.887849744706,1858.0095824829884,1875.7661852135702,1876.5163104999092,1869.8465816756163,1853.544828723191,1872.371179606726,1886.3677832965752,1911.1683473818694,1895.2273730880167,1918.5166889796653,1879.8620219846257,1874.752245044845,1861.6203982963586,1875.5800769525833,1876.1992900605635,1866.8195795565873,1855.2281962096822,1874.1382211051493,1871.567074949889,1913.054395586217,1891.3217982792562,1894.153068291298,1870.3278318324346,1870.649084514617,1864.576853986799,1875.2702084112937,1876.5807594867144
BANAS KANTHA,1857.4666145071435,1855.511590291898,1875.2856071800675,1875.477950388984,1906.683562694627,1899.99518998968,1896.0099804467534,1867.4530579090142,1876.0751279021358,1850.9718068592204,1877.8770317581682,1879.269596901274,1853.065294167822,1850.8774351912334,1874.5655549736273,1881.8262679260602,1915.786867016627,1895.0201624493577,1897.6127462282032,1870.3950165687181,1874.0539057964902,1853.2325799712887,1875.8441664427103,1875.579585524681,1875.2017127221982,1852.026934935187,1863.1939701377926,1874.0905442493151,1913.3840306116674,1893.3569938145024,1921.8884161785338,1885.6052662947197,1875.8925153601426,1854.6964952319277,1876.0687601625773,1875.6626925953024,1876.4992389722693,1852.4449985817698,1870.6541170894382,1892.3165449529165,1908.0309543991964,1895.722099926961,1898.6552671970558,1870.6271972651182,1875.0507693668424,1856.192656876318,1876.0092695738472,1875.6966437457,1875.6286321849218,1852.3947107775211,1874.2124938853888,1875.202806945735,1908.444232779106,1898.3587763964217,1894.627513223661,1868.0384428662194,1872.3765550772034,1862.4118433579827,1875.9436165725213,1875.8791797898355,1868.0772477456503,1854.644904038439,1862.9988175471326,1883.7991366862727,1908.0624590254874,1897.205702937804,1925.267891432012,1865.9383249212558,1865.0545502727439,1872.4855303015704,1875.744105496192,1877.4496946631004,1858.7943248186102,1854.9847444514241,1874.33205463591,1875.1088658252897,1903.9500084441947,1896.3769281741602,1926.7881153241544,1906.0250979917832,1875.910303587783,1875.7932180604014,,1879.5710329026454,1853.24887826867,1851.2660050793172,1874.9971164217034,1875.6551917633547,1916.5661553222092,1894.522563562836,1895.4410036655336,1871.2221243267584,1875.0432604792713,1852.7865836931828,1876.3273879464962,1879.1748481539119,1880.0472288362796,1851.960790648736,1873.945901559565,1885.447896545268,1911.070762269783,1894.197913429997,1912.5516876728673,1874.756966185352,1875.620705820586,1855.5496085063062,1875.989196662486,1874.8806297232488,1879.1345869499205,1851.9654059198506,1873.8735075409177,1872.0817620951402,1902.8144724556223,1893.8784227876515,1889.5921742727824,1871.2858069934653,1875.0731478656483,1857.0626938776704,1875.9197996414093,1874.9177047111757
SURENDRANAGAR,1851.0075460563392,1862.5943484867798,1875.287144448963,1875.6387702253928,1906.0528233543528,1893.7712468608124,1888.849078984348,1866.9250859707065,1876.2316432546222,1851.5912046276262,1880.0847982322662,1876.270089659797,1850.3909410099957,1851.563678515253,1875.5323778711743,1874.4220521571294,1906.632141806762,1886.599716294393,1887.0454828157315,1865.9630549465924,1876.8994573686741,1850.6423156472179,1876.4676217385004,1876.5113860596675,1876.0995695947424,1854.3687941421856,1877.7614947036523,1875.7990982155638,1908.1742337512503,1884.0111317027984,1911.5989512915419,1909.3187447613416,1876.9049832507594,1849.954215743984,1876.4657257978151,1876.50292159608,1868.7316731728488,1854.5417869062258,1875.3339146859,1892.2350871151193,1916.3915218478653,1894.5646185369458,1888.5202647362344,1873.082906794484,1876.7784507351082,1850.3122376303756,1876.4220199138924,1877.0009744731094,1860.694880347183,1856.6015327610019,1875.3893601179345,1871.2402080377915,1901.2586265069701,1890.5708609783612,1883.5047324426987,1924.4094578750073,1875.6943407633787,1849.9536135079347,1876.4721870869673,1876.325925038928,1850.6030823517547,1859.3929768261894,1865.3178546511742,1878.2572235250614,1898.92055394763,1896.4470583516218,1902.438061851499,1867.7545691215407,1874.3668516408654,1858.2971105775184,1876.3734156920932,1879.0166701734988,1851.3498886811387,1864.4939915613256,1875.4471305701713,1875.4038137929072,1898.9358170830913,1887.9763505251558,1910.9901238939385,1906.0403811223193,1876.299665443855,1868.936597591864,1874.5935670028912,1876.6289846592183,1850.750256230407,1851.6159057396028,1875.3564233464294,1881.569457978984,1921.4509589779054,1884.4877993074997,1889.419526298184,1866.477943695191,1867.806772350536,1850.430559432259,1876.843722667412,1881.2535268227796,1876.887702308839,1852.9659986327952,1875.0751132958253,1893.9429126272585,1908.3380808010113,1885.6006343849388,1905.2225450001283,1908.0638997694953,1877.2614495608307,1850.5015854245094,1876.4500202278148,1876.4296795618745,1869.0943157324632,1854.1544781863001,1875.7406284783408,1871.5094670880414,1899.7308214710397,1889.6286922179725,1896.5139684929898,1874.3987512078781,1877.1827591772635,1850.327996349343,1875.6195183041623,1876.3062355575207
RAJKOT,1869.0216747900051,1860.6745939671218,1874.3059811164746,1875.0934390621453,1904.0247360460467,1891.6047122419882,1887.2320926622551,1887.4380415344822,1872.3983297361838,1849.249537300412,1876.7352199044483,1875.4278152371442,1864.2474438030874,1853.1190221538434,1872.856273176992,1870.6666637166084,1897.480764240779,1883.934717214511,1887.8043030638105,1883.3546447915512,1871.0024140650833,1850.7554639408277,1875.6110755630552,1875.6254050361697,1858.156391740032,1852.7497586640811,1881.2800079478388,1887.1587935400255,1901.284661257312,1886.8751328196702,1892.2564120886314,1907.3551258578823,1873.6467581237498,1851.2566354377645,1875.6322215495652,1875.6449122207287,1850.451673671747,1855.424926514148,1878.19048653889,1884.5483310544316,1907.2144645109088,1885.9765515528586,1896.4361736466863,1869.997012349805,1873.002438035509,1863.0745151181432,1875.6101005875637,1875.6357354308627,1851.2114659849094,1862.4865050448575,1874.5593636609594,1873.2740796833325,1896.0510254344551,1887.3400361747485,1904.305272714712,1893.534271365944,1874.1017987460932,1850.4785253285152,1875.6218360716048,1875.1762180968317,1868.681606166045,1856.4968193409588,1874.8671729520136,1887.706525769273,1890.6821016696053,1894.7127023834823,1890.5092685951975,1875.2145562923733,1871.9226734903605,1847.40035501273,1875.5003368088637,1878.6037677136035,1868.7407717852393,1858.4554647498544,1873.68536732273,1873.9484499441014,1895.5787281382952,1881.6625803296902,1894.7186705336233,1875.6144643594037,1873.66231932669,1849.7125533538122,1874.8107062681656,1875.4032835700991,1864.3460778858248,1852.4825705530077,1879.6049342820475,1885.4208140173512,1917.3395061653175,1882.2903111852318,1887.819506583657,1885.1680576241981,1873.36870907781,1850.5438218809254,1875.557159366414,1875.7238903373768,1856.9596723543782,1852.5105459017068,1874.505221688445,1888.9637262400008,1899.3848651286644,1885.1696888461715,1902.6664458369771,1906.8680117809888,1874.1272934977785,1854.7767902820542,1875.6096573646655,1875.6340915190071,1850.0382156670316,1856.072052011881,1874.3310170321836,1873.3588975611779,1896.2139820304014,1886.1729553268765,,1867.0128189561829,1873.639239009297,,1874.0395139563348,
AHMADABAD,1851.577564669387,1851.5503346005576,1876.563811195807,1873.6984422340588,1909.8551195242944,1889.9039424035916,1888.249546434945,1866.908629705389,1875.0883780705028,1857.0333085895463,1876.8819548939855,1875.7131180315641,1848.8382404373915,1851.1708556313997,1876.5915374210413,1873.8661141495174,1912.4605411003693,1890.5593747626458,1885.2170808562103,1866.103791097114,1874.1499756961314,1849.9739770797407,1875.4160698589633,1876.1464427827057,1874.3757267802837,1853.7105703127825,1875.3035381467002,1873.9531952684329,1915.6670586184825,1884.7593569050648,1902.9825043245644,1918.7753527955676,1874.367343942129,1846.501917435417,1875.3806571692583,1875.433868010423,1874.0851859325833,1853.1007467026366,1874.585945121871,1884.690790776925,1912.0700713455678,1888.631512583934,1891.0872961278938,1891.2759287803806,1875.0365713151903,1849.844074031294,1875.4362377258747,1876.9191904024024,1873.4637135425367,1852.633771438806,1874.6077823259095,1877.6162527041504,1905.654926850662,1888.1787632606345,1887.3808729439288,1924.678404463939,1873.5220021516443,1850.6943984092625,1875.382550286497,1875.005519197395,1852.4707825645214,1851.2384305146475,1872.2516670120694,1874.9921273816115,1903.5940174093237,1893.1259713934328,1904.5464582908069,1889.4404926879936,1874.253711736197,1868.9320403921236,1874.9028857409883,1878.301312246012,1849.1724658269673,1851.9083029010192,1872.2768852588374,1874.4794980724284,1904.0789259850933,1888.9660612587982,1908.7443660441193,1906.6637408996694,1876.443117423916,1874.8394042447821,,1875.2621636671493,1849.6991274221461,1851.3270710628362,1874.9082855796514,1878.112853075921,1925.8121855069799,1885.7743182587828,1887.413150996417,1869.7879774124588,1872.721849414317,1848.5440609778136,1876.0380630945933,1877.3687742887766,1877.0502457781936,1852.04048464602,1874.2031390949426,1883.0119194979845,1912.7680017334105,1883.8161378942789,1921.943126463712,1876.5971425367716,1873.3022846909457,1848.7100903643293,1875.3109092421823,1875.1169527424279,,,,,,1892.3290335180232,,1880.3305250875392,,,,
AMRELI,1851.356809721602,1875.6792440391027,1875.5695706603344,1873.4110527900918,1898.8356576139647,1890.016315775436,1891.551637510824,1869.2420205721776,1876.144613839665,1850.5374237158915,1877.6275892194694,1876.7137506011513,1851.0322160276398,1852.072534167837,1875.7438302790697,1875.8279991160412,1903.926982224934,1883.5791143013291,1877.7421731391096,1867.1980995761342,1876.195196496548,1851.0357778915518,1876.3541194057984,1876.6801665192413,1863.2741745643195,1856.8142387272,1887.700885687184,1873.0903662544395,1907.699340295207,1880.335993598701,1896.1602493158696,,1877.360448969989,1848.400676540199,1876.3580088356234,1876.2116748278654,1849.831194488042,1856.6128561041073,1881.7185555642127,1890.3567191742293,1915.364498650403,1890.4276363787262,1890.4282392029488,1894.711424464804,1877.2782283054253,1850.6900018534782,1876.3324033251467,1876.748996756158,1850.3805377496608,1861.0472187570272,1876.0549940387716,1867.6889764661976,1892.895204552807,1887.6172455183173,1904.1676325069789,1869.4234304641682,1876.4153637645534,1850.1226156624462,1876.3914379805237,1876.5756769273912,1851.40856369339,1875.0827714991333,1871.2957465233249,1885.7735779583759,1895.263093356892,1893.185820590761,1888.3164571503944,1864.7737763819814,1877.0247474339099,1849.8521876619925,1876.2849147141017,1877.436596102149,1851.8060063581977,1874.4522490177628,1875.8862594097784,1875.6940014584757,1897.8392633778155,1884.1487264996067,1891.1989790472737,1868.4793104210842,1866.6809252598698,1850.5373359019056,1885.9115894091044,1876.5328445494795,1851.6346974366734,1852.7916714059863,1875.8780141203954,1888.5966166456335,1912.097865385864,1880.869207762749,1879.4515754985098,1866.713211386854,1869.1667360074214,1851.6296092952014,1876.585943631666,1876.7038293506967,1860.988692294391,1856.580402703361,1873.282240656728,1887.4533005938513,1904.0637056805228,1883.1919311758097,1900.8273840289392,,1877.0124559762392,1849.4657046705859,1876.343802356885,1876.678891158943,1849.8580558076544,1856.8265578211758,1875.9568206756558,1871.2686084498368,1897.067494977172,1887.9562498754053,1902.3677794877813,1888.1699992004853,1873.3046346882052,1850.9165399439064,1876.2686301876724,1876.5893846555116
BHAVNAGAR,1850.6671416889865,1862.216185811344,1875.721058933029,1875.6908321101719,1909.7724335306725,1890.0348603883106,1887.4797996002158,1867.8669797140471,1873.313483926052,1860.8534459626956,1875.6170517363373,1876.6772904251202,1849.7469492104476,1850.5861351202152,1875.6086643632357,1877.0252900974815,1907.3180100544566,1886.7086148003089,1877.642159128233,1867.406014608663,1874.0125536365588,1850.5890316768034,1875.7705862522114,1876.3215701907343,1876.1316813178073,1853.8564750920978,1876.6884333915375,1869.7456639569818,1916.6125125940666,1886.2863339085582,1905.1848792648816,,1875.016941362289,1846.317463484098,1875.7226222228865,1875.8142882714594,1866.2243725661167,1853.1661863396635,1875.9664489993402,1885.5480186063742,1917.9888106085073,1887.4054427913882,1889.3977345664402,1909.574446209482,1874.0416536188227,1850.645603401482,1875.7108918152833,1875.2267954383783,1850.5307993634203,1853.3408978318193,1875.5664047111777,1872.8822783794103,1902.754498514947,1888.0012615048965,,1874.3800316005759,1874.8985547585153,1850.6886335109546,1875.7547901163132,1876.104238526295,1850.6643018910152,1859.2338491412897,1875.1749294351848,1881.8441719571335,1901.30986623295,1886.079258739549,1888.6908147587444,1894.4698846756605,1874.9203349238885,1849.0677029553585,1875.9759897478148,1873.8927312449516,1850.4409014310793,1869.0273885460256,1873.811367076248,1877.055417545617,1906.840526503903,1889.6821436864138,1894.0291858120115,1878.3243687112263,1872.5856213037878,1864.710539021676,,1876.4086143568247,1850.3478788409586,1851.1088562052837,1875.5524635505749,1883.4410435440673,1919.4371708810932,1888.9972712192061,1873.9195304725845,1870.504932406333,1873.611458936997,1849.4250298153047,1876.7825860804273,1877.7754897052976,1876.2330314412523,1853.3034664252277,1875.6472762187927,1879.8280922294289,1914.7557492708866,1883.7414201489505,1906.5985048212324,1865.6944538431392,1874.7658574890731,1849.6686748158381,1875.7502891846407,1876.2725779563236,1865.2254701796696,1851.8901977096953,1876.1784472837364,1873.7788506130205,1903.7390459519697,1888.7332325147654,,1903.1971675846057,1868.0346668460252,1850.2062733841763,1875.7234308206005,1876.244661566794
JAMNAGAR,1877.0718143227361,1855.3159354057527,1876.5812687663968,1867.5018536519476,1905.7017464350565,1888.9698538605678,1886.9946348268345,1918.1115414753929,1876.9476650342438,1849.9968497548239,1876.6154856878293,1876.5874439070117,1862.705657709187,1856.9822245485275,1870.7910664818087,1867.59584773463,1901.0237405924101,1890.3270625316743,1888.6707353069498,1878.750969594886,1875.3094925473267,1850.0648924028874,1876.617476717779,1876.9019649582272,1850.0764156019761,1857.2590302830467,1876.450661588611,1878.799570726691,1903.8064383556402,1890.132026191667,1891.8945052795104,1873.1617845371015,1876.02600884172,1850.4069616751096,1876.631905166703,1876.6468188770154,1850.671916941531,1864.8872098217337,1876.3927008896792,1876.6598693160804,1892.9381589521986,1886.5152874623905,1891.3410122808539,1870.6316679081085,1876.989508256062,1862.2093340848926,1876.617590264109,1876.570705478103,1850.172646909708,1875.9374248019242,1876.592524069773,1871.5396010410798,1899.2488193474444,1881.613247888729,1909.4424243824335,1884.071073312104,1877.5216952963071,1850.7134242312295,1876.6393602304504,1875.8716625232335,1876.6503555668266,1850.9904665259305,1876.4248553833536,1882.4896538887342,1893.6790836755138,1890.4153301340277,1885.3319570614015,1927.103069659676,1869.4272141903657,1848.5920734234846,1877.3389279445255,1879.2147815395872,1871.564196056986,1853.665167413492,1860.3051408110503,1869.6225014895836,1902.2682098746182,1893.511171708493,1889.1589615544374,1917.8232311852935,1877.1294626099027,1850.1233728525879,1876.6355254875218,1876.621089611057,1862.210278080075,1856.5914891444272,1886.2642696101132,1872.9239744407894,1922.2108041356519,1889.9839030917485,1888.6139516711992,1883.2822788614044,1877.6719848303376,1850.3263457565006,1876.5782732569826,1876.3999762350409,1850.6410155262574,1857.0645024353923,1876.5822458828059,1878.542583940413,1898.0985961594993,1890.019745579747,1894.8772645552672,1892.8420680653483,1877.0005138368779,1852.150535136081,1876.6269454695948,1876.521408710182,1850.0383916017986,1865.8059887855684,1876.3743211881695,1876.9801189394198,1901.5032226036037,1889.4138116726901,1900.4071604090302,1869.53867642966,1868.5510581561339,1863.481225421295,1876.1886012828893,1877.7745321908167
PATAN,1854.05096399956,1856.7817335618302,1875.3997655524806,1875.1316370755528,1910.3777639377856,1900.7272554113795,1893.0462903775901,1867.5591896239696,1876.883903984051,1850.2216516517144,1879.8632124198134,1877.9435221385131,1853.072565466554,1851.7296151111054,1874.9200946682558,1878.9290231116086,1917.3448304495894,1889.8772552912133,1893.4503047216456,1868.7147646259684,1875.47977847315,1852.6456752089875,1876.3536358721785,1876.243180847746,1875.8377219784622,1852.6031081989843,1875.5075764723058,1876.9574130364101,1914.14179986024,1888.2495359060013,1914.2298029498256,1874.2636965858646,1876.6196432548156,1853.4297060513366,1876.3853590504966,1876.1874541087234,1876.4515833596665,1851.007776635312,1874.7367343357362,1894.815285959304,1917.184160542117,1896.3513000214402,1893.2039825526012,1865.4945773455931,1876.3347735095638,1852.6708429598878,1876.3661491006012,1876.4998703455499,1871.1347346934808,1853.1429318050405,1875.7037681157528,1875.7995097645303,1906.6939098262599,1898.7012772671637,1886.1818549213986,1890.0311375649878,1873.8089310239209,1855.999597384862,1876.2927495203103,1876.1174931682642,1861.6965644680492,1856.4964549029926,1855.4055161857682,1884.1382444497933,1905.1753805133392,1900.9633904876464,1915.5578388673894,1866.6736252379817,1876.1132377020383,1867.3170541932766,1875.9552283994808,1879.5867009891901,1853.530246664175,1856.5899292006552,1874.8901400739776,1873.3818971855558,1905.5813765349067,1891.5115232416276,1927.7144449663456,1918.8303073185302,1876.8544400838869,1875.8913778225574,1876.1426936325781,1879.186890649962,1853.316570492848,1851.6375357868178,1875.422411652733,1878.6214055757468,1921.6447062612613,1887.9124944245214,1893.954540844791,1869.8292495949968,1861.5965815449206,1853.1107838788625,1876.96163210197,1880.2214820312604,1880.3347359531713,1852.3144299275007,1874.4815931592743,1893.1411006442588,1910.5802819331261,1890.4104203206591,1930.5070028864295,1875.4586436194338,1876.7089347155443,1853.2388398474147,1876.3861221606228,1875.7290262473769,,,1875.235889087506,1871.1009706499947,1902.3808124050502,,,,,,,
JUNAGADH,1867.7971675289116,1859.924512727297,1873.9470388901937,1874.4928452130841,1905.008749488141,1886.4615076562866,1878.9770805206795,1887.6986024460518,1873.2616056034576,1848.657176131185,1875.951472043906,1875.32633586246,1856.0124382115703,1851.893089193111,1871.5376792145498,1870.1041895343067,1903.8477194255263,1883.5921379438616,1878.1287141179466,1881.871517180308,1868.7506980340893,1850.8190389719377,1875.4586663046875,1875.5719314455819,1851.469954807682,1852.3939492472246,1885.3633295780066,1881.7128448659455,1903.4453626077568,1885.8690279881394,1887.0453402963153,,1873.2848221908723,1849.2368231892412,1875.5327474623482,1875.5505757644933,1850.3907119224048,1859.846252977874,1876.4688738079258,1884.9159525651655,1902.0530901340726,1882.7039407744064,1886.211693488033,1871.5257946264426,1872.2354522049645,1852.8979025505303,1875.533596476693,1875.6985940233244,1850.6854880300937,1872.3411780169647,1874.2112170528303,1874.2427838373376,1899.7597413723854,1877.1834914244869,1897.5226712957576,1868.3457614635297,1873.95453641785,1850.6028256944153,1875.5407595552435,1875.6007496833472,1869.0346196345558,1857.5211837144363,1874.2206554273025,1875.0668557418996,1896.7799304781206,1889.1202633947632,1886.3913263643553,1865.7787686965398,1868.434693960973,1847.4762505745732,1874.5059991727423,1878.173549216889,1864.7612966924598,1856.5119722589984,1868.2099238699614,1872.9334142936796,1903.0322766611062,1880.8076364935164,1885.3608536135969,1866.3068143231135,1869.2013912147256,1850.2476433539737,1872.3243164396183,1875.3334180851439,1854.3745544051324,1851.7749753737573,1878.067479837776,1881.9321728174698,1915.2607685509147,1881.2674433558757,1879.248327990174,1886.3843891540605,1874.113711845701,1851.29412842416,1875.2447506647359,1875.9164882545035,1851.0628221206398,1853.008017544416,1875.179493780375,1876.8850260052202,1913.6026978093107,1880.5647103498022,1885.272037154276,,1874.1603518518893,1849.6269933709966,1875.4966132613133,1875.3618504131098,1850.008347752969,1859.4311895368073,1874.2064541634463,1874.1003012693536,1900.4294955470662,1879.817348415378,1890.3644923175134,1870.2473863433627,1870.8451434960832,1854.7951026230119,1874.3746932367796,1875.4667104623159
