district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01
HISAR,1871.9315510404388,1845.3790971935082,1860.0336831043858,1879.9691001070582,1906.5422037468059,1909.9230101409182,1921.139380135589,1870.1862767391776,1854.3050308523475,1874.3358044005943,1875.2495396604554,1874.5303273464447,1873.0040762485742,1847.275225500481,1870.424061115811,1876.2638963148881,1901.1409152787903,1915.3834937152528,1921.9472035495414,1871.5628351055902,1862.3894180536026,1875.1584443742627,1875.0584557142313,1874.9642480544703,1874.2591183416407,1846.7159039423368,1868.5161873370328,1866.6934192920555,1910.6480449607175,1913.863740340508,1924.9607501717599,1874.770045944768,1860.3031850002067,1874.7282274350491,1874.52747154019,1875.9891258755342,1872.4767449148194,1848.541901011649,1859.5674228201785,1875.1518002863215,1903.909613181416,1915.9057352159773,1924.4011620625545,1870.4669794306606,1854.70823564584,1874.1395234844726,1878.9426893343207,1876.9673892348817,1873.5877954023842,1845.5347991803822,1858.286551847599,1871.7147621755146,1941.874843479711,1915.244826789508,1919.71111112851,1871.7917318849802,1872.5461471025915,1874.931978871172,1874.9426830546317,1872.9512884079586,1870.5848138617046,1847.2341579037527,1857.568189172691,1872.6964727203515,1896.6748168779825,1904.5888111229533,1920.8677026000753,1869.1522489375282,1852.0767545725325,1874.7440421977117,1871.4856214433446,1870.357237482792,1872.8824444160116,1847.7495782986805,1856.6763083884184,1871.4559247649445,1908.2686284847412,1913.6371086675179,1922.1728398841994,1867.1966040332302,1853.425428033658,1875.0814195607336,1876.706581399248,1876.2463224159328,1869.2696108311404,1845.8972796872952,1868.492269764879,1872.6329367453216,1905.2330092574598,1922.015981570799,1928.2667722427113,1871.1338930596194,1862.856452265067,1876.3540200238053,1875.4504541378585,1876.7702315767312,1872.2571486260954,1848.5211556828956,1862.782771076897,1887.1815550464064,1900.0220482346863,1904.156929788653,1918.041148829437,1874.4994783296233,1861.892939615094,1875.211813916761,1874.6653822887656,1877.3859843224852,1870.3487000176735,1848.5215542804594,1858.6627261742026,1874.2339559739817,1909.2127015031167,1927.0555051679255,1922.0549764658474,1868.898576676621,1852.3270972376295,1875.1597023628603,1875.7046365510837,1875.7425118548854
SIRSA,1875.6857997996678,1850.6429502259962,1865.12811793455,1882.944190902052,1908.904631594679,1905.6890386478558,1923.139911865157,1875.2784416044556,1859.6843459272634,1876.111880060158,1876.0759134580962,1876.3286764916877,1872.5590188817673,1850.2470079444045,1864.8908657817594,1876.7683477294418,1939.794304275983,1921.5517445152987,1921.4305423362234,1876.5426933550189,1857.589308225302,1876.2912465044642,1878.2574750016913,1879.1596054851839,1879.0952938309347,1849.4980209182672,1852.73036306721,1873.2525377820095,1908.6166220418029,1902.561370054539,1917.300841348055,1876.1583397538654,1852.3666782313767,1876.086689848657,1876.4099165571747,1875.9262304693132,1872.139567105812,1848.7256006941645,1857.3747944671675,1866.0417477455687,1907.5757572430882,1911.6551560014805,1922.0994398315047,1873.2711069825768,1852.1026676410875,1876.3847371775182,1876.4532375019767,1878.9825871460796,1878.2967703294023,1850.2357926905136,1857.4016669143648,1875.713049644862,1893.5770835299522,1919.6468384918826,1918.3536826828256,1864.4793074316956,1877.698939090262,1876.5456372456479,1875.8453256643709,1877.2667803729432,1871.9881570595248,1850.197775889195,1865.9723687560386,1875.792905066777,1887.5166908371614,1896.9812226291942,1924.701243554987,1870.1868419792809,1872.2622520091616,1874.738661943926,1875.483190703593,1879.4487000476968,1877.5603779937244,1850.2756052301115,1861.2638906361342,1868.6674463306463,1917.371614726249,1896.1767003771924,1922.0392286003444,1872.7308511667536,1857.9771569264963,1875.7230076693904,1878.3978291518224,1881.9595175517657,1875.916053965222,1850.0418728957816,1874.9958106390222,1875.7581239532974,1943.5166019119797,1918.3236441494032,1921.1919459704466,1868.7887770161374,1863.3013058622325,1875.481602673835,1876.212908986771,1880.782514493148,1867.8126332535844,1848.9976412166582,1856.8665321502012,1875.8044358669847,1907.5542709477666,1909.039534555464,1916.6284057868068,1876.4634777736726,1853.3740300465151,1875.9560800660533,1876.2246007885396,1880.4536751555006,1876.4544533291369,1848.6090783777238,1856.0642140242373,1875.313903389017,1897.2028840951314,1916.4018495352225,1917.7790608292864,1874.8556219860664,1850.907139524672,1876.1171992044915,1876.876059082328,1880.599032237908
BHIWANI,1874.6812545952712,1849.1286824577455,1869.4963099659772,1879.5181589797523,1909.4945408464757,1909.8167110540894,1916.713703356794,1872.5511404708657,1853.1760575783728,1876.5148013284856,1876.4809969469252,1874.3275541094415,1878.182225509678,1848.9457698592082,1873.5887670619818,1897.714021707197,1894.602752524827,1917.0715888685668,1922.430953768537,1866.6698343765772,1869.2781629503431,1876.0673523050286,1876.1347502988526,1874.7746754578955,1877.665235425145,1849.0381079360586,1868.146559945489,1863.620374685086,1898.9481148408106,1912.598666780536,1933.2313775797463,1869.387206582954,1870.0167920282997,1875.7654922051806,1875.1508517281986,1876.2666389388164,1876.6968884757753,1849.3717404956124,1869.7603355643778,1887.8862500406572,1905.740278643133,1917.5217475267502,1930.073319654485,1876.2804786702652,1865.9804394788398,1876.016124650312,1877.64562406462,1877.4306815691052,1878.7846236605699,1848.5894917287737,1866.7781201454757,1873.6732720852037,1904.3611362042398,1908.5522569717423,1926.6155259214336,1873.0424707926104,1872.0430756736653,1875.8668242891,1876.198535895171,1877.0353283027441,1876.0746259865366,1849.9325726375062,1868.8816232444374,1873.3116344286816,1895.3230504716753,1906.3021343346957,1921.5057459493614,1872.6734895251093,1853.0267419649567,1875.9764747388697,1875.0429045528901,1874.2521945214926,1873.4463212921305,1849.4419441104003,1865.5076403918324,1870.7455749725384,1904.6240668655284,1917.065187882626,1920.1038769122904,1870.246337446094,1852.6770333671489,1876.0669602033454,1879.5709933060637,1874.7012732941891,1872.349340898334,1849.1274203217347,1864.9394561530646,1875.8566802041853,1901.8228900538197,1918.4507814105032,1924.194754193773,1863.7103278573475,1871.2743523783088,1878.27085660005,1876.8137452045812,1880.9006864248115,1872.6004194226261,1849.632815372792,1867.457332760776,1892.9469712576067,1895.6825228470502,1903.6284961101899,1926.382461606601,1871.6633830296125,1870.043862866525,1876.0492141598208,1876.0741559740268,1881.2341860179745,1874.449724245099,1848.8594148549603,1869.0847006871115,1887.956048676276,1905.058399033853,1917.8634160200206,1921.8425730362612,1868.961145747003,1862.8033610578248,1875.9500276467109,1876.7318625876671,1880.0354820518332
JIND,1875.3875541851364,1850.0350518303383,1866.5278057728294,1878.2825085721097,1911.2354824866939,1902.3709365820037,1926.176690505012,1874.407127553275,1851.47031559066,1874.5861364389239,1875.962543966914,1876.1054570539916,1874.7256946118011,1850.313117466896,1858.963091765751,1875.4113458248514,1898.743905390927,1912.3877636104455,1916.4850574022391,1867.2783252509105,1877.4790075773424,1876.1901928319708,1877.696556347659,1877.1757565431915,1878.9161740651798,1849.8626202020046,1870.3086163501034,1860.8452495573727,1911.650342773685,1917.3691469773644,1925.0925741963133,1872.5039990190894,1874.8617677440043,1874.4721647624579,1874.473852248297,1879.213982689105,1873.602262243379,1849.8643921679786,1873.7431647332796,1875.6573526026816,1922.8801604609164,1913.999297504152,1921.1529574842586,1870.891289828546,1856.7134762659355,1876.273599170918,1877.7837406024696,1880.2520528001755,1876.592517016536,1849.476389229201,1872.6110196379607,1873.3043572035954,1983.530756868063,1903.1276570844243,1923.8263640420898,1870.1374756893927,1876.1439823648213,1874.9342913117475,1875.2656967633986,1874.0837005944425,1876.185396446924,1846.1777264959849,1877.5337819456774,1877.5156873315966,1914.682015480928,1914.6679732359585,1921.5405208665231,1868.2641757781066,1853.7107759586906,1875.3780660536354,1873.2422273755228,1875.7378468943887,1873.0627555395006,1850.051873344693,1856.9794598603507,1876.2987054679963,1914.2948132645017,1920.5080908256134,1928.8297923168625,1853.3824276722853,1850.8996832311786,1875.905865085514,1882.269513464911,1880.6705459609059,1872.4967746266336,1850.4764563950305,1857.0791451168234,1874.6637264911985,1900.7059431477028,1915.6065138590484,1934.146093781673,1867.406446186675,1876.147579879953,1875.00099126275,1876.4554410648589,1880.5193944481368,1874.522471516484,1850.0446111272954,1875.1552332297367,1884.9394625388552,1923.5163454850183,1911.8681635920243,1917.1217693019303,1872.8997974135568,1873.3706208038632,1875.02661737638,1874.8390871966333,1882.0624340897932,1874.3325276092037,1850.5657599025556,1871.8475345942272,1875.4184488797393,1918.7795206941778,1933.530813604463,1918.8269495130467,1866.12766997666,1856.5677591312337,1874.9508662427509,1876.4745379504675,1877.4957937914357
FATEHABAD,1869.5107454812592,1845.8509677915683,1850.9735349371974,1879.4572308105114,1909.5837089834,1909.11312083089,1923.0716108832405,1869.2552648559104,1856.2699133396952,1874.6342069096586,1875.4876625471923,1875.3777764730212,1868.3965292900218,1846.4921697025256,1869.2818379147784,1872.9198593841443,1922.6199911818949,1916.6199150222535,1923.7715794186358,1877.83457095192,1855.997273014363,1875.0225119036988,1876.0710106387212,1875.4841203112649,1873.5086285911573,1846.5439134397832,1871.7018017299677,1870.04902998947,1940.2100858332396,1910.7696730263438,1920.7255867289023,1872.2908066826492,1852.191467831755,1875.0837501175286,1875.2293637543555,1874.5607456678133,1867.8297980916866,1846.7669926964427,1852.8025702406642,1869.9628107179863,1899.2328249324669,1914.433804563117,1923.0558380500233,1870.5641076733373,1847.2400677308767,1874.9292302152548,1876.8054350171205,1874.8228652424787,1871.1676751523275,1846.6691043498058,1851.268246109452,1871.258331513927,1911.9873619372852,1921.5378391649379,1916.6552330413226,1868.7155356333096,1873.5831492936552,1875.0942704469244,1875.3057009187107,1875.4370299363227,1867.6752767107282,1847.1875949879661,1851.6512451334313,1874.807424879873,1898.039381969904,1906.940310363509,1923.6875144060416,1868.49519824322,1858.554954444657,1874.9995070864334,1873.0544046092887,1871.812042950326,1871.2019182935567,1847.3008400334393,1854.2816512669037,1871.785933412064,1907.6876285754652,1906.3222143644464,1921.89898547996,1870.811764282275,1855.5457358480946,1874.8939909697258,1875.6724062492015,1877.0118261022074,1869.9535079510467,1845.615587023825,1870.4546748523894,1872.0475059448286,1914.864818545175,1922.8218372405508,1926.0455642006061,1891.0012435355447,1861.7463579635546,1873.2438054909526,1875.4458515129097,1876.478926808388,1870.5188436323579,1847.012272150926,1853.742832355765,1878.4105540864805,1909.3626229923025,1910.6750273406515,1918.7447648850784,1871.7115705499832,1851.34790033167,1874.7888391136319,1873.9209508726142,1874.2969820914657,1869.5991249015142,1846.1606204066698,1850.3069206223333,1873.418863045429,1907.763279017793,1925.2212151127405,1922.5661226366917,1873.461284296691,1846.9899460341305,1874.9571961367496,1875.8594120238492,1874.0969942580691
KARNAL,1873.103321403602,1849.7193992275165,1853.595847000943,1878.8248917096366,1923.3641160888137,1911.810835372096,1927.1471671949168,1875.6298847998296,1848.0123059039333,1876.5353459669454,1876.0350990721174,1877.1126008824735,1871.1830262685917,1848.205199123964,1853.3101615992264,1875.890990145978,1910.5413731222711,1907.0452278345965,1917.345110398027,1866.7094425257865,1866.3022716553342,1875.8701158776091,1876.5076550728281,1877.7793524802894,1875.9410740312435,1850.0173886221671,1854.8277596260955,1864.5059810566327,1917.6099336960885,1906.3134639307332,1919.9251895969144,1868.4037498048422,1860.6943468440454,1874.602082674944,1875.4027921180532,1875.9484014326772,1873.771052292632,1848.7964386502365,1866.047783476043,1875.2475761300752,1923.4906105426544,1915.7981511403607,1934.0414951336063,1872.222802889156,1855.2495668294962,1875.7890691465457,1876.1276195142332,1877.6039373573492,1873.1094311328834,1850.260877443974,1869.7032057237789,1872.1695230292382,1960.2693797666977,1904.8055471978773,1920.3856331871532,1871.4184409869897,1874.6930367231764,1875.6401545805727,1875.7059755800954,1874.8222934391226,1875.9219690364498,1849.1053396276186,1871.9951981220147,1876.8449175730339,1920.333397976903,1919.3260939980491,1927.525822794283,1860.1237198477666,1850.4661529073173,1875.684778671045,1875.2901884713478,1874.258053721074,1872.6064100124715,1848.2038520219844,1853.5946853430796,1875.9380109695865,1923.7259240575806,1921.962231505481,1922.6350445488524,1860.943119918458,1848.1633703733753,1875.8916969481215,,1876.7969627230088,1873.505639608033,1848.3882700949473,1853.6713344897996,1872.063450309925,1917.4117483827108,1912.2250849189568,1928.994203420653,1865.2932543076915,1868.395192652096,1868.3889332263423,1875.8838501250027,1879.0785967224986,1873.1104079552852,1848.17088569507,1856.840601026552,1878.4885503679925,1925.2649026308536,1917.6585511737107,1913.2913105718171,1870.2364086388407,1857.6404760858597,1876.1165681642321,1879.0856706037332,1876.7429935630926,1872.8602734276844,1848.8620568185581,1861.7207846813997,,1912.7183955192588,1923.7402991873703,1916.6106215104282,1867.6329311331253,1854.5017574150772,1874.968489691602,1875.7909706667162,1874.3242153478968
SONIPAT,1870.1967979361286,1846.3481792725288,1875.8171134249164,1877.4486468513799,1918.6900613884695,1913.8212715761665,1925.9695397854714,1872.7210657019154,1848.6145555920468,1874.731919030938,1875.4169750918525,1875.2890696159902,1870.8467161863239,1847.2733578233845,1851.4488526007015,1874.4468724363,1900.2863008190895,1920.5724033781344,1922.1093075513638,1867.1551140654542,1859.4561617875704,1875.400793012232,1875.2598058087265,1874.8070856273257,1873.3084277989503,1848.5172983244956,1856.41167649527,1869.6040897880446,1910.7462669554552,1921.5357326268902,1922.5645224350458,1867.705989938508,1862.4391430876888,1874.4307523447465,1874.5091284785908,1875.3433206403433,1873.4843925386986,1847.2014747252679,1873.2613432514518,1873.7974423925623,1919.6838772733013,1925.3549496963049,1924.9614675378805,1870.0741640467395,1852.2124857094777,1875.3145200209449,1874.804282284724,1876.6938212558134,1872.276929317615,1850.044153804343,1871.3820876784362,1871.2316958011265,1935.7054223962289,1918.479298538283,1925.422515188566,1876.210522472427,1876.9446333309234,1875.1259481435673,1874.748026831785,1872.639985047926,1872.1880263688543,1846.6113526121546,1875.4938401590612,1875.5307646386855,1911.734362604274,1908.0071495978134,1926.1795603420771,1873.7830474050193,1853.8948604577781,1875.2504316822224,1877.1334806064735,1872.7138272183315,1866.1908980065853,1847.4744883461235,1851.5483272284268,1874.151107728938,1918.3041335175467,1920.049216475314,1928.2154594203166,1868.0306181705841,1846.1910309582993,1875.261875433333,1876.6694208670438,1875.157164705006,1869.927793046274,1846.52711964619,1850.4431043286752,1872.9467043558009,1904.7052186844057,1916.7678938245738,1929.0329511319194,1869.5079468841052,1859.785704026253,1873.608830215004,1876.4113696768497,1877.171929962979,1867.619435008994,1849.9696077709636,1861.955438106745,1878.6312100378946,1917.233045475571,1911.7687400503467,1923.304416437442,1869.9404795013427,1857.5892848342537,1875.2300321911393,1876.1030466643615,1875.659798043468,1869.7164642610421,1849.0579103866417,1873.4233084691507,1872.9236191857713,1919.315047133744,1921.2763395482882,1920.5798371663088,1871.6308335688836,1851.5386883510287,1874.719646605887,1875.8319618710605,1873.7253541979564
KAITHAL,1877.427594312274,1847.6106350702971,1857.4197040065046,1877.9268517999872,1920.8044503504086,1899.1138509115026,1927.9584353179102,1875.7847622929494,1850.4465357525764,1875.2087207446964,1875.9468505014545,1879.998718663235,1873.4681363261732,1850.2618866102293,1857.0271689793829,1874.658804280527,1910.7612069495033,1904.1199644871413,1914.8512280787957,1868.276657811512,1876.1741245368562,1876.1200139203538,1878.9577999602102,1881.8722044323579,1880.055486617178,1850.1734077958304,1862.1653133460875,1864.5025481651228,1922.770979933137,1896.6760006482057,1923.448546515865,1877.3487095160706,1872.9554108620985,1875.1071980770505,1875.0245738409556,1882.1231395427849,1874.459747277189,1850.088391568881,1872.8711090290344,1875.1650742673478,1926.1973476891364,1917.0236428605415,1921.2467698182816,1854.6031859273426,1857.2986899357375,1876.2446593917978,1875.5103847086984,1882.5559455934863,1877.995234304552,1850.2696018712684,1875.2091545557062,1874.492100341719,1991.3680022224262,1901.1282840624267,1919.0883572173664,1873.237699992557,1875.8974199119418,1875.4340533471263,1875.6221812037084,1876.0585694084427,1878.0096651754316,1846.988330870839,1878.2248457151602,1877.108356707706,1927.7548966782363,1919.5453518781276,1930.5692593119672,1855.0930952666222,1853.7506117042574,1875.7528445554674,1874.8306190957373,1877.6268267000835,1876.1438334180066,1850.6086046389296,1856.9122511840712,1875.381023820184,1919.0498612755814,1918.8017660761775,1924.072792572731,1858.0715190972758,1848.2823193515337,1876.0606421271814,1882.608179060821,1883.3144594045275,1876.7797777544647,1850.609484967227,1856.9818473975015,1875.2555907715582,1902.8234455676238,1910.2172483511179,1927.5435194692311,1868.4509353402168,1875.985859176063,1860.6073765420426,1875.9141392454649,1883.0906714969371,1876.2855376061293,1850.3125361068883,1871.53010421276,1877.789496055073,1939.3097277340012,,1906.275004837618,1876.859426924735,1861.8674105224186,1875.5570201584255,1877.2048482795688,1882.7413261744707,1876.7559576698445,1850.7359775281188,1864.4969054338137,1874.9766559816708,1923.056938452473,1935.5822425730944,1914.535855004215,1855.2748633137394,1857.1825967507546,1875.610596079627,1876.0256726780663,1879.489494977179
MEWAT,1867.3234299516007,1847.1525963518138,1876.622840177143,1871.8694502905937,1914.7548755416246,1916.038780032583,1926.8981892662641,1873.495695181596,1855.042849630528,1875.0924610217774,1875.014265818657,1874.8240196184613,1870.243236821817,1849.385452546392,1855.5800500515415,1873.6573903155472,1902.4683132072537,1918.7173713781485,1930.244657886759,1869.045271820962,1858.7568399111728,1874.5805168229078,1872.9210148066409,1874.7398726093486,1870.3188072452551,1847.5056726492123,1873.3397336125113,1869.5098479478677,1906.9733433071385,1918.5600809906425,1928.635162967897,1869.4315787209694,1848.2301333963328,1874.6036664010744,1875.050449053941,1876.1804690033407,1871.461258191914,1844.6287665380037,1868.7178200147507,1885.7289214558882,1908.928171027216,1926.8805765531545,1923.587175119808,1866.639848431803,1851.6734830153089,1870.3714255055452,1876.1087111961344,1874.7103901461326,1872.222956606447,1847.2999897443372,1870.746282174768,1901.4061647039957,1900.6123242221215,1924.1230121465478,1922.028918263199,1866.1800883210403,1873.4049910763404,1874.5694384380097,1875.1762567971173,1874.704654072047,1869.0221082542535,1842.2536613744373,1859.813563939022,1875.0589797489017,1902.8977182065967,1912.8651424120567,1922.7170457017467,1884.978585989623,1863.060876857782,1874.4852591945878,1877.1008852893817,1872.1728051090104,1873.7384618810038,1849.7820023432969,1852.234720787066,1868.9602921147982,1910.2526781452848,1918.2112662198351,1926.5144983559167,1874.6816510437648,1856.3934022328826,1874.743071699152,1874.1697362745613,1875.2940998762174,1871.003258827227,1847.3553236969954,1856.2620503471928,1871.6125957982729,1906.2500401096513,1919.4005557186617,1931.2740484635458,1871.2502917949666,1850.1118261886013,1873.6429348981774,1874.7287036824375,1871.9433879403355,1869.0769019321922,1850.804271015755,1870.0219743286766,1884.6255788841008,1905.9460133723983,1914.2603325322325,1928.4521707162496,1871.250594685197,1848.8665298298486,1868.988717385986,1875.1604821381898,1871.7641641855034,1870.6453035840286,1850.2803934408196,1868.9913079280964,1870.8410500210282,1907.064731830377,1927.537421797342,1923.5238582980564,1865.3557743926574,1851.671936234814,1873.1873731015987,1875.2399850076588,1871.3473474713633
JHAJJAR,1873.637453675365,1847.4709133807426,1877.3410350973531,1875.1469407368977,1917.1225864974904,1904.57332550909,1918.6164694112483,1874.792552739569,1850.8325233089136,1874.5595415236978,1876.2520239112791,1875.0999029218567,1876.5684284505971,1849.6809981120125,1860.577657107656,1882.5596242453237,1895.0737775498842,1921.1932265062137,1920.5510704021046,1865.136150570369,1871.0933469520141,1876.1439945306897,1876.2232412646613,1876.5673086668512,1876.9056307639792,1848.715043106219,1867.7647762007207,1873.8429547561961,1911.8304873855564,1917.91069618768,1929.7330817325212,1865.979428378098,1868.5867661900966,1875.5972652748692,1875.4124726121636,1878.9153485749605,1876.3344255290058,1849.3252892477333,1872.949246989563,1889.4651836312553,1902.6172037223198,1924.5204524536957,1924.160093270838,1867.2899824669792,1856.721042854437,1875.9915405035918,1876.4337213328567,1878.4260828294039,1876.2501614050357,1849.740572454756,1865.5710417853463,1874.1081621578883,1910.1316049405184,1915.3814556718003,1925.0746540569824,1879.3626193787034,1875.1683221592182,1876.027847876258,1876.0458561326047,1875.3775658543361,1875.729995388229,1845.922764968167,1877.695875316249,1874.5510445142643,1898.6412820397575,1904.7290272009554,1921.930860067841,1873.8123053914694,1852.8082343623994,1875.9287315491022,1879.8751329657332,1874.4127776861492,1871.2142464221406,1849.5782845468652,1854.848571921031,1869.46053340183,1913.3503727984867,1922.2397805636685,1920.9937195094924,1873.4665366847566,1849.8779205907779,1876.194704421415,1880.370936397394,1877.8244791396323,1872.5668882946304,1848.9246722292685,1858.8584319431284,1874.3441051601917,1902.8620389933892,1919.5684184541105,1930.7599842106965,1868.6852130692675,1869.561456080105,1878.9836763795124,1877.7847973746134,1879.1708572171397,1870.0212214858334,1850.8669795879466,1871.6019901670709,1893.2503467829363,1905.0874839664446,1910.267035050636,1925.6981408425795,1868.7154746091628,1866.7774700686077,1876.1225485818927,1876.5212409901476,1878.3124281382943,1873.2108372347636,1849.9003664177121,1871.387325708928,,1927.731790266561,1920.4884633085503,1919.6488470070663,1868.6369760585796,1855.2734451228216,1876.0210738303672,1876.748507729468,1876.4007479128359
