district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2020_11_01,2023_04_01
LAHUL & SPITI,1869.1279341786378,1847.142390930531,1853.8428444744504,1869.2634604466496,1943.6540453838757,1913.1244050682549,1902.8742168166184,1870.943619824727,1848.806339122239,1870.645471064712,1869.3197501193508,1869.1835280947166,1868.8364048774622,1850.8830927361284,1855.4093563150561,1870.6859979724545,1897.2038881966146,1913.2503758427565,1909.8927617359889,1868.355095712444,1850.766640986404,1870.186925324527,1869.5472439442974,1869.5641820771982,1868.9554939923298,1854.9590108450232,1854.3228147730613,1868.723232784294,1940.3234834024477,1919.0111954499907,1907.3804968204101,1871.1714629213532,1849.3875172547182,1871.0990610156514,1870.30395365762,1869.4146886978278,1869.84197878841,1849.470394166588,1852.8329686770426,1868.3846425490126,1979.7635495684979,1919.1282018004224,1900.843679209337,1868.3379388018225,1852.7964791262195,1870.7751263459782,1869.8488936766698,1868.719123379452,1868.6612337561282,1851.9708960583423,1852.3377760670173,1870.0733695974948,1917.8104559685453,1912.5276327802976,1928.6046217223422,1872.0409000474474,1856.2761841546394,1869.2795985365178,1869.6009538206272,1869.3340875581,1869.2376631508366,1852.0522083512255,1851.698960505539,1871.9455626378337,1931.8116736891761,1916.5450550250384,1910.0367237935463,1867.2811708682825,1850.2691526153153,1870.1104527633513,1869.5125040001556,1869.0958323753541,1869.099518123647,1862.8085094471596,1854.0327777160576,1871.1003547111227,1943.851079819103,1913.1890708572557,1899.1361750378205,1873.2023424168335,1850.840343614097,1871.0640037612777,1869.404463143007,1868.4663242060997,1860.8008775308454,1858.01903043426,1869.2158212906213,1897.4432497674618,1911.9123020949708,1908.9107646794066,1868.887721289545,1850.3473132703898,1870.9124194283454,1869.2928322460232,1869.096390236352,1868.8503269530522,1854.6988486452865,1852.9227941694153,1870.60363785831,1981.6694683868054,1909.3819396461283,1906.9052443266723,1872.0397862654222,1851.2174388674005,1870.4103232608102,1869.703426144997,1868.902685137971,1868.971233065169,1850.045384369428,1853.0803087516633,1975.3527424091724,1912.3247529175842,1902.1685041292076,1873.621191438914,1853.698454524459,1870.7450404974452,1869.8428911627338,1869.411963693713,,
KINNAUR,1871.3018994454303,1848.4589787494413,1856.6571216469677,1858.5947530953274,1920.1918382043896,1919.946402837925,1910.6185272434861,1866.6059890139036,1854.5439914162794,1874.1802135081316,1871.0729871679212,1871.7088281144893,1870.9118416231324,1848.467779035382,1857.7839974173028,1857.9215042505944,1906.1017697815394,1928.7464540956519,1907.4274588271016,1860.7791302576766,1849.769751446699,1872.729871982245,1871.1991848453663,1871.765939213953,1871.428488942752,1850.200238531498,1855.030628101718,1856.2679147490976,1992.503974920732,1924.0034179816612,1900.5248699695362,1876.0224792613342,1850.9797441876035,1873.5618923191546,1872.98352708829,1872.3780391234159,1872.4887127914485,1860.7715678392972,1854.259439277,1853.5316008960083,1979.654447514084,1923.9634704093683,1905.288793731426,1873.5698447967582,1860.6094613507298,1873.390894373388,1872.185001654413,1872.0632085316715,1871.7996078180545,1849.4667674331179,1855.3398642162963,1853.7588358772211,1972.1813081004639,1918.459752417037,1911.9957682068145,1874.6281758648913,1856.117796449011,1872.9614738629714,1870.885557450834,1871.4453609927898,1870.6275512601874,1847.90950492119,1855.7281577808797,1861.8331747077204,1938.1319247687982,1917.331140230545,1910.9809382496762,1877.7745881748388,1853.409072653194,1872.2983963674976,1870.9708322323945,1871.373063542869,1870.8345419671723,1850.6697520930588,1856.1105399275862,1871.1900968188797,1909.9038925011864,1918.995169919606,1909.1875858649503,1861.8363226692645,1851.187515596159,1873.9952067307245,1871.4711885854558,1871.2831504547835,1851.3073889522625,1860.1762497918555,1854.7514995279253,1925.5042300071038,1925.831154099633,1906.6453821668172,1876.4933629862246,1849.4202338762734,1873.3823359726546,1872.0294649065602,1871.7732528189395,1871.4393055017933,1849.914183039741,1854.8761343500553,1861.0041685083734,1987.4873976362496,1920.1404720865348,1907.065444349573,1877.1698610626602,1850.0214542219082,1873.0038500933201,1871.0066160962838,1872.2435181958847,1871.1817228481545,1860.8668715240851,1854.4005894125075,1970.6749479500818,1919.424278324805,1905.703316897247,1873.2783881139928,1860.2261069624037,1871.4561138498002,1873.1388510513198,1871.9757265393089,1870.7185863069767,1859.1782216878044
CHAMBA,1869.4486247095974,1847.3738587593589,,1873.814274485988,1923.6535270817042,1907.7869659823089,1898.5762269369095,1873.3232860908124,1846.7994630607614,1871.3255315853496,1870.4358390189757,1869.6436892586971,1869.3549205834768,1848.1758488170758,1854.5767728921128,1873.5398593384887,1883.4668759177305,1915.9872875623698,1907.7829295096635,1870.0938410523368,1854.8449069257874,1869.930612921185,1868.742201798726,1869.3179288904853,1869.1683239616893,1847.5292459597993,1851.830642759969,1868.6610844170086,1923.8433935950434,1917.2664162875055,1908.6611668957094,1870.038016134856,1847.574356235329,1872.047598190988,1871.1637371228994,1869.7236654483368,1868.7038462548685,1847.3899178083457,1850.2776812365921,1870.19725210045,1987.9440927092753,1908.786371886737,1906.9484598133633,1867.5659370434753,1847.3564072794086,1871.9696168461842,1869.4595634860295,1869.144528053839,1869.2931847535938,1868.5008553332789,1854.9472361919145,1873.8954744341358,1895.9478335758788,1909.4368696015713,1922.469594145661,1867.7908448118378,1854.4294727729957,1870.2553368725314,1869.66658532797,1869.3405700759752,1868.328474004421,1865.4859607711273,1854.9154200291882,1873.3300166550591,1904.3564851638127,1901.4091895335698,1908.1596024593512,1868.950772184863,1848.5580975532646,1869.9431820668008,1868.635937708858,1869.344727868454,1868.1810973435383,1857.8503458658743,1854.5582626621201,1869.829223433798,1929.6972792421616,1906.5907091623674,1892.0200661649083,1868.2766944831067,1847.9162482988104,1871.1328282793277,1868.5722397948239,1869.1933994483861,1847.425876620286,1854.1050141096025,1869.6895388768635,1884.1537217937052,1913.3163813072117,1902.4867650740641,1867.1346771559188,1847.6363640481736,1870.5767112645678,1870.256488137009,1869.0588050727,1869.1379865766953,1847.5208389791178,1848.1933110794932,1875.408122858606,1962.7333351590144,1916.2045039735865,1908.0226119351782,1872.762264821869,1857.7810466867422,1870.519455768561,1870.2579134594364,1869.549957788354,1869.3851296195044,1847.26067423996,1852.7992253498237,1980.2864851286324,1916.1742045873868,1905.4191491196757,1867.029155333891,1847.6917882541632,1868.008635586405,1869.9856044867317,1869.7790740938651,1868.0276322996215,1873.4543424355752
KANGRA,1870.4974141019593,1850.1219950060076,1854.6347381686437,1869.90797448788,1988.15309889967,1920.6625213478364,1907.0243590498087,1872.4910281528041,1847.5164211507442,1874.8909659223393,1873.637149769833,1872.4811957645368,1869.5119534124751,1849.093916938571,1850.9732121123077,1871.9819779500774,1910.039625494105,1912.9759817009553,1911.7010372449163,1870.7601743947894,1864.210942715645,1873.4869868929652,1871.5133693049781,1870.2236406861477,1869.8962528357329,1849.3557205561153,1850.6448512877796,1866.9032173854457,1950.5751319928106,1919.9415460366017,1911.0537024511748,1872.2442935460253,1849.0498539786631,1876.045121663821,1873.9500385444342,1872.7993122162645,1869.5347951774236,1847.7038158694572,1853.6833366610374,1872.8218715229086,1970.0600151209635,1908.3707473507855,1910.577475525179,1869.6909963571384,1849.3486561870664,1875.3348984159343,1872.8248770827588,1871.8965629589181,1870.9450629615903,1865.154486215228,1854.285943987034,1872.097462650436,1887.804916512386,1917.0993736527798,1910.2962258586324,1868.1058316534888,1852.9417601448372,1875.300074314154,1873.0347504732313,1870.582125766952,1868.4175525839823,1857.4884495386134,1856.7089483379984,1874.8641978999676,1889.525227068704,1910.0158094442174,1913.8756484777043,1872.430707752582,1848.91585250173,1876.5606535342902,1872.0564036577796,1870.5202202699156,1868.9181804774203,1856.719849790537,1851.7342329250855,1870.2787360808443,1989.512164407672,1911.8364214177416,1912.387755534484,1867.3923563243436,1849.008590133938,1875.365264820322,1869.470409702281,1869.2490421480086,1848.2275414382473,1850.9236857770634,1866.9456901286683,1915.1124486046033,1914.508666624861,1910.1742641971227,1867.5225229017085,1848.5846077524723,1868.9388691247054,1873.434995147857,1872.3225582081895,1869.6803319456162,1846.97420670307,1852.924241043921,1875.1301155353574,1975.258425770039,1897.5345588400808,1907.1809640641868,1871.2106068195055,1853.8659700157295,1875.2459600271443,1873.2939973736418,1872.1432581294193,1869.998725493612,1848.222983110948,1855.6946460200288,1957.6651046285676,1919.1822345131507,1909.0481585597852,1865.8938899763086,1848.9179008775432,1873.328625606951,1873.3025726337878,1870.4329004140975,1869.0051138050299,1872.674858952267
SHIMLA,1867.3525845660586,1846.6584507090213,1854.2852757648166,1874.1122776412863,1963.3490493951813,1918.469926887062,1911.7972145983254,1871.7166609256328,1847.403902715524,1872.0137405800344,1869.9860806138167,1869.0551331142312,1867.7453380533268,1851.542755317046,1856.746960614278,1869.6457076194772,1881.2857399326283,1914.9935114472787,1913.9891839986876,1872.3137403132107,1853.4524516238948,1871.6966351168937,1869.9130795865974,1868.318483233304,1868.2515504830922,1849.1930820997075,1851.6183636324938,1872.3826828010115,1965.961714260044,1917.1943715490854,1913.6226603403072,1872.0420680433472,1849.1995220473239,1872.053291031266,1870.328806131313,1869.3974740800613,1868.6775620279377,1847.0977128689506,1847.7831247202173,1872.3851365607686,1979.5340679529681,1918.9466312929617,1903.3770213976309,1873.6929226922823,1854.0049322672726,1872.3857063588266,1869.9002889123283,1868.3407165113613,1868.3711861276342,1848.4073086430442,1847.469691191153,1871.2047837623238,1989.3193180280018,1914.3605251774309,1917.7709122493789,1870.098338829968,1867.6556954581895,1871.012035470471,1870.9340367159193,1867.189545748435,1867.4294211300019,1846.4051979594294,1850.6760426817807,1875.0352752570475,1970.7437763618718,1924.310777895329,1909.430762239422,1869.2061103111005,1847.0453284756104,1870.9545913892855,1868.301869551847,1868.3729183489897,1867.3230105191897,1865.5274265116093,1854.5957539570911,1872.6102094915716,1962.5786613288064,1922.8905096483081,1916.4658451266637,1869.7308687337927,1848.5576823193824,1872.5082723604903,1869.0523809891022,1867.6078338548657,1860.4099172384108,1866.8500990158104,1873.7630774707739,1884.1407580095463,1918.737469645063,1915.2758536392153,1872.0236347882703,1855.3380761416956,1868.4291652000466,1869.4710950014728,1867.8697013593255,1867.8296865436357,1847.2537160471402,1851.1509064449117,1876.5718365333505,1983.8017579685968,1914.1729220271188,1909.441552399551,1872.8850367980288,1848.4570771624537,1871.5325455552834,1870.7267989207016,1868.167175071174,1868.3151011297437,1850.0188661529357,1848.2556270984023,1958.0198780229634,1911.0037646260787,1899.1185618130837,1869.4771990880743,1854.3299422528407,1871.5758019415916,1870.4230860005914,1867.8251695559222,,
KULLU,1871.8082989929505,1848.5683137415956,1854.957885942832,1866.9876262211385,1975.3094971432065,1916.3401643306195,1908.5934692275284,1874.999553928517,1848.768087457765,1871.363417769411,1872.9234914017175,1872.418868054236,1871.4518044736915,1846.4313716413371,1854.3745011478024,1872.669804996172,1931.2519509666463,1911.4918395376428,1907.141199348942,1866.9831298163033,1855.6775978283438,1874.094988782104,1872.255018929515,1872.4453976047607,1871.8412983345108,1849.0696863335197,1854.3899827988082,1862.3458500507884,1934.7384224059122,1914.510907695269,1917.9884620545636,1872.6004710988486,1852.654369616004,1874.7962670099516,1872.9152125577707,1873.113552051869,1873.2248751574898,1847.7576599417373,1852.436604740806,1871.3006094697469,1957.0419931060285,1917.0352874524326,1898.11438439523,1869.0280931238933,1851.4900364609516,1874.063820196037,1872.2197294126215,1872.6094594590081,1871.9346835805572,1848.7875473673923,1852.3317782414351,1867.3369654064936,1907.9829144033608,1910.360578051835,1919.732765258462,1875.2865048268732,1872.1568499254845,1872.218575417409,1872.525218650533,1871.9571257919415,1871.5490051258178,1847.983567330138,1853.1920054708555,1872.1898328460488,1970.021577405448,1921.3768767795736,1907.1589000190927,1858.041577786194,1849.1677827653846,1874.1494370284354,1871.6523874649026,1871.5241410817118,1871.583282844363,1872.6887574547893,1853.9960861102,1863.0220816898343,1976.0960538831182,1921.9949284158472,1912.05902310011,1872.8452883751702,1850.1102861135785,1874.8084764800774,1871.7875224725308,1872.5812434128054,1862.0307528801495,1868.0132696955704,1863.9413905159804,1932.8356578653597,1907.9885194319197,1911.720886532323,1867.4653386208702,1856.6933393922773,1860.6979364916488,1872.102529235195,1872.4196277575397,1871.3642780113296,1847.7600152154905,1854.2583516613445,1872.8041970872162,1932.0567253576114,1914.607540602225,1910.2271934451053,1874.8492051445724,1851.1587714095137,1873.7743131061723,1872.8905145401843,1872.1130024345086,1872.7425981873207,1849.0687534866474,1852.5474590624046,1959.0161831820017,1917.609622456774,1896.8850368664878,1869.1005632874458,1852.0822171814793,1874.1748482576543,1873.279508723633,1871.4139515788765,1870.8714845088646,
BILASPUR,1851.3287156674232,1868.9266292786997,1868.2546497697642,1876.5386878867823,1919.7581471246694,1890.5217964320425,1890.320890780324,1866.702461795447,1875.059319272714,1860.7215009753832,1881.0982270586398,1873.5835477158444,1851.7104650039262,1874.8898820323386,1875.140737351369,1874.0574334259566,1906.0167287905344,1896.8091983701743,1890.2277248073265,1865.9923533584035,1875.424970306704,1851.7561777260644,1877.2704659559408,1875.6463384144292,1881.423481737973,1852.369752176128,1870.159234086208,1867.992161182068,1911.631597516724,1893.6032176478489,1912.9126937395986,1919.4889654798528,1868.1199403939581,1850.8435150325902,1875.981460381733,1876.288688289909,1859.466244951559,1856.0390419201067,1874.7722662007748,1871.7248070563282,1917.794718461867,1895.126736944976,1888.8302707966038,1892.7196594236616,1872.114412814069,1862.3012656167439,1876.8066357991902,1879.893303785775,1850.1997755677723,1856.3253455451156,1874.9584078976245,1869.2366906147292,1918.1370538486458,1895.8746786341858,1880.9821996763994,1867.0480732235237,1856.5686122864997,1849.8296582770274,1876.5981837097743,1881.939333118709,1851.8087610637153,1859.0842031934885,1872.0370779112825,1867.7576410905124,1910.6540857724647,1890.2632697345405,1892.59398140056,1866.3116951319844,1874.9598653350874,1856.5610748617828,1876.5325971099157,1881.622968587327,1852.4670121087456,1876.3632875926169,1876.4950286165747,1874.8456245104323,1919.9440710193078,1883.4340728133452,1889.5006433315111,1865.1432179086619,1858.4901152856555,1849.9719881589235,1875.3598065977087,1852.3663546058142,1868.8412709168397,1874.5287874736957,1876.990298373419,1920.7905936605507,1885.9921260837968,1881.266628606082,1866.834243250838,1869.3832682788939,1853.1535887798398,1880.4133252927602,1879.9659240265873,1880.6866700989356,1853.5139045610633,1875.155361202218,1875.3785133413392,1921.358053564259,1883.5430333592806,1881.399862847344,1919.8842459430994,1875.512505692608,1847.6390650810094,1877.6534916426672,1876.7676050874657,1853.7472830721824,1856.223121713296,1873.6103299707524,1916.9079760462423,1894.212831451542,1907.5397592249026,,1873.756350997804,1852.0204843598883,1875.666052970504,1877.5534393470284,1878.2101203156046,1871.962081613421
MANDI,1875.8960814528918,1850.5475321414215,1855.4888673245748,1872.3691462099086,1974.503509698094,1889.0192357851506,1907.7177227960074,1875.8771770861874,1850.2817051032125,1871.6378460898973,1878.9691177500554,1877.8125856231318,1873.972297182883,1846.9803333629973,1855.519979198939,1864.1005288700628,1976.0434344838682,1883.1724033123262,1896.4555760324536,1871.2051486108826,1856.8170925812556,1878.2676801449782,1875.1370020570437,1876.7080760235217,1876.134480512976,1851.443248045602,1856.9842639125595,1855.1311710787625,1956.5001979051563,1890.2758769506172,1917.1300905906753,1876.4895939371677,1856.0154272725308,1880.1013049829696,1878.80079155859,1877.977310612947,1876.8152951653617,1850.2198105810564,1857.28453044771,1877.6994852750543,1891.8870543827813,1888.3571239736575,1899.6754642340134,1867.3440094364566,1851.7641910037312,1877.6352694824766,1877.091663042233,1877.9755230009653,1875.573946859778,1850.3033304756707,1857.1317823441773,1851.120308939839,1870.2866257703076,1902.8429405908028,1915.225173577635,1862.8090707641547,1876.7568223722176,1878.4471407075675,1878.603510468307,1875.6869439882025,1875.0302205639853,1850.4522347924185,1871.4608185592733,1877.311208863191,1974.3596465082935,1924.6768335972827,1907.0814323721752,1850.2622792584732,1849.7269281465415,1880.0993478939765,1872.961090431097,1875.228939611706,1874.2202020590662,1868.2764527227807,1851.4808358865228,1865.0601490889694,1985.1802218803002,1920.1650974910458,1906.3628995754896,1873.18329818712,1850.5203017293627,1879.25344909161,1875.9609398574325,1876.6982836740144,1849.9412258754132,1848.088651236915,1873.9674749750088,1970.7481233810356,1906.1569645012291,1913.458735999095,1870.788251281496,1856.9251459860707,1850.4561357696955,1876.6519112956669,1877.4055264279675,1873.1183568968656,1849.8415117514226,1857.4605267316376,1877.8167836223245,1947.482995367153,1883.892828393023,1886.4465915700696,1877.3877645796103,1854.2913295940407,1880.7416379256817,1878.8403319908432,1876.2237288672582,1876.563266259079,1851.5867838097404,1857.1163356657134,1876.7857657020331,1924.219468726536,1909.9844743244328,1851.3064488904577,1852.1463402379823,1879.276994494,1878.9362031328374,1874.0456956080995,1872.4977515560586,1876.7201306342315
SIRMAUR,1869.5292902986594,1847.9850959518756,1854.6020399328893,1876.2794160861795,1965.6057967474535,1911.3257580013974,1909.935875767807,1872.4458787641647,1847.0719483786838,1875.3276054698847,1873.8940275534392,1873.519023120448,1869.6112581391599,1847.9726150875535,1852.3546996100697,1871.3112504676697,1889.8940276036194,1898.7961044778335,1917.8778469593258,1868.9831140137685,1855.236046143729,1875.1424799358772,1875.0077000955923,1872.5927439802085,1872.199360664168,1850.3786118662238,1847.5864180925441,1877.5835035476719,1970.6573900354238,1911.6153025067365,1920.3367687216096,1876.587367848319,1854.646835909924,1875.2439861791424,1874.533479269874,1872.8655150361217,1871.254321764624,1848.9830890436751,1849.3409235996924,1876.4117814451263,1892.427509357965,1911.610942678577,1914.72102397212,1874.6652193965263,1851.9969521274825,1874.7552734501762,1874.0863972723687,1871.9507473929766,1871.355657892652,1850.331161823957,1850.4159470285101,1873.0480113509948,1993.3413763582373,1915.0238291417925,1919.2671564417737,1870.1953192608773,1872.6657483065278,1876.117928314806,1874.1924071874912,1871.0707262752512,1871.0890109095858,1850.4838886109792,1867.65330911809,1872.454494334999,1970.9134964412392,1921.8294867057573,1912.4019425576814,1873.1265184208744,1846.1305270786174,1875.8136101799596,1872.6874088109992,1871.583173277564,1869.3598073292042,1869.03178302779,1854.064519327156,1870.7980503270273,1958.539528296016,1918.5398609832641,1911.6626014659437,1869.5135050959243,1848.1591502963433,1875.456628056218,1872.3282415390706,1871.6552132615138,1848.757591720897,1851.43320335063,1873.7795673383025,1900.8568675318074,1925.226342847497,1919.4751800293309,1869.5385982100318,1855.8029549850849,1867.5494286130315,1873.813798078805,1872.0267926847323,1870.0677684519749,1851.6439111339357,1848.0611505332545,1876.4083443333568,1973.940613018925,1903.4375428197573,1903.398498821948,1874.888748652646,1853.5625654620205,1876.941457025761,1873.8641139196225,1871.6811560238332,1871.2570638123677,1852.7205923147621,1848.0277240163425,1897.0316540120652,1927.051395350749,1914.7061975069869,1872.0111152853374,1853.389620187817,1874.8066963809342,1874.289307610326,1871.3065365967634,1870.8109469066794,1873.1730133491171
SOLAN,1875.9818579051653,1850.8527177035774,1854.5073518051936,1878.582181208163,1976.2977184457898,1881.6776987267879,1910.4967558062367,1871.6045788416582,1850.4862936207883,1871.770788356165,1879.1289251978098,1879.0352535576446,1872.75782305325,1850.7205867631014,1857.0459890346997,1861.8914152328475,1964.0479651334606,1876.8230316132099,1905.4088205908963,1875.3544710481588,1864.7663261449727,1876.0385947204502,1877.6150209817424,1877.3820957177568,1877.088012251563,1850.6961747742973,1856.9990453926396,1850.7460437849702,1898.9371761340392,1900.1079969065852,1921.805488511313,1879.5035670813324,1857.38589083516,1878.60678254582,1879.9951535406874,1879.3041918666836,1874.308272681961,1851.2180303258874,1857.1240714002777,1877.2065933189028,1875.3824724998028,1887.4720397833817,1914.4155626333745,1852.5184254484277,1851.0094083402528,1876.2978834160488,1877.979853787877,1878.6589260016622,1877.609025583308,1852.341248459964,1865.1078704137356,1841.9917635561474,1913.55997296324,1914.5267238991717,1916.9328642200487,1842.5598943696853,1878.6601456631067,1880.3252861974452,1879.2127864340794,1875.9504264930335,1876.0593006664806,1850.3525169329546,1879.202012480694,1878.7064131112413,1981.0795234948873,1928.9408728361993,1915.2504958404527,1841.7684385796854,1847.9746641095142,1881.0868002371087,1872.802664889485,1876.0005222123987,1873.3161850210502,1852.008007089668,1852.9297391893247,1847.7179354336567,1972.5944404644815,1927.1515366439878,1909.1157586905576,1874.9419055217552,1850.3819847306847,1879.080368718016,1878.8326948131391,1876.6696776955844,1850.499268306143,1856.5385262390173,1878.750032711746,1955.2687148755733,1915.427681775981,1913.9569605417544,1875.6049084232993,1857.4126050025604,1850.0774165485072,1879.0663267779216,1878.5845794959243,1874.1823314629858,1851.886457785299,1857.1277570416744,1877.0469098241188,1887.1272286501846,1917.4671336850683,1884.2783371336873,1879.5173960152563,1857.5852351184865,1882.1492107313031,1879.1108593699355,1877.7644454221693,1877.4128121361987,1853.185968915299,1857.1070785007048,1874.0033438145335,1937.907218448398,1915.8493843225408,1843.1787921787818,1851.346152703336,1877.7643790933173,1879.2753027449892,1875.6063270715758,1872.8212997692697,1877.8862065453436
