district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01
KISHTWAR,1870.0172869119367,1856.7261388731147,1857.0377530994122,1858.1878916255014,1948.4397456083132,1914.6597028297745,1916.6172665446854,1867.7573521407312,1852.0412506135049,1871.6352741564988,1870.961628273728,1870.176422798276,1869.898957844457,1852.0074110367225,1854.8438797936033,1873.9915716944188,1870.3763102875512,1911.322277304741,1930.8315702021011,1862.6461286295091,1853.3454740017582,1870.1835052558038,1869.5837444889107,1870.7410281869115,1869.3731120136943,1851.3408380169876,1854.2740449926307,1860.0784790876016,1868.6136469103894,1916.2804888825608,1902.111280856168,1856.7544940696473,1848.9456310683563,1871.0628826320944,1870.642856650246,1870.6010417411524,1870.241379755749,1852.3253952145828,1849.3422633810278,1860.054895365046,1904.0063045562588,1906.3772333372524,1892.8528628123909,1863.0854568237862,1848.6953323889054,1871.2677895770234,1869.5185258757037,1870.8339839127048,1869.971409975429,1869.924102039406,1852.8444516025754,1865.5678926844873,1944.8695540125884,1908.881405355643,1876.7504608366894,1858.6567498142365,1852.6257458598157,1870.0676885967107,1870.7307105370294,1869.4738665744258,1869.5074503687492,1867.863156215211,1854.6835767737125,1859.976230886562,1945.0235484213945,1909.7920502215034,1916.2076331963733,1874.656549126846,1852.196842747468,1870.1807167003378,1869.9349186653108,1872.0486771688463,1869.8938040655885,1857.5889804594565,1853.0164977003276,1861.0122863694355,1949.2227593851696,1913.9724890841026,1919.9500942007908,1860.588515177385,1852.1996589915739,1871.8084493151475,1871.5923816188704,1869.9382302567412,1869.5280507162618,1852.3270455837735,1853.2724512689401,1863.760984951175,1868.901137189329,1910.3832488446064,1927.1684781949896,1859.8271093162678,1849.186648297111,1872.023119738134,1870.2650203014941,1870.5396376733581,1870.6256988508999,1851.6705515578658,1847.0755916817473,1866.3482392099118,1871.630409008605,1914.8527763360128,1904.9071496032532,1864.9390338321773,1857.1372730650062,1870.6418354192149,1870.56475683032,1869.3176389369914,1870.1030587285823,1851.4568672029518,1851.3874755429763,1862.1685458759525,1913.7148445242092,1907.1504746701703,1887.348796921332,1864.2767980762017,1849.9371387766305,1868.8488696075724,1870.3844933989471,1870.5305292897935
PUNCH,1887.6317414607402,1879.1854013129198,1877.9676627755787,1887.8954191144333,1885.4253136277007,1898.3047180927808,1900.6391979330342,1888.001534215365,1876.2299075863875,1890.706588765152,1888.978841781838,1888.3403119534926,1888.435089997989,1883.929328140261,1879.6008646292207,1890.8076247683111,1888.6103890318445,1906.8409078685888,1887.6739094835286,1887.679985698022,1877.3441070167064,1891.058244829579,1888.7459341095564,1888.616025966153,1888.6044279938435,1888.341197055683,1880.2627451166381,1890.2463723927158,1922.2728785776555,1909.3111944122597,1906.117646195011,1889.9991598614188,1876.7730493896497,1891.0114133200987,1890.4853088798575,1889.666222455424,1887.6462847249982,1880.6050718653216,1877.0165460411756,1888.2534175685578,1912.3588514837552,1906.3458362005795,1925.7947937578092,1887.8474439143615,1877.679857619331,1890.8445409200917,1889.5597171343043,1888.5161680594867,1888.4832359074678,1877.7459148945259,1877.5109519992918,1887.1498865681385,1951.9219891295274,1909.720503633791,1933.6072412593307,1888.4698983934113,1884.8631235757007,1890.5578557021258,1889.747076995448,1888.1236236159993,1887.3331455503062,1882.0656827684115,1877.4754377347463,1889.0957083233295,1887.8339145537834,1908.5576283176672,1907.626443595266,1889.4885691692114,1877.5179740371295,1890.4994279306413,1888.1659319378023,1897.180608234267,1887.279235498943,1882.8492059622704,1877.994029689602,1886.658555584612,1887.0081200149903,1908.4892109941468,1892.556436115579,1887.446574586332,1877.4806088711837,1891.104572795971,1896.4785318451918,1889.079552021265,1888.1261691730022,1888.9913646827188,1879.470929183093,1886.331207976503,1899.2072714649319,1904.2455159981319,1887.5299384551408,1885.9991625893417,1878.4513606502858,1890.7084936160265,1889.0982947990033,1888.5264732846788,1895.0934141629132,1888.233081143336,1880.4122099012948,1888.5058407829272,1916.125838738985,1901.7837733476622,1908.0452309837754,1897.6172152336803,1878.2440714795612,1890.507629494324,1887.9802182631993,1888.571312000475,1887.1850492579474,1880.7224864626244,1879.421079767967,1885.2072872280303,1915.463448631571,1904.7627765543655,1924.7342137701867,1889.0607637198298,1879.0207163030648,1890.9026902414967,1888.6247799805578,1887.912921290976
BANDIPURA,1872.7489358187718,1853.8007075294875,1849.3674670516052,1871.3596734939504,1866.8218391859164,1897.9428371429276,1935.094233662708,1868.4882247290575,1857.1462032983582,1873.7276669901653,1873.6571225662383,1874.2592679615768,1873.5280659088198,1871.4451190445952,1856.2345794001972,1872.343935791648,1869.7271858705167,1898.16826143482,1870.8582016481712,1861.6841860503162,1852.193713521405,1876.0608186386096,1874.1085280850207,1873.7422907755274,1872.4723934301085,1872.2273490919588,1849.4894168370424,1876.5023578298265,1982.416422928445,1907.5883899943733,1907.3221312128499,1875.5669861033457,1850.343634583276,1877.7396923121455,1876.963151020954,1873.5287319255087,1871.5070619521775,1872.7249051029025,1852.4603652651988,1872.4195021981745,1966.321727152589,1902.002187642526,1892.0287500698519,1859.8074490698793,1850.9802765851339,1876.9523376398558,1876.198484999954,1871.9838374116478,1873.2743034644302,1864.9996122025782,1855.2257951692916,1874.8515213309627,1964.610909331173,1903.1550005227616,1905.2467244643753,1876.4276937874736,1850.5292860261766,1875.4036719309227,1874.1298956328278,1871.5925252636969,1872.193503452519,1855.82272579468,1854.0908321736,1865.2932720424494,1866.276839367098,1900.3101858514444,1960.3568375038838,1874.482383583301,1851.2202829510195,1875.6987932506468,1872.0347640609339,1870.5931006715573,1873.0461554686503,1849.5585696862022,1849.3072696096299,1852.0175675925639,1867.5572167240728,1896.0091696567179,1910.7252211943419,1860.928235505313,1861.1529064929632,1876.7940239253987,1868.7542856219966,1873.085369637701,1873.3755747194634,1873.0402737314178,1847.8185884714349,1849.8116089115401,1872.3710331972377,1899.36751757833,1872.118456920123,1848.3249064813513,1851.3735699412446,1875.9231493622897,1874.9607455316357,1873.811115000903,1871.502343086437,1872.8852406996468,1849.8578889281462,1856.4465008531747,1978.6724438502008,1896.0555897079382,1883.0667114473924,1866.4039061692886,1850.6809713840998,1874.1892191800073,1873.2546886152634,1873.4495865089004,1871.643247599992,1873.036818748159,1851.6970508401032,1857.5115357248865,1966.8352969485766,1900.0620696034862,1899.1663039186415,1876.8889449481928,1850.0925720518514,1877.2016699329097,1874.4763967156575,1872.0815046337507
ANANTNAG,1865.3886208900353,1852.0723808538894,1845.7738825109761,1870.1443324404886,1925.3040938309834,1908.7210039599356,1960.8256455612407,1871.4922936160553,1853.5124293363262,1869.0227804627891,1865.883195919925,1864.3261207574667,1864.9052637240065,1861.8688661845379,1850.8983004453282,1871.7965133249213,1875.2995285970958,1909.5661480939382,1992.5246625335676,1869.0103687745936,1854.8868878497292,1868.0357486062476,1866.0197084319357,1868.0899591111283,1864.0593468200054,1865.305409201426,1846.025470394929,1874.6307246598733,1866.0488238915584,1909.6161135051177,1897.4045718398877,1872.263026683697,1847.4633599399906,1870.1863920389505,1866.4340396492257,1865.3910377537,1865.1886123522825,1866.9888401721896,1852.9389515806347,1872.4476388488513,1870.1509906014246,1906.951618469529,1871.1453633403191,1870.6423090817273,1844.8288976755455,1870.2117177793043,1867.7106219468499,1865.8182437615021,1864.3639709825154,1865.0420561170313,1853.7531809307782,1876.1759083725476,1875.4748474160438,1907.3281846967086,1869.345084259159,1869.4785039344515,1847.274155945351,1866.3595175945156,1867.3517502210668,1863.9265625414025,1866.8310462638858,1856.4492501258349,1854.8567781359498,1862.7067468609514,1869.148965892141,1909.3982532723987,1922.1140151487991,1870.9740810485569,1845.3930980132209,1866.8301047901134,1865.8919874987484,1867.709157514126,1867.12491517518,1845.846427761634,1847.3164633350514,1873.47803083421,1944.3572548473016,1906.5942538921358,1987.7056229464524,1871.1434843485283,1865.3888711810323,1869.1302026027186,1866.6990859863718,1864.0747448492448,1864.8908240883504,1866.657965273666,1845.108556726039,1874.9027824319448,1876.1756935558392,1907.6856524188186,1996.5078861198162,1872.5908921169812,1846.2627688788032,1868.044947564222,1866.046061095975,1867.9390922726711,1867.3398857049706,1865.281717925546,1847.5201050505896,1871.75545051518,1868.281256668294,1909.2948167594634,1896.5465905044275,1871.2708844432386,1848.2854507417085,1865.3539749408033,1865.9179127122216,1865.3637560020932,1865.6652035450563,1864.6197179737496,1854.3496346928498,1873.3732787403137,1870.4012314627819,1906.4385761812284,1868.8146585533136,1870.942153572459,1846.7676988346739,1869.3214880709681,1865.740219024026,1866.3312907815475
KUPWARA,1869.8950792643993,1846.7506493073843,1847.4736723180704,1870.1652754775657,1867.8000449578328,1897.5661362669744,1870.4128120936268,1869.4702808812424,1847.4048036882396,1873.2071597981367,1870.4597769958275,1870.7490913343481,1869.5988860791094,1869.6963867848335,1853.6731333943942,1872.493275821935,1863.1572386358052,1900.826523732147,1867.9773024458962,1871.3443704782007,1848.3068280224795,1871.234145055018,1869.0370279439169,1870.6922123548059,1868.7058209783772,1868.962814334067,1852.7971412426193,1868.766339927293,1883.9788618600012,1921.555313435565,1942.82046478353,1871.764436226755,1847.8194868288206,1875.7361518689745,1872.4638709662531,1871.427872677286,1868.918649563452,1868.6405904030416,1850.2060582896897,1856.8014504008274,1926.723393054075,1907.257170655345,1948.6993091610323,1871.0040494095995,1860.8194150464576,1874.2949566088623,1870.7942342045037,1869.5185560659017,1868.9361078568706,1849.2864519604764,1850.384611056387,1865.4895230263824,1951.288919721542,1902.4047380146137,1947.937495265361,1870.9877234072699,1862.0513940832313,1871.7293121554126,1869.9891009749856,1868.2855913672624,1868.6217389954702,1856.817728744403,1849.3923156030494,1869.8487043145612,1872.4513692230955,1905.6359128490992,1908.0651810879826,1870.692461857461,1850.140493104195,1873.1219100817427,1870.032783154412,1869.4504331196474,1868.5667118188385,1856.7207597814977,1846.7275640453188,1868.3840146047853,1867.5961981324574,1904.4372718720185,1868.7796674926715,1872.4779982737944,1847.5430027304328,1874.5999200733963,1867.8249501433834,1870.6883230352955,1869.3618527280626,1869.6737918306517,1850.2061532594405,1870.0523664126868,1866.4596365281045,1900.8483686267998,1864.5090104883877,1868.0956627943176,1850.6233571001262,1873.4300738918964,1868.3680588386258,1869.6292177255607,1868.778179821427,1869.1722460105282,1852.832196049013,1868.1337754484434,1928.9209010824695,1911.2883855128707,1941.7407295573262,1866.5895672170197,1852.3496691850692,1872.8206246464295,1869.6318555605997,1870.8553572958976,1869.1023133990527,1869.4614510105284,1854.1405248031554,1869.663274784912,1939.250244768286,1899.7449344172626,1952.581869245149,1871.2080655785228,1860.937694259259,1875.0522649954066,1869.25247030115,1868.9384495614668
JAMMU,1867.285662964769,1846.9543122269108,1846.090195958768,1874.435933392347,1977.9661624366313,1905.4324162711027,1910.2118494980477,1869.1405078656162,1847.4422914347076,1872.5813598144284,1876.7514248021062,1871.8116512351232,1869.2044923327942,1851.168669226437,1849.675097774807,1874.260860260402,1912.3445164676568,1903.402230822999,1912.28394079032,1868.2347148656002,1850.7300546542633,1876.9579060566984,1877.2537957535399,1874.8518849857364,1870.4104960607556,1873.132670073331,1854.3674704372565,1875.6802560528806,1896.3046862681101,1913.7179565296242,1918.6685678432596,1874.636212590795,1848.5024448094248,1875.0430610494775,1878.603689231274,1873.7973033835194,1871.1211481316632,1867.8039487754356,1853.552684571025,1872.6511415339726,1913.8676018742249,1905.5780618924568,1891.7130097558672,1871.912854235825,1849.4890990735591,1875.238016947771,1878.7161389508174,1872.4842829698784,1868.486155034693,1850.4622708632835,1851.7386500219886,1876.5109427335376,1912.3435771241625,1918.3026048727052,1883.758947558171,1871.565105566,1848.6676515365175,1876.6530647365312,1877.7764101477794,1871.2866614310951,1869.0641193642487,1848.8620976376828,1851.1300310943268,1871.2908803138264,1878.4502104504554,1912.6539248715353,1911.001953220517,1874.34101199511,1846.5968956748934,1877.6368680329401,1873.7799909330129,1869.4001858909917,1870.2348602856011,1851.2030011362187,1849.0231840659098,1877.4751575141993,1960.4865828687,1911.2330888465174,1917.8438851845235,1872.0868095518354,1846.4994720241914,1875.3007923235182,,1868.8020200771089,1869.2296906113697,1875.262755983629,1851.0007583754302,1869.1426827515859,1910.5178071893044,1912.5283397395217,1907.7235468954837,1871.057219848348,1853.7054756762677,1875.064364886297,1876.047425375234,1873.5751873807592,1865.0145435653847,1873.5694777495628,1853.468858960673,1871.5102773114613,1921.2114913834778,1914.5176476633262,1916.9405408486045,1872.623661817977,1854.6483112340418,1874.8882523200475,1873.6216201732122,1873.4306240097822,1868.095888920521,1869.7929393446298,1852.7956546692076,1869.87309360201,1912.5019401983513,1912.4451223733893,1891.080326986518,1873.4700529619784,1847.6393951465848,1874.2997484680272,1873.7122597500688,1870.7799066356204
DODA,1872.1809375513453,1849.3223583049257,1859.291237996043,1862.2996316468918,1979.4699343608356,1906.4581773333825,1907.7098455633554,1875.8152395005313,1851.2713937037572,1876.3161925648535,1875.5078995072188,1872.8984385077233,1872.3108887238877,1848.5381606110832,1855.509377135905,1876.5751281535422,1865.166557311043,1911.4526215492972,1918.4556128357458,1860.9337125991408,1859.725971812969,1874.6227459175573,1870.5399832624323,1871.6002486430407,1871.7154092861033,1851.6648709515205,1856.353639393752,1855.436275989242,1867.6850372589633,1911.7408623839258,1893.5383197536928,1856.7414061612762,1851.0652671042603,1875.7404370536594,1874.7004463320677,1874.5023084721524,1872.4110847265779,1852.4237484129949,1852.1040985834288,1857.4199020908131,1898.8887377268986,1903.074328124203,1904.7425029894548,1862.5999872455257,1849.113165013399,1875.309613035177,1871.8154258164775,1873.7715116937868,1873.204363674258,1872.9793613013944,1854.9921299923553,1875.4105006816933,1985.7562727187228,1909.6620509390714,1869.3086460292243,1855.5031020841295,1855.213669958492,1872.6108399444795,1872.9383460320487,1872.2435085838265,1870.4997767010323,1853.6754603742236,1855.169050160044,1869.9968535850655,1961.4461202622056,1900.5522244133213,1910.0150508313657,1873.208843057569,1853.7328941962846,1873.5946703277298,1872.5133605352842,1874.9720385875241,1871.5523619975932,1850.1910087154372,1854.7165288976882,1856.531277773721,1972.7849285261502,1899.5226329034554,1906.6032088822508,1855.5352858768451,1852.913844213273,1877.32075268543,1873.1638762219902,1871.8237239053958,1871.8562975205268,1852.7164919067422,1854.6739762335937,1855.4712107077441,1864.9262546016448,1904.902685018532,1909.325185516237,1863.9914662034362,1849.9854610481425,1877.5222188161335,1873.7257387572336,1872.8018413504044,1874.4907998883589,1852.0930017025642,1851.8637215867982,1876.908997438907,1868.0458848586666,1911.2403187334307,1908.0560463465356,1875.5182117893328,1870.2866936925989,1874.0183078489267,1873.5860554788537,1872.062873003238,1873.3437272716876,1852.0382963164643,1854.6207458691647,1860.889674053377,1923.4902001052865,1908.9153029737479,1902.4561659005183,1862.8943216972154,1850.669085924244,1874.91005211049,1874.0123113337127,1873.4693336015546
KATHUA,1875.0521074015817,1850.1144885018239,1854.3695572267156,1854.5880627161898,1976.2055913129761,1928.224877773865,1909.6743487302092,1878.048230040595,1851.4906295881901,1877.7831847771001,1880.35261366801,1878.750860881501,1875.7679230777226,1849.5174989781651,1856.8431703644333,1875.792145277307,1864.0578568919389,1910.1972245541972,1906.6588411054186,1869.319036337505,1869.0428550658553,1874.5123941735828,1872.0248767113771,1873.8865420339687,1876.3330847944608,1851.0149750258186,1857.438062608422,1843.9182206360713,1879.3185899878479,1911.12485474601,1905.8754464454755,1866.4705668638685,1850.1147624633174,1877.0820894962499,1880.2429962906565,1878.3461401977268,1873.0553779289571,1851.6075401820842,1853.2437904062535,1858.9103315227,1966.5824504476818,1909.1052195993238,1916.293230349256,1848.7829081839552,1850.1310257815226,1876.5933921091732,1873.1630056799302,1876.117756890637,1876.1637839686807,1868.3698755722999,1854.666526823133,1877.5869435674922,1957.6604002601002,1915.3390159009355,1874.7082129580233,1844.41620638305,1856.4844376192345,1878.2653362463848,1878.4420534751225,1877.3286830317256,1871.537774775428,1849.8279714167718,1855.5603411287882,1871.545083627424,1955.6178556576049,1904.3701230855468,1911.1372362977322,1860.1891025389305,1854.74929228506,1877.90898180898,1876.2271162211512,1878.9430643275357,1872.6429170279462,1851.3507905626848,1856.0763982937615,1851.9133140315325,1959.7363882683296,1895.7847661176384,1908.1597233398238,1845.062135214895,1851.731226259405,1875.8062292428056,1873.7212076452245,1873.1257417028223,1873.9021675885529,1851.082899311203,1856.9366532963368,1843.2442119260354,1870.9364580358629,1923.3732445171436,1896.699099558427,1854.4623983526399,1849.3932710184827,1877.357552863797,1879.46395751401,1877.8605294175015,1876.4252061712607,1851.2158781041505,1853.554020615649,1877.7544820335224,1881.489796064312,1915.0084359057232,1913.1655800655233,1877.9578778595642,1878.1184971235728,1877.7925119770105,1879.5059089754475,1877.784080942341,1876.0992365321438,1852.4976301173917,1855.5244816546713,1871.6941568091881,2002.4419090117592,1917.554037976045,1910.2923216233871,1858.5554594119712,1849.4969878925076,1872.389415660214,1880.324987749513,1877.198797669641
UDHAMPUR,1867.6235121174568,1847.2350473692704,1854.6723468485209,1865.5289580820763,1993.1116669411492,1915.0329091969916,1910.3677496209261,1874.1380856336011,1849.7953481328225,1874.9772047689864,1872.601799709792,1868.997698995,1868.146720177739,1846.5965010680256,1849.7867703252305,1872.3308245160463,1865.7646382040675,1907.0017568412711,1912.0529175517572,1868.5432352696723,1857.0992603083969,1872.8503895279525,1869.0342193201236,1869.968976304194,1868.1716835378222,1858.9294475225106,1854.9690546747706,1870.663709687644,1869.9770524796768,1909.1261412050794,1903.9641287994264,1869.0593364713463,1849.1700103664832,1874.3864154615453,1873.6949796418874,1870.6771612526438,1866.8326765839931,1859.3714320479692,1853.9916774302076,1870.910360902213,1881.475869197212,1900.4538787906652,1897.5196229862747,1865.8856858768659,1846.0081842520785,1874.5176265709385,1871.2593622007776,1869.8731357719723,1868.1048648754672,1863.4659223940987,1854.3321310487722,1874.69459908502,1960.4732938356685,1912.6897041322052,1868.6010008066137,1866.3775119119616,1851.5429513541494,1872.7524241205049,1871.2255407035523,1867.4738134182653,1865.7419637633225,1846.4006891488345,1855.1288510693055,1871.9396277206022,1917.2300695560934,1905.8323316884341,1910.1005013568663,1870.6684875333065,1848.1369070954079,1873.3965739479065,1870.3761093409887,1872.405347864675,1868.4928945312693,1851.7056177586082,1849.6650585640525,1871.341077340039,1988.5585808958804,1904.9971173828208,1911.5478192755645,1868.0536127901719,1848.550843571949,1875.1069606568087,1869.7907012662265,1867.5536955957475,1867.487686605507,1861.4465484868235,1853.094517465662,1869.2592428020516,1863.02264059858,1892.6243645868658,1936.8086991225462,1868.4099272366645,1849.9361990260186,1875.5807766709017,1871.1004824686406,1870.678662573135,1871.2905054581095,1859.3739347129306,1853.3871710963515,1874.291216572605,1872.4156275503003,1906.929977897055,1912.1977490949773,1873.6580265681146,1861.5169217237585,1873.3741000982182,1870.99076021959,1868.9204202891412,1869.0367822174503,1859.9164005721702,1854.7049274669341,1872.5246345218636,1895.485679224205,1914.2950517267202,1894.3233286221364,1870.6742094877072,1846.7014550762983,1873.873412220297,1871.2615953883449,1868.1172413931185
RAJAURI,1874.032731084845,1849.993938252966,1848.9012519322614,1867.6008505980171,1870.8940399125236,1887.5577249718956,1907.7769082665677,1841.5946495179198,1850.6484836112036,1878.9169246125853,1879.0735982166784,1876.1344447953438,1876.46332803101,1851.812973097337,1857.1596953026497,1877.3015201731248,1972.53843918388,1903.0038745387521,1885.709541135978,1860.35588244565,1856.938700959807,1880.8402269231738,1879.0534959654372,1878.5116375959255,1875.776444627395,1877.1879132855095,1855.3575602891394,1876.7604495748226,1972.8809609404382,1911.3591388876753,1917.054807466464,1878.8682760218678,1851.151880951786,1877.2376513654133,1879.5639428323425,1879.0518795350722,1874.7340575434496,1857.8698769016407,1854.1654632673135,1878.6328897527458,1976.8049259398574,1883.2273516869684,1916.7205826778334,1866.0411569480648,1856.1581304911172,1876.9778190294269,1880.4602275129105,1875.8611726025927,1876.1074756944322,1851.0664759616136,1854.2017823356493,1876.390767844235,1972.3928868864657,1920.5369068975112,1908.9255265807435,1879.4827670503587,1849.638227956524,1877.7904916543391,1879.7372976653749,1875.7648177254762,1873.480585294772,1850.468022532511,1857.1430846162214,1877.2624974477685,1864.7670446158224,1915.6104833965903,1907.6696944239068,1879.1093300701407,1850.3121391581117,1880.1491925033174,1873.0054282326842,1875.8145450673694,1875.5371954105124,1850.782554374042,1850.860312527225,1867.1634861421385,1867.7671306404316,1904.4878591700028,1908.2207359319336,1857.7530689704524,1850.4444122103282,1876.7276125690348,1874.824067284843,1875.322578946648,1876.2201314723427,1878.2377634809206,1850.6017242349471,1840.7434512580724,2005.7982345135965,1884.582496577688,1884.6232076394067,1844.0767744606774,1856.1724658979042,1876.5584213700567,1878.9847781905974,1877.3381379391278,,1876.8570554235037,1853.1302841639397,1869.4044953573357,1980.2753115504324,1919.6667527572492,1870.09435387081,,1853.49535698008,1878.8477253951382,1874.075056274018,1877.895106658277,1872.0288057821867,1859.6709520568168,1851.2018820373705,1840.5646887993623,1978.6126365245323,1885.3174092622642,1904.9894820296888,1878.9821839733725,1851.4255244938129,1877.007895315068,1876.5515377360698,1875.4728366620793
