district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_10_01,2023_11_01,2023_12_01,2023_09_01
WEST SINGHBHUM,1850.411323246546,1867.0620794485103,1870.5987243461716,1865.8876772309416,1914.459249913303,1894.8390765445922,1903.5339521325402,1864.524403773533,1875.5453962973452,1854.262604960989,1880.1181899901367,1879.8431110653173,1881.7187413214572,1850.887034741798,1874.835660528079,1874.5285139150876,1912.901815579795,1883.8630214068417,1909.1296765155018,1912.7606583744077,1873.1130969726482,1849.7266912833188,1878.1486779347763,1882.3929617526915,1877.983008112804,1854.2877037306118,1874.9870885208966,1873.1238612990942,1917.0720591665802,1883.2062965130729,1886.3463695397209,1910.9761609847717,1875.9104526207616,1850.1235824497503,1878.8609346842388,1879.7119267760154,1863.62915561066,1857.1028316170307,1870.0140701130056,1874.949417346242,1901.427100032326,1894.5532664512948,1887.5205104367853,1883.3477051617701,1875.866326930236,1853.533477503412,1876.7872100380691,1878.5812484575465,1850.4285422031924,1856.8490097741803,1874.964437864408,1863.003099046798,1903.8386643203487,1890.976840537626,1891.8797848967654,1869.5043403163,1871.975185246327,1850.3257418402707,1879.5777385452825,1877.4354847040684,1850.3361045965737,1864.1921412775775,1876.395397275173,1875.1305429923248,1909.7201439141543,1890.2690066488033,1894.9099053722814,1867.457375265259,1872.5090638636832,1857.4900993693882,1879.2012250858147,1881.7576807753233,1850.8651613189897,1876.0204496454367,1877.7802584549029,1870.958112174759,1905.407795454393,1882.1891678537904,1909.6116882323347,1928.618986359176,1877.0185190987618,1852.0832791269042,1878.3675375891592,1881.0316075203434,1881.7916569772533,1851.7046245265358,1875.1906577101233,1861.7394200177048,1911.1184610858297,1883.2937029893844,1909.2631039872867,1909.616647974281,1863.5783731200286,1850.1583958689669,1881.9295707442766,1879.0767269471448,1875.639719553113,1853.5350174189684,1869.9304610264855,1872.1901462200192,1923.7193950222947,1894.1199457827215,1886.444263636446,1899.59047388911,1875.6231888573584,1850.3163984859202,1876.7602747808414,1881.0084215770582,1862.4619302508443,1857.1933581058945,1875.46167166256,1870.379026575117,1919.2274526447868,1895.6365414790655,1887.3061331680951,1873.5078141102733,1850.9244546755042,1879.9029482160583,1882.496905164853,
RANCHI,1858.3351892817832,1853.8333517563879,1870.0087543280363,1864.9784758688131,1903.214869411481,1890.081727979434,1921.1014243648187,1867.4034652140213,1874.529598960345,1849.1344532983192,1877.2132127406883,1876.8873353570439,1874.9768046028985,1853.3476628868923,1873.903091506951,1872.3608661374483,1918.0362253437604,1890.7888514592912,1928.6890361687806,1889.6686225510657,1875.699383581527,1858.683258544583,1876.7452286241871,1878.2454174412883,1877.4058904962897,1851.5410326207734,1873.935067546805,1874.0174959768626,1915.2878956103618,1888.8030361320352,1900.5396564810367,1878.6383310054262,1874.6152587545573,1860.8892855141,1876.538784387743,1876.4184381644063,1869.4282488145575,1852.062946064437,1874.6944070915167,1877.6196837159198,1900.1910626909548,1891.572489593962,1898.603139694808,1869.2587086370438,1869.1158415528412,1865.331293591716,1875.5837992943657,1878.037543057309,1851.6092144976315,1854.2361706550075,1872.6640922819347,1870.1669016204196,1907.189372331363,1891.356466271611,1897.064200713842,1867.3257058918255,1874.0711903636363,1849.1144812954637,1876.2877701292641,1875.0433389901202,1859.6803935131074,1854.9590600464865,1874.8066814927731,1873.3993849329759,1910.2905482727058,1890.053485013485,1899.6740191769443,1867.6705538506192,1868.175764932554,1860.7304004454015,1876.7590674020187,1875.2643597988167,1859.129151493599,1861.0565883522522,1877.8806751429615,1863.6609314187187,1900.9681553754954,1884.4285781753567,1921.4799061283377,1906.4541682285,1873.109765425427,1848.520237133257,1876.0766019082416,1876.4790095709475,1877.6136595585583,1853.9504856520857,1873.5557111339435,1868.8370695940737,1920.9970098670804,1891.9168717001282,1928.0741872311576,1892.98290293772,1869.924455920616,1861.0096879098185,1879.2923946989936,1875.5549690741282,1873.5374893455692,1850.5896587516027,1858.9167378523773,1873.5935736610138,1919.8423449852303,1890.5433408408835,1904.3923920773295,1874.8179152109265,1870.287447794088,1860.9522180794395,1874.9823005487183,1876.7286473391955,1868.9780949663248,1851.9845139419135,1872.7272185596785,1873.1218802992278,1916.9305271265273,1892.9681046277517,1909.5626074989877,1868.0402305380649,1847.981036065102,1878.031658847381,1876.5283719038077,1871.9692176101296
GUMLA,1876.0679102491963,1851.0791477048278,1854.809666441415,1869.4640685465613,1898.1186817389953,1890.8746984507538,1900.5285966489657,1885.4139925974114,1876.1891758109907,1850.1664437668448,1877.3911827507852,1877.5116872920287,1873.328674692454,1855.38875619681,1875.3463287981153,1866.6098215715956,1928.3500589754865,1894.0598312428847,1910.635333170606,1870.553568727946,1876.9856891475604,1849.713766982259,1878.4401316625674,1877.8150032032977,1859.7145933024187,1853.7714183172873,1875.9673869823248,1869.3743597226764,1906.2466282726193,1889.5366615353944,1909.1261429423214,1865.3194683200106,1875.6814506878657,1872.2357207270811,1876.970829996928,1877.817801112973,1851.0495539241647,1853.7229832193452,1876.1529442767066,1877.492824229347,1900.9118474959853,1891.2759107861752,1887.0556438937895,1867.6385596033385,1874.8471969573138,1879.3346008588064,1876.8818103147792,1877.3579753720842,1851.552309358919,1850.4732245282596,1863.96293080577,1874.6513582398234,1909.5025120528087,1890.242869867412,1890.7915940096839,1908.8407203139996,1875.897125660712,1850.3941054610111,1877.5846358586443,1878.209513171438,1877.536687491339,1850.5757052015097,1875.0005549537682,1874.589357010373,1904.5661334516753,1887.953402014299,1892.9089900058555,1904.4017164549873,1874.4176615002225,1848.6702301035182,1877.1997706016998,1876.5164515775155,1876.0833841457918,1854.576405443097,1878.070467670273,1869.6716591424397,1899.939040076673,1886.4772075394926,1897.8648904428467,1906.6370375336808,1864.9790604308712,1848.6701947569745,1878.150430851163,1877.4451628377403,1874.202303290191,1855.534671984845,1854.7842347543533,1868.89250507563,1911.1009848084802,1894.9958843755217,1909.2700269396214,1917.042274948585,1869.395745126673,1855.1756199631404,1877.40230316929,1876.93307695311,1851.5697328597012,1854.2822829206787,1873.992386060532,1874.6968295661975,1915.9700166694795,1890.7271517440581,1914.790078792982,1870.1966475066372,1858.5462513616683,1875.9699953098261,1878.0755054287742,1875.9555105977108,1850.7847965872904,1853.4343019715798,1853.9602765974948,1873.2814036488544,1911.1661112525715,1891.2661472118043,1915.0763387054078,1867.368105416749,1848.2163314878896,1878.4873276499934,1876.63774142885,1877.8887640239734
HAZARIBAGH,1857.390837769631,1850.9997325432546,1872.4500314138977,1871.8625188250405,1895.74827012833,1891.932905517306,1927.8548676403645,1871.0312193916564,1874.5900307093787,1859.5163069441724,1877.1835332199773,1876.1098234283427,1874.8522022548416,1853.017865900104,1872.5170017587202,1871.1394153918063,1916.4049699233337,1892.9384019863837,1929.1459756214342,1868.683636085851,1874.1979135272782,1860.0551172460503,1878.361454105513,1876.9878005859366,1877.3106383477332,1854.1308436209226,1871.9193380342845,1873.5772925248184,1916.2865597133944,1894.5309557216876,1911.839218991931,1865.1570149952954,1871.9882732838241,1860.2335933605357,1875.6144663324487,1876.9655878863816,1877.0589188490783,1852.6287348780224,1875.5599156039789,1877.2327431853055,1902.1377135656383,1893.1067772724145,1907.9014559844884,1866.053151535957,1866.5439669291522,1864.4297910196929,1875.3681221555983,1878.6553827759308,1862.1813826986145,1852.8262451540793,1871.2600429605816,1873.1618877678795,1910.3050273185972,1895.6897950419893,1910.7022601756767,1866.9042433600255,1871.2384259044566,1850.6615207376606,1876.1254311398488,1876.5651072935382,1858.6801818389292,1855.3404940830828,1873.4349989812558,1872.7630572054045,1913.1110512687444,1893.1677391719265,1918.9901237736062,1866.2115438300434,1871.165401450767,1859.1691224843867,1875.955047800657,1874.3969140359725,1859.0333535390887,1856.2451998417314,1873.4179204292357,1866.1527149707413,1897.176133150348,1889.7722235610688,1929.459981000418,1876.6123648594396,1867.950001598933,1858.184683317667,1875.9552510409278,1876.912034055177,1877.9788199168213,1853.948803666541,1872.6381763355762,1874.0493437066796,1930.6768732944784,1895.1203341350233,1927.8010154836259,1876.2122512274466,1869.427924242677,1859.6566535177053,1876.613208225532,1877.687045299639,1875.9397308318626,1853.2991329752213,1873.2944258437208,1873.3247381115764,1924.8855607476294,1892.2680377782426,1913.1348568843848,1862.4921033019716,1871.2876793316145,1859.7844935083338,1875.487238120703,1876.9187863966001,1878.046602354112,1852.033496271512,1870.4847464138543,1872.4397188467997,1909.1896417193468,1893.8498124848143,1919.6512467731977,1867.1793598068484,1848.1120799751511,1876.7130888368756,1877.972326672736,1871.812669085704
GIRIDIH,1858.4356525345095,,1878.0918890869957,1868.445294083539,1896.647541210574,1897.440054759951,1925.6168906238265,1865.148782708441,1875.7573877537964,1877.1047173770369,1878.2714450119006,1875.7966949982945,1878.687281004002,1850.5131142784232,1875.933283906185,1873.9537420010943,1922.2288753175833,1891.037391754167,1928.1623183420625,1891.533153926785,1875.5501065066755,1850.2054244014178,1879.0935284833454,1880.0435838052515,1882.6232241853495,1851.5567473447793,1876.1114307115654,1877.1146901178895,1916.1247276326922,1891.2953737485454,1902.7887297644256,1884.6373348741154,1877.8648643479537,1850.0979793811637,1876.3044526138835,1880.1644662607305,1880.5725861770402,1851.2412516661702,1873.4560736318874,1871.8799775398722,1908.802598634102,1894.068494370311,1905.996463774063,1870.9626608472229,1857.3408154800939,1853.0735033581905,1876.3651441989518,1882.4869099683074,1881.467126602893,1854.8854314101236,1875.7400308527745,1871.9770300908954,1920.4159243621073,1901.1483062990123,1921.2062307173212,1867.7486732361558,1870.1360990515936,1875.02136568826,1876.7077801672801,1880.6510966903948,1868.2298279738852,1857.021552369981,1878.039187967402,1876.0996525621106,1919.457534494304,1899.688427838247,1923.3146528308157,1866.249627145956,1877.5815343589195,1850.7464082261963,1876.316233180435,1874.47617952551,1850.0439252885672,1856.7596964578565,1877.5424421895973,1851.890802979539,1891.4323522498219,1895.8070346796692,1927.1495740170735,1866.9286945110325,1864.6299336910424,1850.6025177560414,1876.8975187314963,1879.7387132937238,1881.3451098585995,1850.837060720047,1875.9946061403907,1872.7735460197327,1921.0954731527365,1891.6248315061505,1926.42846383057,1904.7032333969094,,1850.8656553878666,1877.9192028136229,1880.682551621617,1878.926767143202,1851.0992535931236,1871.032068143399,1876.4896579269293,1915.1647026941553,1894.1611085542165,1902.9663137601513,1873.164256315592,1876.747695352279,1850.5316795438653,1876.0259590721857,1880.9902602145817,1881.4666883312238,1850.639199362575,1875.8376005878345,1870.8254705636516,1909.4579488513102,1893.8733741239987,1914.4597144803308,1869.0849759698428,1858.2634480570184,1877.2288532093219,1882.758637404587,1877.7726773481654
GARHWA,1871.2243820859817,1852.9410543888628,1869.5758221976068,1872.7996353366505,1911.5494630959636,1895.3679032368477,1920.0647539606837,1871.234510854468,1871.5466085799096,1863.3720949588264,1876.4026993924044,1876.1607851044266,1864.5760688040837,1851.0116183067635,1874.0617054150887,1874.829882735991,1914.9567492806252,1893.790835782795,1919.7248206631898,1875.0499177263976,1869.6097168988792,1849.821215400774,1877.3721932297478,1877.7440669677965,1865.2208596340581,1853.2082308054548,1870.1162299451908,1877.9906193503468,1912.6907311675166,1892.5568419466654,1918.863002301641,1868.7529526967724,1872.6356968958655,1851.7561931872053,1876.870909040381,1878.1270763732882,1862.2073507198666,1853.4110360603802,1872.6293621181755,1873.3630493889866,1896.9001979673708,1890.3068658905354,1904.7905962279183,1874.4818247312166,1870.857982349056,1875.9419740279664,1876.1481556793472,1878.3165129619729,1864.6415806905952,1852.5904594091858,1869.1559879592314,1872.0567294572481,1907.4863357867143,1893.4188856755363,1893.9350925569713,1873.9552694694678,1870.4701991120508,1864.060247142248,1876.888808937428,1877.5700549596122,1875.4164145689854,1853.0642391147169,1872.2428540563408,1871.3201985516707,1912.4070757903903,1892.5833164562716,1910.5533455295192,1864.8946980364874,1874.1497883679717,1847.9866356759053,1877.2723810086652,1873.8819374227012,1873.9501380472122,1853.8329690615572,1871.835551627352,1869.0164012303394,1915.5462630495445,1891.535895160752,1913.2947544082801,1886.7421041289638,1873.7922062229031,1864.0711853497369,1878.708409987019,1877.2887616264193,1856.7424143231842,1851.6805491461878,1872.7250838944767,1869.1518988865796,1916.8567162455163,1895.1796829912826,1921.8963266074816,1878.895350856116,1865.2165876299678,1849.436472189021,1877.4068249440124,1876.004949697688,1862.0693735158643,1853.8305336848748,1872.8213226633604,1876.042796180071,1914.1192564727662,1898.4607557110378,1919.3496923559474,1865.792221258228,1873.698885609911,1864.2186249728263,1877.229670419351,1876.4317277755647,1862.5604659358305,1853.675641380314,1871.7174699204004,1869.9183100246303,1903.2933991835594,1893.9176197147563,1926.2966989941442,1873.467017008943,1858.0813147190224,1876.9356232556356,1875.7001022649097,1875.3829418074913
CHATRA,1869.3987769804694,1850.9132845818708,1872.8724033629592,1870.766266748827,1901.1677119047326,1895.1306834279344,1921.7419482460562,1900.6251960178136,1873.4073535458217,1850.984757834276,1875.8722819734446,1876.405820734846,1873.3042131369723,1855.0278236572478,1873.7405651504446,1869.6497238337977,1911.2954729779296,1900.6921039194033,1927.546405773561,1868.7165342468722,1875.4505273379584,1873.252233967658,1876.205062611194,1877.6987732301138,1875.7206385362695,1853.7520335819454,1873.2706543780087,1873.4464690598584,1908.4941871151505,1895.9227617618226,1925.4983254178671,1864.2695836865696,1872.6989456782774,1874.5167958009263,1876.5427801874578,1876.2334781147117,1869.0319114036517,1851.3543388665048,1874.439097146224,1873.6297805377305,1892.2049122518831,1897.3380008357226,1908.2959690451758,1866.6113437343884,1869.7713328734112,1874.9555774982064,1877.174943108072,1875.8127328744345,1851.1787253838772,1848.8338845403184,1864.19215923257,1873.1369491390235,1901.707238432767,1894.8371809980083,1900.81298955191,1866.650267279619,1873.1097991156328,1850.6353153653504,1875.6239767574634,1877.127858294707,1875.065639183026,1850.7306292976339,1873.4707495864718,1873.215146133831,1905.3895878659102,1894.0510281652823,1903.1635084596398,1887.2526007704998,1873.441921116717,1848.117588113156,1875.7513797932086,1874.554314754689,1874.1551217425301,1853.251391632334,1872.7783439147345,1868.3610267882532,1902.8020275678196,1890.8628999296534,1919.994387491449,1900.2214083557135,1869.4487897473177,1855.1418037131152,1877.6184762458304,1875.8519215422539,1876.9610698495358,1851.8978075482723,1872.5387874884204,1874.9925408828863,1921.4078382085943,1902.2457372350707,1925.897936023535,1869.6999922002726,1873.7590013074619,1874.0332601776802,1876.0386955542417,1875.1232526518656,1872.8025504516177,1853.7366516254788,1874.2351026319072,1873.8633097676013,1921.6426220008088,1901.8209536426814,1927.285745749238,1865.7151983695162,1865.6514475738245,1874.8500298506688,1876.5131843011206,1874.5916652631645,1865.686331323047,1850.572312210348,1863.4096407195773,1873.7905997736352,1900.1236329449596,1898.1944563198178,1928.0344336496137,1866.5895543306922,1847.5233604532768,1876.0659842102193,1874.718109049723,1872.0809322064047
PALAMU,1872.8915410962088,1855.3230328008237,1871.517895945097,1873.9156156227175,1910.1447221633266,1892.9842828941505,1912.970060791062,1904.5185893350904,1874.228390661075,1851.9057865188133,1876.481861412881,1879.393313380911,1879.0752033159763,1855.2414386267249,1874.6447303770633,1875.2727665718435,1909.5055094326906,1897.6521094447007,1922.297070446449,1866.4053455804328,1873.687155251142,1850.5202665153158,1877.7762315358286,1881.0293761569594,1862.8921075828691,1856.7216290577965,1875.2530180302217,1872.3040016377265,1913.8849294270128,1895.7903251225491,1921.7493752491926,1875.4924871548676,1875.4109305116867,1873.2757104356033,1876.764976701276,1879.6014054924708,1851.6178184643,1856.9839669098185,1874.6588436640852,1873.88380591143,1895.1170908301424,1890.2018896956374,1896.9912095187917,1866.4675750818426,1877.2155600315054,1876.0791867241114,1880.525982239715,1881.1244349393776,1851.9515866829631,1851.6008491787893,1858.2246066581326,1874.036947794961,1901.9292087936415,1893.0393447280214,1894.1016947339679,1875.9875386820374,1874.7807823381456,1851.8826479968177,1876.5611528179325,1881.1083662278472,1880.85164066043,1852.415201067925,1873.9161747398362,1873.3312089279862,1903.0009659051375,1894.6479809992522,1897.566079508387,1866.428840750184,1875.5500606453722,1850.1998706926167,1879.0110781951391,1878.8213139288284,1879.4277745444012,1854.55685735327,1869.489846995395,1873.1519743435658,1912.559657090272,1892.4313703248947,1911.566713351443,1913.8869828571887,1861.4602974749166,1851.7955067247062,1882.0962716087665,1878.568372163354,1879.521722736822,1854.0543141356454,1869.6173555952603,1874.5638289617555,1918.8436928705826,1895.0154673952102,1916.0186204804738,1866.4381402332756,1871.055005388188,1857.24306245528,1877.1467918792177,1880.3910783676506,1857.227729965869,1856.9302007117585,1874.6209665670751,1873.943061994134,1917.4834785641779,1904.4875341719178,1925.0083802476145,1864.7130373556533,1856.6929158639912,1874.9979368409086,1877.573511148358,1880.0596755217118,1851.3670871621025,1856.9334147377313,1859.4355663983245,1873.5689163567547,1896.9668004123923,1895.5334771489538,1925.9222866647656,1867.7124287833087,1851.294068223167,1879.3237680110262,1881.4271645953827,1877.5324308796023
LATEHAR,1876.1066558894042,1853.7433683837191,1853.9503235723782,1870.1243653662411,1900.194225945285,1891.4908652854074,1902.1789201957668,1886.658643598535,1877.0084859544977,1850.2380060828332,1879.0732705667306,1880.1669151390101,1877.6630004171332,1855.560553996682,1876.6512739375464,1866.9075186461903,1924.3567082173192,1892.234403926169,1911.143073925546,1872.5154938690648,1876.1245529087487,1857.722072935688,1879.6957913928788,1880.7464206131792,1864.3916521762358,1856.5356855711775,1877.285342102279,1869.05588297573,1904.5679104586684,1891.6342141537448,1914.593029866622,1879.1421827777754,1876.1654577538711,1871.2999396019889,1879.4981359663952,1879.3115377050785,1850.6773236421586,1856.5359397264774,1877.611216384372,1875.8979399886605,1895.6385398479085,1890.5731714345845,1883.8897553735885,1866.3083845468652,1877.9999419532742,1879.1640993631631,1880.0981296493853,1880.9496417984908,1851.43341304067,1850.939532964009,1851.6268280124752,1875.4486224369962,1903.633941478849,1889.0001726181672,1890.9523960513181,1890.2895453089336,1876.798713009119,1850.769009614624,1878.5005186356962,1880.7353399239055,1880.2550809648953,1850.3536370200109,1875.7190228951192,1875.4540102332496,1903.8700794791523,1891.555626272509,1892.747552649269,1898.0973158839129,1877.6576919246631,1850.231489021004,1880.1614964553642,1877.8384629076932,1878.1045260408364,1854.4745145343657,1874.3511180012092,1867.2533051798043,1903.0693057789806,1894.3929953900101,1902.3283810481012,1916.7458494893417,1865.0179572393338,1850.2021987078222,1878.870495834451,1880.2489855539502,1878.0321489288335,1853.8646963910398,1846.7878192397513,1872.861986863001,1906.1261030047087,1895.3491254242751,1908.4262802795295,1897.6587892652512,1866.7839889285187,1860.2170139248049,1879.1987033327307,1880.1768040552367,1859.111986819288,1856.834082741392,1875.6870273006364,1875.9546647686811,1912.2553046137198,1893.0498607544307,1919.482082481481,1866.9525061870597,1850.3159555938182,1876.5416274714007,1880.4222838637143,1877.07937887807,1850.3148230915601,1855.999265926215,1850.4782992276248,1875.1831722573309,1906.8339240637124,1895.7206257284092,1927.1059782685459,1866.6874960042594,1850.2808785698473,1878.9611251643828,1879.293591712289,1876.6428808199753
EAST SINGHBHUM,1849.6833249107779,1850.7011476385062,1878.403713255465,1873.233259950513,1916.7104681956137,1891.703632025361,1906.3672990064556,1865.4368232790966,1871.2918548338532,1848.3602525702624,1875.9214188608703,1877.0501770280614,1865.7368863703703,1853.9124420314542,1872.8494693033592,1869.644285660191,1923.9799001920715,1881.9439938201854,1916.9090150492893,1871.6145479792274,1872.8028320653123,1848.7654959473252,1874.897480763419,1878.5933070626795,1865.867834316714,1859.936201922074,1872.3452663514233,1870.07066317078,1929.3466862979803,1886.957733885677,1908.625800551166,1873.1236844538012,1871.7394442104746,1847.1408023842448,1875.020410598628,1876.8091043829013,1865.2983256103678,1860.045589922351,1877.8058234463358,1871.6906794177874,1922.2271836813084,1890.3823335616512,1884.5494892370118,1882.8494701148272,1873.997726156534,1853.8785380942452,1874.8981671835668,1875.873101796112,1875.9879377175353,1848.9625741753027,1873.0831626001604,1873.691229066905,1918.9992642035238,1884.3240456690783,1896.158679570412,1872.4873848813631,1871.1137234990208,1855.8212751356887,1876.367066259637,1877.0338612104274,1849.1772092609326,1851.1770096630216,1875.6589563508603,1873.38673705207,1919.8537049155173,1892.895083027725,1893.2410009579899,1904.2686888059488,1871.3963049635613,1867.0491721452186,1877.7646034944214,1877.3737969337778,1850.4250552860588,1848.8867868211287,1874.3880849790175,1873.9683801587353,1908.8663232668011,1886.0694656629673,1909.600856370263,1923.1744506835528,1872.9097349379108,1847.2098886226302,1878.31572774272,1876.357249504461,1864.4171721363002,1853.9182267181266,1873.2285605074358,1868.9202402997212,1918.6784255908233,1889.438638782779,1917.8071452272861,1871.891224003563,1872.1973183867713,1848.2209162516233,1876.7439238193642,1875.5957953870052,1863.7740817757613,1860.794768356018,1873.444432966041,1869.876675412458,1922.6158793171353,1881.1903615222523,1888.4776113121536,1871.1332087232458,1872.2269944647494,1847.039348820749,1874.988145246786,1878.0536751023722,1865.9865690932907,1854.0291778489168,1874.381930056873,1871.0825555183808,1926.879212659467,1882.6772493731287,1908.9209015019987,1874.2079001624836,1847.697356911735,1875.5942981562841,1874.71965678605,1871.648061312646
