district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2018_07_01,2023_07_01
BELAGAVI,1851.1578178988811,1876.7083069550936,1876.492793120871,1879.1384688057155,1893.5083788013887,1879.8692744283076,1873.3362536928053,1895.3688309208908,1871.6470113987177,1855.081725669497,1863.2477824866419,1864.8091288596206,1850.8518420325984,1874.8221239304967,1876.9046528405593,1875.7974469346555,1891.4958143705096,1872.3200277161345,1872.7914156984245,1896.5691050100709,1877.1955170619426,1854.3506624878619,1863.7780464609139,1859.7732256460777,1852.5130864665964,1876.035393859304,1873.5148402964294,1868.6718027895547,1891.3883229863573,1881.7874619394931,1864.2225772720556,1881.5615236081223,1863.4217959989508,1853.1855844348495,1850.0989186159186,1855.9660468331083,1852.1684989213645,1873.641793670592,1876.2546660316907,1870.9762349445925,1882.236898798593,1879.6540684791041,1870.1789750852854,1894.2566598640656,1863.5876144467074,1864.3437762450133,1850.770022842714,1866.778567323604,1850.6289861575863,1876.4348681939032,1876.0317777794874,1873.1194073116271,1882.9214089284922,1881.5521478199078,1914.662386211004,1868.0438657342138,1873.5797725193138,1850.0125925236173,1865.285145099293,1851.6427861344844,1876.894060851284,1876.1613434265619,1874.5364630447596,1895.6628972700876,1879.3647010956993,1872.5470934051673,1915.0327883938273,1863.578569646097,1862.211976220071,1860.5420182723233,1866.3198783264777,1850.5290103563036,1876.1724893255675,1876.4019088696148,1880.3180105863535,1885.273251700623,1882.290832542972,1868.7303578116496,1916.7106796638675,1868.7409016717545,1855.267523364181,1864.5418926742807,1864.029117674966,1850.9276936666372,1877.0787863604774,1875.9880099587892,1878.3732134208635,1889.4030386562526,1883.1372433598544,1872.8394118078447,1897.5295296084767,1874.6784985286138,1853.0957963462317,1864.0113833434145,1860.3132765866737,1851.0769486890936,1876.697839239569,1876.011719303812,1872.5270115564524,1887.186568225672,1878.8190467260702,1868.97021399313,1907.1186060407256,1874.953470205974,1848.8502691390956,1850.468471311166,1855.8833373561474,1850.4555180259401,1870.9521300522526,1876.1339938798624,1866.6730453637128,1893.2197158064794,1877.6992827033016,1887.4250755627645,1865.2059435646559,1875.9030692959884,1852.8897602693426,1867.0319492907165,,
TUMAKURU,1852.087451214838,1875.4216687233345,1874.962300204273,1892.3973957891637,1893.8138396985505,1862.2476504917022,1871.1809293842946,1867.2593572323867,1871.882188135419,1866.258141686762,1849.814843917705,1849.5305190716876,1855.649902742725,1874.9805014788444,1875.095998630139,1876.3276564125592,1887.5400486445742,1864.0106594311337,1873.1615498014119,1867.8888127454973,1872.3316089251728,1865.122394292733,1849.513308931524,1850.3601880952895,1856.3816882755789,1862.928690830032,1871.1618468010722,1876.6863154975551,1886.471118570572,1864.4670782470225,1870.2867370407712,1865.957033725525,1858.2618169860875,1875.6096372328611,1850.2147226076377,1850.1758716547433,1851.9942032200736,1861.8891434664577,1874.902053372646,1871.857150534916,1883.8732088603745,1865.4273151340199,1871.8130130363488,1866.7541737212698,1865.8868738025676,1854.3027277446665,1849.5078572790835,1850.0176331291411,1853.031531704213,1874.8014513672058,1875.1563480089487,1866.7977490260039,1867.8559339203534,1864.0528119038577,1867.660670256171,1865.8938862611597,1858.1347461468388,1850.2423788643746,1850.619380268653,1852.5140885459664,1874.926471023226,1874.7373607661264,1865.4709024391068,1869.51893727269,1862.8067529282532,1868.8050756713658,1867.6257961805354,1866.4448943551258,1852.7320884999506,1849.398794503458,1849.911962574399,1854.0985923530895,1874.8959193815408,1874.7432113731918,1891.7982432219344,1891.429103509176,1862.330562950931,1870.791022391361,1869.7175593003587,1871.7825957053244,1870.4044690027301,1850.1764025361672,1850.3883662035576,1855.7474167699443,1874.6988687999856,1859.0024891845726,1875.0638979583794,1883.8899004611326,1862.8879004407775,1871.0601186467277,1866.378762430788,1875.2825866781523,1857.7859635807513,1851.6318194635185,1849.6696147382258,1857.0515695933775,1875.7856780275567,1875.1240179864633,1871.4703664366532,1886.4673155100472,1863.4176668929076,1865.667922168083,1867.176282748451,1866.9079298289969,1870.9730823205502,1849.5838306400408,1849.5023963575031,1852.1963908986454,1875.7071902337416,1874.618836009181,1871.5220346989445,1887.0161185376182,1866.249478013045,1865.9051933107796,1864.810551775216,1873.7506883641472,1850.0023458332812,1849.614844945752,1872.1974106995044,1870.0312022673138
VIJAYAPURA,1850.944740617137,1874.6194426075128,1874.7597174846758,1869.7128050200492,1883.319745703667,1885.9473878529882,1875.6501383580567,1893.2174103945367,1872.9185646389535,1866.2327540132253,1858.8718241792344,1871.2630333366105,1849.1978027790246,1875.054785269815,1875.2646313174407,1870.0887617949709,1891.4300851789467,1872.946345001335,1869.4204195638968,1893.4631067182186,1874.2529201221487,1862.3069356303756,1859.5054488093585,1868.809883093509,1851.021599025582,1876.4395461332144,1875.4868463695075,1866.5506798553545,1888.6617737702259,1875.2638175465172,1872.7144403614766,1882.2545995794592,1872.1725649757568,1853.0668059936093,1859.1787642701734,1868.0003570272934,1851.8239934477722,1869.1940540324417,1875.421006198164,1868.5088190781264,1894.7672361171476,1877.2481251332554,1885.3386342636018,1873.8807456106201,1869.6548307520081,1854.0249333903578,1865.7040373100178,1862.8620527164453,1852.5813990589502,1874.843242680072,1875.112886687877,1880.200352762597,1889.3923167864398,1890.0110341418567,1867.0052715867923,1873.2724754284907,1852.9961437228644,1860.0415635284596,1860.307639999622,1852.350827175301,1874.5214323919138,1875.0549880843928,1875.9362095148385,1891.8622207098008,1874.2961113774063,1877.3366567259036,1877.3757229717453,1861.5018035370988,1874.7755166182699,1860.771738980276,1868.937853576727,1850.806097343072,1874.645533943995,1875.0860534835642,1869.6533433976426,1894.5510687980661,1891.793990673371,1873.2104399543234,1866.33372308694,1894.3363490757383,1862.3958600659207,1860.2764687552278,1872.0790558365318,1849.3987893843503,1876.9416730652345,1876.3866840966177,1872.6948878811052,1893.9336520712072,1872.4147606132246,1869.5594813223595,1904.713152366329,1875.7791748231339,1857.6539979803465,1859.711619491267,1871.4769149906692,1850.0564173720215,1875.6252869038665,1874.4861164101533,1865.5793260359753,1894.3748487089726,1877.522356343849,1883.4315752597977,1900.240537678412,1867.3696630828085,1852.6127157974051,1862.4224274826408,1868.4155867364386,1851.9360969023303,1870.0864598036408,1874.4193800439912,1873.231058104384,1890.3259281349074,1872.5587474059137,1867.5448684229657,1862.9420689988624,1854.1595818965204,1868.0410383550386,1862.6681490074463,,
KALABURAGI,1850.7844079728638,1869.1978980974488,1875.1166013106288,1868.1553472248195,1885.802939175524,1868.5960813515364,1882.5549429899006,1891.5070748010992,1869.115234120153,1864.775280618981,1865.611616726644,1875.6477783565522,1849.8268611432156,1863.0284527962592,,1870.1249606584206,1888.4631928797835,1872.3217338174643,1876.319290527992,1909.8428251132593,1867.7738554702926,1856.546161197865,1871.8014493670532,1875.5004400135097,1852.130238158079,1873.557965756444,1876.1286033596646,1884.6285556360021,1890.3426351766082,1884.1548984961669,1885.2566938140124,1905.3596032715868,1876.542274515765,1855.383535982406,1875.093794374857,1875.4319266630655,1850.6560761802878,1875.9798201131189,1875.2927241321418,1885.2562950921129,1904.0938455435605,1884.8385949153105,1879.2195612614992,1899.8607258304698,1870.2266486331569,1851.4166757155015,1874.8338586239458,1875.4581240918185,1851.154958054735,1877.623856977055,1875.1023177982215,1875.4237627317896,1890.0951962885629,1871.1529033613274,1887.7369071556561,1874.8355189941813,1850.1703590807026,1875.5399456786265,1872.211456963021,1851.5172807559652,1875.4089472979992,1875.3884183747075,1872.3881387901406,1890.884297792468,1874.642126867462,1880.1184830975149,1882.0727661866047,1857.8151768930481,1868.3760720124362,1862.7117255466062,1876.447744764231,1851.8942433587672,1874.144993728131,1875.1932446010348,1866.9824431090476,1889.2164336638361,1871.3228599957665,1880.049445414191,1868.6157555725852,1868.721677763278,1855.3141809440988,1868.8228600283965,1875.2216077988764,1850.4445928745754,1874.4519244382668,1877.6225699008999,1873.8877549466545,1893.6333138689088,1877.2479000597277,1873.6755855025233,1870.2459175481188,1873.6276605430662,1856.078549522318,1849.5413132525355,1875.4365552682557,1848.901660589579,1875.1727630602647,1872.14716378278,1876.98897335065,1894.0373670719225,1888.7799390949974,1864.7065820170656,1905.403676413724,1881.281031045557,1851.7555865934735,1874.5516967302958,1875.6465186175992,1850.6128439854444,1875.8564229720835,1875.6228120767173,1880.4852296928082,1890.9013352257907,1881.1050478181164,1894.3633445870614,1869.3578480197752,1850.9015185752855,1878.60276212431,1875.0785348142758,,1869.6317117168132
BALLARI,1850.4134150293207,1874.1526274999885,1872.8786625627029,1868.084171575906,1879.8396041855117,1872.0316623601873,1868.0243315015216,1875.6041962821453,1870.5862858993532,1869.1401157937162,1847.3004556763,1861.5367507252115,1848.8402844427171,1875.3142901989816,,1870.5194434219693,1889.3045895385228,1871.5204753594096,1867.925183228639,1874.3849870948297,1868.9867060692527,1857.9493532654064,1849.3986774993832,1861.9842515546209,1848.0630842842454,1874.641730679141,1872.5089370137912,1880.1488069027735,1886.180092027725,1869.986345119015,1868.5652358660784,1878.1188084252344,1868.141039930742,1857.9476354088895,1860.1681321691872,1860.9959787057326,1851.7076266716992,1873.604524341834,1873.600214121056,1883.9796490508143,1893.9397575952821,1868.819596443656,1868.7990391265566,1878.9296557728483,1867.8798630452177,1852.6788979369178,1859.6795660989792,1859.4569250355257,1851.8291227827242,1876.0094564836745,1873.8004483625364,1869.2579779249759,1891.3455313248571,1876.636908240425,1879.8481257766075,1876.46737247634,1854.8828004585755,1860.7549916542673,1851.8057622185281,1852.5948679971502,1874.0590635874241,1873.9229392229552,1871.611412416041,1896.1698005934518,1874.8950695880346,1868.2918345739538,1900.8238874180956,1871.4075656987877,1869.9090218685778,1848.185676140299,1849.1384922995237,1846.784177337008,1874.026442919631,1874.2434535563812,1867.064130252546,1891.2068173523055,1870.1265741199145,1867.797039267513,1866.2127427063451,1873.221847140447,1862.24110548205,1847.897972611029,1860.7576605326328,1849.8746292314042,1874.1488543473706,1875.789631782332,1869.2612371637476,1885.2143934748829,1867.2691869168655,1866.1945927993074,1861.1517366649678,1865.5831176196618,1860.533425239402,1846.2895984203983,1861.1276662912835,1848.464453178368,1875.169051784981,1874.1293661815425,1892.2310443561735,1884.070772624655,1871.3313983947567,1868.9688728855213,1884.9310462008912,1866.2465939115666,1853.884480125941,1860.2368884712569,1861.3944693589233,1851.4503511450419,1874.1388865335034,1872.2394857744675,1884.3487958202195,1892.10137195038,1869.5117248824547,1879.8539608548513,1874.1014928554096,1854.1040431708807,1860.7651022952239,1860.2186970743667,1867.9478407919137,1866.1571968732983
CHITRADURGA,1848.300032838239,1874.1067047576898,1872.773244319476,1876.3412278217625,1884.6133213774601,1865.3707947053747,1868.0670780047353,1873.0202924551368,1867.7178348552502,1869.2658231355906,1846.508454407272,1847.643879304304,1849.617032024691,1873.372514478459,,1871.0178228529855,1875.898655943699,1866.419383374764,1868.5414851364546,1874.0354857421573,1866.5362269325215,1859.8070648122493,1848.003202583673,1851.3618251166426,1851.418258182875,1873.016084192844,1871.9780082156105,1882.1034529947149,1886.8900759445464,1865.101096462386,1869.0520227540464,1877.1480793651676,1867.185382340894,1863.1195485243918,1850.9716262265642,1851.3900495269083,1851.5914453729133,1874.690292520539,1873.182366673911,1883.7812002095923,1895.2565909301748,1865.8812675512095,1871.4678691257006,1874.424181571745,1867.4776629024734,1850.619485526649,1846.3909712404368,1849.93064150395,1852.7511176989142,1869.2200805629075,1873.1502117310515,1873.7081209241985,1888.948716622309,1869.1283760435808,1874.784585416865,1874.3739791888204,1850.8396901420679,1849.7898015867984,1850.0835768724542,1852.058096969773,1873.5212295274061,1874.2699818178792,1873.4035494719844,1889.6428324078906,1866.2558586437285,1866.6840897102697,1887.4925037655353,1872.2660048907042,1868.043980573459,1846.281408623453,1851.345931004953,1847.735505319651,1873.5995016381423,1873.5232259812426,1875.3887204059517,1877.4226573072724,1865.5691704722792,1867.9919756002355,1867.5313386026096,1872.4434613395376,1872.2044800120386,1847.2241545280513,1850.076436989978,1847.4552663386037,1873.2625059338657,1875.6581810150865,1873.5010361639706,1881.179310203941,1861.351433058189,1869.842660954385,1867.1742381119993,1867.5805709737826,1858.45053402086,1848.2765411374146,1848.550817106316,1850.9926196562562,1874.1029783992176,1873.1964957443374,1896.800845923737,1884.3989608849415,1865.1964227788203,1884.5958929768556,1878.0843580620553,1866.0435870514018,1860.3488525675218,1846.9367885798965,1845.9944052251521,1851.0081063859195,1874.1306938307541,1874.596543989393,1886.6159317981628,1891.8849136874412,1865.4002554365093,1872.9027157722387,1868.122611144672,1851.2034867685888,1846.6961848522246,1847.9694384441893,1871.788136844057,1869.4983434863632
UTTARA  KANNADA,1850.3520383847776,1876.125477226835,1876.0005178806246,1887.8566165818966,1875.9478802554388,1877.6727864163734,1865.1218457348446,1888.8556660182123,1868.9072359610302,1863.840158566308,1851.001726992462,1851.4764431732406,1850.0148150759921,1875.7861912850565,1876.2485629731375,1876.7339518794365,1890.7638713003555,1877.4960642011104,1866.847059577417,1873.693319491409,1873.3507538274653,1857.2814608224778,1850.7564973948486,1850.901306219916,1853.3807006628585,1876.3178792238386,1863.1105754095122,1869.810724540565,1889.4853889111687,1871.2347790859308,1865.6414201969944,1870.0528234009053,1878.0482774874702,1855.556144289189,1850.1519612829043,1850.5526217395818,1856.0841524998907,1878.3380633866886,1875.977678079545,1864.7454910829224,1886.961726957664,1875.0108640179233,1867.831687707632,1876.202518720379,1865.815328177246,,1850.258162352027,1851.489829215972,1851.0221936757157,1876.7458068145868,1875.8082748264412,1865.275490581303,1879.3767414123897,1878.5454877108418,,1865.7261174011821,1876.220072820803,1849.8676176965848,1850.6474090232114,1850.9633075902318,1875.8372777634786,1876.3943727545995,1875.4881299882943,1883.944262382253,1880.756277234478,1866.997420769015,,,1866.8186457819268,1851.2802005238016,1851.867926826285,1851.544206323097,1876.4612363886436,1876.3317298903194,1886.922095016441,1884.822050747513,1876.1084788204305,,,1878.807728035928,1861.939243930352,1851.3612047421161,1851.1210362045554,1852.153786326631,1876.8200146062536,1876.4489232446185,1874.9045305749924,1879.7749622115925,1872.850444786015,1864.986070039524,1896.0472638771982,1870.2713969313138,1857.4542414828863,1849.7333653948278,1851.6448211480194,1852.6400316515098,1876.7825819377902,1860.5938759763048,1866.6874822665286,1882.8594614104923,1873.2518832026524,,1913.6912217122633,1874.95540333389,1861.8806346531048,1850.7449995071984,1850.9459844806784,1850.7743340726363,1873.0284611618447,1879.6781310192955,1866.2540869271315,1887.8214814986475,1868.0020256531468,1875.4846294347822,1867.1886963030502,1877.523126571053,1851.4306714852096,1851.314161020779,,1865.0118459019334
SHIVAMOGGA,1851.595072274863,1873.3506100417605,1873.5011857248874,1870.250650347832,1875.337087711325,1863.9025636283834,1869.2562685003313,1876.3018231265473,1866.0254451734354,1864.4789915032782,1850.0388224684334,1849.2525399413385,1852.8423283453544,1874.0238157637932,1873.5452163243353,1868.2963767739764,1880.8631312411455,1865.8946522724395,1867.2652213087263,1869.3634489978524,1867.1651969235288,1858.2853283756963,1847.9465678779482,1851.5315640243286,1853.2488764422578,1873.0574402008951,1872.7214680228553,1868.238872922174,1878.8193540472812,1864.3097116001381,1868.3684252689964,1868.4712164119735,1872.5075325711848,1863.578213258036,1851.3764253986412,1849.929607078388,1851.4062330643403,1873.3954238256774,1873.2530891673769,1869.4790002138514,1891.621361208533,1860.779820113533,1869.0133978987603,1868.0204111191615,1872.8106057707564,1869.0523497408012,1849.2268257685744,1850.9560218764425,1852.7884684002706,1876.4386810787437,1874.605070182868,1872.5113283663416,1878.2459831998005,1868.558142569755,1866.1923353235113,1872.577200613988,1861.82292782043,1848.0334291719262,1849.8203662435624,1852.651285892005,1873.7009496750443,1874.7092858041503,1879.0315667609761,1879.484740567685,1862.6957518850795,1866.736880645561,1865.2803086687604,1868.0739723643653,1867.831013103169,1847.8099201047448,1849.0561749968806,1852.4056562524618,1874.1160407181417,1873.1295986096845,1871.083440216148,1885.1175482820152,1864.4822288247537,1869.3567172081468,1867.739786071101,1915.666269559416,1860.6833078604789,1848.5753227128594,1849.6112269236387,1854.4333901633327,1873.327581626025,1873.9966766852417,1865.1907697828456,1884.111919807003,1866.0263814324403,1862.8432844648667,1903.6360680720786,1866.856009227839,1859.0736902537883,1849.5385931734013,1851.763511887875,1852.682133439582,1875.6711107996591,1871.272085372342,1865.2367319521416,1875.0423700384322,1863.4867553508825,,1875.9014334434594,1871.5339952627403,1872.9680196616598,1848.9730648344446,1849.4089146425881,1852.3519446475666,1875.2864182447831,1876.983840307414,1867.7192009457087,1886.3753732132898,1861.2213196981268,1868.4503856898757,1873.544812913171,1872.814122555843,1848.0981075359389,1850.3269163424875,1867.1578939787946,1869.4182139498862
RAICHUR,1850.8372625436966,1872.5811791037204,1873.3340812237195,1869.0842612537635,1878.510622517474,1879.744401561807,1871.7459603693344,1882.5009644993581,1868.9697322174152,1873.306410836898,1853.3755573031376,1871.1052716168274,1850.2613684127164,1877.1826591000206,1871.1500581427078,1867.8985856612508,1892.2253324237658,1877.3590963793627,1872.8410516055837,1872.1127018795119,1869.0712601253827,1860.3906872861091,1858.9200543629713,1868.9696900089025,1849.837187261918,1875.4777061223688,1874.321933225399,1888.627303249157,1894.93775784527,1877.506156640777,1873.6366493504595,1895.1336083434023,1869.058166220694,1854.0909834984254,1865.5650298872902,1869.8418179589135,1850.8033699333694,1874.6709106119738,1873.674366698113,1896.3655022212938,1897.3728560653299,1871.8884412439593,1871.9394649068922,1897.0919890145774,1874.1746082429047,1855.8353930205992,1867.7620415815552,1865.7034289636551,1850.8914509236288,1876.1823311240353,1874.2597480469774,1874.5833252630534,1890.0808239823298,1880.700185352509,1893.0719737736372,1875.388338369838,1855.1994377422654,1869.8482951360686,1859.790108252714,1851.0812908878709,1874.1710083587013,1873.9682302769038,1871.943765337351,1895.3382436236716,1881.0677921120264,1873.622293514367,1921.291254463825,1868.309963422982,1867.4388074971,1849.7999627046436,1856.9726914461146,1849.4059239947408,1871.775757764321,1874.2614484307867,1867.2688659705186,1895.0001326546894,1881.2318371154597,1876.4363640914266,1865.7773204529094,1869.8366539645126,1864.7029734669256,1856.3446736706546,1870.0735422564692,1850.9479598183007,1875.2973055904035,1874.569554839848,1868.5290175083098,1892.2744809124301,1880.7867615974467,1867.578301250509,1863.6285088757159,1865.438415890142,1855.6292488209367,1849.0565917086294,1870.9022377764215,1849.2935527424854,1875.536441697865,1874.5516581145805,1895.4213516104267,1890.6668313491866,1872.1708912535755,1870.7472291617528,1897.8982091576604,1874.66689933283,1854.2298671192611,1868.7028254039956,1872.2673056364945,1850.9285213442604,1875.392776354631,1873.7896695102665,1891.6334331647033,1891.6297593176494,1870.222218209628,1893.6694254624606,1871.742104092674,1853.6827400853024,1872.5049380517366,1864.8332012222763,,1865.9382987646673
BAGALKOT,1850.934681056092,1876.329166780225,1874.5577041922393,1878.7183575511433,1881.6181664823566,1878.1533599997088,1869.9930873083736,1886.5592495822907,1873.7312378740735,1861.383890025687,1865.8192417579446,1866.6822816203,1850.3874859184534,1875.5934317744752,1874.3260405410301,1872.648287342617,1892.107091316531,1881.3426391886371,1869.8634529518401,1922.8228609954595,1874.2853865468091,1860.8295242954966,1864.0637348014989,1866.622382124022,1850.972572659481,1874.7213835866391,1874.84341316871,1869.2103678738088,1889.0093972624074,1885.4549139206817,1869.3718936326154,1877.4062890692303,1871.497341934255,1854.6455516056249,1850.6878046982542,1866.1716253008665,1851.5634593667494,1870.6108310171596,1875.0037301321627,1869.4116757378897,1891.8790187118707,1882.0924154773975,1872.899512477886,1877.7319449219003,1869.5401134453807,1859.0443190252886,1854.5551167643248,1866.822424466324,1851.8785888103966,1872.612244721546,1874.6162106948746,1875.6938931790228,1882.7732872068464,1882.1265212714934,1866.101631897822,1870.240144574539,1855.2129036478311,1849.7547136464118,1866.2902931714648,1852.146425307971,1875.9316576181513,1874.6217292035376,1872.8885858221079,1896.77838314018,1874.3966581250697,1871.810138415563,1884.0023851491108,1869.641141070547,1862.2955432385952,1866.6046090955754,1866.7270640714473,1850.5251294433333,1876.001185538429,1874.6854849111078,1878.293836147412,1893.7534075536823,1867.7947039690487,1866.643727401735,1865.6163564372046,1889.8497607548552,1861.8926159738344,1866.8783287173594,1866.3650210311766,1849.7956618236392,1874.4816914922524,1874.5941606691745,1874.0289139340102,1890.5736325133978,1880.6146306949688,1869.3323539383439,1907.0337511975995,1874.68656578443,1860.2619390829955,1862.529850799374,1866.8065420319506,1850.933177270913,1874.7529244287682,1874.594127083497,1866.2569286530977,1889.391182604315,1882.7337246209245,1869.7054828707683,1903.822634441178,1872.915560273768,1851.8946797249403,1849.8103735617963,1865.165470649918,1851.14024222723,1870.0414403647248,1871.254411307766,1870.534762987573,1894.9746388646727,1878.2106898327258,1878.7444739785678,1865.5388916991114,1861.2698567083416,1859.0491996857793,1867.3992005981086,,
