district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01
IDUKKI,1851.7180652872769,1874.4749295981237,1876.4710732760361,1879.8163928536942,1864.6461147340804,1867.8981472348617,1868.8355626800349,1870.6788434362165,1878.7958283735384,1869.9190305714292,1851.229639408266,1847.9956859335018,1872.7732975384515,1874.563042553515,1872.9220391992567,1865.3367640878246,1864.277817465093,1869.8342193588282,1871.5521938466914,1866.5777685360767,1868.1579862871274,1869.0881202263802,1851.2238648901039,1849.4803763929046,1869.2704577645025,1872.3052997052591,1876.3591411893085,1865.944999540738,1864.0048515654044,1872.0912077409732,1869.9243021967632,1865.2089562833019,1865.9625322400916,1872.5812073318116,1854.5330485707475,1848.4718449626557,1848.5743506483873,1875.0117938524256,1873.0495552146656,1866.6485359665637,1864.4953987127917,1872.279878302105,1870.6788130843222,1864.6314355300015,1875.4944910966499,1867.6864858244003,1853.6543593978656,1846.524618136732,1849.8509392025,1874.7357945216174,1870.2791730132926,1874.6121034124658,1873.9798524861085,1864.9300268347697,1866.3184933315056,1874.6104606873496,1898.273097639476,1871.5968700201458,1852.1151945618763,1847.113570758738,1849.2201740343974,1873.4938115589584,1874.899183586404,1880.1977974235745,1871.0129426591704,1873.1118841277153,1870.6346071502096,1869.1883509890563,1897.97965217311,1872.412404819803,1850.2596304701228,1847.264921875213,1865.231559652099,1873.9226482803053,1874.5682092697955,1878.5844704669398,1869.4105426999167,1868.9011142980412,1871.4013507393845,1869.5917578030226,1876.3082681638264,1872.0105810274163,1850.1640890054625,1850.0477750011007,1868.7962127689304,1875.0461111748198,1873.8284582068993,1865.8348395721982,1866.7660368244462,1869.900546153672,1868.8813530693935,1865.070332841168,1870.5754026031211,1869.0214684820744,1858.7567586599598,1850.1278076955593,1868.4421737592627,1873.4631585498516,1875.5584331960192,1866.1312144124365,1864.9651295452168,1873.3478933185536,1868.406682400501,1864.942083450397,1891.072421556754,1874.2735025263507,1854.3296030938127,1845.9937673715365,1849.2562278864405,1871.7654565840294,1874.1053318174459,1869.6263908393628,1865.2536383758338,1871.002901480724,1872.2283438636994,1867.4816308343634,1901.0693558994508,1867.9836428879971,1853.9746967321387,1846.431446113413
PALAKKAD,1858.64716047316,1878.0510455908473,1844.8668231101697,1874.092058519322,1864.44365369405,1845.4564472954278,1846.7296998146342,1869.9433500025496,1867.4876960831295,1874.5262130510303,1850.8491521382095,1848.978011729969,1877.202562411733,1877.9894639067215,1877.4543145704786,1870.326551518333,1866.2961836322697,1846.000217493962,1876.4179874208078,1867.7767432822357,1864.3696682770214,1869.3629392334335,1854.7505913638722,1850.2497352778637,1876.7339504736117,1867.3033296411413,1872.3055994415781,1864.5927167432365,1864.4906819322587,1861.9410923068808,1845.4427726156935,1867.0134651093329,1866.2679020030484,1878.114229126038,1854.7903497870502,1847.2708501111501,1856.384375437337,1867.6676449936172,1877.6416077014737,1866.036046429406,1864.6976117840982,1851.6576818458052,1876.0054541704083,1865.0150507139558,1874.5603321251992,1844.1410642745857,1853.022234760394,1847.507998744998,1856.614885484853,1877.1276060426571,1861.7341041100856,1866.435998979977,1877.5465085786377,1877.833514879687,,1870.1198199919372,1869.6679191492242,1859.6613147195153,1851.1424944875812,1847.445083523358,1857.0505072397098,1865.1615804295704,1876.982801724783,1867.7916809900569,1874.5658248752918,1848.0104861011953,1849.3061502937355,1874.9715172364752,1867.4384912830396,1878.4282633505154,1851.1107973613641,1847.693739979939,1866.2573351622293,1878.078114358146,1877.9892615339375,1869.181891302196,1869.352000724353,1851.7138386181382,1857.1464494561114,1869.4381658840234,1868.4052372546905,1862.6632480704147,1849.385686375013,1847.0621848468375,1864.2384703454074,1877.8267339237425,1877.4416930677003,1867.8392329220828,1868.6998530318638,1870.3996190395042,1876.9853253309725,1866.89536913146,1865.9225046639785,1864.7271556812425,1845.5355438774588,1850.5519558497156,1876.1245720051716,1878.0662263598742,1877.8831394796396,1865.3303767145387,1866.0153465162816,1876.5487908527493,1861.7247307887176,1866.3954096159825,1878.5598425807932,1877.4797488523652,1854.2739377322837,1847.7046276892243,1856.3756732617867,1877.5590104828946,1852.7000827399258,1865.5505283887157,1864.1270317321846,1878.20428032726,1877.8354306126062,1864.4748187289504,1870.1302727558443,1873.700457623747,1854.6111675710233,1846.0483745726099
MALAPPURAM,1854.3223226800417,1872.649188311843,1872.5300931063632,1863.9804209596434,1866.2731373475283,1870.805411828301,1870.1188995123414,1875.6023701160593,1868.9798120227638,1871.5117089887362,1851.0213550935966,1846.8591348498212,1861.2569174438406,1873.9716749297631,1871.3915071414579,1874.3778079175952,1867.1805110287,1873.063738828734,1872.7182078049555,1876.6054521535377,1870.305983790395,1870.758617778432,1849.0819076974853,1851.1503887374818,1857.3223745189127,1871.0100522913776,1873.7620231436013,1873.4879220046391,1863.9080832505201,1870.6890815976872,1870.189970776695,1871.7296240610651,1876.9808379378915,1872.4135838590848,1850.0036618002666,1846.7846509400638,1848.9530844625906,1873.7071835120619,1872.4130695092103,1867.2390761060506,1866.560102171442,1869.8932953642839,1873.1194731151381,1867.926149034763,1874.011504530469,1867.2088329042222,1849.6688682352483,1846.6970019889054,1849.441506076878,1875.7865821070693,1875.1415724141496,1866.1733172499294,1870.3378453369544,1872.8859246659044,,1870.2844528173823,1866.2339622551892,1868.7080550409025,1850.2351972978236,1848.6890895683882,1855.0790320814901,1873.2179558947867,1873.2680323098482,1865.9583969393168,1868.5411529292198,1871.3535919960264,1872.6353850036685,1877.3518925542544,1865.4565285399674,1873.5519332035808,1850.7604679610938,1851.6572143596538,1858.9428696589416,1873.9234268680268,1873.2020252246275,1863.67543549692,1868.5398507342045,1870.1857263925015,1871.2433098569434,1875.6541333037726,1866.2701806598468,1871.716583033489,1849.9680389095402,1846.290566390867,1860.2055461616812,1870.26434826094,1874.8004930431646,1878.9255894536302,1866.4870136836062,1873.7378039358773,1871.5641050833046,1874.4488915624167,1869.5479835607537,1873.1175132691437,1845.1176773336563,1848.6804899066021,1856.9175513541031,1875.8103889810686,1873.0547353707427,1867.1308042645364,1865.6993668628918,1875.3435012666487,1871.9236379581732,1869.089138548946,1866.6153266338135,1873.0557264492102,1849.2846352514255,1846.575082150852,1848.7298494479262,1873.931344861823,1875.3260050944957,1866.4107677423929,1865.8288115370794,1870.6322897673297,1872.7413410780334,1866.273974895949,1866.741637800039,1871.4930709659855,1851.207383406645,1846.731800825793
TRISSUR,1869.046333590299,1875.3476683039664,1868.351029786705,1867.4747454711476,1865.1110584579092,1865.7549646888551,1866.3222475899966,1877.458070851693,1866.368820648924,1874.624497109452,1851.8189859833105,1853.4583407838848,1873.1478698036851,1875.4040126575323,1872.7229447284737,1877.5437536324782,1865.929248486976,1868.829476396802,1871.4762768863516,1876.7833727113916,1865.1670458070241,1871.786254245778,1854.9370031527317,1850.2584826128239,1872.3691788332496,1876.294308362429,1874.1574552849124,1866.1993357676315,1865.2795696775693,1874.1538050772615,1865.8947479619997,1869.7598917499952,1866.3705460976491,1874.3756792392765,1854.338665503491,1850.9789573635696,1855.0772091212623,1875.3198607640647,1874.1917737257993,1867.2745169294938,1865.8263702815323,1865.9165883623089,1873.143463946559,1865.8721713005493,1894.3966562369533,1865.1048151793007,1852.186081042663,1850.868403625592,1854.988149018279,1875.5584314968464,1874.1630465196351,1863.7351261908645,1866.2030274882702,1874.7275895807384,,1870.0824259653969,1864.556475546656,1865.7068837115144,1852.7780391356848,1850.8440015856077,1862.110447178588,1866.8319537329444,1875.1674524017517,1866.379223676282,1865.3796779765523,1869.6444240749465,1865.9666600766336,1875.6180813028493,1864.3778172253783,1874.682993815277,1852.198412789833,1851.3114178176363,1870.9589593034307,1875.2978575897425,1875.2135199178203,1863.4840554694756,1866.0503692130098,1867.4131538513,1873.3536430349097,1877.4079914533493,1866.8291761148005,1875.4115808879974,1852.1190124656837,1851.8766392087657,1869.4252771326335,1875.524002406672,1875.3551959266363,1873.2629263831886,1866.5157514755706,1875.4205394498404,1876.6312654895924,1873.966280548261,1866.0612815656318,1869.6012051567982,1845.3643864943197,1850.1051871164861,1875.4241469377534,1875.6017890502292,1874.7888913601419,1866.313821024368,1865.0960538896848,1874.6917531804459,1870.0096260332882,1867.8549925407326,1869.6784067917372,1874.6863809243553,1854.1356398002288,1850.3079764009062,1854.803613150559,1872.8057366536725,1872.3339050628397,1865.4027450744513,1865.3200002587043,1873.5671926056134,1875.0287553612218,1865.6635805705785,1866.7577525200672,1875.7902272765734,1854.5327850186118,1851.4818334262911
ERNAKULAM,1870.8764443146297,1877.9606937244025,1852.3733617576663,1874.059692442971,1865.2635118593764,1851.0402382714437,1847.8563019073774,1876.9278555279168,1867.605741553871,1877.8130795985592,1853.4378278553372,1851.720084088107,1876.7069738056139,1878.049713524353,1871.8612127010445,1868.3224214087409,1867.0119706147182,1850.4513016972328,1869.6201905507514,1873.29489695585,1867.171794742141,1872.7710356164405,1856.7505577889476,1850.6828059913373,1878.0490206548282,1877.7751943038018,1875.7927029079,1865.3812776060774,1864.8197918606563,1875.4207234513478,1848.4335746546071,1868.4463197405134,1865.9090942028795,1877.5695382051963,1855.4038669612182,1850.9990524223294,1856.6211883587002,1876.6600330584179,1877.5636426544943,1866.7776382617005,1865.3097138398755,1849.1490124849806,1864.255800166329,1864.0923673491147,,1849.3772196664904,1853.2878114536857,1852.4827215466796,1856.9393429700222,1877.90364095169,1857.5606732002207,1866.562917327409,1869.1400341516587,1877.864767083656,,1861.9033963600161,1870.3265887839025,1868.0835133922833,1853.4363257506714,1850.3349531197152,1866.7535705409546,1856.5785508481326,1877.1146928885855,1869.4809849945302,1863.6056221110935,1873.9088066632776,1848.8406212789673,1869.5211773125025,1869.4117676195733,1878.5850781525746,1853.159557284592,1850.575445129243,1875.793335268146,1877.76922520718,1877.931685502063,1867.947030155414,1867.9762170874383,1851.0532580192194,1870.3013279616114,1876.0999217296364,1868.108021351569,1863.421738534821,1851.9845054603068,1853.8280705041823,1877.9869764505747,1878.0000661250056,1877.5264857575764,1867.3094585249592,1866.6674416046662,1856.8626299047041,1871.6587024097917,1869.947810967171,1868.794027323082,1860.5202472741048,1850.961735199013,1850.6108335610547,1877.9896498935357,1877.8734016617304,1878.2861888795587,1865.944257528128,1866.9722755421803,1878.5101340544536,1851.6028495639187,1866.5602681787054,1893.1313337934766,1877.7999740703349,1854.8158569280108,1849.8510352662606,1856.6132067132082,1869.0134488549277,1872.808081163638,1865.288371916929,1865.5678404935957,1880.0795042575235,1877.352008621526,1864.954509536999,1873.257428971312,1857.8954358540586,1854.891387240983,1850.7194641981014
KANNUR,1854.6805462495129,1877.3017494074406,1877.90843450228,1865.5704810217535,1872.1008851062095,1874.1729744226393,1864.4035907210125,,1873.1552154022995,1851.3472278998904,1851.0299777085013,1852.4327879231523,1853.4841575749986,1877.8408094981824,1877.5830159023171,1867.1057623779068,1870.0110633918205,1863.3038650440083,,1868.0043937125854,1869.090560272674,1855.8961111415313,1847.7329113303167,1850.4798961322558,1856.1856388896592,1877.9821541618371,1877.224506901533,1867.8555484716348,1869.3041920476871,1866.0929362389172,1867.6997186031829,1865.8080846866897,1869.1460562246596,1878.1333109487732,1850.99641620557,1851.9796658993482,1857.5418600600597,1874.952706292135,1877.6069469927797,1891.249684667308,1886.2702099771604,1867.9481297826774,1864.0431847637535,1868.1924165410321,1865.337678977264,1879.4473596707649,1850.4778946447007,1850.1327493820863,1858.2543253590493,1871.0253671587957,1877.7894842848018,1871.5953944461448,1883.3968646533433,1865.7790650495451,,1866.4911270510631,1863.6172178981285,1876.8888598445867,1850.7694037990582,1849.9966923969007,1867.3211546419443,1878.260482090867,1863.2770475884022,1863.542317880722,1881.9862621073612,1874.7660313028646,1877.246897746598,1879.412047346871,1864.722575626395,1878.1848460608535,1850.1978381999554,1850.76037846627,1852.1732028972772,1878.222275370648,1878.142394865922,1865.9524985945382,1865.4385571401356,1876.3741029921507,1864.4663928745792,1867.149155111725,1872.7879434613708,1878.2516751898377,1848.2458122931507,1851.0042227256229,1852.605641980138,1878.1009240955188,1848.9511975442751,1865.745658912008,1870.6919182756324,1877.2813939676607,,1869.2921812393522,1869.0978447460827,1865.5369069767237,1857.403327709132,1850.6728340644243,1858.0077243798116,1877.5845309341362,1877.8302577138022,1914.9895740926952,1874.6508417541622,1863.764090527363,1873.5906456141659,1871.0266099655516,1867.6891837201651,1878.0980053869403,1850.6952461378899,1849.9602932056425,1856.7158266881586,1878.6599084324057,1878.2311211073322,1896.8530674107355,1885.430797210452,1871.3255338501103,1874.8367949000858,1865.2787156728166,1866.9140631664948,1878.6944482921635,1851.4210097333357,1850.5196603981212
PATTANAMTHITTA,1871.2574478400359,1875.0533752710624,1875.894771666168,1874.098118261853,1866.896286919951,1866.9190368194897,1865.7458470676459,1875.5671504760842,1878.752526147467,1871.8479456475545,1854.9129994995617,1851.766591451629,1873.0535130304368,1875.2588607099913,1872.979811707565,1864.4861096087718,1866.1292136163775,1870.227899235675,1872.4090290535164,1873.0372202089895,1870.3026842134623,1870.3335789613866,1850.2438389547585,1850.780162033246,1872.9026954610488,1873.7607587167618,1874.2451437514267,1865.5423105104205,1864.618144652431,1873.2713147613338,1867.3309238907602,1866.6041208023787,1867.2000371488373,1874.105229473783,1855.0494847333769,1853.5581997408167,1850.439204517323,1874.9109906916171,1873.3184883039796,1868.2142571620752,1864.3129040274682,1870.6531112330479,1867.5867362851939,1866.9487502302782,1902.5049600808488,1865.108679232449,1853.680065113381,1852.2689511319732,1851.3125949448213,1875.5803334167515,1874.7240081832094,1872.1744891955034,1872.5396755385764,1871.5084937994436,1872.1467689611613,1866.646201515862,1880.2051713470298,1868.6989897520318,1854.037035067833,1851.685831102738,1864.6582032984877,1874.8277697564033,1875.3070238643866,1876.6208738802607,1869.3867148067998,1865.9261423866762,1867.6617772603838,1869.5081813055078,1891.1999548431913,1874.2736022617612,1852.4836763308726,1850.2748753150242,1874.3770503723608,1875.553068955529,1874.829272406153,1873.3745065385367,1866.4584077051716,1867.8162259771711,1870.1640382188798,1873.9322096511416,1877.2008582674098,1869.9464228915815,1853.2001136047447,1852.5512554627087,1872.7406918684915,1875.6043068435588,1875.359765867741,1865.6397281504258,1865.8344562535249,1870.13631083329,1868.467406182619,1869.2319162432639,1871.8437406713451,1868.5198835844908,1848.222124237562,1852.7194146371003,1873.3870470192157,1875.7274825460777,1875.1662374983975,1865.5874133419006,1865.7440163205385,1866.3605571772337,1870.506953872946,1865.374435185863,1899.4213599329573,1874.824931283223,1854.69344099425,1849.2826885278369,1850.6812531780356,1872.218217866047,1873.2467746673221,1867.7892968585568,1867.8453773441584,1865.9112188069,1873.8397443396555,1867.663476652753,1898.1982414611127,1867.3678020348236,1853.985947753224,1852.9192274855418
KOZHIKODE,1854.223824115036,1873.505523618685,1873.6043064477162,1866.1590490415672,1871.1444948189185,1875.5537774728828,1874.2773913709373,1875.2656138297095,1897.0784585508834,1873.1232236377818,1849.402880958447,1849.4602468291675,1851.7623539564358,1875.2882260523336,1875.0051070857603,1871.0731440734414,1868.7576298455272,1864.2363915467254,1871.0242038826518,1870.655257901917,1887.2205803317117,1871.5616496359687,1846.0063775019773,1849.9902391157275,1851.2140314466023,1874.001125086707,1875.0587434086056,1893.904290882454,1870.5115070904847,1865.6879769531663,1874.8927850872158,1867.0625386746656,1875.4447134302472,1876.3805540599383,1850.1988528877887,1851.2415999157006,1851.5822733917166,1875.339011709052,1874.3453553316485,1889.1434271480964,1876.6807998499614,1868.1822685588588,1873.6545875765353,1873.2404517133386,1868.085243781934,1876.6358724709207,1848.8471338446816,1849.129506862381,1852.4399832848146,1876.1256299693796,1874.604326157834,1865.5842977397915,1875.554944972107,1874.4670140594287,,1867.8101846999755,1864.5964992729278,1869.5507442357732,1849.545865450649,1848.7597687258274,1863.142817532314,1875.3924467928916,1874.7788022971981,1863.8275188884934,1875.4499830207565,1874.038398311722,1870.3532747179104,1892.3602778783431,1863.4190706906281,1875.3167114528958,1850.5963660754467,1850.1920852781577,1852.5934046557936,1875.3645557632576,1874.911210573591,1865.4501276728427,1873.143322801639,1875.5977427853545,1874.2438565414823,1869.8543643972716,1867.4971721797115,1873.5225414060296,1847.6558582646464,1848.8488455378172,1852.029428882022,1873.4157333273577,1874.6660206771755,1873.45580920088,1869.6507513107163,1876.8036768853904,1873.7736506083038,1871.8701250668726,1882.6487997874344,1873.200451597655,1851.1214715876024,1849.8616300044023,1852.3606286806366,1875.8913627683717,1874.8265390575648,1876.5448063773617,1874.2362619638777,1865.6837013012919,1876.0844518156941,1874.3526790486715,1874.9090892084466,1874.1533737722748,1848.8536955926734,1848.2325332957275,1851.0865375785147,1877.8109853105818,1875.4021098404826,1887.3843765708611,1874.3929289627167,1870.4266578475663,1873.8285597641311,1866.0755793488531,1868.0255126416903,1876.7309373738692,1850.3587762243203,1848.489825129087
KASARAGOD,1853.870013385683,1874.5015692070638,1872.7354088444017,1865.0522991453838,1878.9492305241886,1874.3953489829837,1873.3151962679556,1885.2617198383898,1867.8496719672573,1868.995164932577,1851.2908677059536,1849.930866438729,1854.2927403562176,1874.7735392073678,1872.7564777567675,1865.789353098749,1868.488303120666,1864.6896633179867,1878.3916959482333,1867.1738925862398,1865.671740825316,1869.821042683045,1847.0627857860502,1849.6930318609059,1854.0179399533326,1873.686621616335,1874.5029340332383,1865.2257469724705,1871.9056414288486,1867.809809135601,1872.7656450249217,1866.0435584673921,1866.8379232485483,1869.6755852704518,1850.6158313706103,1852.6244151802243,1854.7471202466563,1873.5082703096607,1874.3042806331114,1867.1263564392086,1892.5925763624562,1872.8673681094463,1873.2745589782487,1865.3069220818168,1866.268912946178,1877.5118215014882,1849.4619107852645,1850.060508571029,1855.586387828997,1870.3660212989157,1872.993827645838,1876.8225310880075,1901.0165723122914,1861.0199466271406,1889.0183568655893,1867.2729709753335,1870.3396204272965,1871.560389981139,1849.7286698027515,1850.3271049399013,1870.2957104884044,1874.252098007732,1872.8442137783397,1867.673691705703,1897.9458535667538,1877.318671285323,1872.6713203334646,1864.9605726990858,1875.902521969036,1874.6362022573178,1850.3251529298404,1848.6234464963516,1852.2886580399256,1875.5350603683132,1873.9053207017166,1864.7092114519075,1861.9233654859825,1874.8656669039246,1871.7770923414107,1866.0684742186743,1907.120852636956,1873.4321780223956,1850.3720488674917,1849.5218653778306,1853.9616756876437,1874.1425688807672,1872.6931235496506,1865.0106280765815,1867.3699922068056,1855.8576958594272,1856.0458395913472,1875.8074179053237,1865.6058886526794,1870.0853228729852,1854.4983180430413,1850.034117314735,1854.7539394001167,1874.8895960568036,1873.993605322404,1865.0722580497338,1873.1340271493161,1864.9468874893519,1874.516973250701,1865.0947865351707,1865.2063396255332,1874.501387761719,1850.8781056015862,1850.2105378399806,1854.9131204294404,1879.965058656438,1875.2934854610508,1862.03377931844,1917.5323029243773,1875.705988991004,1874.6401975260226,1865.3392461502056,1866.8074508704044,1877.5074689915427,1849.112393667236,1849.8424491199946
KOLLAM,1875.0747259106054,1875.0125624530906,1874.405286065962,1873.9642523904802,1866.91701102558,1868.0650755583665,1868.5543534829728,1872.6640384753073,1890.7834915221451,1872.461462147609,1853.7668575591708,1851.9313794345917,1871.800035312498,1875.5914092758164,1871.6915749447478,1864.4156216352872,1866.095310608524,1874.490233738208,1872.7431538292956,1874.0962965886488,1872.648402856535,1872.1101024406307,1849.970428277083,1850.7887157768084,1875.95250810289,1874.0684087077577,1874.313470671933,1865.1913091180936,1861.8045359539467,1872.3364430921845,1871.7686310732768,1867.875482511346,1868.7718601321492,1874.6039233526737,1852.2817231691736,1852.5978986585073,1850.6326692368843,1872.7066669283913,1873.517461488826,1867.3164241438844,1867.2141183499161,1872.2347000726666,1868.2804783921677,1865.3153286966315,1897.1915166976214,1868.0207999700963,1855.0092441475047,1852.3871998287339,1852.9864461726154,1875.1362320287567,1873.1367843881683,1872.2921563834886,1868.003135811707,1871.4651749041846,1867.6405096883454,1872.4507064390298,1884.6694631917414,1867.7770473806395,1853.2836816377285,1851.7840450325311,1872.5297836359614,1874.1569789833286,1875.2288167541972,1875.814369713174,1868.0652740238907,1869.4140979248991,1868.633984512194,1870.5555355634742,1897.2020844530084,1873.3613585948797,1852.7909724682445,1850.3075822373892,1872.6515529914427,1874.8729194373884,1874.796052818776,1874.4096042441201,1870.7706545146914,1869.5809881073715,1871.5982672576245,1870.9321778943056,1887.1481826675117,1875.3440765371192,1853.0841686251683,1851.9812554073708,1867.8106073845668,1875.6608156718578,1873.4176548462249,1864.820909842076,1866.059518128463,1869.5837517689067,1868.3507744410067,1870.0333629886272,1875.573762480026,1872.7323475444803,1850.3538814259223,1853.8210710817214,1876.8397845224688,1874.7058225848698,1875.408786131296,1864.9633514515547,1864.0953292967858,1867.4588725886294,1868.877681763004,1865.759363201946,1897.3630307391938,1874.2652310210972,1854.0412202163423,1851.6822600238854,1850.6399441816495,1871.620997914035,1871.9154666352936,1868.0212509250432,1869.7775064753687,1871.56630709697,1870.061788489503,1867.703206495572,1900.59531899055,1869.6349997276172,1854.188539559786,1851.9687112198221
