district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01
SHIVPURI,1872.9207516516196,1849.9643938881975,1874.6777895424339,1874.2363509904555,1905.791997111261,1900.467207660104,1922.6408230692973,1868.40397911034,1875.3065742213587,1864.1389720108914,1876.0106753917505,1875.724775041139,1864.273594179805,1852.5084834994525,1877.1086050541626,1873.348558608294,1903.6219958542295,1899.0049382162294,1918.9592582981713,1866.1600496704013,1865.98438650843,1864.0442984740048,1875.841487917656,1876.6541618972446,1877.7705147096142,1853.863684439448,1872.196226015117,1883.5286656543262,1903.1479635103785,1902.6918289638518,1914.03085226018,1891.4756597726514,1864.5688759901013,1871.084674095219,1875.9390017219596,1876.9235194459113,1875.861883792608,1851.7426966802736,1874.5130421499973,1888.9955821797137,1907.476084166322,1907.0728372814854,1926.3026932643081,1877.4200804689497,1873.0032552681596,1868.7711607708006,1875.65263172165,1877.4846545422063,1873.543021894079,1851.3697883825107,1875.2689352533935,1889.1104197420084,1905.1788963045772,1903.2163499173448,1913.5235711332691,1887.81108542076,1875.5804079736238,1871.8515815419682,1875.768235870497,1878.491025841774,1864.082667814115,1853.5301224532,1874.97663004209,1882.424266148059,1908.2637318102068,1899.7683591814734,1919.6991812411982,1886.0683334895814,1871.2637828494555,1864.693608918839,1875.9478344100585,1879.8688348903938,1875.7235542643725,1851.6489777326078,1873.4427120814837,1865.221494030625,1902.2918642659995,1906.568485732718,1926.183127657446,1921.6085297262473,1872.0372976948536,1864.0189091777768,1876.1357521647542,1875.829320124632,1870.6059538714305,1853.4996515148885,1873.640488614675,1893.6503648755847,1913.0637482065692,1903.7271615404654,1921.1807278353751,1866.227897900309,1871.4187116905475,1864.054729164143,1875.9066376554833,1878.7465384973468,1865.8705679696627,1852.9243398661488,1870.1101466686748,1884.5407554442322,1915.0599271934805,1902.4750744741425,1923.2824593522703,1866.142830104859,1861.6362304846773,1862.4664860931084,1876.0424487624798,1878.8180260444954,1877.8833705891318,1852.447622577696,1876.8694575132524,1871.3645492879361,1907.1220032371916,1912.379046467027,1925.4120638607192,1894.5500207249313,1872.7417455268248,1869.0593817202302,1875.5944409339327,1878.0523609619881
CHHINDWARA,1857.6323494761868,1858.2285627362592,1875.3503552688026,1864.8011060620345,1899.2022629957062,1891.2783616492109,1881.355027546536,1867.877746042286,1875.0209691986918,1854.4397651833074,1875.928400819319,1878.2985451230256,1858.3504220042068,1869.2445549844647,1870.17060254623,1873.349403710331,1896.4460027959608,1888.9008166498948,1878.2831906279698,1866.2962227644803,1874.4359808847755,1849.0148246986191,1875.7031063020845,1878.6797972684383,1856.6293161398014,1854.16996857281,1874.002573907044,1872.9257892796693,1897.404626735814,1879.1824222818932,1891.5271349328834,1868.7421844900564,1873.821081852398,1850.3418817122342,1875.8322449221866,1876.826058157047,1869.141802450137,1852.5277536236365,1873.2726940698087,1893.3966294052793,1906.8881421411695,1883.8298965158085,,1913.6112002739355,1874.1141407354855,1850.3546010141201,1874.9385151950808,1876.6933320052565,1856.383297446976,1853.0230294804044,1874.5145645710177,1892.4122889796643,1902.5073496465927,1895.865303951456,1883.8132127111705,1926.4478867219582,1875.1922203379872,1855.616923665344,1875.5801845803069,1876.4347781429165,1849.813486061168,1857.2537967729013,1874.8242689985702,1885.5855871528686,1899.9469612384628,1893.1571669568827,1889.2450979488976,1916.9707939046,1874.8761076918504,1849.0018661191384,1876.9957111808458,1876.6324693786592,1857.8547916849982,1862.6136593257943,1875.1004463194577,1865.248515439954,1898.3926274751047,1882.0836327261666,1907.2759635581258,,1866.9367686319392,1849.1088260596207,1875.896562437107,1877.8170700268336,1857.9443861666402,1868.9996032701763,1870.5816134362537,1874.8564168300038,1901.762095436501,1889.816304784102,1887.8939978735557,1868.7565280265126,1872.2942306160053,1853.4052975557468,1879.5343389432182,1878.5788250184783,1856.3543723484918,1852.7521635809694,1874.3837224598758,1874.9041477284986,1906.977688527472,1887.9876225934865,1881.9117484234996,1918.189726316461,1872.8842494724577,1850.2378055420038,1875.8428093116752,1876.9972779646,1869.6845889003407,1853.3518367877123,1875.6285898575532,1873.536152926541,1898.2393425632317,1895.8250811238936,1895.6399472146745,1879.3411921251925,1867.3267507988164,1851.2123012927377,1874.7010612693598,1874.8030469075318
SAGAR,1854.833313245015,1852.11908813683,1874.5488718734478,1871.9337659596238,1916.5690203508586,1893.502906796021,1912.4976818120344,1863.5063096393064,1873.5256125677572,1851.7880055516111,1875.704066952205,1877.8834898744983,1854.909888561686,1853.3127144051082,,1872.5074074297022,1901.1361367568265,1893.488335481043,1901.153177373577,1874.3097308182714,1865.2205667197945,1860.148237743284,1875.8623866635055,1877.2526362298083,1868.750596033145,1853.967918115721,1872.5812064025838,1875.1394499119851,1901.4515028840663,1894.3940083311852,1899.5445710048668,1892.8137337472137,1875.3925771214012,1858.693406015278,1875.796825782547,1876.221429445508,1876.4865303432052,1852.649688149459,1873.5503077071394,1891.805079026148,1906.3819965899509,1889.4960047327977,1915.2971421777138,1885.6450577553667,1872.9567264647887,1867.2211195973177,1875.0979559195216,1876.6300247798733,1869.9463864090217,1854.337093560888,1874.4263915326517,1889.1280165734036,1911.575408154702,1893.578976980426,1894.14577042709,1915.458102931513,1874.9980056273355,1867.4468622252866,1875.5927257382825,1877.1184979002308,1850.4182969985945,1853.4576953921162,1874.2584947398402,1888.5976717874382,1897.5784435683177,1907.4418882692532,1899.8168695088377,1880.754801059002,1871.3119646468735,1848.7939294067673,1875.600345122259,1879.395518753621,1865.924702126046,1852.641998309581,1872.657277576415,1874.0237876799608,1901.0122242572347,1889.7805609649226,1923.9535168849256,1866.132471932516,1874.0935825740223,1850.2822355238661,1875.4351397034395,1877.7648057754438,1856.452280285763,1855.0502851645467,1873.1016044847984,1887.9594657934203,1904.7852774632904,1890.3306204668902,1901.6947677129574,1874.1719305862466,1873.353657688972,1865.1783146694559,1875.9240575695385,1878.9731516584943,1853.131335568279,1852.1363161888994,1874.003785257321,1883.3198762976338,1911.8694659840478,1892.9690038238919,1899.1495773017105,1925.1360837693871,1869.1202340457046,1862.4328864550998,1875.7027894120242,1877.833990593084,1877.3715031691725,1852.8965302101467,1873.8811473460328,1873.3898865022343,1901.2036776860368,1896.2424713398093,1915.7890692590581,1864.7887817422557,1874.2421906702718,1867.647678448749,1875.04464301525,1877.6965134387547
CHHATARPUR,1872.9408478858386,1853.5952331396247,1876.0665780536067,1870.7239845940887,1910.8455217398157,1903.133130870865,1906.0709041406858,1863.1116989998166,1875.1778478169426,1855.906951481484,1876.2206390518807,1879.2621197503927,1856.6128063189597,1854.8241925111734,1875.609317501142,1874.0960748308225,1898.799240403623,1897.1377843315624,1925.8888611768489,1869.589146799961,1874.7744056266417,1873.5710084910627,1876.2970682024104,1878.4038944228093,1855.5756815340228,1851.7046083862786,1873.6261037727495,1877.075856422562,1910.706875171082,1898.7077406012443,1923.7780877966,1873.1132039832653,1870.3230929249219,1855.014210216161,1876.0059376909107,1878.5594110454292,1876.212411387981,1851.4417618236357,1874.248305891032,1878.3018689524326,1900.5107799321254,1897.917341036151,1924.9199713077471,1877.3421922309792,1875.7516122431412,1854.2709926435043,1875.8335911938066,1875.5880095538676,1877.808816273158,1854.2785171992944,1872.6917568927772,1882.9551512931937,1903.1627702662443,1893.8522344575115,1910.0923285307276,1865.7076409748893,1875.8365715671162,1858.1671510062254,1876.0456706088125,1877.3076576694757,1877.5885034294536,1851.9217359402076,1875.3463345194436,1870.3944835828465,1904.829335157762,1910.2561132122967,1919.585972649614,1867.1268270677137,1875.222213338001,1855.243642137723,1878.9778242086581,1880.830655562458,1872.330756726766,1853.3579868759714,1875.6024416932455,1871.5772368039673,1910.5862999286692,1897.4939078929767,1927.145267545502,1867.007738045275,1875.0105614659094,1874.4571293041283,1876.50059049385,1878.7110665276653,1861.0480526475371,1855.0971642153338,1875.0350152210663,1878.7090756853224,1902.7716296294486,1898.9490897296766,1909.5380373845892,1868.0401007586154,1874.846764030357,1876.167468579131,1876.1146011086769,1873.47496557708,1848.9323423964724,1851.2700242673066,1874.5759184492454,1883.5355336648406,1909.6123857489715,1895.9176041378746,1907.8694046289643,1879.068856899207,1869.6172874665924,1854.6813217140457,1876.1332372366655,1878.1036381372148,1876.2787191907241,1851.5355780961613,1875.215605726233,1874.894000645338,1904.0637998719992,1896.8597701505596,1914.0615297342022,1865.4579327088911,1875.2622980352585,1854.8531491291296,1876.1500772609047,1876.3113725652156
BALAGHAT,1874.0178571850365,1852.680538019227,1876.3084806407983,1871.085956857303,1908.5270525319293,1889.045047205191,1886.3202656454414,1910.7727677113398,1877.1993403402714,1850.5825467334146,1877.4469823723841,1878.3625572277338,1852.1944173754841,1855.7713738649668,1875.2624020287792,1870.7155645351345,1915.1012100169312,1892.5834948579673,1880.909328987407,1869.7487431293025,1877.4838027579037,1855.3914434768133,1878.077695166203,1877.5247908033461,1852.3787057008951,1857.1750111434217,1877.4510665509213,1874.0676106408944,1901.013754670544,1889.6124007482263,1875.294921984789,1866.9118472040022,1877.1208568057054,1849.1751950014034,1876.768732882712,1878.0712188484706,1856.0057776569165,1855.5898785913462,1875.9922345935406,1875.4176012971755,1900.7534615017485,1892.2371430111498,1881.8272058700377,1865.155618335929,1876.8198788306856,1849.3374007147568,1878.2055096373517,1878.6438530706118,1855.7586855161683,1871.8751324888221,1875.7033411622467,1875.2697366214873,1918.3967932808534,1886.984754740189,1900.259148128751,1926.562262341636,1877.2511782098918,1851.7205802672604,1876.1676223241195,1878.8387132391417,1874.6377095620837,1852.6593839111542,1876.5815488006554,1875.1644505107058,1897.1729602077608,1893.0049886414577,1885.1070594601447,1866.3568246295697,1877.3071196605117,1849.8687249672093,1878.9438437988806,1880.1001250202178,1859.0707087013516,1854.6259353975474,1877.6251990531791,1874.3111108159337,1900.2705384246972,1879.3456591503668,1907.6188224667276,,1876.699220008974,1851.5008919300662,1875.9004393050184,1879.0665485848285,1850.7463605989396,1856.2606328904844,1871.9784378194588,1872.7950075165322,1903.4013834980274,1890.2348347662773,1888.8918651325646,1893.202974934096,1877.1386640250473,1855.7046585110154,1877.6966578481856,1879.6426893767557,1849.0222813370783,1857.975699951073,1875.8162599618495,1867.985914490681,1920.1569922521026,1886.1235624259834,1885.537404047168,1922.8576851390421,1876.2434282935628,1849.2836874872287,1878.371359778243,1878.6248874770372,1856.1539759113327,1868.5037753563975,1877.0067002959834,1875.7052341444478,1903.4476685593577,1894.4089469709215,1898.568765728624,1912.1694508367336,1877.1679623581256,1850.0076544914969,1877.1422215983994,1878.9747816130653
SATNA,1874.9047506682043,1852.488045613836,1874.1065968124008,1872.9287360979195,1910.1913578223007,1898.585704395208,1911.7154712245592,1870.5795591444034,1873.3505800057508,1853.9680212283595,1875.454651682775,1876.012416972671,1874.737767363789,1853.0484392335225,1871.5017561039756,1893.4634213568181,1915.7076768640925,1892.992752938589,1908.8378763608735,1866.8963648962706,1870.7878099751465,1861.3688177093202,1875.8424438348534,1876.6192085297923,1873.0106552835375,1852.6941379536465,1866.8087889875214,1872.3094880616477,1903.0304876894913,1901.25395526366,1908.8298820879206,1866.827254003935,1861.3904087261149,1857.337723072799,1875.32806247547,1877.6093356118854,1859.6498394694465,1853.8222367940446,1874.5444265843337,1873.4811679133793,1904.6862202508107,1894.2004678407568,1890.271471530691,1868.6297642353752,1874.955655437447,1872.3789842978804,1875.1652350907855,1878.9812685290576,1860.9603269999368,1854.6078862413242,1873.061708400426,1873.0757742638457,1906.911052699185,1892.8400332179283,1904.95091884585,1886.8402375692688,1874.2043226114172,1859.301646227659,1875.9701097501875,1878.1333638994663,1877.70308147147,1852.5352365458689,1873.5375049208535,1872.8018652737965,1904.3294702018907,1901.3488671117902,1913.1250944450007,1889.0926102300368,1873.1789455746652,1854.0235004101305,1875.3160025292057,1875.9498629281852,1874.8851905739334,1854.4567879800384,1874.156392693123,1872.553002384865,1902.8961811424165,1896.9824463883779,1923.8152128007912,1866.2781101308472,1874.9439692469753,1861.3518915913346,1878.5709278385839,1876.7495029944398,1877.6044480010776,1852.4837028846316,1871.8952394474709,1883.0325948245838,1905.1658338408347,1896.0264341613265,1916.777271536547,1866.24760515828,1869.170308704342,1860.796461581814,1876.5033780851422,1877.923023164341,1855.0122565981912,1851.0998596772272,1874.5188254315815,1875.7112740469265,1909.7683563569692,1907.8273612269325,1919.7530090757473,1916.6443476191314,1871.8879817772747,1863.5880904742562,1876.7502235777383,1876.1567712995748,1860.1818442872254,1854.650304583198,1874.8767293073197,1874.193176929759,1909.2223561766698,1897.7610909951034,1924.5907068300878,1915.428046368337,1873.880361161649,1873.1586901543963,1873.1823496918257,1874.1255282807754
BETUL,1878.18521073493,1850.7220022568736,1875.2392976918347,1872.8554851453987,1892.9268130055373,1893.7322783455334,1882.616843713247,1918.5402307538507,1874.9833123863882,1850.3981463029104,1877.9970994145156,1876.4406903138138,1872.9484427971054,1854.5483332281763,1874.9944733558655,1866.9180884860798,1900.4048879730985,1891.059401162184,1888.4951453316598,1872.873053555259,1866.914628843001,1849.9529503852534,1876.0326693844552,1876.117234126738,1860.844639953623,1854.501080191966,1869.6346230673428,1876.4496889318268,1896.359609816004,1887.8959342351816,1886.2573180453708,1899.090901258058,1873.4732760875895,1849.8425301007628,1875.9840137055583,1876.315759368156,1849.8227018633734,1855.8141124711594,1874.9857973181272,1889.7047993500144,1903.5678626284714,1887.8285851745875,1893.211376866597,1891.048704946461,1874.4198463702805,1849.6861860838571,1875.376607086579,1876.3303372375017,1851.4228103716036,1859.8309211193614,1874.964171468839,1879.3265102657756,1898.1738401234372,1895.020188729572,1875.5156989148188,1899.8584937451312,1875.5737647857723,1856.3026952334558,1876.0180443384115,1879.16338651097,1850.8541219944675,1875.3950303898619,1874.7691499123716,1879.352626030466,1900.5741488083725,1886.4224392711474,1881.1639277835002,1919.2909642087604,1871.071010027953,1849.8048895900076,1877.0493652063963,1874.64066442568,1876.0328625031539,1853.747533456443,1875.1940257932217,1871.8778333455537,1897.6349653183179,1880.984160557974,1908.1965036743154,1922.4045401511703,1874.6782494712431,1847.1445138996,1876.0152160597409,1876.0301834051834,1872.045140758819,1853.9716778379377,1874.95973646481,1876.6652303067965,1901.5328996238745,1891.386363029543,1890.095248881532,1909.389840849364,1867.5938781809828,1849.9380892134807,1875.6995055941702,1878.2033612960804,1860.2604764651762,1854.1429691044589,1876.5460484796115,1870.9650836555522,1902.5855091874248,1890.3711515535647,,1921.3254920456466,1874.4570913893997,1849.6354243212154,1876.0451927691345,1878.0690253308608,1850.285394306315,1855.286777256433,1866.408406214484,1869.2433667761113,1918.6099843706847,1892.0901450754252,1887.6578285716137,1874.959434044274,1874.114266013075,1849.948072040216,1871.78054445259,1877.229291236605
RAISEN,1878.0465641885296,1851.419778990294,1875.3630583884776,1875.2751375408288,1904.9834708796404,1889.2899711868058,1925.0583544350504,1887.5044792645185,1875.27979735951,1850.985064673604,1876.3948391672093,1876.18763496507,1878.4938275651784,1850.6541449519132,1874.8631968535544,1870.7238055659998,1896.819939062518,1893.3458900097953,1893.3238872524923,1879.307175421044,1872.8498373617488,1850.283230912997,1876.2449126063925,1876.2636131664688,1875.5448223336396,1853.8624532684191,1874.2526184160197,1870.4041423434178,1897.0656944442305,1892.9421098030336,1887.2548639646652,1882.2139647193071,1875.5053946791509,1850.07333314487,1876.2310631438136,1875.9829502492712,1863.529585164839,1855.740193911303,1875.1217748040438,1892.82019449511,1899.2762275231923,1892.1911280177844,1893.3722987103497,1868.6377777948853,1874.276064784815,1861.337785136024,1876.1652029765557,1876.0431377972002,1851.8094064347304,1856.5820178369324,1876.675955583275,1889.8532393787912,1909.745528521422,1888.842755709918,1891.495053791956,1929.317027033868,1874.7585869136556,1870.7804821284794,1876.2196339300951,1880.8844992517077,1850.9141594044331,1862.8044883898042,1874.5254932977252,1886.055758645178,1891.9785847306944,1891.4328442163833,1888.7531356606123,1911.6586722995671,1871.7806850739992,1850.1093683421796,1876.3012018037755,1879.1414266664701,1876.2635103132136,1852.0868748207117,1874.4046703559072,1874.9790612911718,1896.2264895842134,1887.1784424828386,1927.9182960842058,1926.5812284393587,1875.6651669707257,1850.2251228705734,1876.3964295492272,1876.2490224610426,1876.6786030364103,1852.3606119893889,1875.3016551435496,1887.2111920063035,1901.3794892057576,1888.7203737989353,1891.9779401990095,1893.040020716823,1878.388195597713,1850.2575003249253,1876.8692628569718,1879.699224191459,1870.3691666647553,1853.3269882624668,1875.2760616084522,1872.965317923926,1920.2655293689443,1891.6087132980385,1893.1731283429174,1924.6332474540068,1866.8420814849267,1851.1064679883948,1876.1127091005528,1876.9262821819677,1865.7699229230702,1855.4598643791858,1867.9035937409258,1869.5366085657727,1912.5210126093605,1898.3625884133808,1903.7210882863515,1881.0571105886768,1874.4644031482098,1863.1928342518413,1872.6035181412956,1879.8362895434348
SEONI,1858.665923353602,1853.327781082831,1876.469046498034,1866.973264205614,1897.934238722775,1889.4584136885228,1882.4555639256887,1876.0227888179109,1876.143848900537,1853.1212268303323,1876.442516065563,1877.8918358337094,1852.4772195047015,1861.2153876815203,1867.5673507823672,1873.5486660689685,1901.0147115742286,1887.8032406221187,1884.4333248445448,1865.717004780317,1875.922952804055,1867.1844255533897,1876.1520743579117,1878.5137148306262,1850.1725007564896,1852.260433450851,1875.2443813800505,1876.0032803484492,1896.4241470966983,1889.0324929008898,1873.7179377491518,1867.645069150727,1874.5674797691781,1849.344436411809,1876.7808305923293,1877.096573418989,1877.9485756313368,1850.2474936932415,1874.880816628987,1883.9254293244203,1905.3795145112852,1887.4623639464542,1875.7622232833342,1870.1075216535532,1875.398334471441,1849.4815886265776,1875.0321417278458,1878.007070609465,1875.6184695017996,1854.956423460359,1874.8938791990336,1882.8920034127523,1911.2126475973182,1892.975520447046,1887.9566693402337,1909.8804307299083,1876.247816813161,1849.9822222684015,1876.1454491322193,1877.611649122898,1860.3058265280783,1854.3120011981164,1875.7932617908575,1876.879889989308,1895.4420581386798,1893.9547369106742,1891.239432867522,1874.4942834349133,1874.760857355302,1850.027482358032,1877.8252279155868,1877.8119017702986,1850.3594131379332,1853.7692170670002,1876.2123653510434,1868.861140580111,1894.6519139754105,1887.2884513053586,1898.9416902764922,,1874.3739462539997,1856.780486505673,1876.7258744755884,1878.4088795109565,1849.8254586682647,1862.4389879096059,1873.185135350441,1876.5253660818719,1896.7937425776308,1890.0566413406705,1889.4793742248146,1870.0627941344544,1874.6496949498553,1871.9528198496487,1877.8620119443967,1877.0956136274835,1849.352622232351,1853.07285974198,1875.7042570167848,1875.1533187574328,1908.6628377508061,1885.3650696371064,1887.2242847327764,1922.46657854302,1870.9993940056008,1849.0395559580177,1876.4875117142456,1877.5755328369141,1878.6113296051929,1851.0105479010215,1875.55187389228,1875.203494884882,1896.9098126295853,1892.4205515659964,1899.697076855893,1912.0595692182585,1874.0486177587532,1849.2908463339757,1876.4572725458336,1873.0636096518126
SEHORE,1874.9596005070316,1853.8322034617427,1874.651223590419,1873.1572130487932,1906.4170493676504,1897.878132348611,1920.377562033392,1885.0544772059072,1872.6980744530015,1863.5057687984927,1875.1155717820495,1875.3416529047986,1868.8982140375579,1848.457335691776,1875.8467335152864,1873.0980129292623,1897.7957288893183,1898.4581798312256,1894.676059585157,1880.7377408123648,1873.2599828230705,1867.1584622238377,1874.8562585938073,1875.4239778914725,1851.9089449603014,1849.5961171751337,1875.5164256169032,1874.7101210635956,1899.9871313199235,1892.3497772927194,1888.4253427688989,1864.8787712036874,1873.9938255996742,1869.04946174574,1875.0930056149248,1875.2991031101283,1846.757346774679,1852.6149246599446,1874.3002069537274,1884.6191306654334,1903.487589154207,1890.1283754720473,1893.379113368388,1868.0397801863467,1869.9617176763384,1851.2444662120568,1875.121796290072,1876.4314010318853,1869.3793284342703,1857.2392804508067,1872.0630500035707,1887.6754657840345,1903.6464949693243,1889.3180911767943,1884.285211948972,,1873.0044408313654,1852.6445499340753,1874.9374698178372,1876.6916116947868,1870.2399580752076,1856.740302787603,1871.4529111793809,1888.4566280133904,1900.4888283255955,1892.6669065791027,1891.3679210243527,1878.9667001810947,,1846.862569687994,1875.1114799873517,1876.3746136502061,1874.0526157204824,1853.8359112176731,1873.4593140380505,1872.4070161293532,1893.7554456779983,1892.1412959098352,1922.1077379508513,1926.2043746685713,1873.5514826962478,1864.3381671241282,1875.0259105158266,1875.1181647319545,1868.1974033538504,1849.908865721113,1874.653780989027,1889.7588193531728,1918.3174111479525,1891.0000481823365,1889.982258470557,1866.273048050102,1874.9451582621016,1868.8598047357998,1874.6245741403154,1878.1360781620604,1846.939727754477,1850.5768967852953,1871.6514726927521,1885.878093920867,1905.5373789491978,1894.7372935991798,1886.1396265756475,1887.7134155099134,1866.9534402229697,1847.2417248099396,1875.028789133088,1877.3013089873575,1868.702232472446,1852.5086356516545,1873.5878365516767,1869.5378061969493,1898.5081740861103,1893.101831925657,1901.7698105051234,1920.3604621349912,1873.3916307250545,1848.567445547913,1872.902865504343,1876.9841750059063
