district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_09_01,2020_10_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_05_01,2023_06_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2016_07_01,2021_09_01,2018_08_01,2020_11_01,2022_07_01,2023_04_01,2023_07_01,2020_08_01
AHAMADNAGAR,1850.7917448192552,1875.6611576776288,1874.5185308897258,1866.5373880731693,1893.3800393985246,1881.3220840833096,1880.6967191641734,1898.864169505517,1875.5475583809,1852.844379598189,1870.9700563304375,1874.9585571960708,1850.2370854508583,1864.2454325892263,1875.1213360095342,1875.3162539072807,1887.1897250593104,1877.9525754665278,1883.7838733511328,1879.2677121424267,1872.797323434954,1851.3004921024424,1875.2305310723807,1875.957801449217,1851.6144855688142,1865.4768765947301,1875.315662106795,1877.7196519606307,1891.9132385306182,1878.984964788003,1911.828369201526,1875.947998092255,1851.2003958134997,1873.7617358209523,1877.2948430054455,1850.8936411721986,1863.1879447853894,1876.469466269404,1891.6602142557254,1890.9144011852147,1877.9256402757858,1882.7653538226157,1889.4107219657128,1867.2770261473095,1852.9204847435692,1876.0582185307455,1875.6329688922856,1850.640717322304,1872.9895511870059,1872.946787691302,1889.0248783038035,1894.465847031461,1875.4839955708435,1888.4809031674872,1874.6341810012734,1852.3954633527262,1875.2419159966464,1876.0083358488125,1850.6423346279323,1873.9947970974313,1883.0105280177431,1884.3926387183292,1888.6099203884726,1876.5358642748909,1887.898857850824,1893.5412151695225,1868.4796970045427,1851.2977749650113,1876.717740113059,1878.3011019531618,1850.9066106133841,1862.8118334810065,1875.1842816755682,1868.0440144589027,1893.422720356886,1877.711241174532,1883.9697989350195,1868.9737848882962,1853.5374265762903,1876.0142361076607,1850.4273808333096,1863.5634116129122,1875.3477931869104,1879.6180977739186,1908.511251976125,1882.9613587433287,1876.8033205353054,1867.3152313881167,1851.8724060004654,1875.6478966890893,1876.9428535461332,1850.0234893505221,1866.8849545306,1874.4021874488149,1874.4502756498387,1898.4297362725893,1874.8186472472657,1893.5729683664147,1872.2949532852256,1849.548194095165,1874.9611771500106,1876.0642010561946,1850.7809583732887,1864.8106094980662,1875.8545030827506,1891.777506001667,1875.8757186505056,1894.458567494081,1874.670032327418,1853.1725278240772,1876.4512734317855,1877.9159354063727,,,,,,,,
PUNE,1850.8850083157238,1877.697037754214,1875.0049999364714,1867.0217054882885,1893.9229262071533,1874.6235186297015,1883.691669013643,1909.986467129439,1875.443689665584,1857.799262268213,1859.9820192439097,1874.374861964634,1850.2143119393443,1862.9036879767798,1875.685204835788,1870.5059445517236,1892.8081927749736,1875.6036110846758,1884.6344235681552,1907.7993930436764,1869.1465123245575,1855.4207460858518,1875.9411842010036,1876.15282643978,1851.2238478715508,1871.828117734936,1875.2137347418204,1875.38487543248,1888.5677416753076,1875.3862664796582,1912.9970133456086,1873.501111512184,1851.3616418731651,1871.5979610074623,1877.3270407708787,1851.4905992925176,1874.3879860349564,1876.1168864220365,1879.716683158201,1889.699434681324,1877.4188944955445,1904.957424726133,1893.824779058911,1868.259792948044,1855.830191966596,1875.4705981086038,1876.8008298680297,1850.3651999765714,1874.7074011469977,1868.7345869731093,1873.1736494566228,1902.967161406537,1881.3803084523404,,1875.3334463893482,1850.7660837077244,1875.6567294916288,1876.480702849282,1850.5459580438162,1877.1226551009988,1875.9729266059896,1875.031253551841,1897.098929654492,1877.7296309870817,1907.7936582581185,1892.2356234130639,1869.1136532827218,1851.1418932039305,1878.3044888297384,1878.7827320869305,1851.2637294334468,1859.2185568737264,1875.764650059574,1867.8122341428939,1893.4450910223034,1872.8768396898658,1889.045926860097,1873.6766460087672,1856.1449378257716,1876.8444341634054,1850.312888867917,1863.5258252460721,1874.2635680142519,1876.3000429066735,1894.1726509664368,1877.2678213724607,1865.9389230463187,1869.5755855593886,1854.3128711132324,1876.8399773027095,1877.6685950943959,1850.1835540142474,1876.6461492557355,1874.7769455710106,1870.590764164942,1892.9089578755052,1873.5699905534937,1884.3348270241486,1875.779061816019,1854.9065966018181,1873.1115634934322,1876.2680550306104,1850.3583200312053,1874.730038255697,1874.494534734552,1890.7075811642878,1879.291137229175,1883.3766222540362,1875.671081409565,1854.0548566627658,1875.0851616453901,1877.1912239856977,1875.7540658611783,1872.004992615899,,,,,,
GADCHIROLI,1850.2957901930224,1857.0566510549681,1863.085986752427,1885.5688213379524,1896.6927026214487,1877.6217153893344,1877.5872183166448,1918.47032646292,1877.952499655989,1850.7720230994096,1875.932546082951,1878.4792912398468,1850.2070516423657,1856.5813094206285,,1876.725213838025,1891.2745899717559,1884.1502601603574,1875.4484004361402,1911.0433005423686,1872.1860011466206,1850.6684680719457,1876.0178163330781,1877.3038680943152,1851.4293616092928,1876.333130139118,1877.0246828309614,1873.3899037033516,1891.2613350814777,1879.0402423079158,1893.1565996971588,1873.740351105533,1849.8068527104042,1875.880120283197,1879.4082344593305,1850.6046188022447,1876.255592290151,1861.2121818934354,1876.065428696418,1908.9072281836184,1888.3599375690317,1879.0336459205027,1880.3873133481284,1877.7181052147544,1850.4884853705096,1877.6300026259557,1877.4784883753377,1850.1947699579794,1878.858703366408,1876.5561934699044,1876.0112296283698,1913.1694635582323,1877.3355441517692,1876.6225589369103,1877.4349201642042,1857.776488794553,1876.1650130193098,1875.4864441783009,1850.9007666589926,1856.797704488331,1876.410136844405,1871.8506145980932,1898.836874460021,1881.1770384821805,1877.3659718755023,1917.544927796427,1878.2767219020361,1853.6995636700115,1876.0349511120164,1880.0479155988075,1850.4525341236192,1862.3480349720912,1877.4661792511838,1865.6945443377238,1896.8081055080072,1879.0066661721298,1886.8284233531645,1864.6819881214865,1853.2186492604874,1877.7394555548867,1851.0659889876088,1871.6768039322315,1875.856509365785,1869.8993851858052,1890.8990418031597,1880.1560082023075,1880.3376732385416,1901.7646071674742,1850.0471448150176,1875.067553351761,1878.8020634737159,1849.8890342983343,1874.2430600603623,1876.2834597231445,1870.9101335213431,1914.8443592958747,1884.9940360434664,1922.7346419254006,1868.9279324274376,1849.8874944350891,1876.102897588265,1882.6756137462942,1850.6617422409884,1876.9897900908582,1861.2470339275526,1917.5406439307876,1885.9437092455528,1895.8744424715562,1878.0467722946944,1850.5305614783456,1874.4616953825848,1880.0422041979418,1874.8829624363893,1868.0945674021214,1896.2164421813047,1880.133945904381,1876.6893037678367,1874.7657194748674,1877.630314108306,
SOLAPUR,1850.9523771291283,1875.4511477683104,1875.4976106245845,1870.5122392245366,1893.5978566780918,1879.1077928898999,1880.3878141702992,1906.291367718417,1875.9966501322306,1853.0927131416202,1872.827977330824,1875.9928100408276,1850.378782958132,1875.9252434575976,1875.891983505469,1875.7105619375093,1891.8034544189636,1868.935923115438,1876.9836547400084,1895.983939535263,1876.0032511546265,1851.2800376156404,1873.1609558108762,1875.951924478049,1851.5789492765316,1876.7379233317165,1876.1077458858488,1864.9652980619137,1890.0365772664775,1875.4260693055971,1895.1835443144648,1872.1830784383285,1851.1142284162884,1868.601845424819,1879.2826272050454,1851.479271853554,1862.6056677362033,1875.7360413830825,1884.8440892209503,1893.3568722479874,1876.8722136614058,1888.9758853321744,1897.9760583688787,1870.4169501504628,1860.8243687405118,1873.5520712506466,1876.8216562499224,1850.6514142648798,1874.5861892041014,1875.639870268206,1888.6113852014055,1888.8586316074573,1877.4499733924968,,1875.2315650786747,1855.1110756546109,1875.1901561884777,1873.470104829482,1850.8431131809252,1871.0664535355206,1879.4684540050862,1879.7577715530736,1888.7839471522075,1876.765734693983,1891.5655528187533,1902.4335564396185,1873.7174346105637,1864.6775266038878,1873.130906706921,1879.1514860971643,1850.3633433919363,1875.7909478971067,1875.8359455876612,1871.6454325604122,1892.3998285953091,1872.8335635814858,1881.608950239569,1866.9551198362185,1852.915209624314,1875.806584728998,1849.8155165587903,1875.9256962605045,1876.847036340538,1879.252419568922,1899.1500944030224,1874.1910261326382,1874.5665312651613,1893.3887273503144,1850.2204143931317,1874.06500319292,1876.9078266346494,1849.680668532255,1876.4677308500995,1875.5899943380416,1870.4765521911377,1891.0253943426562,1874.2151114416902,1895.6201602628887,1873.7687158474112,1850.4345139823702,1870.255079778723,1875.6540335107547,1850.6733410883542,1861.9066983524353,1875.5846237574258,1889.8803152997727,1867.742913411355,1900.2303272714623,1869.729778610219,1859.0797607954983,1873.7059997073995,1878.1142866427915,1880.3019716767526,1870.7565615406172,1870.6885581964032,1873.8516491988548,,1870.5663401437605,,1869.4616815733066
NASHIK,1851.2626828064936,1871.6473937025244,1874.9174846680319,1875.0662247677183,1898.5878236903698,1888.7816322822896,1885.7780615170777,1912.7077896488056,1875.7495724895075,1860.27887836209,1874.5744760935975,1875.419736175949,1853.6546629185134,1855.3480416363236,1875.241971524447,1880.8963755427096,1894.7302592243448,1884.475873250201,1888.384903562758,1915.8394273347728,1875.0500199895166,1850.8294431791307,1876.2130516002767,1876.2402791378654,1850.7610228300653,1859.6667600769943,1875.303444865893,1876.0994813546868,1898.4642354687903,1881.237377859481,1909.8470111887646,1873.6915370371446,1850.395723770022,1876.1469371352425,1876.2022579454338,1850.7213932830282,1867.5520673042874,1880.6060472313075,1891.664222325551,1893.929367048431,1883.5858772871507,1892.2136764793443,1917.5172875447302,1867.6571287988015,1849.86543733745,1876.0307306639472,1876.1963557694435,1852.8741118780838,1870.5417778235128,1868.018592525433,1870.3189758552144,1896.968830800347,1871.7742491257018,1878.3186812362474,1875.669282144107,1849.8082147234993,1875.7061752416835,1875.7213434456685,1851.4515093618672,1871.99666939877,1875.1094345580327,1883.4981752979959,1894.6828043277822,1885.8844680970437,1883.7048689948738,1873.4575416537728,1865.6782049308465,1849.4023467669062,1877.514049577691,1877.2217797799053,1850.7140687063873,1854.256455131795,1873.579751881902,1879.5672102239437,1895.095450341589,1885.1788417881733,1886.581653437659,1875.3271293789087,1854.1287783552239,1875.4770092005735,1853.2454883168018,1855.3148686838642,1874.8528640812444,1882.847548113095,1899.4860896169141,1883.5038024947835,1878.9466545570965,1891.351527844921,1852.2387131845205,1875.4511144844391,1876.4929626381966,1849.8303448275437,1862.9918817171524,1865.7598170475806,1879.5178338278963,1896.7285044746127,1891.5616165903127,1900.1290860891586,1868.0431024080056,1849.8569634236949,1876.1624825201911,1876.2365459824616,1850.1349286506377,1868.5365164979878,1875.193506790157,1893.0064272631516,1893.7383284691462,1908.6809195505386,1875.044820400064,1850.0280371651081,1875.9640149467061,1876.2295310920558,1875.6194989873811,1865.625425492361,1879.4375817003138,1876.2372653368116,1899.4414915756668,1867.8895228744484,1886.2292551478508,1900.5305167241472
YAVATMAL,1862.5946588292823,1862.7346484954464,1875.2144713841767,1867.9528282087042,1905.9866664953474,1872.7869959457053,1882.8693317693294,1881.0849537112638,1875.2183970426452,1862.6120296447616,1874.433089515185,1874.4128501846326,1852.3633337206045,1861.7898483039883,,1873.280962896328,1893.9838747084052,1889.6132203531613,1891.3929073333425,1878.6585946540329,1872.8734178481382,1849.621897778032,1875.3521623368522,1876.1233420372669,1849.3795642356445,1853.0159533999447,1873.7910460245741,1873.5837148671092,1893.3381283460053,1880.2679009660988,1877.215335925118,1872.597458834119,1849.258805507132,1875.6450519820164,1874.3738289334453,1850.3440392912387,1858.4466262944384,1874.2853580800431,1886.434879702116,1904.153639784751,1885.0072243624754,1880.614210904631,1866.7712440299686,1867.751350331088,1848.2701301345458,1875.2130939972772,1875.6493478648804,1851.3147110824239,1866.016401325675,1874.6271644734811,1881.1092580434733,1889.0567020720152,1876.3009549802077,,1871.2679813439454,1850.0582377209964,1874.495035647105,1874.9123158826653,1850.7148451748833,1874.2924445418473,1874.8873749408167,1871.2827918693342,1888.1730543889798,1885.135519031481,1880.0396104940214,1885.8513176513882,1868.8717722370122,1850.2879045855018,1875.4874616076468,1878.4459509740411,1851.7398452950354,1860.7005969794989,1876.2591483850815,1865.896867322679,1892.388125027467,1883.0764252161857,1889.1294921324836,1873.7314708743893,1848.9098415269384,1875.0217668752748,1852.4914985502257,1861.5270457774398,1873.8110322176738,1874.8949312059262,1907.6227672236662,1886.8105377717034,1954.8186855682288,1880.0138930612832,1849.5447964644054,1878.065090448372,1874.7731609139378,1850.2603463371406,1853.0889119867427,1877.361897107005,1872.2878149163278,1899.853023440876,1880.5820159173163,1876.1376386882232,1872.0512503096963,1851.1306879804297,1875.4812712458445,1874.9663591952637,1849.8933444109532,1861.5699882493273,1875.5262377940394,1905.9367202919805,1887.2072564234809,1890.7651386749408,1866.0353012317898,1850.4023512266415,1874.5575512562802,1876.7193190037844,1883.1381087429318,1871.7165690897468,1908.7524078404103,1874.591283015668,,1875.74103338143,1879.3966357913857,1877.4116107449124
AMARAVATI,1875.1882369505856,1852.4043807017404,1875.2528162280828,1871.7678433679682,1892.1592513020992,1888.1116070958876,1882.8818307376669,1910.6564082518353,1874.6777066859968,1851.1683968890145,1878.8450319172243,1875.825632321925,1860.7225984674094,1852.5161575851598,1874.9416496628564,1870.790150370709,1898.833858636752,1890.7795580159539,1891.9072787568234,1887.3911821912557,1867.011530056844,1849.0508053607614,1875.3408335134072,1875.5693818605105,1850.277756644205,1853.344119381615,1869.0896102646748,1876.0526099354895,1891.4964354526805,1886.23955798038,1890.5901606051164,1872.1636704771806,1850.30941486484,1875.4487555068351,1875.6702618101733,1849.8926755990396,1857.8710185909963,1874.707298680819,1888.8841154730126,1896.047200507416,1888.483915658769,1882.0335793267543,1924.94503759026,1873.4538312280324,1848.6572357052817,1875.3416386132237,1875.5107427337296,1852.701821807853,1867.454671886427,1874.730364130219,1881.405301147187,1888.87447643189,1891.3191641030614,1903.7915851267385,1874.8689886235277,1851.073395798715,1875.5632010316347,1878.0985608074725,1851.9356984434435,1872.0285868156013,1874.9380477994166,1878.2643717559088,1893.789911788402,1882.1244339339053,1882.3302448037211,1907.5250905170128,1873.3194521513328,1849.8729400357304,1877.5992278998528,1876.5581899368874,1868.290060265727,1855.190949361531,1875.250875161324,1870.5845538638075,1889.9703144741081,1880.7319818826466,1900.59031860417,1871.7223743776515,1849.3144364246768,1875.619820900407,1859.333731276169,1853.2220223032527,1874.7551913689736,1874.1610300585196,1897.4370951364788,1887.109730980451,1898.8306818156002,1904.4617955986805,1848.6486115118553,1877.8914168774777,1876.229712550198,1850.9572886874585,1853.6563643597929,1882.949645072124,1870.4250385138262,1902.739066575598,1884.7047355052835,1908.0356605711536,1875.475090224651,1849.3888066453646,1875.614685810189,1876.1634549893151,1851.008748424188,1859.8965062264624,1870.7341529113894,1920.5163945105228,1893.7943619990594,1863.5406352238574,,1849.8581495455362,1873.4209928365442,1877.5301840464494,1885.4499753969026,1868.5126556932287,1899.4352136720756,1875.7537365818603,,1868.9390621218083,1883.4491653365471,1929.146426715021
NANDED,1854.5940343223529,1854.4200631284407,1872.9115789470436,1866.697094537952,1908.4271198687577,1870.7671568982498,1884.12408445698,1888.683180734666,1874.1257631254625,1856.7761838385177,1873.946811472878,1873.8288878359283,1850.517581444819,1861.366691768386,,1872.020573591945,1894.832105992614,1878.4026911914848,1884.1335549811386,1889.7228720094697,1870.1449679452514,1851.0045664236795,1875.1436035131667,1875.571338755653,1850.6653014775811,1862.3997361183528,1874.559428541199,1873.1496120718966,1890.3992612520858,1867.1218917562583,1886.2956150467062,1872.9463493967287,1850.6906398356039,1876.3821400472757,1874.4538822994377,1850.5728915313823,1865.993693621727,1873.7787740875403,1891.3066506108942,1908.2825536694177,1876.4210209305888,1881.7658934616275,1872.941851048555,1868.5419825975212,1850.8182186584017,1875.30741243668,1875.2621628507816,1850.7966154493336,1870.3125073023425,1874.0149852992288,1876.385688297513,1892.3293493090694,1874.4782333435041,,1873.6539389975349,1849.4832456200475,1874.6894489654978,1875.2821564751434,1850.3483759704009,1874.4400533814012,1874.120788267016,1873.5972069092686,1888.08487932661,1873.972141956862,1888.3348355335024,1880.6419321859357,1870.7517789043081,1853.8431068215036,1875.8849015968572,1877.1183663732058,1848.173813001359,1855.9906479242195,1876.0005335077549,1867.482105574941,1893.4959773865228,1874.3410546632083,1893.0230783437464,1879.42078513608,1851.5524553550936,1875.2359917017866,1849.214066935139,1864.2053243213757,1873.9161493481058,1872.952204385761,1895.8350288789736,1875.528912535189,1890.4051434686266,1871.0425640246376,1850.7845352301383,1874.724194774303,1874.708271743659,1846.7843700922117,1865.3880712207686,1873.332257423236,1871.9095173926248,1889.8865857345304,1875.4502432962581,1879.2852932181845,1873.3140729121174,1851.1006472879328,1875.2803749997101,1875.4173345112958,1850.083095588863,1868.8839242842118,1872.6345689519708,1904.101150773297,1874.2435755799868,1887.2309901247315,1872.858699144052,1850.9047834894927,1876.3712906986982,1876.0486731608662,1886.102148089203,1874.7919904262917,1892.1355087195707,1874.6801199041684,,1877.022369841842,1896.407812000789,1868.4053750778492
JALGAON,1849.3789650847768,1867.978391335807,1875.2447167862608,1869.3635863657316,1893.6385837139132,1887.2681356477365,1888.4390573282465,1874.0475279436898,1875.1186977847876,1850.3243289432457,1875.5745641741835,1875.2309266516984,1861.0431458639835,1852.2167263531805,1875.8366695413147,1877.4727360272072,1891.6311386009138,1886.411218132392,1882.799845059665,1871.3106596714445,1874.350714782511,1848.3980861066534,1875.519513076122,1875.891552036333,1855.579832014389,1863.8307334707838,1874.8423168727331,1877.2262001610004,1898.7258078993075,1878.2954578723552,1894.0785858362922,1874.0202349814829,1848.370293415705,1875.538001333285,1875.4709843369667,1850.5061569084544,1851.3141343531026,1879.2680913801948,1883.7728768307393,1901.701076945396,1877.088751494721,1889.4478938993561,1906.5869321639966,1872.8082146673282,1849.4042583938265,1875.4279846913385,1873.3713364412138,1851.7602878839773,1854.0675753045145,1874.6654864182547,1889.0085987518808,1895.9293977715488,1877.3386023439389,1913.5596217735474,1875.532810776161,1851.0263597349485,1875.4478389884132,1875.4756879091785,1850.886331888983,1862.806273273462,1881.8998599081838,1890.1470187703617,1895.1318494175844,1890.422850338516,1887.7024688112099,1884.1155891867536,1843.8324741588624,1864.8048495296273,1875.447946753516,1875.8945318336182,1850.6214410563439,1862.0137536640482,1875.2801967942182,1870.9046583215816,1894.0049608580916,1879.78157211681,1887.075900952384,1869.0928230075795,1848.6260823812947,1875.084144931356,1860.9316430232225,1863.7378205250268,1873.9463220008552,1881.8161300856095,1914.0964555516523,1878.1415547831652,1888.3913254207184,1870.720410325335,1848.004661588756,1875.3033382985877,1875.7686674929466,1853.8553805363329,1863.7462649932827,1872.6546288067807,1884.5515100147027,1900.0179514834902,1892.4288775174125,1886.646316884216,1871.0678528695582,1850.1585134869147,1875.5480114007153,1878.906377891543,1860.7552610793232,1851.6770806889756,1863.0983958501042,1898.4244326987673,1894.899467631877,,1872.040358456942,1852.1230666486622,1875.5825928628356,1878.5831283597722,1881.375969121517,,,1875.409542169517,1886.0717799709505,1873.0197792097824,1891.3384264187168,1911.833930736496
CHANDRAPUR,1849.6653286899075,1859.7434137788093,1873.4171017729589,1871.9236812310796,1905.9476615275846,1876.88363696037,1881.6001126701117,1898.4795949943157,1874.1778141478583,1857.4531671259579,1875.2196524677659,1873.5231138656143,1850.9909277436948,1870.3800469367127,1874.0898681357876,1870.3800322182447,1896.326551386211,1883.0026887087588,1880.4760454399773,1869.3710479148322,1876.5537764406533,1850.2078211647765,1875.402119537154,1876.9583891723457,1850.8204029938552,1857.7624173064107,1873.7746868256932,1878.3919629230338,1898.580595992308,1876.2828211733815,1869.907830813892,1872.382700141318,1851.7025702728552,1875.9630755613366,1874.354065034597,1857.4376275892946,1856.6118337011249,1871.6312403121372,1877.407860022606,1909.9326927301706,1886.6264882034652,1884.3493236934355,1866.1176694519318,1871.6968605113645,1849.7632688276074,1875.2197188371845,1875.7110617822357,1851.5696513874611,1855.934523074619,1874.5995782276225,1872.9571328034526,1909.6493689164156,1879.9239570431048,1894.5417873526771,1872.1954785072048,1850.2929279591592,1875.3389654782325,1874.9511419396442,1850.165959593779,1857.9000179962127,1873.5169141411611,1871.6481743490344,1896.7821045675287,1882.435939477436,1878.0392718486858,1922.5635582071288,1870.5590828476477,1849.5882722418455,1874.3338781779719,1876.2368308666323,1847.9427799557611,1866.6630067318235,1873.8344236142893,1877.976452207295,1907.277641773585,1878.4773017429309,1886.3812938615235,1869.3503261957958,1849.16276695019,1875.7150899964786,1847.9989393562123,1874.5476023347323,1872.7722023688675,1874.2762814830319,1909.9303582494585,1880.4185275414145,1882.1629324100186,1907.4749661505912,1850.4392627322968,1875.4687655550342,1873.660026648353,1849.1372705371448,1856.605286413713,1874.0525710944155,1868.9056161427172,1911.2203412444123,1876.7214639867912,1893.1266851756282,1876.692365983445,1849.6679350362847,1875.3617198232082,1877.4659026076447,1856.6159210421074,1858.078212183443,1875.8730931675375,1911.1788104285004,1887.005933565675,1912.524778832506,1880.830464017237,1849.6004562114383,1873.9188143073438,1876.3695320335758,1863.476568087272,1871.7199689213182,1895.5695068125221,1874.4263780176764,1865.4049583563572,1869.325643168006,1882.1627841028453,1922.4238671196852
