district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2020_07_01,2022_06_01
TAMENGLONG,1879.7858036151904,1854.8137988033502,1876.400369340964,1863.4055133003806,1920.0520041020045,1925.6476323826246,1907.733100395585,1928.9365794688283,1872.5095315950457,1876.0116892410902,1879.048021022986,1877.686934402518,1855.0518980546021,1856.2871956262913,1870.7442966336562,1858.2322436224745,1920.5617514123571,1912.8873490250314,1924.652816033309,1876.247956998461,1872.8227097628153,1866.167811665813,1880.2439593216166,1877.4643715098127,1878.7545216972082,1849.9168418573597,1863.7559218610847,1855.5811465824288,1921.7741443505586,1896.1407067147604,1907.3026969102232,1874.8539431773727,1874.5421226997094,1852.392684140566,1880.8258953429327,1878.933056650791,1879.226490735854,1852.0983846542572,1874.7482376307548,1874.3321239637564,1924.5067815546636,1894.7800266300026,1914.7960225339382,1866.6894139707854,1875.4039988012385,1852.2392390245893,1881.0064676320058,1879.556374706026,1878.423276044148,1854.5309269660017,1872.9744867054808,1875.4856679469335,1925.6637531101508,1913.15756919248,1926.720793126186,1865.054627119673,1864.9683818099372,1855.096423585837,1879.1640552529034,1879.2587599842923,1879.2141181699803,1851.9712454062637,1874.9819176836465,1877.5363788684133,1914.7772479091022,1914.9724449385728,1931.7918306485444,1866.128507784712,1873.032680374791,1869.6143332118677,1877.7742106501876,1875.8493797884043,1869.4893976506348,1855.5705806352248,1869.1784120802115,1866.7992309441886,1919.297773374992,1908.0501350777256,1865.7737450164677,1875.4791611638998,1880.7448373873196,1882.2116418764365,1876.8225741878068,1853.7276726275795,1856.7532044162156,1866.3106382000458,1870.6636541468722,1920.6595451240232,1907.0857668212273,1916.3526343579401,1878.4893485303307,1872.584039391414,1852.0068542029878,1879.129259432981,1879.011659415335,1878.9567855841346,1851.6131517125839,1876.0651020682408,1870.184756350449,1923.4069835698701,1927.1511533505316,1884.2275430022169,1876.0103372624865,1850.17128480647,1882.1416901182504,1878.27832452365,1878.3160168507748,1854.0909817135555,1876.0244348120898,1874.9031124772662,1926.4328196638878,1917.042364731814,1920.3451489321765,1875.8021477428947,1852.4552828537733,1879.9269717289858,1877.819723453356,,
KAMJONG,1871.221008871131,1853.6376102075808,1872.6177171469756,1870.944488684905,1922.018318305428,1907.551607897343,1898.5307748010346,1922.8614782585698,1869.5146622600876,1873.451948425981,1875.1054774318718,1871.456326580891,1869.8165008778108,1851.7479438197513,1874.8744539940176,1870.4946602105804,1922.6739280738623,1900.5078798351117,1925.390482198248,1865.7236421250846,1866.2267351055018,1843.558441151351,1872.9543750504017,1871.2187483604923,1871.104551965943,1845.950859196894,1874.5661438187633,1871.1402580786428,1921.4502091308293,1906.5602071992755,1923.2282463957883,1866.2021527415354,1872.0325736590187,1850.936513679888,1872.7916373933854,1871.459795896484,1871.8017419685414,1850.5123666449754,1875.4632060305144,1873.2912725290385,1921.8160239753843,1903.6491841128843,1912.255781985881,1883.0175290940194,1875.1178626334327,1867.942087049164,1874.0721305354182,1871.1184853015723,1870.9401213730155,1851.5809345327095,1871.9641329975354,1870.7619725940633,1919.960664601668,1897.6907929171246,1923.7287351381353,1875.058290751268,1867.3295276518902,1872.987904163107,1872.1292076350924,1871.8249681620357,1871.7855385454884,1854.2752911297448,1872.9713203893475,1869.071139406617,1911.9150347411266,1912.64598089419,1916.3803473249177,1868.84529573178,1872.736747861142,1870.7385257758601,1875.164446633092,1871.9828097134696,1871.3024332265481,1852.489541483987,1876.0722880403432,1875.317895420134,1922.686080753212,,1863.9068963087325,1869.9529364388002,1876.0080077223909,1874.2677287953145,1869.918148063317,1871.8225187216976,1851.1134169112847,1878.601285982592,1875.566693037678,1916.5522647701403,1904.943008294303,,1867.0803172122078,1859.4542630434476,1847.1690014489247,1872.761563478468,1872.1458003487414,1871.0138651148561,1850.606183632973,1875.7112091301924,1872.6046224412758,1925.2270817635572,1928.4520727479805,1865.3024950458366,1872.4710628126122,1847.7700246157242,1875.0125601518312,1872.452967892779,1870.743128768147,1849.7469226114267,1870.0791866409802,1870.284143923594,1922.0342549201482,1901.5106433359992,1921.5658261833162,1871.0319780875807,1867.2889387920122,1874.3106808064274,1870.44597646855,,
UKHRUL,1876.124953047511,1854.0234384896546,1874.8985001378846,1870.4238894189928,1910.977466750337,1912.090440943936,1912.006166429954,1911.3093560781754,1869.2080758184097,1876.5734641142985,1875.6068959653498,1873.6116832286598,1873.9612400739632,1852.7998341630177,1871.939922787286,1873.8632715818783,1905.8069934156783,1907.2644903074413,1919.785732436885,1865.7785603772238,1859.581491206039,1848.5468063407948,1876.5746065652522,1874.7558479980623,1874.9085519368925,1848.1074761313682,1872.3386282645959,1870.0857797851427,1914.2638569537903,1910.3023383993775,1908.8033189900514,1870.2450080862584,1872.1703747400454,1855.715534173747,1875.8825058704579,1874.8052302922717,1875.1898446303792,1849.8625735144713,1877.2315735184598,1872.3345680598113,1922.9475659415793,1901.4238722547268,1909.1002804577747,1873.2301374644621,1873.2680426522259,1866.5557608823124,1875.7918576160278,1874.6744051068963,1875.2436914516177,1850.989948270735,1870.3654932835227,1870.1805953913388,1914.3946272874355,1904.5927938184473,1919.5912975126473,1869.8641212101877,1869.6345781547077,1877.8520325658726,1874.941599311258,1875.156500780595,1875.9083149173016,1855.2546178717105,1874.165898696956,1867.712937662355,1908.0409683509558,1916.2064511921108,1926.8070116321983,1866.691679330036,1870.7911437649047,1857.2159092060465,1874.9380274919974,1872.8549834253056,1874.946401327558,1850.9312129315945,1872.358253070112,1868.9755457322462,1916.2853144141968,,1866.2631468399957,1869.0621966117856,1876.6378535944946,1876.689900769166,1873.7189288373506,1874.7887945935224,1852.1290986741278,1872.845173558837,1876.4394423322806,1921.359189987564,1908.512105296587,,1866.8037215959355,1857.0911562526812,1848.3556893580883,1876.4058283447857,1875.2099945324728,1874.9456628406133,1850.364238736721,1876.9704357250118,1870.6589894817214,1921.4419005402333,1923.617889818235,1891.795903497029,1874.0564890981623,1849.266452462633,1877.1111137453381,1874.3812676856414,1874.7574872719858,1846.2597446577256,1877.3895849200114,1873.4319597739348,1927.0497350966532,1909.3370269819911,1914.4975483452129,1871.973477771809,1870.428169360503,1876.2838883684476,1873.8842518282818,,
CHURACHANDPUR,1878.83881355961,1857.6315668930386,1878.3819699789337,1873.8292494138452,1917.0566685556912,1900.8979449616777,1892.2125202268967,1912.4788000624758,1877.1837556270184,1881.2174894310886,1879.8156844106256,1876.7283478311806,1850.677335498243,1857.3662660371465,1877.9365955992387,1842.322266390811,1914.122384411512,1895.182056907948,1926.7052300713585,1865.488965828433,1846.5888351835097,1874.1064911436058,1879.897420721709,1877.5309295543118,1878.3663300198266,1851.0510141523487,1862.1025691548396,1856.6803721658575,1925.5755865846081,1891.8391744874816,1899.931541488144,1872.5747951192304,1877.7023999681744,1850.2660458079436,1879.4154812961108,1879.991695853034,1879.4723372333144,1854.7772096572123,1867.1608075605377,1856.177438268077,1913.1274154408775,1889.157112161083,1920.5216910825204,,1877.4749570967397,1850.452026251311,1880.6148861975987,1878.7822062901444,1878.3464946461681,1851.8945593294472,1878.2510678308968,1878.3805352973761,1911.617587065785,,1903.6026925512701,1865.9925338781786,1875.9498724640316,1850.283573125459,1879.9831502388633,1878.276002420468,1880.0618926317334,1855.9380037664132,1878.1988720005309,1869.4140865059042,1912.231169207778,1902.11185458242,1915.8856074844725,1867.10764659139,1866.245158462027,1868.8992375218852,1879.2563314209265,1876.69047230323,1857.5798631543396,1857.1518080148437,1877.6850317712037,1874.1840983365275,1917.8897711437576,1886.976409709547,1864.4345432700657,1851.1641437609262,1879.7901388632433,1881.4862533678772,1876.6817869303288,1850.729346040041,1857.133992753467,1859.9876202011799,1863.8509857382096,1917.0110007640294,1890.984373225368,,1866.8689049179507,1845.212520445015,1850.2190769655974,1876.8259958140734,1877.6679514904051,1878.13542223959,1850.8802830502339,1878.1326029943734,1877.8665440930397,,1928.9127311615762,1898.191458566758,1876.2611966946429,1850.2128901600884,1883.245520709651,1880.5192994183967,1878.2718716147428,1852.263894035849,1871.1579973179066,1877.5110418684385,1914.8190846346688,1890.127776346021,1903.1369158828652,1873.2070675175632,1850.266466123598,1879.6870997300398,1877.41418638541,1926.3921147082572,1883.1879901934228
PHERZAWL,1863.3904847599072,1853.1405583814058,1874.5299393135365,1871.96905294166,1919.8560972386908,1903.5921170386664,1901.0596258751964,1921.8740689179356,1870.6556403363088,1877.4065128868376,1877.5740705289682,1873.6668354436365,1856.74400972381,1855.231221630595,1872.4876204738512,1869.6973905648117,1923.208997130779,1891.357415755634,1926.4191670777834,1871.9785196696114,1875.3755064320865,1874.5480252579662,1876.9638181318753,1873.7320228810627,1875.1039145571385,1853.2176784669034,1873.2751331661257,1872.0846678480764,1924.1198924816356,1892.8831272485743,1898.0365842705014,1877.811722486646,1871.2271213426452,1859.133889724918,1877.111431349993,1876.1609405704887,1876.0095999406383,1854.1684867980366,1872.9546499090063,1872.9929968276078,1917.9228775033748,1889.9022362295034,1920.8712353220687,1879.8952569049898,1873.0664090617038,1856.2944791789582,1878.8768928993595,1876.1625805168562,1875.292867947806,1851.9509655224838,1873.5859893140055,1872.8257310981649,1918.698239013179,1902.9193806608084,1909.9002143360265,1865.5325831791454,1870.748075297224,1849.7871338105329,1876.0465787210078,1875.762063198681,1864.0640230788965,1851.4617287200954,1870.678817841637,1877.8277139588636,1920.9251977152555,1899.933479462194,1914.174141082487,1866.4468742550628,1872.2137748448952,1848.2722711188767,1875.9927425961469,1873.4408553359979,1849.487282867012,1854.2858949040851,1874.0290498064305,1872.6331281752523,1919.7914655947754,1890.3470041151486,1864.224211116615,1873.151442469338,1877.6429239370411,1880.0528635625196,1873.5488847304816,1856.8843588412608,1854.8827389337166,1870.2152498344096,1876.9161898988193,1914.5444436949147,1893.3670226324793,,1872.3317154524145,1871.5785288235936,1854.8075130555328,1875.3878492701767,1875.7244659571227,1875.0698284523166,1853.2254507157645,1873.6409983276515,1873.3174075201011,,1926.1667600878507,1902.9537418846148,1872.7467386632838,1849.2169584406008,1878.7800681294075,1878.7648370169707,1874.3509802461776,1853.0102777562702,1872.8800040231104,1872.21665928879,1919.486391132172,1899.8283722381445,1913.8844786569182,1870.9699271903792,1859.3646845433489,1877.3762044952718,1874.9580104128397,1924.496188502711,1889.8030509602029
KANGPOKPI,1879.422756891096,1854.5155298705884,1878.9640532107564,1865.2003406851595,1917.220484433285,1915.9842787169314,1902.722681112064,1914.5661067412227,1876.2694168200042,1874.0934079645126,1877.8664362138672,1877.1614371407015,1862.5975246773623,1856.9792694137495,1875.2544272260686,1853.6545011286075,1916.8250993901686,1906.1343953711448,1924.7684374935716,1867.1688451452749,1863.9045798227128,1850.4566711260156,1878.420721891081,1877.004001149129,1877.9173412679356,1847.7913892880977,1847.41371802819,1844.4325622347203,1917.3566743219953,1894.8273884713612,1916.7908120347963,1879.0945710707522,1878.6568594664348,1850.3539925167022,1878.903988779199,1877.8440801258662,1878.2933740978451,1851.3579347624973,1879.5468321815683,1868.530489501733,1917.5031616970048,1890.823015087775,1908.5063139689894,,1879.4702301749176,1850.630986648536,1879.0919835790003,1877.9886338773447,1878.0963130828925,1854.2240740509535,1869.0274828159172,1877.9346262559034,1914.482165520553,,1910.2538018814284,1866.6418462494578,1856.6182915530533,1866.179426710171,1877.7837471557389,1878.3019871227273,1878.963083463404,1853.838540785643,1879.5051653832606,1876.867227110275,1910.4894180895867,1915.5390906900873,1930.3579738573242,1866.6840901886142,1873.1814832639984,1871.0933839962788,1876.9522176400071,1874.710332147806,1877.559758614699,1853.2205265259097,1867.6932376897093,1862.7012864890091,1916.9710699178604,,1866.0766451585405,1880.4713350874208,1877.4343397437522,1881.284510094734,1874.832054355699,1856.171190716654,1856.8615674105042,1869.32758021907,1859.6736538799012,1918.961004545178,1911.0989596666548,,1868.8187472018756,1869.4441488555212,1850.2853098040443,1877.3541103108103,1877.895770140157,1877.9259260610472,1849.685291609943,1878.6585673361656,1869.304545130605,1923.17737160736,1928.5759703150852,1878.4160037722093,1879.4167960807652,1850.2208182642646,1881.360545835691,1877.7385100227586,1877.6345144460859,1852.7948396181973,1878.4891564557602,1878.664834196679,1915.6968197573422,,1914.1507708479319,1879.8281766956895,1850.4046359515967,1878.3164443920687,1877.1757720019543,,
CHANDEL,1878.2997935947997,1854.8844556860347,1876.4408656786597,1876.479863545666,1919.654618652505,1897.3193452922694,1892.9905871371068,1918.593580524066,1875.2716906049445,1878.6208841057714,1877.461968593228,1876.0220426286503,1850.7843026202584,1856.829020187256,1879.0640325131237,1864.489166303041,1919.5989612865246,1893.2725306413263,1926.9583480570943,1865.3513546264642,1860.1401331444106,1872.1503492208435,1877.4622080291558,1876.8266228303987,1877.3068771638639,1850.8501513611154,1868.6832692116368,1864.6078487630343,1920.5641171590476,1888.0700388936777,1905.0333986688777,1864.9746876192467,1875.6522627149982,1850.3125373901769,1877.6000654523264,1878.16078264255,1878.2615582222759,1851.3121531633608,1875.7790963776797,1870.2861477739843,1912.5090921280346,1887.9224891166884,1925.1424179551545,,1876.4239487288605,1850.2953518507124,1878.4192553654777,1875.9493086503767,1876.4800825703915,1849.4809042277645,1874.3852540166615,1879.2661218678488,1910.7266155933157,,1903.5315853625586,1871.5065487186366,1867.3328612206462,1850.5075975908708,1878.414511896392,1875.6349553173893,1878.322792278206,1854.7458545582851,1876.8718170462487,1864.1979742966678,1912.731888289568,1901.7935237503732,1910.3834170734267,1871.4160037349782,1860.5003150841949,1875.643263487434,1875.3267247976369,1875.7058248672554,1875.4778264589713,1856.5391446221847,1876.4294741603837,1875.791407034849,1918.7574214684282,1891.4911937215882,1865.592222408867,1864.2238927247158,1879.7452163219239,1879.6085203418756,1876.0700439243863,1850.765806974694,1856.5405149524797,1877.2244784848856,1870.4552368100592,1913.7030011933182,1899.7860593608611,,1867.0536424387183,1861.6107100910608,1850.3539788972894,1874.3542811807986,1876.4000933008645,1876.7584831513466,1850.8202520554391,1876.4187535797882,1876.124813808496,,1928.9881900326343,1918.940607844425,1872.9504090051942,1850.3460463862841,1881.9058784094223,1878.9706242760085,1877.3778803088458,1849.9841596347744,1874.9123610977272,1875.9528480991873,1915.0984908356909,,1907.110761908585,1874.1346449579946,1850.036872748195,1877.135644116352,1876.5706043571156,1930.1070298974585,1886.3712253277113
SENAPATI,1878.0028730179763,1854.8514943265432,1877.2064127887106,1867.7191860285375,1911.2277235220324,1914.6856067898007,1913.4634180410228,1900.874599288874,1874.868249436059,1876.4185551192397,1877.6479286081578,1876.095196122474,1874.496601820696,1855.2491768622115,1867.9141757003008,1864.8085717106967,1916.4349949841464,1909.021969552061,1921.4117313815389,1867.8357678851612,1864.089536743351,1850.5683329630692,1878.2317819508503,1875.7037682391344,1876.559982024789,1849.1339917224884,1868.7780730327888,1856.28980991471,1914.755072861871,1910.7354341015628,1909.1269869541168,1878.8757321572002,1873.395518998531,1850.3810648286926,1878.0763874823997,1876.4249754805398,1877.2797394069214,1849.8898162237872,1874.707594360388,1876.4304422098398,1916.8436019320498,1902.226451662124,1907.318390335044,,1877.47510874237,1853.6730495246438,1878.217444746104,1876.1323644987576,1877.2322274848386,1851.9707779429386,1868.4137569338368,1876.6582524685396,1908.6339476772323,,1924.9380446443663,1869.642358094258,1868.1751844104558,1880.5588243748236,1877.1713310163695,1876.6848906560565,1877.7557941588366,1855.5441795098152,1877.6229802876508,1872.8452531353987,1907.6850054810516,1920.6983623729193,1927.8902873600082,1866.0418584348952,1872.172088079032,1875.2059117943065,1875.7841594378426,1872.6332912580324,1875.714888777988,1850.7049805340953,1864.7197844214952,1855.087761723454,1915.9261540573589,,1865.8928318523551,1875.2291916292481,1878.781329878707,1878.379343778037,1875.8683118288743,1873.702188718206,1855.7663459977925,1873.6072287813788,1861.8521061432662,1917.1715861508842,1908.7306929343752,,1869.836330497582,1867.5715621061872,1850.4469290509378,1878.2201437215754,1876.6277413675944,1876.0388077713556,1850.356098516433,1879.1272936982389,1860.4103667405448,1923.0112131731858,1921.8773237255414,1879.7968284464696,1876.9554938767044,1850.5075004690912,1879.5921059962725,1875.2849944980806,1876.4667187571438,1851.9915208315995,1879.1760947883397,1876.7230852918801,1914.9859726235047,,1923.5069617028673,1877.3081763159582,1859.0823021527108,1877.748388656597,1875.3136641508813,,
TENGNOUPAL,1877.9553547480182,1854.052473855989,1875.1311048808163,1874.4049887517292,1921.9430920829818,1898.8506413691373,1890.8344030351857,1928.3682937319272,1875.0471145241097,1878.6325377736969,1877.047326823353,1875.8578872266385,1864.1130233061442,1854.6476166607886,1878.3904947037902,1870.6212917214193,1921.2556127083437,1894.146723869371,1927.293063034572,1865.800416583556,1870.3335746339549,1845.1652353898507,1878.1394047329686,1877.8559355668551,1877.8229134350456,1850.1781352859991,1871.485575338142,1871.1036262192144,1920.4183385175118,1893.2466617468463,1914.0570583317958,1865.8252946501093,1873.2777830171417,1850.0174457959786,1878.7227138980143,1877.8299199318776,1878.1298138407205,1850.0907684439337,1875.6301947915197,1874.1605581004987,1915.471135309356,1890.1103988498976,1917.9741851286567,1872.8476595457653,1874.8855122324035,1852.1466647342243,1878.9817457010593,1877.3784051661796,1877.5566614705938,1849.8907094123122,1873.8821492165857,1880.3599939872242,1915.620393993677,,,1871.136818617033,1872.5225258364658,1865.67832417711,1878.3154486251974,1877.2859525822464,1878.5516307015832,1854.301943374678,1875.140472652149,1864.2278239232166,1919.190575297003,1905.6872391503302,1913.3032531969047,1869.8649636639714,1873.1461214882972,1874.441734525857,1875.1243645024847,1877.1133203755371,1877.9736976793238,1853.2215597489485,1874.8591516314893,1875.5269119768589,1915.8615504804138,,1863.2670231367883,1874.3320531937443,1880.2079765330154,1881.1116174533568,1877.2159379586014,1860.042033645605,1854.5933699788095,1881.6000749229247,1876.2251057837502,1897.081095477848,1900.246220818889,,1866.6566270890585,1872.1082143915219,1850.0904582545052,1875.2113592223106,1877.2144510224941,1877.7396114437186,1848.9973841395347,1875.1901361881526,1875.187070524197,1922.6401781532497,1929.4265766815329,1865.7331893713438,1873.1449936449128,1850.1410958368217,1880.6705465900823,1879.3026348072742,1877.77151720972,1849.8429847240598,1875.8374085144944,1873.970636400633,1914.1670489975515,1901.2901448716648,1905.1485336584694,1872.6641357627302,1852.4906944112006,1878.449446745524,1877.4831095636541,,
NONEI,1877.2980424113118,1856.1241399334901,1874.6929400765448,1871.995041612877,1920.5572752856606,1919.1753642048322,1897.4282648941953,1933.9585454203427,1871.4452258090776,1877.5012000048564,1879.159018938698,1877.6032809503438,1852.8600246774379,1855.5894165784096,1874.8217256813937,1866.2212200782324,1921.5312700368536,1902.0438228957973,1924.636101014773,1874.00397829338,1871.7392081318378,1874.6943004719315,1880.184180772143,1877.254780378295,1879.3929696732746,1852.4589933613984,1864.8516955045939,1873.1780641488074,1921.363505169873,1890.3343037218197,1901.8913119950898,1876.3149706889715,1873.3071297037318,1853.0296400052778,1880.5712479932781,1880.0479014094756,1879.5152728959877,1854.7423512367177,1872.5159698203772,1867.898400941889,1918.5512087239895,1889.0870002107276,1915.4800296575406,1874.3366014357089,1874.0423037314358,1851.8771911532167,1881.478026766819,1880.1720092729577,1879.199150204604,1853.8576483679526,1874.0287135109513,1873.2221559304835,1920.8086289306675,1913.1826418289472,,1864.5387327886424,1871.579831300366,1850.154925687884,1880.2736608338816,1879.3532206631585,1879.0046805572856,1852.8460068152083,1872.0971107271826,1880.3227428610603,1919.6997327134343,1907.4182266891241,1932.4696848289261,1866.0511611015215,1871.4235778986215,1865.3287993228419,1878.79925107764,1876.740436125217,1856.40416091773,1856.0242276464267,1872.0818635237624,1874.1922637435898,1919.6540565764342,,1865.1271743485304,1872.9735695066859,1880.7544501041184,1882.712900178025,1875.0276137269382,1852.6664866756144,1855.6498490654992,1872.4644178463216,1876.226862154509,1920.087488759132,1899.8589925772258,,1875.5811431186255,1868.0485548819204,1852.4287505445805,1878.9616822928626,1879.5581049013451,1878.9877097444912,1852.3215206477057,1875.022231587553,1873.657679445115,,1927.8929285006498,1902.831651248467,1873.816216330123,1850.1964252998578,1881.1669023259442,1880.568108487697,1878.6819160117172,1853.6424011684817,1875.026083102001,1872.7566368542057,1917.0881818226937,1912.2028917139571,1907.442927371701,1873.513406343192,1853.3315827073536,1880.8215343105321,1878.7341757020056,,
