district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2023_08_01
WEST KHASI HILLS,1876.059421970558,1854.9348655333174,1876.9080745103834,1872.4826677746412,1907.5662425756861,1923.9698543355773,1918.511966639543,1866.9023342409066,1859.265809630796,1880.280267018443,1878.8883733495022,1874.2088609110774,1875.1995893553062,1851.6900137099842,1851.3516887408,1866.8371026854381,1906.9101892041003,1919.5591942188362,1910.804182053496,1865.401020245775,1868.8134363161082,1879.6580446482812,1876.8170417749195,1875.8605256400328,1871.6280371215626,1854.5953245023193,1874.4521968263666,1872.389244352297,1920.2180211064813,1912.049551411716,1911.4568482254474,1870.1489188844384,1857.5411971593085,1852.6949971678127,1878.4625432308844,1876.5486233095912,1874.6955747510015,1850.9785200082001,1878.2597652462418,1875.8110283302071,1918.885078297365,1910.7859675461655,1926.0774952810082,1880.1485188501606,1874.3748201016738,1856.20675762097,1876.8138195075205,1875.8406462882072,1876.0436056995215,1850.3199506009223,1878.0191640188448,1859.0829415777707,1910.0236138382372,1910.7681683932476,1926.1940393553273,1870.2816369557393,1853.226663732008,1867.1403632072625,1876.3213281540031,1874.4956607176848,1877.0026958020276,1854.3229791241934,1876.9548157087918,1875.611945472643,1907.0056363298395,1908.8375248507639,1926.3443015288115,1867.4038073574673,1869.9131780802686,1880.1320093208537,1878.456289093242,1876.1298247247034,1875.1323412724848,1851.8233274940876,1866.5370226481812,1871.314707797993,1906.968219460223,1920.309404983582,1911.1096754162143,1908.0470540841088,1866.6341187520204,1848.3576179006518,1877.1982119027036,1876.1645036911661,1876.7746470520372,1851.6652058868592,1875.5130211170222,1877.7650067784277,1913.2542178902036,1918.6249730944874,1923.5108356299338,1867.1965794536318,1873.6459800757596,1879.1647894595587,1877.6829104372428,1876.6548892680457,1871.262224087925,1855.3258323286852,1875.9401417784934,1876.8580061213356,1915.6012127739016,1913.8497400760918,1919.935682354806,1895.8762168190933,1854.3853624336973,1848.7881917504383,1877.3806806568089,1877.446855432267,1875.381305929274,1849.7687037113599,1877.8392212388383,1877.599587945664,1918.2275737508357,1913.3183742684425,1922.017025594826,1876.1209875875775,1856.7073040013154,1879.1213154675959,1875.5086403854318,
WEST GARO HILLS,1869.1850521259944,1844.3261087010533,1871.7946149184552,1873.9071288851742,1918.9554826970723,1930.8124505379194,1925.492268074231,1869.7116166710166,1871.7892539304585,1874.258424806166,1876.6220329342075,1871.194974144689,1861.9662045623704,1844.8645261656704,1875.1505529628043,1867.7470942685882,1923.9883440697124,1909.6487516109275,1929.8979133617036,1878.0094814804218,1872.5689198925825,1876.3868191774131,1876.0403889796785,1870.1007636345362,1870.9642298697117,1850.104728620537,1876.105303551057,1872.3417056207443,1923.9392625671335,1916.2479648155554,1903.7228993602062,1873.1980554701474,1871.0831614541362,1874.4748208741626,1875.4102763527085,1874.6152724013943,1871.852681494321,1851.761500696754,1873.6561237689227,1873.074518838054,1921.4569530515055,1928.8982276809431,1929.564159622647,1876.7362954217506,1874.2754986224777,1877.8863649087816,1874.74440619184,1871.5728764853907,1869.7511742370161,1853.1150511905191,1873.968047912452,1871.0542132547212,1911.2524453083722,1917.2808850909094,1925.3832115014627,1866.8197516646374,1864.7552775641966,1873.6956105643844,1875.751340252152,1871.10158254988,1870.4936072384112,1853.89990660941,1872.0633239330646,1873.1232093587184,1905.9322076582318,1913.641217717747,1925.618163835489,1866.2291754860453,1845.9731986947272,1852.757583429409,1874.9416126095707,1870.4143952291604,1871.1998408592858,1847.8993550991827,1872.999630662868,1866.5230897225601,1912.7322094235005,1917.8947644606662,1912.3947259094225,1868.136028134111,1872.8163544125412,1855.3171521320824,1875.6525575114056,1870.7484561169745,1870.4896865061341,1851.5833999006425,1874.7598902884645,1873.5059153382724,1924.3464304631611,1918.385876269659,1920.9614601875562,1879.3756429776233,1867.8512062188865,1873.0393121710526,1877.0547562137235,1871.1529728897192,1870.8004360613495,1851.4864589895267,1876.687255378145,1873.0025960131366,1923.5816140175054,1917.2423505845484,1929.2624820749777,1873.1641999099431,1869.4873277082568,1874.4124076258736,1877.2206594554837,1874.9018503020263,1870.7197913360262,1851.5840914151695,1874.0325889420292,1874.6164161226238,1909.4755623677145,1905.6736269923567,1914.9284356282674,1873.3358089555916,1878.8475273635206,1875.1718705709006,1871.2925091393201,1873.2141384497238
EAST KHASI HILLS,1875.629722679875,1853.2571148720037,1872.8167719536495,1871.6501822787916,1916.1267448719775,1922.1698965306937,1922.9943568101671,1869.2019061339654,1872.3567157759026,1862.883655584048,1877.5637868954454,1876.0255544611316,1875.792089828851,1854.9753021338126,1871.4342221896397,1871.1860591365753,1919.637587208732,1912.892669601693,1912.6997583952398,1866.1028059329299,1870.2168750567025,1863.1837983279706,1877.2572047033166,1874.822197559258,1874.1677334490603,1854.4239617277117,1871.0826445166908,1871.6445030305827,1926.6042932308874,1916.726011070266,1912.2091647848738,1866.6866730507595,1858.6960587718725,1865.8456088756277,1876.6421987610245,1876.7128026858702,1876.598468614191,1852.8130137021194,1872.9672881629572,1874.793313184344,1918.2654559956686,1904.0815512898598,1923.203543269875,1866.838679402461,1872.6270983129898,1877.4730860323955,1877.534787953786,1875.864551851874,1861.5360377764994,1854.029703076805,1875.4060405951464,1869.6965178837015,1919.0647879362787,1915.9377134191097,1922.2291628641365,1875.6596035819457,1868.1670905545086,1872.1518989016697,1876.3893730165528,1874.4814516423323,1861.5724673708335,1850.0714231949341,1870.9895657146571,1871.4451521999897,1911.3400189203564,1908.4328818650947,1916.114281216638,1868.3583343327168,1874.7153123796547,1862.2154958263661,1877.0516012653675,1873.4725662609135,1859.9757740503128,1852.9744203435425,1871.2201028492525,1874.0038469401193,1910.290372231149,1917.747016367533,1912.762396762398,1881.687437998429,1874.1116201529605,1848.2353199381462,1876.4326545669273,1875.1389189104318,1876.2088818287052,1853.5821067491715,1871.507738587242,1871.2859641095185,1923.8001042354044,1914.4698847726652,1926.2193811933098,1866.574735230195,1862.308489900169,1867.6218968955968,1877.2333845444782,1873.5849440142733,1875.7241998638926,1855.4621671651025,1872.2905945661096,1871.9590162509212,1920.8092949788465,1908.3611487610326,1928.6672017070862,1866.5410092739614,1859.8601396040858,1848.257865014378,1876.991966625749,1876.3550986093917,1874.3342623713838,1851.4092370429432,1874.876890395265,1872.0255249144643,1920.9425641176006,1915.6741536666075,1920.028191068622,1872.4052455144001,1868.5475701979815,1877.6568394483008,1875.1181211246972,
RI BHOI,1875.679637609726,1852.3001341843772,1873.9562941343115,1872.1745965226621,1915.2647972404702,1918.945414168038,1927.256838532873,1866.147188136503,1873.4805420398268,1865.0054862827958,1879.6069536122375,1875.515622339778,1875.7549292338751,1853.1841171232238,1870.8088140166947,1870.4613886460784,1915.9874552143483,1919.366957812979,1908.979070331503,1867.1108132104603,1864.8153399504943,1864.070745881421,1878.7765429735718,1875.8141568824879,1874.8687650225202,1853.5475296907023,1872.7051912866652,1872.4005446570231,1913.7911233899497,1916.1153033316223,1912.360456867608,1866.6342625036234,1859.0799969628029,1876.308584426304,1877.4412591516552,1876.5467374844156,1877.3806086904024,1852.5975619814528,1871.8666660236377,1873.3998619777606,1909.611969841855,1908.2298461259752,1923.594159005836,1871.6924683135194,1872.8035483256442,1877.7071375676546,1879.6483712540155,1875.5733070118745,1872.0855868539452,1852.7412133278158,1874.7648721223047,1872.4041092012324,1917.1019116360544,1916.0972807212966,1922.4116011386072,1871.9779192504104,1870.8067375268217,1873.9870004960546,1876.6892659949172,1875.331296005352,1861.7304234405717,1849.0441366645362,1876.2140643178327,1873.186353910479,1904.3000283755248,1908.9507658512796,1914.1410590965982,1864.4658374133412,1875.45007419303,1864.6081874725992,1877.8736872678155,1873.5739145394134,1861.1246066726521,1852.2606944561614,1874.3136521671506,1876.5347237095236,1901.598800723482,1918.8177856871803,1910.575878926333,1901.165534257006,,1847.943071827332,1876.4460198174354,1875.4218083885803,1875.7050280135886,1852.6015712771002,1872.2786315198896,1875.0691277902351,1912.336054411585,1921.5470528119565,1922.9375121959235,1866.3518892056863,1850.2747666093587,1872.232770842466,1877.9597773654189,1873.9594736228075,1875.6513902706415,1855.018831766071,1872.7733805198286,1872.814568310898,1918.7454132659027,1924.8057352146482,1915.1229086812712,1868.9986612488124,1861.8247253175666,1848.900062701578,1878.1907224071335,1876.8958460321674,1874.9310644408422,1852.1132244576943,1873.8748245143233,1879.018471225222,1914.6220070242193,1915.3561561035806,1920.1507242233638,1872.1577172322318,1863.4580146314338,1879.281913436341,1875.568177650785,
WEST JAINTIA HILLS,1882.0582120568386,1851.5587756306359,1876.9296533921936,1873.1724434611315,1922.2516162207942,1909.6731623578173,1924.0535410151408,1855.2280647953028,1871.5895277030518,1850.2839811899746,1881.176588032994,1881.967253185346,1882.0510991758426,1853.225658091063,1878.4270791617312,1873.6724527413023,1920.2462471300933,1910.268827823505,,,1876.7165484784082,1855.2683166880952,1881.7485561679857,1881.517290826185,1881.9362975127708,1854.655200275287,1871.6828997922091,1876.3452874441766,1931.2520995508594,,1906.053755941702,1867.3435436671175,1874.8427528037998,1878.363185479526,1882.6944710961639,1882.3266588323409,1880.4672857643204,1852.3753226116414,1876.687577304101,1871.8837181262522,1916.852818455416,,,1863.9170137939336,1871.9309763567885,1882.8286743871195,1881.342774900647,1882.2124583181742,1867.1146050609113,1857.187512620442,1876.8422000915157,1873.0179314160725,1919.504425657097,1914.1092373032982,,1877.3158944076943,1873.7864871500842,1873.9832307069812,1882.4195171448291,1878.9286592654335,1851.2143034782448,1846.201539329904,1871.0715303983393,1852.6676952969112,1901.7829808269473,,,1873.465344674004,1863.4925681095895,1850.3446146044598,1881.7745727569927,1878.3943801825171,1851.0231542882984,1852.0792407219706,1874.5144409836143,1868.136138451725,1906.1075355578605,1911.086975252395,,1864.5097049526144,1867.9938447646452,1850.363928015567,1881.734316912919,1881.4626805634462,1882.2495955107072,1851.6477047957596,1875.0329215576899,1877.0077564419612,1920.4344329510857,1904.659934335787,1922.9799920911241,,1873.4373171027094,1850.2700670187467,1880.455167731827,1878.4052319421817,1882.0480954531045,1856.523260571031,1877.1552125394378,1860.6014345096094,,,1932.1385980850735,1866.1738272998707,1853.1279695763264,1851.5074977269132,1881.5964807954902,1881.6005405173844,1881.0164910114188,1854.54175687878,1872.2184767389892,1864.4745355157427,1915.685617200634,1911.9750461540025,1918.8868416903526,1869.34262176223,1867.3024577106646,1881.6902365062344,1881.738729302948,
SOUTH GARO HILLS,1880.3075632896227,1854.6995251129215,1876.71641964682,1877.5812836937046,1908.7776840442514,1921.4931638102728,1911.4363276935717,1866.3814688247262,1856.517462870989,1879.566944971025,1882.909150350816,1877.1398992448737,1876.6578630617396,1856.2530667108622,1855.602379039875,1867.0069259067457,1917.6558599641085,1910.0180273730869,1925.097856281377,1868.320018628364,1865.0897177930035,1881.7548873636322,1882.2615148124596,1881.2156345222097,1852.6219037944447,1857.213866329548,1876.961970057763,1874.664247024818,1919.3503157188643,1908.744229112749,1903.5193720785094,1877.935416858596,1874.1436838132006,1851.731380340327,1881.755226165111,1882.2083241654313,1877.8704377120805,1851.649402984441,1876.4879976889329,1875.7873932915388,1922.5105665539172,1911.3821702786606,1927.82750189397,1871.9701814361365,1876.0194937344706,1851.3475047163683,1883.0560020487637,1881.6685343994895,1880.5594641204616,1852.748947246636,1875.9753646781417,1854.8015392894902,1912.8995823750556,1910.0407299510211,1918.6741226503118,1864.9285189880407,1862.772729294601,1851.536281733154,1881.462524705163,1879.018762118076,1882.2802468442935,1855.563208851979,1876.002054199435,1876.4018966093754,1910.582490505379,1908.7131785590857,1925.2748339318575,1867.1036726100742,1862.1612172097116,1874.960853777943,1882.8082563213216,1881.802671241898,1880.15159279767,1852.738830601629,1869.5683105347587,1878.4165300239115,1909.4022780233006,1926.5348258435677,1908.2956692620976,1900.7378995456618,1859.9122814435923,1849.7228132625512,1882.408870445276,1880.4557245982608,1876.6808440471748,1857.047100283937,1877.806738807348,1876.589370134467,1918.6081443520873,1913.6180691308703,1923.442897394803,1870.676049952083,1875.539114278345,1874.8746568576767,1882.2600129360412,1881.6558943222935,1852.1154438481228,1857.198177897654,1878.5602250294141,1876.1736842859004,1913.7509284285031,1912.8897493724508,1916.9457232071636,1883.9978066816677,1869.1568574912199,1851.7225469627504,1882.8919200291446,1882.2136250075314,1879.7407186869011,1850.7576881519294,1876.7106113960872,1876.7893467320998,1922.0874622368624,1910.144023478807,1924.1696267439584,1875.9503790070119,1851.981095857754,1876.8093357106618,1881.293100142049,1869.4838645146456
EAST GARO HILLS,1880.459503248362,1854.7949386041844,1875.1869139561431,1876.5181682566301,1907.7842491029667,1925.6886064047976,1917.669946001099,1866.6321116114368,1863.8539658604836,1881.8516568082016,1882.0382027469168,1877.8339928820265,1879.8062695004887,1854.3454850363964,1868.2803953929804,1865.369535571952,1914.3230035995364,1911.057880970229,1909.347770068015,1871.3741265026524,1873.682438893408,1882.3923509567035,1881.3318946456895,1880.12077551279,1855.4652896758575,1856.8099352421482,1877.3711437609495,1871.4116411814384,1918.2778983742721,1910.928674184358,1907.5483114336935,1877.598580674565,1872.1581706844104,1851.8476700384192,1883.5417599271104,1880.4070508360578,1877.6152128613749,1851.5503874968279,1875.9281118834353,1873.9625238087563,1914.66017380926,1912.3065159354908,1922.844199997262,1870.0271495116115,1869.7685142025593,1851.3577185703998,1881.5030544238325,1880.8161321617572,1880.4800189820298,1852.0634821874505,1874.9018537951001,1864.6167881322028,1913.3227218583595,1915.6143760610055,1926.9831040030024,1865.1922454823468,1866.7548011856763,1851.6785876116955,1880.7883199067157,1878.045343099829,1880.2035295876856,1855.8489236281207,1874.522390289924,1874.450495714692,1908.5180593188807,1910.475633677794,1926.2971591169096,1866.9487773571127,1873.1433968760584,1881.4820393022067,1883.2019435913076,1880.2083061801868,1878.9562863067542,1852.2476787411488,1864.0134121190772,1877.3974471900524,1911.995314572031,1918.3847346108978,1911.7893598856572,1897.8272320247181,1877.4259502655555,1850.607515516087,1881.0454625366954,1880.1164625338045,1879.9322914605489,1855.4521415582753,1875.0353930554418,1874.8669206060852,1917.1143034620084,1913.4575262463916,1928.6475499604962,1873.2780743155931,1872.77545540901,1877.086972309606,1883.4706756578712,1880.3353838221585,1853.9222341616758,1857.0180195994285,1878.3124088965296,1873.9505722679573,1917.7932154022403,1913.0255788569195,1914.7156047270469,1873.1692861276213,1865.1720504653601,1851.7066238177624,1882.7743157191478,1882.0570173736278,1880.102952117971,1851.0648442826841,1875.3746492429732,1875.7821391355953,1910.1832098319112,1904.4406904792068,1907.0153830509023,1874.0546054426175,1852.0103600291047,1876.7656814520017,1880.1209431867655,1867.7714630950177
EAST JAINTIA HILLS,1879.91622511006,1850.9221828327297,1879.6094021798926,1878.2456548801551,1924.8371037909837,1905.838302864254,1912.7967506275384,1844.9460750709777,1875.54908054017,1850.356910972533,1880.638246382147,1879.5560679964271,1879.538395502817,1850.965835712917,1877.5410309942768,1877.7897988631755,1912.312019079529,1903.9407237135863,,,1878.93780669383,1859.6594187535336,1880.4090835523887,1879.2180473197845,1878.9971974798923,1854.922271507202,1846.585066824825,1878.8144303004349,1919.2341631784582,,1898.6469629978956,1868.1460975114753,1879.5252971200225,1877.7360548138936,1879.3060535535683,1879.7420941498024,1878.96422261796,1850.973459843247,1878.9597258559477,1866.5298416254068,1917.8758498850107,,,1863.7691435823203,1859.440685888525,1882.0252003599826,1879.8817091813842,1879.6259438785178,1875.7815101912615,1856.2234789334389,1875.9104541667598,1877.5760954052225,1919.1092246127594,1912.9613821276973,,1867.8469214312775,1879.2333917992419,1871.351034301642,1880.4191930908185,1876.0485057130413,1850.901381391463,1847.3240237671305,1877.8968729744463,1841.7607773193197,1906.9298901580567,,,1876.3518068526553,1858.7016195735255,1850.3774534539546,1881.3766815776503,1878.5710043803474,1850.5116789100753,1851.0651570791467,1876.7876404573744,1844.3004053297177,1917.8316926004843,1908.0013201703666,,1870.333250817134,1871.1484680063675,1850.5693526795324,1879.9957206812624,1878.9959090315988,1879.645288983882,1850.3925869089442,1878.6605692744506,1878.840422932765,1914.3689674130087,1895.604307471206,1926.2477320973228,,1879.2916981428482,1861.9197308094037,1879.4337450598123,1876.4207071918122,1879.567759054063,1854.8893692430163,1875.8074293482966,1878.6474658294196,,,1932.186442433576,1866.8826427452764,1842.585207523137,1850.3593103191122,1880.7717027827257,1879.83195946664,1878.5442069005803,1853.5595591002657,1879.11553043384,1844.6627300829834,1914.715053272542,1909.27261237293,1914.369531921264,1867.495222828642,1873.591773233976,1880.3189163318311,1878.5760851175403,
NORTH GARO HILLS,1878.1395978499588,1852.8802353378883,1874.0597444124296,1874.4559189111465,1909.3843784653745,1928.7768150381175,1919.2397917846042,1866.629525151909,1862.6547104802655,1881.5520874362385,1881.2466433767293,1874.956022820913,1877.9916211969066,1851.4894746779464,1867.58575467885,1873.263568045039,1911.7723878969305,1913.6041227393016,1913.315650786108,1875.935861378356,1873.6955595757381,1881.2852321067458,1881.9495906465108,1877.7085874887744,1864.6690764692073,1855.7421057581662,1876.6356336802112,1863.3167897200947,1919.002930204049,1914.635421036748,1910.6810031910943,1874.1982129241594,1870.4499786856106,1856.2494172101112,1881.6534004517312,1879.0107793167194,1877.325801297491,1851.4102743665585,1875.453934830143,1873.841708635524,1919.7924683947667,1912.9889522480435,1923.5677410009646,1868.550685458098,1864.3582645657907,1854.8756287784163,1879.6116261370946,1879.1318962145222,1878.1585648885005,1851.8479138120715,1874.7428074007553,1867.6673876554364,1904.861567488053,1911.0271302532287,1928.023816352728,1866.5218985519125,1862.3262702396773,1856.1431181288856,1879.2770790822663,1877.6432508306175,1878.4015017691208,1855.437481566,1873.7305831480287,1874.6258095567628,1908.2030643002427,1919.0681706163814,1922.7803673854396,1866.2786276143725,1867.1238057637433,1881.4877202184302,1879.9655471055673,1878.2669379177366,1877.770316089439,1852.5408725894722,1861.653273418246,1871.9855021609615,1915.8929268877584,1919.4287071089136,1911.5536232501938,1896.180453238904,1852.7730396984114,1856.2622261225547,1880.126948285358,1877.6146001428433,1878.4059706862788,1854.1359942318684,1874.421466899314,1874.8666119901761,1918.2726735217582,1920.8501813979663,1921.6979029645058,1877.152753388058,1869.1251552973135,1876.8356480580685,1880.9258888945378,1878.7163600189251,1861.2753707002105,1856.440814146711,1876.8464826847685,1874.1735999315315,1921.2535796593756,1916.9321551291123,1918.26409724221,1863.2905448442302,1860.3626742284366,1855.6324092913442,1883.0141284203814,1880.0276956016573,1879.1708778992397,1851.2252605730753,1874.351242816956,1875.0898574141775,1903.8841915817086,1902.1425096205483,1889.2960130335316,1874.7031278474244,1857.300353661967,1876.0499477168896,1877.9486539984305,1867.3393483754749
SOUTH WEST KHASI HILLS,1877.8246527037127,1855.133187486317,1874.6128329399285,1867.3001404284496,1907.8987518023662,1920.11718231469,1910.4128895882782,1866.285140534937,1870.9091040113206,1879.5950939683385,1879.8709860102624,1876.77531998206,1876.716591285216,1851.7161211325147,1861.081535971719,1872.7924245289664,1906.8404806797143,1915.1245400892283,1924.133279130079,1865.7443960671228,1864.2377413060137,1879.0218727258382,1878.6951702987726,1877.7098681140972,1874.2573941223686,1855.6829277558493,1874.4584914963875,1875.2893136723897,1920.5340385219454,1915.2094145407232,1907.643001636594,1865.832144090058,1856.9664093446856,1849.2614406479754,1879.1241663843643,1877.9620601418253,1876.8518279415148,1851.0515701529723,1877.4484038991823,1873.2734327602877,1924.246544606403,1907.671086601011,1922.2319005600998,1880.0405251380914,1871.787437269339,1855.1383149840353,1878.494529037814,1876.924887578085,1877.643206857896,1850.5390151196982,1878.1464961882887,1860.3865382082427,1909.9817595240497,1912.6545234583914,1923.90236366924,1870.648807989893,1860.2833101073693,1866.09365123072,1877.695416461949,1876.142361608271,1878.297266751047,1853.4509289475118,1875.669955657599,1876.2377764850828,1906.282818900887,1907.0221061698726,1927.0397704929892,1870.2982947802225,1867.5877849532885,1880.3079911691914,1879.212742952023,1878.017005660218,1877.939625054432,1850.9799950190854,1872.358591855954,1867.221818461884,1908.5026882253699,1916.581579244596,1914.1449784243443,1912.8368049279131,1863.2038860788466,1848.7219328402089,1878.8073641767674,1877.615669351883,1878.4404657756015,1852.4145996638408,1872.2027330652263,1875.2464422741323,1919.4600271550485,1915.6608980677286,1927.1078873441058,1867.9461234024423,1873.070875896792,1878.4947093919304,1879.100605269225,1878.152460247072,1871.109624281375,1855.9702120097406,1877.1401794918365,1874.5512320544105,1911.9926057429211,1912.6646879617406,1924.3084944680174,1886.8228908314916,1854.9774486332274,1849.3217755384057,1878.7529679225806,1878.9587324812744,1877.4564752410688,1849.02441876515,1877.657711347565,1874.9440865844645,1920.8524184509897,1910.273564971035,1919.1283440657999,1874.759228879107,1854.7180346691468,1877.2142351434707,1876.9441872028335,
