district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2014_07_01,2016_07_01,2017_08_01,2020_06_01,2023_07_01
MON,1867.1965714052183,1851.7095350447794,1874.0812432655046,1873.1788243086066,1915.1162419912396,1913.9118695206548,1921.7953563384344,1857.5083260166775,1871.5163313700634,1867.7754068770835,1866.9732192817214,1866.6347727519253,1853.7383378363538,1865.9555220805246,1868.8025350792702,1909.2988790936347,1915.2703514147893,1916.1521257383836,1879.550865395149,1847.2625706041993,1871.990013595042,1868.1460586088283,1865.915458757179,1866.5482819201882,1844.8310215234815,1868.513661163854,1870.9295741051535,1912.3274906107476,1923.4729373731714,1879.1633999984065,1854.5421804470327,1872.139096939381,1868.5955666784387,1867.3318702675956,1867.0108170250633,1845.693291985809,1867.3349195129044,1869.672942376373,1912.9611654644386,1929.725416360685,1923.6156116425225,1865.5458773181067,1874.1378229922807,1870.0444892289217,1866.6500102667478,1866.8718492748426,1844.1995499280058,1868.3431853925433,1874.4126451568716,1927.047417919857,1919.9040687450401,1928.8105359661613,1869.3143528689297,1854.115974641965,1870.3602003119559,1868.8080127930186,1867.1752862484748,1867.4658814454408,1847.4936382766439,1872.8765347606413,1868.605133957621,1917.04135852399,1915.4123655950182,1922.0164501472798,1868.9771874126786,1871.0276182405362,1844.7845360739177,1870.7158022660117,1868.2189944525762,1866.7110582139055,1852.142725591574,1870.6336440184994,1869.669727904848,1911.5522963218264,1865.8399587764604,1857.0972908821357,1868.5147044122916,1870.4174891813848,1866.348264581552,1867.3582586912232,1853.578897576384,1868.7955505910913,1877.2567279521154,1915.4868856010978,1915.0331312284015,1915.8393869350064,1882.852650757662,1849.7237567271416,1874.9722504459166,1870.7793695365947,1867.4319062381217,1867.33146298632,1844.5015090057414,1871.7266244829736,1868.9998902264567,1911.7181685232729,1923.1001117935505,1877.4850423004266,1853.8760784073052,1872.3568655968352,1870.528681968676,1868.4273009785663,1865.3790119296627,1845.35997590086,1866.3057812985192,1871.80611385106,1915.3869100758598,1920.1978577013804,1872.5763423966011,1870.029425216378,1869.4748990452422,1865.4973920045388,,,,,
TUENSANG,1870.5042312076976,1853.6868526781495,1870.177091280434,1870.7659551927886,1909.5422053531731,1917.1264320837458,1923.2914389501027,1864.4177822649617,1871.6678714755842,1870.3889214211729,1869.7012998353937,1869.8181712781543,1854.916444307341,1868.529052999199,1869.2395367313338,1909.001102037038,1914.237690723213,1906.6197781389708,1867.0829157380733,1848.9270805065798,1871.638794171898,1871.1856844508568,1869.1933954927586,1869.4579880123808,1844.9720843636396,1868.0360392266298,1870.534392548398,1913.9037374321263,1926.1696372284857,1875.0280334829415,1854.3180028643546,1868.0982240512144,1871.3886996458955,1870.6309624049566,1870.215991572071,1845.7472968071938,1871.9043256080117,1870.0648786461422,1918.9543004085033,1925.1578956424983,1922.7986124381835,1869.0979558467834,1873.3329717039371,1871.208403960885,1869.7617279673523,1870.152285471284,1843.670822460408,1867.5366042093979,1873.3380499852838,1927.0705274700736,1917.553311163472,1928.583589743305,1871.7759471428476,1870.3756269850542,1872.5539444330518,1870.4934279171534,1869.6931500891906,1869.0088892779972,1855.8494780465953,1870.4131778133017,1872.1468364547286,1911.115583155837,1911.2583086060401,1928.3489743906298,1867.6918122285606,1868.8270543458116,1849.1716982773607,1870.2365763911528,1867.8478183474335,1869.0201263665542,1853.9040142307374,1870.414108077853,1871.0479950159488,1910.9326174474352,1866.7394105646756,1852.18056973891,1872.1302517240044,1870.8660200058866,1869.6722299889936,1868.9983542502596,1852.7473540285882,1869.3726890749917,1878.9234451684645,1912.4836931615193,1905.1196294697977,,1867.3920939776037,1847.8221116501684,1873.7874222680541,1870.8854501639585,1870.1498727369215,1869.175151559938,1847.924380476967,1870.11020969884,1869.1841534828525,1912.1429020450569,1923.421687498579,1876.2458011980123,1855.7344258677538,1873.7959840861704,1872.558433348022,1871.387446344291,1869.5491371501626,1847.3554889760426,1869.202932277005,1871.955476268643,1921.5547024152213,1918.9653246591092,1871.1619730102702,1871.705559928828,1871.843991726385,1870.5231997017563,,,,,
PAREN,1879.4286636306542,1854.1760451686657,1874.2988890896545,1873.5887897225975,1916.8621849688773,1927.46665793566,1917.9453376136346,1871.1631118332427,1879.9173451559097,1878.736509474219,1876.1822995227096,1855.7452694091703,1856.3919945071577,1871.1645964478876,1871.1892463149409,1918.1655406472912,1908.493506123456,1922.466979300977,1877.3930948787413,1865.6481191853748,1875.0910718437665,1879.937168113578,1876.7355073309086,1878.5390106899808,1849.3610714806189,1874.4168447378763,1869.6375757318121,1919.4067356171308,1904.1680357339771,1871.6517295238564,1856.6235720764328,1852.2380722396526,1880.0422399119216,1878.900815910091,1878.841206117718,1851.7275253608996,1873.7472302333615,1874.1532449648528,1923.2720739856236,1900.3442009513171,1914.895551511673,1872.3301304882832,1851.914701564229,1879.948036979948,1878.6873201591131,1878.7454317822383,1853.3811529922755,1873.8465838381953,1872.4839971498263,1924.3685383476138,1913.1858834105615,1927.746749014085,1865.3676809084752,1869.520908093627,1858.8600963080107,1878.5441743280203,1878.0347763285574,1878.1350405015417,1853.4112651666562,1874.3040410847148,1870.2427800068715,1909.2649310112984,1921.60967784946,1923.9733969143897,1865.826753011751,1873.698201963754,1862.4686002287474,1874.383815386861,1872.6958886534396,1877.0061150638348,1854.8106795905137,1873.070830119873,1873.120778199469,1918.502536164445,1868.7345734025037,1874.6142362368507,1880.6005525975902,1880.742406912223,1877.5660532227255,1853.6577142039491,1856.924444749791,1874.9349859940874,1874.8843966587851,1919.2651343010148,1905.1611381795217,1906.3220246071135,1878.4120633645211,1874.0299189923862,1881.365583473949,1879.5002998217287,1878.3327544467854,1877.7429316574808,1850.4935557684437,1874.6053744837816,1867.864894339315,1924.1625814948109,1920.241105510034,1873.4476513991456,1856.6029257168825,1849.8823962172776,1882.0474865258038,1878.2618339853686,1877.7836774460372,1852.8792847866227,1874.350216224577,1873.7195056281282,1926.0435857553268,1907.9942722633978,1871.5814594297021,1852.1202433092442,1880.096422091912,1876.5157788553777,1919.7859416334973,1913.6535694323998,1869.4151634912853,1912.4816525826132,1924.4509253110043
PHEK,1873.2128096872743,1855.0387952149717,1875.350805338705,1873.2031283476908,1907.2691787365077,1916.1198719941601,1914.4273716911505,1873.7559304244387,1872.7674942818348,1873.686517642514,1872.05561095191,1872.1358522838323,1851.1033484981385,1868.6374244034819,1870.164930206871,1914.994811278057,1910.2149469006388,1916.6614719536974,1866.6190136126804,1854.2000150603665,1873.4768205235428,1874.6499254372427,1872.5995291138108,1872.2751515459213,1848.9815365567752,1876.47380476148,1868.4652988170872,1913.4437156561912,1915.6694446409454,1876.021653018816,1852.2777939267203,1857.4053689150765,1873.6778396197137,1872.1376706813394,1872.745400506772,1846.1287346451516,1876.0151544560595,1870.4057937931414,1920.2782907634255,1914.1304452470301,1912.7943822172967,1873.5152488618457,1869.9378839645765,1874.4549605603838,1872.0889262624987,1872.7231233846119,1851.9486284089169,1867.5018288841848,1873.2368280832218,1922.521355569914,1904.8356648983636,1925.7651798953198,1867.998757972079,1872.1275245351594,1876.0705292404068,1872.3125592099211,1872.8772843489007,1873.2287924829964,1855.0340138134916,1874.4621860933437,1875.5180454342922,1908.9204911795723,1918.5120950633295,1926.8454279091109,1866.067316461724,1867.1345547308003,1847.7135590069636,1873.1107376246623,1870.8738942676946,1872.6610560747424,1852.1373059729572,1872.042836098012,1870.5381486631138,1910.9557386918661,1866.5594802739058,1872.543061143618,1874.7607249926357,1874.7429146093652,1872.1118731559561,1873.43018385958,1851.2491422314577,1870.1086629967044,1873.648932699312,1920.1139945507498,1906.0374447286915,,1866.6078461894842,1852.65884454768,1875.713554285808,1874.2319570940228,1873.333120963503,1872.360012508934,1850.5534877448706,1877.0783572354626,1869.689645448625,1916.881554720354,1919.4865200149811,1878.0247186731156,1854.8491747299724,1851.8762110836992,1874.9701829708767,1873.307260258218,1872.2497096314787,1846.1532681431402,1877.9600452840878,1873.9294305584324,1918.1550089143693,1908.6408612200325,1873.2707163079274,1873.923479880436,1873.8777455287404,1872.315808683919,,,1872.4201050035158,,1928.9997986997366
ZUNHEBOTO,1877.466348276922,1854.6306222571502,1876.143493628119,1876.017250012047,1907.0630074554206,1914.9651980659578,1913.1345978149013,1873.8548748253959,1875.3428926868426,1876.3018410202274,1875.941178674673,1874.5547564398425,1850.0766257855596,1868.9106239119594,1870.7492240722431,1914.011515889688,1927.4076083221894,1908.947771367375,1870.710657023783,1856.4051599226375,1873.2205774199597,1877.9019084873305,1875.629485177583,1876.796874200767,1850.6314107623111,1874.5131563198822,1863.9792842209313,1915.7092058788305,1919.8428345958785,1880.0651665444839,1856.586052503876,1850.778331376686,1877.8621769827982,1876.9956362526505,1876.6791787944555,1848.5100965327952,1878.719812283042,1873.9457514859284,1919.8006555229053,1910.4124273310429,1917.4124633717765,1876.714635363476,1873.0167010008956,1878.2616762370596,1876.1985386404701,1876.5154135508133,1853.3567070122963,1862.8452943451553,1875.166735175997,1924.3913112941345,,1929.0267379275465,1867.056978230011,1875.7762568533672,1879.9446126855191,1876.0435405733865,1876.8933279102073,1876.9747463670687,1854.3795601510021,1875.1565441676219,1878.128036632356,1903.0601579837592,1917.8986982901774,1927.5212901552159,1864.3364189912797,1872.6261458371991,1845.1917040013989,1875.2102842542033,1870.9896856456564,1875.7739412059955,1852.5906789650849,1870.5890770216417,1866.6548475336137,1909.3756230734887,1866.0066659435754,1872.4171666932727,1877.8452656619515,1878.5765431173186,1876.0358954137155,1877.3000242918224,1849.635699400788,1870.9716714101567,1871.9321338290838,1916.5288286866987,1904.8789793635196,,1870.8602827160141,1857.2665083172155,1879.7219424529858,1877.8808114407643,1876.9147195034643,1875.801144486039,1849.9937426349195,1876.7708121978171,1866.4348462000416,1917.2073084706526,1907.434713260317,1878.3597935756225,1854.9391664083907,1855.7692417739713,1878.7738591543396,1877.5953712133628,1875.9717293448873,1848.5431581478285,1878.7621122129206,1875.5478279612103,1919.7288382779016,1882.1585791358273,1875.672520305798,1877.6784456004575,1877.140750518876,1876.3986850660758,,,,,
MOKOKCHUNG,1878.5239038177383,1851.7480711662715,1873.739248590598,1866.7587025570717,1906.6669572931748,1912.7454802607012,1915.409078888536,1873.872332131836,1878.8129881566047,1877.8321619852716,1878.3315762315035,1876.2729726733203,1851.094327805228,1873.7521503306386,1868.4895598322767,1907.8821702463488,1920.6414507742013,1909.26529228015,1879.4652142292518,1856.8537856895014,1877.3872680942536,1878.441375476509,1875.4242488305865,1878.0411991833037,1850.4312509655388,1873.8467329494008,1861.0880498434303,1917.4504845487486,1930.7070793190321,1876.4696986052654,1855.4382685267851,1859.9534674539088,1878.3220328017749,1876.9482334519184,1877.9724279952927,1850.444269852522,1873.4922362757768,1876.650848516532,1915.6903931514514,1913.2015144021075,1923.1175476223416,1876.2310764612296,1876.1350053347494,1879.507042616326,1876.8814528334842,1877.639789479082,1846.4905665371114,1862.4299141184117,1877.0318324374598,1920.6982126125836,,1931.8763169488293,1866.1261197229492,1876.2723889141196,1882.0416761287365,1878.01951422356,1878.2177551252146,1877.8174926837107,1855.578922110871,1876.5097922563175,1870.8895918346745,1901.6136838349103,1921.2508494016665,1927.6062349129602,1864.5683652736927,1872.1148342713243,1850.6636507737512,1875.2438779378006,1870.8574412007556,1876.5908649398723,1851.7056963409568,1866.4972332022467,1865.5931444872447,1906.7912821363248,1866.2458723357706,1862.942226568143,1879.702382609285,1880.0117415155778,1876.838357362197,1878.3041942211205,1850.5616108232684,1873.7102332697682,1872.763087536656,1908.8682811037118,1911.8579604939387,1916.512021729186,1879.3822426083398,1857.357753061297,1881.9056291957315,1878.5404807890222,1878.4839067382352,1876.6703349013985,1850.1334453716584,1873.8365900707304,1862.613038168843,1916.265242002138,1906.947689449211,1875.2772725521374,1854.3993175334997,1868.9899708904452,1881.2375977692009,1878.4808366089826,1876.7557517445052,1850.0901341457848,1878.631381348902,1876.3714725817708,1909.1002269406192,,1875.6744183535961,1878.6260967776868,1877.965220743811,1877.792395180393,,,,,
WOKHA,1879.2806930102386,1854.0498273778146,1878.4652545334513,1857.5482543038488,1907.51541414309,1917.2568316097286,1910.9062993976963,1880.4997099123027,1876.5401948707774,1878.5658134454407,1879.058704018455,1876.761449919596,1852.4697796850837,1879.1564653557698,1860.6623130095088,1911.5786392132638,1928.229271180399,1915.5474898015611,1871.7802566651599,1854.7022339142432,1876.8810772035665,1879.5587378700664,1875.9853538958287,1878.8491220680478,1850.7142908168476,1879.7739248686169,1836.1859221607242,1922.0874913174741,1919.5311974522197,1879.7600044620197,1857.0017248817012,1850.5746821845696,1878.6217158478178,1879.2166092242658,1878.7845407464852,1847.1962306972382,1879.74578837514,1879.8903131389077,1920.8833572083051,,1914.4939209472595,1879.8299234993387,1867.4412371173412,1879.9883737811952,1878.71393436548,1878.2892916819205,1856.1971044055074,1850.0704044109787,1880.1206474407363,1919.9179402425311,,1930.7563336415017,1866.1397413641891,1878.6995154059257,1882.7866162173118,1878.9765993760575,1879.1450757023838,1879.2052730394137,1855.0045633690997,1872.397591983287,1852.9454910842962,1900.3825579612203,1932.2308877420517,1920.5953368028654,1865.4911702482575,1877.8927089181138,,1876.7899137311103,1871.5998033386757,1877.6060400182992,1853.1281597412403,1855.2282278526473,1835.70434679016,1910.5178067896738,1867.772057694217,1868.7812996331131,1880.3223826945969,1882.2392485939195,1878.0592042547291,1879.171820711856,1852.5355810399128,1870.1546880646044,1864.9944372649063,1913.0270509144943,1910.1699619879691,,1872.0457940726112,1857.6768695104408,1882.1338157897073,1879.5415465989397,1879.436915334565,1878.1221542394676,1850.0491456213756,1879.7659032602182,1843.174174161155,1917.7947158738941,1905.9005245014089,1880.0901625552908,1856.05388432223,1850.1722016459225,1881.7573293543387,1879.6187965694708,1877.9152707554883,1847.812621440846,1879.9137245747972,1879.544704095318,1920.1282015558008,,1879.959721454138,1875.171763615188,1879.3511635131956,1878.8866517953304,,,,,
KIPHIRE,1866.7530680449229,1853.5811796407017,1870.0203581473336,1870.6223961906255,1910.0939138770002,1916.100110036521,1918.78849908223,1872.8891482935126,1869.6395601557763,1867.7954554819441,1866.4202725673606,1866.1115654579028,1853.4753209620342,1868.008438471914,1870.2339600722628,1918.5463110442217,1915.780977661462,1913.0096844447667,1866.6650721875812,1848.2686524674168,1869.7854710823267,1868.5826480370708,1865.9503458348906,1865.5837457613109,1845.5464867903977,1867.9673838485432,1870.9638006687924,1911.4822944904647,1921.0602016042549,1871.5612595585567,1851.6177499066966,1865.4965021904945,1869.1005255568114,1866.7104236168689,1866.347130821988,1844.639947129782,1874.7138602746106,1869.447737161147,1925.602706174191,1917.449997974563,1911.324516416909,1868.7403028294223,1871.333339075215,1868.7550786006345,1866.0922625378278,1866.4562517411373,1849.3148689316486,1869.982140617702,1873.3233594254395,1927.837990002781,1908.0274164006569,1927.7782748482696,1874.4238853002935,1869.253152175856,1870.29478292349,1867.0261337707107,1865.8593481837502,1865.607579650011,1853.4590744472075,1871.7812453357478,1873.9905117323462,1907.906980134781,1912.9895161268778,1927.3079594441126,1869.212224720817,1867.4411229421057,1848.9032135109305,1868.7011492413062,1865.6464510868116,1865.9056435232092,1853.8649089439823,1870.67743557553,1870.2049463403328,1909.913673189586,1866.9619925153809,1866.5930039741095,1869.1834605865497,1868.219955856793,1866.1716336344732,1866.127323879879,1852.6974324829096,1870.0967561060029,1877.4826098516871,1923.0519162423643,1905.5953887861585,,1866.4909413927949,1846.7986151426758,1870.825125412732,1868.0603779890437,1866.338475177827,1865.5596173352264,1849.3734416905058,1872.7781267208688,1871.356815922714,1912.5110752095527,1922.5525522836456,1875.2029890196527,1854.7268055678633,1867.6864451037247,1869.7369779538224,1868.0291907644898,1865.8794818972794,1849.733906834625,1872.6106945967103,1872.891696481288,1924.3256511180443,1915.784183380037,1870.5722269817084,1870.6808478295322,1869.2040992992968,1866.1323102848967,,,,,
KOHIMA,1878.5765511517218,1855.5500010369487,1879.733493384901,1879.7641307833505,1906.7498996360323,1919.0168021933446,1915.3112118140218,1879.477656279082,1873.6923804900507,1877.250327501415,1877.1809409667624,1875.368808592867,1854.4115402475068,1860.7492748342368,1870.8554780309832,1916.9353749182176,1912.3376200543341,1915.884126451624,1876.6937479350552,1850.5843174151385,1873.2394787210199,1878.5373065634149,1876.2174171427234,1877.701780830629,1850.3181972807504,1879.5796210766619,1836.3206724031602,1918.7106756958153,1912.8480450984978,1880.0034549791771,1856.6530478555242,1850.5586433725389,1878.5171684552154,1877.7487304827935,1877.9466213687174,1846.9661195991976,1875.0601222086566,1876.2104723415337,1925.2406692257432,,1913.7823188851157,1879.8119045154597,1856.5257258997653,1878.5302215649826,1877.435157079178,1877.829737815696,1853.5299666266565,1862.4945251173974,1878.4738147617509,1915.16797581854,,1928.233820690049,1863.1191459807046,1879.1348402824765,1881.3979142170829,1877.6374850078262,1878.1737273705728,1878.5938279631932,1855.2887827678153,1870.523437338689,1861.195927407928,1907.1270647947988,1930.7311840243933,1927.3194780224128,1865.0702760222616,1870.208759481858,,1874.9226414537804,1872.1372580797554,1876.0149478053183,1851.6650384336801,1860.9677466854748,1836.7647022867632,1911.9120108629897,1865.8455531037814,1875.4127297531008,1878.4409652519546,1879.512911590767,1876.5239981490013,1878.3718501115222,1854.9053769266209,1866.5053655263207,1853.5632740614378,1917.6315319444298,1907.32492459958,,1877.0854284301715,1861.2496308913703,1880.8964344510118,1878.4881441352984,1878.2408555144348,1876.5318583810488,1850.332721787492,1879.7264714645473,1850.1115826428743,1916.6590714031058,1911.2691259453022,1879.3580617450452,1857.3458034814112,1850.3510933422529,1880.2090838623283,1877.4644697727176,1876.9898504853563,1848.5002631917716,1879.7600759342497,1877.8803159686806,1921.466362182659,,1880.1262425408308,1863.4733886375939,1878.2513204429945,1877.3453273414102,,,,,
LONGLENG,1876.9326645447738,1851.4100663152913,1876.101214616222,1873.7629150870116,1907.297212787185,1913.6881119214174,1919.045729699432,1861.885143517063,1880.008058790402,1877.3178291044612,1877.242845033271,1876.2335453006565,1851.9925974724695,1869.2480595243344,1868.8507027097737,1907.4168277706249,1911.3921994988054,1907.0384449523258,1877.1505237778379,1854.19393517619,1879.6773605646406,1877.4510459423575,1874.8975918444964,1876.6861750214587,1848.7519529917051,1870.708927851882,1869.634546180782,1913.4462108860068,1927.8825851895294,1876.6437334903317,1854.3628285437528,1876.4624134504152,1877.3524836725965,1874.9667570429908,1876.743447941506,1848.81577016562,1871.685459410298,1871.2484770392955,1917.544745606858,1921.9162702291437,1925.1704665108914,1872.4373779619798,1878.0944992624309,1878.683440728238,1876.1965556305563,1876.488611303727,1845.8785094052007,1870.412509060944,1875.0941986411294,1930.1113931274156,1907.5362073327876,1929.975831261117,1865.7214885447545,1873.2362246333905,1880.7604765592293,1876.3878886881505,1877.2266954264148,1877.0030337009405,1859.2504397470404,1873.4543102821576,1872.102243637385,1904.3696341264688,1910.7987331056347,1928.2521770046974,1864.8394519144967,1871.4775683213174,1849.178878121812,1872.4526848450028,1870.661891590634,1876.080814169808,1850.8742268012697,1872.8979628092418,1873.8597109198677,1907.85778992882,1866.0748512512196,1855.5283796300428,1878.3592079763425,1879.3081796931117,1875.8984604251216,1877.5671101491678,1850.638619326412,1869.5098384484384,1877.0074374971655,1908.413561598865,1909.7805912238334,1914.4542799189921,1877.7004772016612,1855.1640545996484,1881.5429373722543,1877.5256411715131,1877.4735937116614,1875.777964110936,1849.1667271903027,1874.1654437329037,1868.664809729556,1912.3567558055895,1912.6689566059079,1873.1327109192011,1854.4903508639868,1875.6404655359324,1879.4822063789627,1877.122251509099,1875.9366070554101,1849.2381096455495,1874.8407550454526,1874.8917921431146,1914.7144487750422,1907.931422835615,1873.0851186478742,1878.4398630594173,1876.9012070332965,1875.3920093130598,,,,,
