district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01
MAYURBHANJ,1849.3078693735706,1853.538676182119,1874.8393772137586,1870.2570748037597,1915.506102694951,1895.203269101287,1893.3272908948088,1867.695157463234,1874.9165997138064,1862.156088907833,1876.1183499546369,1878.1741793159636,1861.9952015619886,1860.4259319234482,1874.1833789915197,1870.1721640222095,1919.8224503507138,1877.145944609162,1895.0687913790591,1866.3513127429862,1865.4394641121912,1849.08021850407,1875.3707520155554,1878.6660222127812,1861.821911942357,1864.0960886565829,1875.2146156926644,1870.0884576773437,1927.148908664884,1882.327293584837,1907.8611203875469,1871.5197827760264,1868.882310818226,1847.8167181490776,1875.7389686923316,1878.4279575103506,1860.9834687916416,1863.9265629659678,1874.7762072114288,1873.0910552112773,1917.8227300087954,1886.7830745490876,1882.6307975282575,1916.5988326130598,1866.2687554638037,1853.0243023834805,1875.1483353092094,1877.1476458274822,1863.021960705329,1852.800150585746,1873.6865261447226,1873.288591561818,1917.4423631675293,1885.9695583044872,1912.9594807345684,1871.7028020947685,1870.7734237737861,1850.554757783888,1876.0826341293932,1877.7915848497817,1848.6259379541364,1853.6886739539093,1875.4430744497242,1874.3970521045212,1914.5677953712334,1873.0038108368738,1890.6903273654855,1908.091655816783,1873.6634536739077,1857.8000089223938,1879.1814679322936,1879.2195706427954,1850.501605559088,1858.0818538056837,1874.3957493299697,1871.410860938366,1911.585537098875,1885.1714746376385,1898.7089114669363,1925.3675191889297,1875.565754962968,1870.9304582900243,1879.1644739256603,1876.5536336582795,1862.335744604247,1860.6049539740854,1873.8334641454053,1870.8251357696233,1919.2476456187555,1892.069939731026,1899.4939887120695,1868.2745013882827,1867.3287996532126,1848.4170409646729,1879.3683895464296,1876.584522527666,1861.0740549854077,1863.8042662279192,1873.901162489619,1873.1973913457023,1921.4227756499245,1887.7120690411325,1885.4141027927792,1874.066552453431,1869.0009443719225,1848.3108605819436,1875.2669595308435,1879.162107568937,1860.8357008170988,1853.3625199160758,1873.0537404895724,1866.1728036812997,1922.3115147428457,1894.6039193061924,1903.5105948456044,1873.7209967538445,1869.7322363014118,1849.442271013164,1873.9698801729276,1878.0361270239441
SUNDARGARH,1865.30180130678,1860.5518832089722,1866.6732345177586,1871.420335295113,1909.8090688824059,1889.144412533719,1896.3537508693335,1878.8175151151956,1874.6112471555502,1849.394016353756,1878.4713316297557,1878.8703207329133,1868.9618635203421,1854.517180425057,1874.2595114882358,1868.730328793341,1914.5310905974518,1880.0256258986224,1893.2410592932624,1891.5988042743725,1871.735014184293,1850.9615997643796,1878.9292449549378,1880.4502385183612,1850.9175728237365,1857.0063216512988,1874.9764915542287,1870.4916437415277,1910.3989923392758,1879.8809977243072,1904.931751953002,1869.3930997764735,1874.46968935533,1850.894546532896,1878.356912863989,1880.924399247567,1850.8986263273841,1862.0420387643308,1873.9785013354124,1875.6062831151248,1905.2226217182845,1890.6681459970168,1887.649228142597,1868.713736140022,1872.054091849692,1860.4081328016825,1877.9663131549928,1878.4949053273585,1851.3751514718008,1854.527869707906,1870.9206695206065,1868.515001114238,1909.9176983735063,1887.0233032085391,1888.4794184034172,1879.3192173392986,1872.5272671055125,1850.9511067388441,1879.1253968649683,1877.5838935858467,1865.3175214751648,1861.6823953733585,1874.5653941123246,1873.5839887829538,1913.3482039670985,1889.7429829824728,1892.6666706873898,1888.8617660693842,1871.651587308413,1848.787580352443,1878.8267330682215,1880.3578620297374,1860.8197491276378,1869.3123124096,1876.2989631520386,1873.1980252733915,1913.647219733583,1878.575699520158,1896.4986763406334,1921.3625301929678,1861.7873043388465,1850.0603985076018,1879.7228929017172,1879.4828606356946,1868.17952058957,1854.8028444236597,1866.5005836647933,1873.580483813322,1909.5081790468143,1881.3913809400788,1884.917169045733,1892.3822523849328,1872.170231974807,1850.4715268069472,1880.1193132761196,1879.6583365471129,1851.5790157815584,1857.5593582935828,1875.5843749295861,1874.2178017589965,1922.309854826397,1889.4661913296216,1902.0430671029146,1887.8877981207872,1867.8465357458715,1853.697426515267,1876.9244589571485,1881.038653129679,1850.764548923265,1862.7893726440388,1861.4140968911206,1869.8936927124387,1915.166112562575,1890.0829324904696,1897.96288953745,1866.0428909152424,1874.9977817136585,1850.202987524782,1880.101291441133,1881.2184246053587
GANJAM,1850.414448787751,1876.4163874981473,1875.5794184964548,1876.3063590602394,1919.515199313503,1884.6231755923775,1889.2295862548303,1868.5890129652983,1875.040796821234,1849.0434904110527,1876.1676674123728,1877.8697410096506,1850.9047951216135,1856.7575270205891,1875.3388841549845,1875.6848256557828,1895.223825288428,1876.8798820644472,1885.4228626834558,1866.6388891108888,1864.552348534464,1856.0870944555943,1851.2407811184394,1881.226411288286,1850.3207697935122,1862.4011105613065,1875.487222185172,1867.8652086850802,1900.9607650924193,1876.4272101946713,1889.4217302521915,1918.653982282394,1871.2413857933,1854.3404626268868,1875.238908819143,1876.4985586155533,1850.5747571040401,1877.3690683844707,1868.814708473703,1872.7038092292287,1890.545681977105,1873.4414310172772,1898.9688678002146,1899.9476278048119,1865.0351102780576,1853.1083574571587,1875.5206874403243,1877.629804778608,1850.2544721413024,1873.3910786900271,1873.8367036627321,1865.4540260427311,1919.9399463590373,1887.185174277272,1890.9497049201839,1870.8664000804536,1873.442008431859,1850.0329281482057,1875.6821771910681,1881.4600964992364,1850.5186132207991,1875.8963356677657,1875.187017279904,1875.8255525958202,1918.8615980119762,1877.5657435349485,1893.0220541964254,1872.2788826251249,1871.9661757353363,1849.819493116922,1875.4029634366684,1877.9785277230242,1850.6268935957462,1875.6694195562868,1870.1462111521969,1867.3746161623044,1913.115864309833,1874.3664068140404,1879.1075964074516,1918.0169427243834,1876.2169437439738,1848.823189177871,1875.9540917981265,1881.987044621046,1850.2017076462487,1856.7994638078856,1872.3852987004589,1873.087938990744,1897.878363748346,1878.226469761894,1882.0784309295377,1885.1618786854003,1863.2447939886197,1854.2615931192977,1880.7556363086057,1880.5449290801891,1850.167779373009,1867.0434564875998,1875.6472523031257,1867.5742712823098,1896.2737897581299,1874.2689865736868,1884.5829679510782,1905.920992593993,1875.6961839232413,1854.3620164957033,1875.8380285497994,1878.2532388001498,1850.8882152379606,1877.4700673279492,1875.574433280122,1866.3376644678417,1890.5053041871843,1865.539802427336,1876.2797565850376,1899.0967139790357,1865.182702423486,1852.3991167343545,1881.792616049227,1880.5609780344175
KALAHANDI,1851.199357595678,1865.5257166668023,1874.5693455050196,1867.6469472315277,1892.3499504394822,1872.1163520476546,1888.943335314635,1908.7035046926019,1875.7276680524278,1851.4758850006267,1861.5704506777197,1877.9531348984276,1851.3388480500498,1874.6246485681368,1875.2710602837822,1867.3358941182737,1892.7539857769675,1877.4653903583182,1883.3140695608233,1900.5185200426545,1869.1768228271526,1850.0225346430666,1876.6391833973255,1876.9976981028165,1851.585140174798,1875.8774028098687,1876.4975415698161,1865.2962232735008,1909.6990372137975,1873.7773647368883,1890.2900073696894,1871.9405024883936,1871.9340716815368,1848.6173417174782,1876.9885021692503,1878.9283833780548,1850.8072514554906,1874.5170192903697,1875.1672435037292,1875.328477078077,1904.2086268838057,1876.8745831598544,1883.4612792842026,1897.7669624968141,1875.4886624797393,1849.7077295643303,1879.2272136062204,1878.6278777148664,1851.5895211247114,1855.753874239214,1875.1583917929613,1875.1821350182208,1910.247432891884,1874.8815795817195,1885.0366476557929,1901.4850491134698,1875.3633847624012,1854.84344430345,1876.3022134523571,1880.3923169772986,1850.656847928833,1862.3972378236506,1875.2156313600226,1870.9120748903067,1896.567831167575,1878.3485522539818,1888.1111288543568,1913.5429984401044,1876.080539855059,1855.2520438847685,1877.799318580334,1878.914359102693,1851.0490653305003,1869.1004034355055,1872.1592303618102,1865.0051093835536,1893.6240860105013,1879.6348546240863,1885.3953321608963,1896.2544213878064,1863.0761220435245,1850.2554223736922,1878.312841258528,1877.3955543817508,1851.1477553915945,1875.3041855394627,1874.7005216390655,1874.2327059638285,1890.6653416756442,1887.111706358765,1881.4555700990413,1910.509180326455,1860.5135663492629,1849.4367355147315,1878.804313553265,1879.5601310034297,1851.8658213705703,1875.0750250775484,1875.300045938633,1874.9031298228226,1918.1717675338034,1881.9847077479737,1892.4398012630963,1873.0732006206083,1865.7032807361454,1849.7283039418862,1877.9371248022455,1878.3673317494602,1850.2361607010334,1875.3792836949267,1876.255213960374,1875.1557168891502,1919.9256474819845,1879.4323123778877,1881.0770475688125,1879.7759503675534,1875.8579345316687,1858.8947239466554,1876.228641897468,1881.311434915269
KORAPUT,1851.0800134275885,1875.1388284057732,1874.0291325334074,1865.515919056148,1891.6999111954608,1871.1273299023514,1880.57469703971,1905.3161880439093,1875.0715666689823,1852.0149590881076,1856.7769767867155,1876.8001898374953,1851.578773163432,1875.9557888905902,1874.7921744319747,1867.2850822043629,1895.3259765251123,1876.863178296571,1873.8151610048903,1883.6068336593935,1861.7008198249875,1852.4343289755864,1877.5148776880621,1876.3383711026186,1851.1955419455678,1872.396592918162,1875.0675047133188,1871.8317118554348,1921.7619523041508,1874.91314347003,1884.0251282980369,1875.806920222006,1873.9127977003925,1849.354967959645,1875.9879860564545,1876.1594474972908,1851.5461642517635,1868.810888501202,1873.7012969249304,1874.508319253488,1895.0877312797018,1873.2742533229498,1879.3133312078455,1871.8998907508812,1875.139315113806,1848.6760983572688,1878.4957062845633,1878.4535921923814,1851.769988132453,1861.0621165030204,1874.6797367603583,1873.6980814894387,1895.459142042488,1874.1887811641895,1867.9711073836354,1903.6467006602827,1874.1555234408145,1858.3416953203498,1877.2637368076084,1879.059306999056,1850.5821298785982,1874.224861138483,1874.725702794536,1870.5778680693554,1898.6534388584605,1869.2465689440091,1883.5752691186392,1907.3775143926716,1875.071466895257,1855.5877868814648,1876.7081773126458,1878.2132727738992,1850.9696066826318,1874.6975417536316,1875.0202490252113,1866.2736797478321,1893.5137095985353,1872.6600975508663,1881.5137521320858,1900.9530283273098,1874.9057659183736,1851.6315832588707,1878.192882244669,1876.6574475616464,1851.4396698830938,1876.2296820821393,1874.3929161670446,1868.7317601679988,1890.826573913192,1877.2582414369965,1877.9057688309388,1900.5489843589817,1870.2488340381135,1850.7190947611746,1878.7291511113563,1879.9240502508196,1851.227876872743,1870.030396620416,1874.5205459860156,1873.8672711332772,1914.5327607049744,1876.2482707101515,1889.4065433798582,1880.5624573359723,1875.3221867681063,1848.9050796757133,1877.805022399767,1877.9941793096443,1851.2007378617561,1871.0610322855114,1875.1490605925512,1875.2047670685313,1901.353383488993,1860.109218047039,1889.490327693901,1900.3221375839578,1875.1057655823304,1869.1260168051201,1873.8757997070265,1880.4540002731733
KANDHAMAL,1856.578722935456,1852.3134578237277,1874.4547083701182,1872.8944501751268,1913.7750427608173,1869.9382454027273,1885.3105966091523,1889.0365395810459,1873.2581549373647,1846.3512552214665,1876.7493490306938,1876.125806690847,1851.6023546105432,1855.5302141476875,1874.1657906852104,1873.1378735296166,1901.2046727125528,1875.6180745626184,1892.5128010578285,1885.6731286078468,1871.2129454561039,1846.9694045430558,1873.6283143632222,1877.3346145011258,1851.2512630979656,1863.3435406902731,1874.325716155294,1872.5524467252656,1917.6139465897036,1873.7455628661644,1898.8926918417662,1911.7787269626278,1868.7229901158046,1847.1214471351593,1875.9426697618348,1875.3657615791785,1851.2264089812693,1871.4069585907835,1871.3183665504546,1873.9212011720815,1905.8363206998872,1875.017722145396,1895.0168932936335,1869.8329423380096,1873.3758648244213,1847.0755717551215,1877.6584564214222,1875.8891853664813,1851.8816529524581,1854.0809850998924,1874.4751408522332,1870.1864944183853,1922.679616370218,1870.191827868666,1888.6710914980645,1864.5593342050383,1873.076570654091,1850.7245879509862,1877.400070629738,1874.093671113249,1857.053050619166,1852.065036428734,1873.628579530416,1870.60775261791,1906.7441133725306,1870.5227133963217,1886.7406109901992,1886.9715152789886,1872.217840798073,1847.7117312019582,1878.96002742058,1874.2243085153607,1851.8816166698023,1851.6940420446708,1873.0085322593593,1867.5032934507433,1910.4852490409924,1873.6713062222939,1885.5036455236086,1894.3034193860258,1870.5217513280418,1846.8224701974411,1877.1000622026706,1876.9350343989206,1851.3981218850945,1856.6023067700744,1874.429364983919,1872.2742119523907,1899.2637867816973,1878.6924386119736,1885.874165834166,1884.4746103667503,1869.0869087479198,1847.9292203001567,1876.778085364139,1873.4915937501175,1848.001518337784,1866.6512350994667,1874.3268938040621,1874.3270765845418,1917.847109022846,1876.670930620394,1874.1804339389419,1891.2459323986252,1869.6611693023315,1847.205221046291,1876.3721120356288,1875.4906513963597,1851.9640312183437,1872.7091227215815,1874.2747284756722,1874.5989497664327,1915.682636601825,1879.9407492235148,1879.257875146027,1872.1389461605781,1871.7260282137438,1853.5784774638084,1873.5805141193914,1874.191528551702
ANUGUL,1852.0510460321605,1875.631872420856,1847.1920263374934,1874.8927086471251,1921.6601405395943,1882.815198889708,1889.8366288892526,1866.0188635318848,1877.3598597331845,1849.9672155479811,1877.7956179915934,1878.3333429269287,1866.1814899613678,1855.2558895513828,1876.0229054143665,1876.7095551602592,1915.0667015716056,1879.8239098781514,1892.4683121703342,1866.972974060745,1863.5045342323676,1852.2000206373782,1871.6568248200076,1880.2863375419536,1850.6479544892766,1856.228979382937,1876.0143939395457,1870.5938187207105,1913.7269839371802,1876.6456199107165,1898.697055958739,1925.7339913906615,1877.6133901012508,1848.9258779947556,1876.44137685596,1877.7554056476688,1850.8120253162251,1860.267859612905,1860.8483168952746,1873.5342546525644,1901.8680830010376,1891.8358890292418,1881.8643972078667,1888.9576209248971,1868.375723969666,1849.6458467130494,1876.1067875122546,1878.0724664468903,1850.294098435992,1865.882419967449,1876.0581571125774,1866.3402268118098,1917.8536880575955,1886.490470285019,1884.6147560268844,1869.7348324529896,1848.1806990303128,1849.972073290794,1877.5433580769543,1877.3300522010427,1852.3755514100496,1874.7157358958054,1877.5009192480418,1876.6936005651935,1914.9733354686398,1894.4297515004994,1889.1091623773993,1868.6022958129809,1873.1670804749513,1849.9832232916076,1876.5628915746756,1880.4597158799854,1851.8870084963003,1876.6046018283516,1856.0600745540942,1869.388576693336,1918.5492002503606,1875.9685836657156,1888.1035586337246,1920.3930617461788,1874.4997854243547,1849.6898848122742,1877.0762467539137,1881.5963045817139,1866.9274216388887,1856.2437678896442,1875.778773752011,1866.525852836998,1906.8964712926106,1877.0426988102,1880.3052435740135,1866.6808603203167,1867.2407758816253,1852.5812074944172,1881.1778225770836,1877.9836760112507,1850.1996255717056,1856.1853113438983,1876.4931607282376,1871.04784468419,1922.0727572772084,1886.654522243461,1872.2108317463017,1907.5803747683924,1877.5485337742969,1849.8055728293514,1875.3146461954304,1879.32083330384,1850.706064764266,1860.6927821978838,1875.5795258544515,1870.134733352094,1901.0442471314818,1889.5341163047897,1884.2254975897085,1868.7261188697069,1875.4283727649893,1849.933069666606,1878.0464636534027,1881.585442989206
SAMBALPUR,1875.7047686454548,1852.3950997296997,1873.5969855503238,1868.6714397204091,1906.62154636339,1876.6155331941645,1886.9088339246703,1905.6817938414877,1874.9496115810346,1847.82620920417,1876.954505314433,1878.4157123940631,1848.7963570820584,1850.3597792570094,1874.4149704691674,1867.9968334992634,1920.2488387854198,1885.6770059622552,1883.1222072317655,1902.770172617363,1867.1645607540365,1849.3340992019853,1876.6974477162785,1877.7949833328148,1848.5084275809606,1852.861975041019,1874.9360574617328,1871.9743241612284,1908.1212870242093,1881.0937816347293,1896.7608423575402,1918.8303326923294,1873.9425471508237,1848.3373141331404,1876.8376976621546,1877.97491801208,1850.4227652652576,1864.8856126667877,1875.5456961732177,1874.4710603624037,1908.6416665733261,1882.8064047184566,1886.6730162842866,1867.9430339424466,1875.3271727103959,1865.2474589173157,1877.5232475569017,1877.71957926558,1851.835956120649,1851.1144799044478,1874.0609707277547,1874.326177301225,1920.398737711346,1880.0216349758136,1881.9023123788716,1883.183183098636,1873.4731611064428,1850.5931738318216,1876.0050852310435,1877.1678719099398,1877.4517014397347,1851.7300980083457,1875.147963177814,1868.9457309798934,1911.535193533765,1887.804618544949,1891.0389192341413,1900.9313972006805,1874.5124203348446,1847.715598742475,1877.7359749143184,1878.4706900846893,1867.9195182984633,1874.9035065309088,1874.1671215464407,1867.871146457506,1919.8580595091287,1884.6954060954147,1889.4341878382413,1912.9305971572765,1868.7170840796907,1849.3675307480828,1877.972051397701,1877.7959913827615,1849.515942744962,1850.7305219686052,1873.9078041713676,1869.5359857257251,1905.2105522783752,1885.525322867895,1887.0376887063182,1904.8418929582813,1871.5320182972785,1848.2620007140074,1877.474535932679,1876.141129923922,1851.1977135976126,1854.0509017871302,1875.0658861489107,1874.9699602696196,1922.4300851911132,1882.4029742747132,1883.6870122111022,1882.9592169230164,1870.5378935682595,1847.8566923153226,1876.9629254033566,1877.788969573769,1850.9361507884191,1864.3589287380878,1869.3742974394504,1871.6896906224229,1914.8878335359982,1879.6896924164728,1898.1530165491636,1866.997447629869,1872.5506089775204,1849.6286396380144,1874.5582741262158,1877.2843036079614
RAYAGARHA,1851.0767843248375,1859.2464193678095,1876.2340365440484,1866.8489466116969,1892.4877379918705,1873.6987986079891,1876.4802599972884,1918.0996710322538,1877.0624271860058,1850.3009816354388,1862.0122636001513,1879.309052449242,1851.2692445837913,1876.3390747311291,1876.4436947147594,1871.1827472257933,1890.1928952253684,1881.5730316996755,1884.6340830022816,1912.7543401380597,1867.6515584504752,1848.9941065275518,1877.7988569345287,1877.822137028289,1849.7843727151446,1874.7221600801095,1876.9105100440534,1872.3209418641236,1923.7237311056783,1876.5492227022187,1881.284786279393,1899.34344661952,1871.895826103621,1849.6995182847863,1877.1428539526298,1878.2173488472504,1850.6542232734287,1876.2285202466144,1876.6041188085321,1876.473097828272,1899.7434591055842,1879.9818897983628,1880.842921454269,1884.665078547875,1877.0276660344523,1849.5860579505857,1880.0460492202747,1880.2457753403394,1851.1301642604376,1855.1376097042616,1876.7107240755909,1875.8011176950304,1901.683074704856,1877.141354075027,1882.208813807839,1922.0737316902123,1876.8290065496526,1855.7881347217162,1879.7333135633933,1879.8144907221024,1851.4654651105534,1857.0947253013583,1876.4491750750865,1865.681265946529,1894.264011387699,1875.1838973416804,1886.0291773366764,1920.4555982135648,1877.2648234907992,1854.1639261724497,1879.3317653560193,1878.7504515119158,1850.5931315100063,1867.0104103020733,1875.711691182862,1866.148503561385,1891.9987557212676,1878.6212031682862,1886.6336832588142,1890.1094953792663,1872.5356960169665,1850.1735817645254,1878.0803181551257,1878.198612132702,1850.874108028991,1875.1897353511868,1876.0888209177274,1879.7286068334304,1889.4418235776698,1889.5177355080837,1884.1447996138604,1902.3577156369083,1860.8231965611465,1849.6744640219285,1880.173179507962,1877.283821968262,1850.1985401083277,1875.7776614459692,1876.36993222308,1875.741670451756,1914.7787103354872,1879.2368775258956,1865.6802006181174,1896.726077354129,1861.364786391687,1849.7420362176204,1878.3278350185133,1878.4679043425251,1850.8653261072182,1877.6456034130322,1876.8572856040296,1876.2622608724932,1913.9023870713856,1878.6250450649593,1880.3171044496016,1893.3784489515967,1876.8746428732145,1856.1369551642035,1877.307231858328,1880.4312458617403
BARAGARH,1850.0649116215823,1855.693173399079,1875.4967100118322,1871.3640091334667,1904.2609061528017,1880.5214117574872,1880.607643154042,1894.9795311581922,1876.2978416027881,1850.5747406176936,1876.3917934473764,1879.4157287827582,1851.142551271867,1865.3456499178048,1875.435536824184,1865.277411514992,1912.9214040419167,1882.6592815024048,1882.2239537536377,1915.5492373565428,1872.2023927802418,1851.8964960396702,1876.7431189752333,1877.4540485815066,1856.2563811170721,1869.3811338098105,1876.0224132238977,1866.9172086161068,1904.7044927355682,1888.5986032097683,1890.179800959092,1863.070237014796,1874.7285186931954,1849.082357789246,1875.4784433861248,1879.4079267875688,1855.425973854451,1869.0932388866993,1875.4603114980957,1875.2827689816675,1908.9326553894045,1881.8554178316717,1896.0221794715685,1879.44324409092,1876.370060219021,1849.1840236190087,1877.5547595364508,1877.7670255599814,1851.3183546431844,1851.8010204704258,1874.3995497954202,1874.2670708658127,1918.7126854873472,1875.2814495360115,1904.7796648827127,1921.51108313578,1874.9949125141472,1851.0434932910266,1874.559607402573,1879.9358690765448,1851.4698136705147,1855.3992256235322,1875.2671564249265,1874.6551876413234,1912.5722190323152,1881.650105690583,1891.0405442464662,1904.6463788121505,1875.6659596304444,1852.0976595706709,1876.9806892498486,1880.545150594966,1850.0416658053973,1870.2848493967433,1873.8175647451617,1865.6578497218636,1915.058603259094,1884.9897034623739,1882.9732220027263,1916.9761912247823,1854.9022264611103,1848.6658801018864,1880.1600066900355,1878.0463052985529,1850.9386138455511,1866.0050737605468,1874.1033522345178,1868.4803087381247,1900.600997940579,1893.120696960646,1888.389875065422,1916.6922264118982,1863.9656292182751,1855.4282272511941,1875.5444582780797,1879.5124068677276,1856.5661032748837,1871.3751531634846,1875.8570705262762,1875.1616998155719,1927.9320041251738,1882.6841647294978,1892.2999009994062,1869.0667459250617,1865.1321345875022,1848.8804278648633,1877.0979087403696,1877.2930503875355,1854.3478504972134,1869.835533183203,1856.0030953889438,1875.503196506987,1919.1964292274265,1874.8464125735977,1888.2770830601667,1867.8815398613287,1875.3598299268378,1851.8973143744058,1874.332561643075,1881.492034672161
