district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01
SANGRUR,1867.7779625749663,1844.9170400118437,1847.0896106642795,1873.3475733785958,1919.2103101045097,1920.3999240832254,1926.6839051593668,1873.7034029506933,1853.2181803202636,1872.255247973712,1874.677803628957,1874.9296714395591,1868.3086158099247,1844.0172309527356,1847.8512926024189,1871.6227937806732,1939.875943004325,1923.2442472183614,1908.5116177845211,1868.897201976832,1856.6852213382028,1872.2082407874448,1874.7828634017958,1874.90629012097,1868.6153295965967,1844.9209136694017,1866.550661995812,1867.2704526251089,1959.2515246707217,1916.0420249634599,1919.075216819031,1871.0984684391512,1847.425604411393,1873.9350130063958,1874.5979996154153,1871.6717078407955,1867.6125356222594,1845.36250841531,1854.6388141593095,1868.0266717324125,1940.3122889428466,1913.3643489572846,1917.737661869544,1870.7466989911134,1846.4045138015474,1874.089779713278,1874.3242603791912,1871.176799126687,1867.4380369126548,1846.886361160236,1850.1955092748046,1868.5299529005645,1913.554433683298,1923.4336496015549,1912.5825572705753,1868.2294723490575,1847.8444545441098,1873.4717715706304,1874.6302776400278,1874.7824197764114,1866.5037749317355,1847.8523243350342,1847.424408307018,1873.5139693115168,1901.901247054457,1914.4266933232884,1920.1408785486014,1868.35037680184,1855.2778314249622,1874.049825796342,1871.64466151375,1870.7978976723182,1867.879565735384,1844.2608404546647,1847.0050703644679,1871.3593314141717,1905.1156889766312,1918.4467341310126,1923.4408748236124,1870.646952010162,1852.0716406282559,1874.129395561656,1874.9576044248731,1876.0819196847867,1867.8986446187732,1843.48953414916,1849.1083140226576,1869.3805533801196,1923.9089529561982,1929.463514437898,1924.8750746736716,1872.7577395930232,1872.8280126435286,1872.8301848758722,1874.7051096022842,1876.3605771186385,1868.8071209100872,1845.0011538309166,1853.9731248983367,1875.7275522810219,1918.28959852771,1905.4605261997133,1916.0382122227395,1872.2096616982353,1846.6327598805447,1873.4667657845778,1874.3472595305113,1870.5586197576322,1867.1258517397803,1844.832962333955,1855.5577460829745,1871.979460667394,1926.6527112623903,1932.8663793223257,1914.620630946324,1869.974810460375,1846.730650518858,1873.7709582714945,1874.7538122227675,1871.0041193541047
HOSHIARPUR,1871.784839584536,1848.690865740723,,1867.6793460942251,1976.8160325491137,1904.9687481423393,1906.9700006935793,1875.2133860615263,1849.2011631280961,1875.0244770761892,1878.6657314688086,1876.6626227439758,1871.7375168488957,1849.762780441266,1851.5490183714821,1875.3858750501809,1897.695168837901,1925.46570445513,1895.3356290737097,1869.646761137127,1876.8289448878297,1873.4458527139882,1874.9440879661377,1873.0146346705392,1874.1245455689825,1850.0126383810587,1851.9374507320144,1863.8752235760605,1898.16756929037,1923.5694894358778,1908.9174521000114,1875.5297172596286,1848.0494330673394,1876.0483188005883,1878.9907050467589,1874.7237913347042,1870.7949003732613,1848.2773333442763,1852.1846020165644,1876.2837635626051,1966.4591067052675,1893.0906813102015,1913.170990366026,1868.7850690002733,1848.1150100563339,1875.6020443284372,1874.8195122840657,1873.0819044229056,1873.5164268815063,1872.3787312790469,1853.5895914607052,1875.5701094219962,1911.4927587386692,1933.1692636774424,1911.7360315616704,1865.3286711820015,1848.1960697820198,1878.2602075773184,1874.3483692158466,1875.2092201564346,1869.8991830323732,1848.4920004044798,1855.010193198988,1879.7108323356465,1914.4140617148107,1917.3589447378276,1917.495306260325,1874.5546575944918,1854.695494146842,1878.6093407311466,1876.3141721127254,1875.5666923433757,1872.197324189133,1850.3752348710366,1861.3985608704538,1873.1462532012813,1971.0068982359048,1896.498516434364,1922.2076293674904,1861.8477513746072,1850.5357097707679,1875.817144696816,1874.209722260944,1872.5064576577965,1871.4879450750052,1849.0895718455454,1852.6482461997105,1864.230025426658,1904.1263649403181,1922.5012270293098,1911.7373280752968,1860.9879272082972,1845.1618052997355,1875.6043125273886,1877.1850547252443,1876.075076641075,1871.8132612359293,1849.1793830716044,1852.3170474059739,1877.2964404156658,1968.00248785543,1907.8371801169062,1922.219618035192,1873.5490162275698,1862.8136306114397,1875.9454498939842,1877.2124649782509,1875.4581409393813,1871.5393367427228,1848.4529965481233,1855.199664819414,1875.843324064381,1967.9090176782483,1960.2720192593142,1908.2657608351292,1861.7487728631202,1848.2895096441036,1873.5925877939155,1877.8204728064593,1874.4730517860264
PATIALA,1874.6542425535433,1848.4496518270514,1856.0409114092772,1874.3377458322764,1939.4694362173018,1905.890346326494,1923.1304053625022,1874.78282836725,1849.7381517895144,1872.2027704799777,1876.3733027818055,1880.263153844674,1873.3573442110783,1849.348948711668,1855.0185615079167,1873.551852696704,1914.5418511599569,1911.778612574649,1914.2321525990012,1869.002224438073,1872.873144582023,1875.6135700635637,1876.519594912169,1880.7077379962425,1876.0465366854519,1849.1044236915548,1862.2046219473932,1871.5682245339917,1924.717995478016,1919.2812752646562,1920.495052350477,1875.7015734146657,1862.498065882045,1875.467629070956,1875.2753777640678,1879.0265509545252,1871.8943881219136,1849.2436566520425,1869.6720575128475,1872.5159686826798,1922.0703868205956,1909.8520458948003,1917.8278494980923,1858.046493159626,1855.5036136951312,1876.2864349418405,1877.6025152693303,1879.0718640491232,1874.6330537285062,1850.9927174883278,1868.2597315216474,1873.2868871021897,1936.1116916114402,1911.0499875520798,1917.6034398853178,1858.347054891122,1870.7028242175145,1874.9654355201617,1876.2934114085256,1875.491293028943,1874.8785357807615,1846.6722143452505,1872.0978716221712,1875.7705340138386,1925.1277971353793,1925.6542855588216,1932.0694007964748,1858.8389269968416,1853.1446191596074,1875.448726332925,1876.195434512445,1875.2906886443109,1873.6260872443734,1849.3437929429765,1856.1200784264845,1869.7831472179143,1923.475537068112,1923.3625567458253,1923.5007513947903,1870.1425495595056,1850.042207866009,1876.105016056039,1875.7128447601576,1880.2469868227681,1875.0188513127837,1849.0425710492007,1854.7737672578512,1873.0031268141142,1909.861718406438,1913.5901668406764,1923.7449687661801,1874.2323641316393,1874.3560258105742,1854.3330641853684,1876.6169196468609,1880.7442091070013,1874.491473974744,1849.4695997924662,1865.1304448036094,1878.0382172272714,1928.8496164665748,1918.862228816476,1890.54044349685,1875.951207489123,1859.4736239379022,1875.3134358042287,1876.0990441309718,1879.0524845698123,1873.6744433523395,1849.9948673084436,1869.5039483838127,1873.7284412576685,1931.9577551123145,1935.182787556534,1918.0500821421408,1860.0827751178338,1855.1401285449053,1874.813868939893,1876.7338613993536,1877.9823442866434
BATHINDA,1876.2464042655495,1850.8426807900196,1859.7557710604474,1876.7574523831868,1909.0588405255264,1895.7589733025147,1919.7361673654525,1877.8756162421462,1858.0341557480117,1875.9825865171774,1876.222836769822,1878.7489153297477,,1850.1941305079763,1855.7066162424371,1879.0012877691602,1913.8032505854346,1931.352979367236,1919.7166562875686,1878.9254211457608,1856.5533107095748,1874.412319966004,1876.6812123216991,1878.2971697267537,1877.1045222131258,1850.1771630183716,1840.3554088173225,1851.219061340469,1950.5817202436062,1898.4036187591657,1915.558898833431,1878.6617723069146,1852.147258517487,1876.3723993800418,1876.5298418928935,1873.7700435238166,1872.422981144278,1849.6221145059715,1857.6252627161018,1860.068636656064,1944.0631638762077,1907.703905143531,1921.4923316325044,1873.6747048325674,1848.4565657386645,1875.7680715270237,1875.3080051109625,1879.436080502966,1876.407762790672,1850.1139041093493,1857.3012733415146,1876.6884846729158,1910.304431607759,1915.171298584949,1913.4335198532494,1876.0743562618193,1849.9811919624356,1874.9582853021598,1875.9418955968554,1876.5442705297226,1872.9940253156105,1850.3608140018518,1857.449609954833,1876.4580353807044,1908.2089710606958,1899.7895465516008,1923.196654126885,1875.3732264397745,1866.7286944864582,1874.7316598718298,1876.2715609469421,1881.067131091117,1876.456136972378,1850.2973242578394,,1870.2113174256392,1922.0720400433324,1889.6659678353453,1920.5681925962574,1869.1100623525335,1857.9473855999163,1874.987385785406,1876.9514922210044,1881.8027907310136,1875.1667150975502,1850.1377566704166,1879.1088117982672,1866.9545421584226,1943.5933008137147,1920.527045525021,1917.625158029765,1865.4475004416556,1878.804460182725,1874.0990445046048,1876.4156560932106,1881.8511259501222,1860.0605117366504,1849.9861512968937,1853.6893607000413,1876.7081652766324,1927.9489423622665,1917.9167269727322,1915.6236382899065,1878.7995380167442,1850.9203398109858,1874.731705011364,1876.4441102592225,1880.4420863260696,1876.1587325681398,1849.145934695048,1856.482273160358,1876.6145719449266,1941.7714409156986,1919.1015287184648,1911.8301445584639,1867.4412110027265,1848.7946723888388,1874.9723163932126,1875.7697918321703,1881.200111206309
LUDHIANA,1870.600088707907,1847.1971421308444,1850.1791168291145,1873.9220430282744,1947.392588940364,1906.6146419281586,1918.836492868557,1874.3970446928215,1851.9919745273369,1874.193835885907,1875.406745716757,1878.0535318460488,1867.1694791897175,1846.772589983279,1850.3820326523046,1874.5527765936679,1947.5811781002158,1927.2907164028124,1901.0815871564796,1870.4168719062573,1856.0258334908278,1870.6780848793426,1875.9441650797494,1875.0242255070737,1871.976040024821,1847.7127002624804,1853.8455723494696,1864.5509952233779,1965.6682931546984,1924.4472418022965,1913.0136378876457,1874.719488212774,1847.2766729706889,1875.3583806973213,1875.519453480414,1872.5337969440266,1869.0136104728924,1847.9979427119672,1852.6981939755817,1871.9085755853541,1962.2790644820436,1900.8570177936588,1916.6950778714436,1873.8402854143671,1847.2704590223725,1875.5791143040044,1876.9142977606705,1872.5176792989403,1870.7519517010614,1856.9624519756671,1855.74295363379,1873.0217747609738,1912.5308009995179,1923.7526197523111,1914.2808006326159,1871.637982446145,1848.4994527916722,1874.8199691036898,1875.562370171007,1875.6387256542444,1868.7944904038973,1848.5674108025737,1851.1386048536954,1877.1620648586254,1911.272868021167,1903.8981058890993,1918.841710652114,1874.008960631446,1855.901482435952,1875.0064619633104,1874.1737257033344,1874.276816560772,1870.9231258647155,1846.77446746812,1849.4262109011045,1869.1385287570758,1923.4088751300997,1908.2436766129167,1926.4439146215,1870.97671278203,1850.1439904928573,1874.9354078516003,1875.7036534690067,1875.629477778048,1870.1541841338144,1846.9494625680163,1851.5825847668384,1866.2856343546057,1937.017456071952,1934.06922376958,1915.5633784067427,1866.8145542197065,1863.1571006321274,1872.3126954527634,1875.4742765935962,1878.1557846623275,1871.6135823672948,1846.4457128044419,1851.5852631582293,1872.9809889311878,1928.9084136863657,1898.5540767667374,1908.3978375832285,1874.231533866624,1844.9605339844634,1874.4242273730274,1875.2574316152193,1873.6304048807547,1870.3399668803963,1847.5808129882148,1855.0712900389774,1874.591006651,1955.5095452071394,1933.67331373757,1909.7279413615013,1865.6192820755584,1847.570997310703,1876.2481102503307,1875.5963496777433,1873.9822725442195
AMRITSAR,1868.4165098681585,1847.9523919185629,1852.245207418995,1872.0339956260855,1949.9782618249396,1913.4658290942016,1920.7695281227393,1873.6445359321892,1848.4197342048337,1874.077132889999,1876.42541984431,1873.1924198602576,1867.9676558625385,1862.942747880973,1849.8783410804224,1873.9363009279475,1873.644209584835,1923.0430349105834,1909.4230216629683,1871.7064316990181,1854.47815547078,1874.8890516065699,1874.4649075922446,1871.4192162676256,1868.847603219458,1864.9252558626677,1857.1653919111427,1866.486001086655,1914.903507855406,1929.301330507331,1912.8772489964012,1872.451998284532,1852.216635594571,1874.9295872328485,1876.3866232038288,1871.3334870377316,1868.2056507890848,1854.247074556164,1854.6527395331905,1874.6436982248629,1948.9581976602358,1924.1424234609908,1935.7324266487253,1870.0468727120706,1845.2834504671187,1875.1374957383823,1874.9078453435711,1871.9254098652207,1868.3023293761967,1848.527968610699,1849.4091833117009,1873.157568878892,1922.6572633651829,1917.1019130826037,1883.5235590060727,1871.6044782943047,1847.716869567951,1875.8958081212268,1875.1750580461162,1870.2674141594484,1867.0948862349835,1846.0585350345705,1848.4366720136736,1874.328651270864,1931.7163094679984,1925.5997593415784,1918.2828147515283,1870.9323613991712,1847.6941695342118,1874.3937995240099,1872.1437338196622,1875.1182113594755,1867.673774382295,1847.664640894592,1849.4334269596911,1871.6469640557964,1927.577848602589,1910.2212026634922,1913.479148235144,1868.804893046577,1848.1427281787287,1874.9864598543504,1869.6355752377347,1869.594760195617,1869.6726996890188,1864.4280359367137,1854.7510145958195,1871.7324807721573,1879.3561051187755,1927.6234158110506,1915.852904861319,1870.7295924360592,1847.3409830257583,1874.6924864399998,1874.4498540505817,1873.0514265355926,1868.0937976242128,1848.4968918634702,1854.8283630591307,1872.5308820773364,1902.267501618019,1950.5390012824598,1912.1025839378567,1873.1387608403763,1860.4440477152007,1874.6269859553229,1873.2072926379587,1872.3074332137037,1867.9637055361238,1855.029400450843,1854.5407615507697,1873.2005653727942,1971.2837893226017,1928.2455709560384,1902.7791104496307,1872.3113056377163,1846.5315725721023,1874.250505073185,1876.637522080093,1872.4121627524794
SRI MUKTSAR SAHIB,1870.986088723955,1845.9078054316374,1862.567869750547,1872.2044326041346,1921.0824140229504,1920.0202585302786,1915.6175779885778,1871.664648028771,1848.3107273360952,1875.236784509943,1874.9386973439714,1875.758883475364,1869.6501285710578,1859.311104563972,1861.999368053224,1870.2056182173883,1878.7452462990364,1921.9383058203816,1914.5085607783567,1870.4526108718815,1848.7385156350192,1875.0139120480892,1874.8679030473825,1872.1291859365922,1870.8908818413192,1847.1495613727425,1858.169453644294,1869.4787121510317,1932.902030636618,1904.467483148322,1916.368306888129,1872.4868962568316,1853.6644037573637,1874.9168499368775,1875.1446825543965,1872.855173523607,1868.0317475082718,1847.4215629592352,1850.8168635830225,1869.6603710645115,1900.8773235391457,1920.353353066134,1922.0777681844852,1868.8984835577262,1853.5206119272732,1874.9827914809864,1873.274645114944,1875.0688382111741,1870.4988909286953,1848.4312121737473,1850.1803514721169,1873.0395152155743,1894.5401380661947,1921.896977353083,1909.762858173775,1873.9982130559115,1847.2876962815608,1872.066291622496,1874.571477438083,1875.8612531983388,1867.4476777739853,1846.0586990468819,1856.4254520072009,1871.5745772111939,1907.9147740619594,1907.491298521503,1921.1287913921947,1874.5491889919697,1857.0506021947813,1873.9560756332887,1872.847058995655,1877.777218767292,1870.015547776144,1848.460687266794,1851.333125471666,1870.1665677133913,1918.073460926894,1904.9996916931716,1917.6334954765093,1871.779861317779,1849.7626614259163,1874.275635746881,1872.7927980961972,1879.542320215364,1871.404528652144,1858.695961857866,1861.3497152935731,1870.6465688182084,1877.5480080303432,1932.2505177851433,1912.9755766029532,1871.4755470155374,1855.615998264439,1874.0494355144845,1875.2260791028323,1876.8946989289257,1860.4312204195558,1847.990998013854,1851.271152276168,1870.2606390049546,1921.7445916860177,1925.62383725196,1922.269198459655,1871.2413506917599,1852.6875886234163,1874.209712458077,1875.2315816593614,1875.3474470804028,1869.738095741817,1848.5183990765154,1849.4886849617203,1870.352619461433,1924.701860437651,1917.4273185886905,1920.8988748388724,1874.7956307589575,1852.4058006119217,1873.605270234309,1874.6245168109406,1877.6543270098314
FIROZPUR,1870.7426464453008,1846.4922705324634,1855.5940589403308,1871.6982453239714,1916.0436385464645,1920.2572740841185,1915.3806947691196,1873.0670001793321,1849.6345670811013,1875.012550352807,1874.9649391029168,1877.0709510091888,1869.8422281318572,1859.884759815718,1861.573559104437,1869.8316133459093,1878.0036642415196,1926.2528242570681,1916.9408192422027,1870.948022196795,1847.3926300320868,1875.1527549777163,1876.4577233398677,1873.0266440932764,1870.5298690382144,1850.4471356279173,1858.8001308633327,1868.7548434021821,1941.4250252030265,1909.7590301122484,1913.7148234947583,1872.9052219072016,1852.985630242123,1874.8821652328938,1875.0360993803597,1874.4355908349698,1867.9674099014626,1848.1840994404276,1851.3322299405072,1872.40998074325,1966.3524901591334,1916.74732152773,1920.5277046748736,1872.5120524561746,1849.3283789533675,1875.034733912517,1876.3854351860082,1874.7366315626327,1869.94332001748,1848.5504709268791,1850.9434352778194,1872.897784013803,1909.2524299686033,1919.4828310550479,1901.6175873031752,1873.5053274925554,1848.2693215535085,1873.8050037440578,1874.9665396353053,1874.7750984607046,1867.3016493558584,1846.7032792157088,1849.8795606386382,1872.493753826285,1907.6928539782825,1910.9642444284689,1913.6809496315834,1873.2486020688068,1850.3123429907791,1875.072512008812,1873.5399288602569,1876.6085575729269,1869.5050673343617,1848.570697485876,1850.316348337728,1870.2954710609963,1912.3085393109195,1918.1832531078128,1916.0519177865367,1871.0326945614647,1849.9224673997137,1875.0710887833445,1873.75902277034,1876.6532718188587,1869.9142210174928,1861.330056372537,1862.7686974533535,1871.0913400860477,1884.332216297053,1926.2916146749421,1913.8543963829227,1870.4010378982834,1852.9574770732427,1874.4364160435107,1875.2695280377845,1876.7337189473624,1866.4600898916922,1848.3026393853818,1850.1741194389654,1871.4718545104952,1944.5866263596636,1917.4319089736832,1918.8744538326114,1872.0303486817475,1853.471057430223,1874.1349703347428,1875.2616382501387,1875.5328747820677,1869.5706842073353,1848.6636938492684,1850.930312497014,1870.695836999161,1978.9081003525366,1921.5609032192906,1918.4442614115283,1873.26838989277,1850.5659078876567,1876.0213672982597,1876.2998203021255,1876.7172929156582
FAZILKA,1871.0805340900592,1845.0636153659564,1853.4702898415246,1873.2720578302205,1928.036969189753,1925.4272374199645,1914.9279904838586,1873.7360248184766,1844.880846597684,1874.8266765339579,1875.4443374648147,1876.066285828584,1872.1817194327982,1852.21253641389,1853.5668688743972,1871.461085720514,1897.3529453885267,1919.6014998315527,1910.0684453452309,1873.1448755027457,1845.8582579539868,1875.0275253716022,1875.2581967058575,1872.8366120779833,1870.7619850000121,1847.751874896754,1848.4110838959464,1870.2053459348933,1905.140215018747,1909.9581233457784,1914.644356320925,1873.8357198738026,1855.374667177859,1874.6867769829373,1874.4093854712805,1874.556118784543,1869.3010701058906,1848.2424133204802,1850.1298764770993,1870.5226783605922,1905.4118574857127,1926.7573998665773,1918.1746944195672,1873.824488714206,1855.2981496746938,1874.9730328215155,1875.3371118202576,1876.078443504968,1870.5959898923165,1848.4833463186255,1851.165268505628,1874.4485031771947,1899.0383828996737,1923.6910880988896,1903.737145233122,1874.8512555637678,1850.9990233083774,1873.6624671532782,1874.8343755408034,1873.328648814608,1870.31391635585,1846.2235916937293,1864.4742373717418,1873.7263392998682,1915.6001324964966,1908.7167393194527,1920.3090722478755,1874.3528867162265,1851.16277715427,1874.2220210796818,1871.1144449243102,1873.9427362676379,1870.3213144174663,1848.482326654919,1850.012512503644,1872.7524294366933,1929.3859933291174,1902.867865900121,1920.5821673440764,1873.8264182312932,1846.255985311673,1875.2491924741278,1873.8145668106436,1874.3984785335301,1866.4444600848537,1848.5906182667984,1852.6479045941985,1868.758823402306,1891.9692819282932,1917.0115149961878,1909.9933345550903,1874.2879590490236,1847.682751816498,1874.5415568309056,1875.3953498644942,1874.5650068758955,1869.691998875586,1847.487691808833,1849.9078026232742,1871.461479002656,1900.9196014897807,1916.7329962751458,1922.9230513370971,1872.2882217454678,1855.1174460692143,1874.7187889476454,1874.8823120935133,1875.1876413852704,1870.2630907131368,1848.205405954288,1848.9965079248018,1871.5496097201008,1925.2060511554535,1914.4130781387664,1928.5018639987236,1876.7525667913872,1859.7871789306648,1872.3031318573078,1875.1836294685988,1875.9228632161328
GURDASPUR,1875.3166303123446,1848.6743301470935,1855.6744432345147,1856.106877127117,1949.734647665539,1908.2021891513398,1913.3701398650335,1876.839109148716,1852.5432484170904,1875.0481184380617,1880.6764674463686,1878.9575071359236,1873.763746383116,1852.2683531481057,1855.369745190998,1876.640289045693,1867.16389955886,1927.305878964628,1907.5004231944497,1873.0753717130708,1873.377227443451,1875.5570806781466,1876.9507389735365,1874.9646830201702,1874.6001489179412,1852.0838975129495,1858.1611071173386,1851.8141137252148,1903.4550798726843,1922.1880202225273,1909.6155042998091,1874.7379292992043,1848.832080237522,1875.5893880044448,1880.9267203431154,1875.6877412861843,1872.1875496473788,1852.3854258640588,1853.9127344159313,1875.937885957829,1994.3277718639251,1906.7354619879832,1931.2914146328344,1857.4553832838137,1849.5137784884096,1875.8001032936209,1878.4842118306324,1875.0995453217283,1874.590406405931,1849.7925174377917,1854.220090747893,1875.8407342715502,1934.717320410499,1918.0381219295166,1898.7330081421342,1871.143472311109,1849.8868926352359,1880.868118956541,1879.9350892367795,1878.3552285467006,1872.0054325000315,1849.6512761785518,1855.5614983555658,1875.914111673802,1937.4969175951298,1916.503630452591,1921.2650037536637,1875.5318732933797,1855.681866607559,1876.9424395532608,1873.6565367714484,1879.6065861057307,1875.106555491025,1849.3450670752482,1851.8150403820198,1867.9125458859223,1935.2791887167105,1894.840463635931,1917.1812269211846,1854.1305604801594,1852.418552788806,1876.1916810049197,1876.1550303500264,1872.6829311745316,1874.657737306264,1852.2443238962876,1856.6307367709285,1851.789851661966,1875.1720525608273,1930.4734216532154,1911.4541295610977,1853.9511786409946,1852.5557247859567,1875.3617322434434,1877.8938869150777,1878.7966237322369,1874.2781615445035,1849.9589919780753,1854.8389750277877,1875.2738662210893,1919.5216926157402,1934.4871646385611,1922.811004289514,1877.1934571389809,1874.5383849157486,1875.5315940127632,1878.9874878761,1878.467796378309,1875.3249090629645,1852.5933652977023,1855.2327461625791,1876.517736282238,1992.3330387137125,1929.6239226075616,1909.2484585848033,1864.5075032762466,1849.3421266360897,1872.4561251030248,1882.326036992033,1878.280814974358
