district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01
PALI,1879.749494,1851.949613,1858.301269,1886.328509,1902.816379,1899.041947,1902.475376,1866.824986,1871.498486,1867.248735,1876.535452,1876.973784,1875.914779,1852.258202,1858.410458,1876.465406,1906.101899,1911.067962,1923.147002,1867.881593,1874.571171,1872.704919,1874.541882,1878.134933,1873.468849,1853.236217,1867.581934,1863.572958,1900.77761,1904.678577,1927.186905,1908.037716,1876.629425,1875.684155,1876.487023,1878.178599,1864.608623,1855.216885,1873.223293,1879.446166,1899.798975,1915.420009,1920.548335,1878.525418,1866.773497,1855.468996,1877.087756,1879.471988,1876.226791,1851.812959,1874.396579,1887.632807,1902.751375,1907.942022,1926.933061,1867.678132,1874.718473,1855.827065,1876.403126,1876.435906,1872.279044,1852.172923,1860.707166,1878.769075,1905.304678,1911.526295,1923.702455,1864.858664,1870.816504,1862.573612,1877.109028,1878.850435,1879.574605,1852.661439,1869.803625,1875.413862,1897.039093,1898.791152,1925.697131,1899.291923,1870.373698,1870.673465,1878.445872,1876.247608,1878.750718,1852.120335,1872.884723,1873.381326,1912.367949,1918.838965,1918.267543,1876.909688,1870.373389,1874.817254,1876.427621,1877.195457,1874.203378,1853.545664,1874.261392,1890.581074,1901.320341,1904.253002,1914.444593,1919.370567,1873.607008,1875.821751,1876.311363,1878.219993,1866.248825,1854.149813,1876.271398,1889.086158,1898.150823,1907.932735,1918.952958,1876.556383,1867.073121,1855.651743,1876.298642,1878.187881
CHURU,1879.624311,1848.999826,1859.557643,1892.406027,1910.713433,1909.456524,1924.594887,1867.086163,1870.838809,1875.994657,1876.280468,1874.93819,1877.238289,1848.312143,1863.591905,1880.53756,1904.502474,1913.279794,1924.555483,1875.05517,1861.994268,1875.949239,1875.943978,1875.451575,1875.66339,1849.575707,1873.474925,1863.998284,1903.217968,1902.191031,1920.205349,1876.541007,1855.924105,1875.872261,1876.299045,1876.070191,1879.393473,1852.058647,1857.453181,1877.107212,1902.174466,1916.326352,1922.247754,1862.109893,1852.879647,1869.308909,1876.69688,1879.730427,1875.467061,1850.885844,1866.576229,1900.703716,1907.707171,1920.491305,1920.378728,1867.300949,1873.379477,1874.444787,1876.370948,1876.169391,1872.890669,1849.443559,1869.821252,1875.870357,1882.722109,1913.158616,1925.247206,1867.518616,1862.952738,1873.512,1875.572707,1875.549568,1873.981161,1850.007819,1872.527489,1871.889712,1894.96309,1901.376309,1924.750186,1885.296553,1869.689906,1874.931035,1875.805088,1876.07785,1876.215805,1849.344883,1871.850087,1886.751933,1898.966175,1920.429722,1921.83654,1893.681679,1858.669298,1875.77153,1875.275902,1873.634978,1878.453078,1851.130123,1857.812126,1894.358267,1907.606967,1906.051966,1920.60172,1882.821231,1855.852106,1875.001824,1876.254682,1875.813559,1879.591094,1852.151311,1859.511835,1898.605046,1891.383626,1916.565171,1919.751729,1873.9884,1852.896378,1870.033614,1875.330055,1874.908898
NAGAUR,1878.985952,1849.629233,1871.771784,1893.914334,1907.074616,1912.447469,1924.216121,1867.981849,1870.108298,1876.127564,1876.708758,1875.943661,1875.810036,1849.276938,1862.811648,1875.92184,1899.231335,1918.144095,1927.892352,1869.245031,1870.092648,1876.154151,1876.086586,1876.511279,1876.587858,1851.464601,1869.894497,1872.769582,1904.910276,1901.085677,1922.352739,1872.169239,1862.477718,1876.074505,1876.653687,1876.629698,1875.142794,1853.099904,1867.123184,1881.195847,1904.37496,1920.435312,1923.544951,1867.675348,1855.491169,1858.605537,1876.270755,1879.343524,1876.334528,1850.170279,1871.801638,1895.267955,1903.946331,1921.592355,1925.836762,1869.029304,1873.365264,1867.317138,1876.859339,1876.263887,1872.408842,1849.836499,1871.695098,1881.480356,1889.106899,1915.607083,1925.554761,1870.356712,1867.744638,1874.159669,1876.439186,1878.080627,1877.891782,1850.272463,1870.306193,1874.8377,1896.868344,1903.798915,1925.141102,1903.981973,1870.552597,1874.790531,1876.623574,1876.521281,1878.522216,1850.659137,1871.981705,1879.673535,1892.92076,1922.893267,1924.004803,1890.516196,1865.568464,1875.219791,1876.528002,1875.187624,1878.246786,1851.563369,1862.237137,1898.945016,1901.731155,1904.471532,1919.912709,1905.591277,1859.938601,1875.93296,1876.583698,1876.253317,1879.262286,1852.687214,1872.154393,1891.970948,1899.290243,1923.546518,1918.229919,1876.160844,1855.489893,1860.946101,1876.378379,1876.074807
JODHPUR,1875.007594,1851.974942,1862.832836,1882.572732,1900.004734,1911.994606,1921.845176,1868.12623,1857.704117,1875.809842,1876.742403,1878.181485,1876.765988,1849.414361,1870.453365,1889.316628,1902.846624,1924.174805,1925.369458,1875.375738,1873.051144,1863.325797,1876.487899,1876.227786,1876.788651,1848.728263,1867.772683,1892.855432,1906.483254,1910.527043,1926.971731,1875.708658,1871.614779,1873.620786,1876.762862,1876.193628,1874.91878,1851.433865,1870.271601,1896.553574,1901.331197,1911.035535,1925.418775,1872.934001,1868.410843,1873.063025,1876.630424,1876.413035,1876.428705,1849.951684,1873.403556,1881.788999,1908.182353,1905.72175,1927.084164,1868.15108,1870.56173,1873.353827,1876.653934,1875.88391,1877.735647,1851.616924,1868.527193,1902.675576,1903.237091,1903.112723,1925.490539,1869.153537,1864.460705,1873.913806,1877.234818,1877.209858,1877.787041,1852.549089,1867.778017,1869.516816,1903.688268,1909.753678,1922.961659,1893.853626,1857.038694,1875.927543,1877.607857,1879.288172,1875.028704,1850.791698,1868.672754,1892.818453,1905.69652,1912.666263,1920.577068,1874.681457,1873.991491,1866.489193,1876.800754,1876.036466,1878.327992,1850.624685,1871.602632,1897.243792,1902.602384,1912.869441,1922.907664,1879.181336,1870.463173,1874.978807,1876.739269,1875.93038,1877.32969,1850.167866,1872.088931,1879.773225,1907.376969,1922.142632,1921.664147,1867.384299,1867.857071,1873.192649,1876.65836,1875.798536
BIKANER,1874.637176,1847.777325,1853.633531,1882.094738,1895.948856,1903.267083,1922.867883,1872.821542,1854.216538,1875.130486,1875.944388,1875.783149,1875.430408,1846.714464,1861.111958,1885.72871,1898.794604,1920.037524,1924.913679,1872.857052,1867.403446,1874.244345,1875.963406,1875.236285,1875.792712,1847.768578,1859.753552,1900.959097,1900.179253,1910.869694,1923.936798,1868.040582,1863.191247,1875.234114,1875.787938,1875.38461,1873.311425,1849.642521,1860.26952,1898.307378,1897.058145,1912.975441,1923.750447,1872.362452,1860.01342,1873.733412,1875.818947,1875.67695,1875.846961,1848.442246,1865.564036,1890.687803,1899.417762,1902.879626,1924.842475,1869.814301,1858.183777,1874.378807,1875.863385,1875.625163,1876.753131,1847.368925,1864.096787,1896.663717,1895.94051,1906.952209,1924.260363,1869.841401,1854.830148,1874.776664,1875.944264,1874.002083,1875.191858,1850.419737,1855.394843,1869.49522,1898.730164,1911.196129,1922.929928,1883.691729,1854.492549,1875.230803,1875.230803,1875.764548,1875.084794,1848.988033,1859.049808,1887.58476,1891.018585,1913.743871,1922.55796,1873.200325,1864.864411,1874.915817,1875.62812,1875.559764,1876.511059,1850.292517,1861.783659,1899.759449,1899.380259,1907.253003,1924.207784,1869.435826,1863.25378,1875.161003,1875.864431,1875.339455,1875.438651,1849.292401,1864.289769,1885.568822,1899.002371,1919.717901,1923.495281,1869.649695,1861.246703,1864.57328,1875.812369,1875.303174
BARMER,1871.187911,1850.559922,1872.313323,1890.535488,1905.994017,1907.912513,1918.24178,1876.057493,1868.860111,1869.372399,1876.637354,1877.707206,1869.0503,1851.881207,1870.376567,1889.752459,1911.93937,1906.863406,1923.692268,1870.109213,1872.856275,1866.892974,1875.999427,1877.131602,1875.219193,1851.580787,1870.435998,1885.184844,1906.197181,1906.195599,1927.716457,1867.718341,1873.793824,1867.376034,1876.503078,1876.06738,1875.713009,1852.223509,1871.681431,1895.28809,1905.068202,1901.437687,1916.199963,1867.968588,1869.334574,1872.069823,1876.469441,1876.750234,1872.966992,1853.185168,1871.197683,1893.272504,1907.665718,1909.559605,1920.050496,1870.536304,1860.976094,1860.980553,1876.061266,1875.849349,1875.247587,1849.588721,1871.543979,1899.980397,1910.609921,1897.434214,1921.338203,1878.420688,1873.13169,1868.116087,1875.305975,1877.395742,1873.947972,1851.928637,1867.212063,1874.090299,1906.148239,1903.588147,1921.291805,1887.482192,1871.83933,1874.195565,1875.774375,1877.182229,1868.498746,1851.561977,1876.875305,1883.338975,1915.648281,1897.918511,1918.681793,1872.817897,1874.13135,1866.768505,1876.405019,1876.47974,1876.492301,1851.771482,1874.725191,1895.811013,1906.157274,1902.328605,1925.923198,1898.104931,1871.746844,1868.698078,1876.402495,1875.831365,1877.129325,1852.959214,1870.806877,1867.683977,1909.626678,1904.877476,1915.980668,1867.615489,1868.770914,1871.424686,1875.575026,1876.094681
GANGANAGAR,1872.757573,1848.149366,1854.71594,1876.486803,1907.507011,1905.973672,1918.630741,1874.017184,1850.37263,1876.127024,1876.668921,1877.761885,1874.485058,1848.460104,1854.812307,1878.467233,1894.638704,1919.751416,1918.976861,1874.172407,1868.37634,1875.988609,1876.18149,1876.667909,1876.832655,1849.014312,1857.813525,1890.932279,1897.628619,1912.638781,1918.052589,1866.155962,1868.65091,1875.945472,1875.725708,1875.81448,1871.343348,1849.604057,1860.806426,1887.165617,1899.118967,1915.595437,1915.699305,1870.499667,1861.705818,1875.807262,1874.937875,1877.070535,1877.466457,1849.689679,1870.927798,1878.485768,1902.075324,1918.205387,1917.811388,1865.640264,1856.15059,1875.654445,1876.071562,1875.611757,1874.794432,1847.548381,1870.41636,1869.016143,1915.218956,1911.004713,1919.34423,1871.29682,1854.396043,1875.915819,1874.645946,1872.693758,1874.51635,1849.250376,1854.317963,1872.932446,1922.593044,1911.077722,1917.598959,1873.864002,1849.625992,1876.368594,1875.116188,1873.863781,1873.002623,1849.050149,1855.038255,1871.198451,1889.69585,1911.955648,1915.483015,1874.004209,1869.039062,1875.925417,1875.872281,1876.017864,1873.524229,1849.682464,1858.775609,1887.692133,1895.926435,1912.420821,1920.15128,1871.111151,1866.020035,1875.9066,1875.802734,1877.282652,1872.479437,1849.285207,1861.948777,1870.35473,1896.2068,1917.161963,1919.342502,1873.70639,1870.310766,1866.221649,1875.534649,1877.396731
JALOR,1865.516463,1853.212751,1867.986475,1879.166478,1902.476237,1903.835443,1915.125652,1868.424382,1872.187395,1866.623062,1878.100931,1878.674189,1864.014966,1850.420178,1873.154988,1900.967517,1912.020235,1908.620426,1915.458865,1873.085388,1873.730869,1853.993041,1876.225397,1876.24285,1875.760632,1850.314458,1865.823895,1879.187362,1902.016554,1901.143368,1927.024659,1881.891602,1875.059545,1860.441736,1876.57022,1876.294365,1874.77467,1852.113617,1868.700727,1898.524691,1899.633705,1897.254221,1916.172508,1866.669938,1872.211576,1868.128822,1876.58806,1875.586097,1876.405505,1851.219118,1874.55049,1878.671782,1906.089264,1906.629416,1914.646716,1867.483531,1873.091914,1872.418988,1876.620449,1875.949521,1875.621813,1853.295691,1866.567749,1898.458142,1905.81192,1898.187086,1924.836585,1866.397141,1869.494667,1875.740916,1876.773694,1876.073766,1871.285889,1854.192728,1871.814159,1874.290093,1900.087284,1905.789815,1924.77832,1908.071774,1867.478201,1876.032854,1877.893836,1879.754819,1861.929405,1850.194657,1874.719564,1888.694216,1909.624416,1901.914067,1907.238722,1873.337751,1873.903917,1855.875195,1876.544502,1877.190747,1877.351372,1851.225573,1875.723295,1895.896158,1904.649152,1903.085429,1921.502775,1870.899435,1873.793824,1861.718773,1876.608146,1875.826645,1878.565304,1853.209235,1873.876125,1874.442309,1903.387298,1898.724848,1913.842527,1869.619391,1873.711861,1869.285324,1876.459712,1875.855007
JAISALMER,1875.189732,1847.657895,1870.832298,1897.725778,1897.335884,1910.268488,1923.986097,1868.935104,1859.086417,1874.758354,1875.86067,1875.486133,1875.366545,1851.029092,1857.782528,1881.163751,1902.94781,1912.580469,1927.09207,1869.868563,1865.369445,1872.405785,1875.536662,1878.37331,1874.264776,1848.920487,1869.197748,1889.139237,1901.670367,1912.998184,1926.619956,1870.167932,1866.921686,1874.664227,1876.130895,1875.450652,1875.72605,1849.921308,1863.622671,1905.19682,1895.231799,1917.159792,1925.048907,1875.307248,1861.850802,1876.168348,1876.154921,1875.727739,1875.11997,1851.368211,1868.235873,1906.265499,1903.864879,1911.642005,1926.700413,1872.675816,1855.534432,1866.869686,1875.801925,1875.719767,1875.39122,1847.668346,1872.462823,1904.66385,1902.482084,1902.167049,1925.079018,1872.410359,1865.796633,1869.836117,1874.666945,1874.294964,1873.131922,1849.879538,1860.749448,1872.73008,1902.471692,1914.630025,1923.317114,1867.664236,1864.89194,1874.935016,1875.927421,1875.57936,1875.572162,1850.304456,1870.344017,1894.894536,1903.831983,1913.62946,1925.930073,1876.539566,1867.450444,1872.804511,1876.189242,1874.895635,1875.824003,1850.711513,1867.831142,1899.461408,1901.400181,1903.459743,1925.082295,1880.200603,1865.147217,1875.364991,1876.235526,1875.358533,1875.427548,1850.517415,1864.685638,1864.359304,1900.859969,1914.54551,1921.453658,1873.124537,1860.158841,1876.625637,1875.728654,1875.153655
UDAIPUR,1880.325566,1852.710506,1862.849825,1872.989144,1903.591777,1896.664995,1894.416682,1869.267569,1876.076754,1857.625379,1876.167856,1878.457499,1876.229424,1852.690663,1869.708537,1871.174283,1910.395817,1898.074298,1892.947946,1868.234546,1874.781738,1869.841801,1874.701282,1876.99907,1866.928991,1855.602823,1874.345942,1861.908203,1903.940416,1904.116432,1926.274655,1898.268805,1876.370372,1875.965126,1876.224501,1876.973929,1855.106108,1855.565767,1875.761361,1881.43018,1901.78371,1898.748444,1894.504758,1870.287033,1873.850152,1850.019439,1876.421709,1878.719188,1876.372472,1851.428484,1873.990038,1896.424705,1902.9738,1895.234888,1927.869025,1888.130224,1874.887654,1850.901834,1876.210996,1877.059061,1872.742511,1852.721865,1871.67605,1880.97875,1902.98384,1897.716986,1913.84565,1867.406229,1875.166062,1853.549114,1877.025326,1878.406723,1880.417982,1852.14292,1859.93933,1872.076343,1899.880934,1889.953382,1916.229006,1870.060853,1875.674726,1860.14853,1877.156405,1876.153558,1878.676076,1853.104644,1874.26132,1872.603575,1918.720529,1900.875384,1892.595713,1915.649621,1865.986408,1873.448248,1876.177923,1879.252848,1864.398171,1855.228087,1875.315947,1885.920311,1903.754959,1899.423546,1894.248535,1924.76823,1875.709087,1876.01501,1876.253085,1879.39785,1854.509976,1855.160355,1875.238658,1875.200353,1902.167676,1892.260955,1908.1583,1870.542335,1875.785552,1851.091927,1876.308465,1878.564485
