district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01
SALEM,1849.9801944408593,1874.737118233739,1875.420853099902,1869.5773132250633,1869.088604220142,1872.3556656944406,1875.069368666196,1866.0438974885692,1868.178557527835,1872.71624367798,1850.532272634092,1849.300315104403,1854.0504570720886,1874.936504706501,1874.7853059909282,1866.376202094309,1872.3582935574084,1872.4182182599297,1874.230699617618,1870.0394667941612,1867.2701807328867,1873.5584079053247,1855.3919680076276,1849.0266350867369,1854.8914304091777,1875.6431395161262,1875.9061178061625,1871.324650488442,1869.1943826630159,1872.2650074944283,1862.1033077577235,1868.5658201038916,1867.6523113886342,1869.3607802503032,1849.0954819148812,1848.43819246762,1856.8636397693892,1875.5293351102055,1861.5159012577199,1869.9191029302367,1881.561762526746,1873.5184745671897,1866.8058833412138,1867.7556535485173,1871.5332839231341,1874.787011146605,1852.7272629098825,1848.6397998306416,1866.9725864635109,1875.5473198115826,1875.8623749853296,1870.7858098994634,1868.6279972943773,1869.4208098570114,1872.2999237672313,1868.3439161158276,1869.0980748957152,1876.1177753074999,1851.4581507865596,1848.5107072605272,1850.351975789079,1875.592042103928,1875.035992235377,1869.7896710079735,1865.666742845913,1864.3724565583093,1875.4882645085577,1865.9613326157842,1869.4101157306677,1863.973793555253,1850.5375923103336,1847.5794874344992,1851.9918046432967,1875.4073659911155,1874.6043465402477,1868.3890891740498,1869.9209165470068,1872.8431690469454,1865.8116977352443,1866.763741851562,1868.1585154990498,1861.9744226946689,1849.1932806603852,1850.465151263651,1870.4029014527753,1875.6818472984378,1875.8803968496109,1868.1808620508507,1879.5479288780339,1870.830011862574,1873.8350723647156,1869.2118360095276,1866.926203530149,1874.686935003202,1848.6324337810636,1849.6481207601407,1854.1872396003791,1876.2136206284433,1875.4287905065546,1873.8149015246559,1885.041818550924,1872.9798174969903,1863.6893590706225,1867.7071349077964,1867.0981204853754,1866.6429548821159,1848.5811658103821,1848.6352852593373
DINDIGUL,1854.927617875555,1874.9686333713967,1875.3296800220467,1865.8263558311724,1865.4961572939876,1874.3789945723825,1874.9843126881185,1865.2478992791134,1866.932095785284,1871.4485377756143,1853.1869495592277,1849.4388559388037,1856.1595819615698,1874.5997073276521,1874.7302921749456,1866.6270858654188,1866.2185378672489,1864.296596002455,1862.8812612312631,1858.823462880166,1867.1765635499412,1870.754057670964,1853.941345759454,1850.6724817018107,1864.1717296081747,1874.356617161279,1876.294544477959,1866.9865655036178,1863.5614684528837,1871.4750451357136,1855.4193315293455,1873.0118053354254,1865.9154743659215,1858.6768861091964,1852.1625394216073,1850.23838493764,1856.8408135075483,1874.0113720010775,1862.769855493499,1872.6293126197124,1865.2775436244372,1855.8155949922987,1856.1177843718744,1872.9362989347799,1865.9645090744764,1856.8149523848335,1855.1886383927695,1850.7897495523562,1870.5078513932215,1875.7408352173884,1873.5471673473435,1868.514327299751,1865.2216113593802,1858.30051821401,1864.7916792576993,1871.6295190860837,1866.4163764026894,1875.0448596193473,1854.5710537195162,1851.6996941009568,1854.456225681308,1875.3223406033135,1874.8798326124836,1867.7494085192025,1863.2163946832347,1864.60761391385,1857.5495019439609,1868.0719682136466,1867.7547878657524,1859.5271896972872,1851.963564440445,1849.8916763785633,1854.5441534367433,1875.324866029831,1875.2151700222373,1864.7612494568846,1866.9241755227977,1864.6475553679404,1875.393463261068,1866.1097486521999,1864.7829076425464,1865.776179907763,1853.2765100218944,1848.8831127489839,1856.9934837195706,1875.763769472394,1876.1609972729134,1868.1737286108141,1869.5880317220885,1875.3031817539747,1857.2041313781526,1872.309406200367,1868.3838277648954,1868.1925661323085,1854.2201461644572,1849.620876888649,1865.3011860652075,1860.0325293042727,1876.367483113942,1865.3422798389363,1866.5750501322566,1877.0717923389136,1870.8135400538993,1873.776422128881,1865.879593198663,1862.2327040340144,1853.0663286849403,1848.3274603918844
ERODE,1851.4683766291498,1873.868999631236,1870.6852603008183,1876.3503729376623,1874.782115155225,1869.97016748993,1866.5401577795699,1865.273911477917,1865.3582986452702,1870.943848713558,1850.898317272245,1848.206516931102,1850.6786971510078,1875.662263805861,1870.982677140505,1864.3786031135157,1870.3549658974835,1871.499713434643,1875.4817702118119,1868.5843228159208,1865.2994014979251,1869.9654096912016,1852.621758183476,1848.1997773732483,1858.3951157145784,1874.2871691089545,1875.240742157339,1864.5278852194542,1868.9543304406097,1872.7529752655992,1867.360713961852,1872.6858814762722,1866.3819472784394,1873.8922621280713,1849.7355725946995,1848.6633208210021,1856.8054552039418,1875.1606401280878,1873.7845227752427,1869.5351877476357,1867.6961893799412,1869.1032627739562,1875.2034530666788,1873.8557357962272,1877.7574110234473,1867.1132332083353,1848.147950287468,1849.0111042886297,1859.0892638403961,1875.0329905032183,1874.9212475096103,1877.6618084933511,1870.971149955494,1876.0145099331996,1873.7589402417857,1874.1955828740138,1872.4349366771582,1875.3901309738185,1847.8229608743936,1848.7583057287625,1850.4846690548352,1875.1138159794955,1874.4554956029278,1873.2560141495746,1867.0517950465874,1869.7418078545934,1867.3513251473826,1865.979951368442,1868.3807016043265,1873.1272458012538,1849.9400274227169,1848.8439987040736,1850.613303763165,1874.983016763904,1874.2391299518429,1875.117654088966,1870.2981261754446,1869.4073204498713,1869.2181172873625,1866.2305248253751,1865.8013762526928,1866.2910836062629,1849.1388186507638,1849.5454718542182,1855.1136236324933,1875.215565820497,1875.096738922764,1864.737428579647,1871.730638630101,1871.6286285513213,1874.9108938198374,1870.7399772047097,1865.8746943296876,1870.9611004165954,1851.7105181012555,1849.396105721656,1857.9142328088485,1875.4534700568881,1874.9696620047885,1864.651611964204,1869.5585230905758,1872.3090437831331,1869.1260551068397,1866.1470626323419,1869.8293432901255,1874.5710747244932,1849.2134782829391,1847.5471961176786
RAMANATHAPURAM,1859.7193648722784,1873.0804799676014,1873.1118194675025,1872.577370527065,1865.2788582997985,1874.3244446452036,1873.3218363053466,1872.4976369390154,1878.1217560630355,1873.101560915858,1851.80189615386,1850.8360300240759,1857.8939052217843,1874.6482604798769,,1875.475848205866,1873.4065480933514,1876.0152027397282,1873.2913813457092,1871.105458283492,1876.7040790431488,1872.2298146956061,1851.4990991044388,1853.6147865536964,1854.2573194852416,1873.4074508227288,1873.3776105811037,1868.5751242772565,1875.3677087130168,1870.8840760027772,1873.1641396273942,1875.4767313874925,1876.408339502468,1875.6145516660515,1850.704332837273,1850.6379186236704,1860.7547110980886,1868.2694103338729,1873.9124728980955,1864.9586861303562,1872.8253797925613,1874.360844010123,1876.6011464061746,1874.9394019893568,1872.1862414778075,1872.4467630552053,1848.953951111579,1851.2141553982522,1871.5854409328363,1873.292366212478,1869.6591732364,1865.3168349127652,1863.2588039710208,1871.2162314378177,1868.8713033239499,1870.1004795933898,1864.363730375317,1870.1081681393905,1852.8449302344447,1853.1965107291182,1855.6330344082887,1873.1467847543672,1873.3667620680972,1865.9251176396365,1863.6549842529976,1871.3427659944596,1873.7721895520901,1868.8541908632878,1879.3719289812564,1872.4229250490466,1853.9910534792632,1852.8540586984905,1855.466920662758,1872.4575520546498,1874.7440021340567,1873.2662630812983,1865.9953903790636,1872.0839951019434,1873.5601671609008,1871.7062294935588,1874.269796896407,1869.4954114889852,1853.7061728465412,1849.2685634647125,1855.8665456195554,1877.1900825596354,1873.4952873484033,1870.6661435372926,1871.4192452873676,1873.3772197658227,1868.5986107042338,1872.0546791968766,1877.9368437073706,1870.2616028215584,1851.93916381404,1850.6210604628188,1858.3569151566755,1870.7836126283748,1871.3616273121481,1868.345759691777,1873.1945665962837,1869.5418983741924,1873.463418263708,1876.6930569855401,1872.9392795083618,1871.1620283814698,1850.17087738892,1851.9794857608422
TIRUCHIRAPALLI,1854.3898762135382,1875.0762638936505,1875.059731223866,1874.2874045048834,1864.9878707013497,1875.060245704979,1876.8044141373966,1865.17845123666,1886.34115240589,1865.895278248162,1852.2576025703793,1849.8474788184744,1855.5330305307798,1875.52114379482,,1868.487839150733,1880.2088402205509,1869.1145810016515,1872.2034978457707,1871.8698073070066,1878.0704986987357,1871.8800414239975,1854.0319604603462,1850.2231539614704,1855.52397029472,1876.7413210667069,1875.9663434530046,1881.0526349350223,1860.5733630870661,1868.642060569595,1858.4537741421275,1865.7922185398982,1871.8403782329597,1867.412717713785,1850.431131926277,1848.6179189824065,1854.7236718463323,1876.1163078301142,1863.1344560039913,1868.3637729898533,1873.4233988339868,1858.5337131889194,1864.5079360826523,1864.5128315035415,1868.2603219749353,1866.701249561795,1854.5530376539741,1849.529979315145,1875.4743070433449,1876.1697603788584,1875.4074302673814,1864.381858860319,1870.4011821986041,1867.792085700584,1869.921415452586,1866.6951409883409,1863.6953928320215,1875.725455418725,1852.990650349825,1849.0931406215848,1853.4501601148802,1876.5420431249765,1875.5785157406592,1866.4718972583346,1864.28926124998,1866.1372246338435,1863.5482424093318,1865.1709438890198,1898.4057963954438,1860.1152779964004,1850.8215364937607,1848.4811345522542,1855.6391305374946,1876.2483575045394,1875.7160189268184,1871.4840616260128,1867.7717964069252,1869.0624657186697,1875.6468287221116,1866.4717417836168,1877.8009814191682,1870.446787848758,1851.0764494401565,1849.5726235911638,1865.2512315513447,1876.2607936319257,1874.2906590920286,1877.7629509292994,1875.6340059714564,1874.9937082947745,1862.1834771603933,1868.1647571694823,1879.8594368938384,1868.0463259819,1848.5375927888542,1849.0809796538426,1855.4644123200592,1865.4495178801928,1875.9402106280213,1883.2540435989472,1878.8656785626888,1875.8555848570193,1873.801037939561,1870.2104960552238,1872.1767080993127,1859.9182002928392,1848.9287367518803,1847.769359722499
PUDUKKOTTAI,1861.5288923859623,1872.6582288040813,1873.6818641571624,1875.0637509116307,1864.5782073342457,1870.2237956745407,1873.4158793871825,1873.1116495742172,,1871.2537161463092,1850.8237672807497,1849.9810557811627,1859.9777080909473,1873.1985944765,1872.3107932577964,1872.9124362133682,1868.7563464261013,1874.9265576458674,1871.6445570806004,1874.3334316357825,1875.229628665377,1873.3589571486746,1852.2798803162887,1851.0634310249693,1849.6048684017887,1872.4598293347065,1872.803482627868,1870.697295620244,1865.686305265918,1871.9901681391045,1870.524946999193,1873.0731001063539,1870.8582682214503,1871.9156575937648,1848.7784077290066,1849.3717975175268,1851.7748408377443,1871.7388962237424,1871.0423734629974,1866.011666571997,1874.5759307365365,1868.6867488568446,1870.7701069467857,1866.1283510903183,1865.7284963183658,1872.0250698720117,1853.3135922073782,1848.9642945822332,1870.782751355449,1873.059771077535,1871.4542265378961,1865.4526399130473,1864.9747161164403,1871.1092618614496,1870.1203703216156,1869.3591328914736,1863.925387658363,1872.0420435685546,1853.8923588023183,1849.5833540831632,1861.2855945739038,1873.3448630288965,1872.9452259503948,1866.7094608010548,1864.3884556334356,1871.005098735164,1871.4879079148518,1869.160226765917,1882.677384057604,1872.240116592934,1853.2635328120277,1850.0782528712386,1858.3047668830297,1873.2666376183554,1873.8800993176594,1873.0691083043505,1864.8521179745753,1870.1346716201585,1872.560850885274,1869.6972516067472,1867.9328607198845,1872.7690243758875,1851.905180174052,1848.7003970575402,1859.1389309927945,1871.9381240930163,1873.0466919902547,1875.0948513183118,1867.4400736171897,1874.5362818805177,1870.4808759955479,1874.9663249812816,1875.7939404142005,1871.4280710831354,1849.377877791591,1849.387262593427,1860.4043008460583,1872.037460274415,1873.2330830356707,1871.735133014196,1869.7451102870534,1873.4523572007142,1871.4383598565253,1868.3767361307441,1868.999131097708,1872.7508264250125,1848.4531872302991,1849.38008476876
DHARMAPURI,1851.1084651974538,1874.1905601773567,1876.1216363000883,1865.1732510921754,1865.7704570549677,1871.285893349034,1873.3287179527574,1865.9209629813765,1867.5360564805321,1873.9256105899099,1849.1325826662035,1848.7023814849208,1852.8763161610057,1874.0302231824467,1874.3260652836657,1866.493494936119,1883.5114918964814,1872.1796345599769,1874.5056583302326,1872.9530023747452,1867.0616584291515,1870.0851501057275,1852.809099400443,1848.548543331081,1852.4214151010763,1874.4290475550629,1875.970133923975,1866.6301135216167,1880.3637471356105,1873.1922199264113,1863.8965118838148,1866.8305661061986,1866.499824274054,1862.8760518586294,1848.657308627143,1848.4711042568088,1854.3761829465773,1874.8339887471059,1863.5902375970181,1872.4267172042526,1897.0679251909912,1874.3053560395206,1862.4519103788398,1866.3323847822155,1868.6985921891055,1874.3123315400271,1853.3842023128325,1848.3439879619746,1864.1430711321004,1874.7676793477972,1876.070087620108,1872.3072194153988,1869.4272450246722,1867.2575234844421,1872.9286898245125,1866.644823283096,1871.5787169881924,1874.7144771973624,1850.3149784103978,1846.9905461914714,1852.1889389432672,1874.5825149888099,1873.9041245648675,1868.8307103760412,1868.1441503493722,1872.0009866506293,1871.7232362533132,1865.0510419742257,1865.5636921246387,1866.6025884459855,1849.724622952835,1844.8009821832347,1851.5717942284068,1874.2876724275022,1874.4188286182919,1864.262154120052,1868.4038814721036,1872.0671002535037,1866.0876121820504,1866.653918066693,1866.7665737672198,1862.4086549016406,1847.82106702359,1849.5655303531703,1868.9924729273923,1875.1889175057204,1875.6865877090095,1868.6625697695802,1877.0125105176323,1870.2153850665597,1870.2522963504048,1870.100346634012,1865.9458891261281,1865.2171481796897,1847.8620469534148,1848.9540461380848,1852.3355411741413,1875.3465294234109,1875.7875597679058,1870.186724053552,1896.34580174187,1872.4992492269146,1866.0016465981641,1867.520553619382,1863.6865603380597,1861.2418894709547,1848.798612903627,1848.8468077467298
SIVAGANGA,1851.5926390893976,1873.2480491008014,1873.2272095448302,1872.1113306463294,1862.5561708212842,1872.774454514934,1873.5977813656564,1866.0694218826613,1891.4248053138217,1866.5132584498992,1853.949136924866,1848.5625593477764,1851.5470497784597,1873.594783428968,,1869.1073584653805,1875.7331645822871,1875.479572268999,1872.7919703259304,1874.117828938823,1886.1710988204768,1873.1286039985573,1854.0731236386048,1853.7888588841647,1852.102184896386,1873.1128444968317,1873.588415402784,1877.7238094515535,1869.758807709229,1870.0238474468174,1870.116696521377,1870.4231457627434,1881.4500749225322,1874.5292315956783,1851.2338656049963,1847.6326102694675,1862.7641352096732,1870.3983290932413,1873.0593328881882,1870.941745238129,1871.5065214899037,1867.8481441111232,1873.2857167253271,1869.6104306853279,1873.3159363070872,1872.0079108065772,1852.2458821838536,1848.504216832768,1873.5010307383377,1873.4440609787994,1871.4206779090625,1864.458904626528,1866.9332364615598,1869.6003707352334,1868.2238449688768,1867.9004387768798,1864.5970727660692,1873.4078520667642,1853.247107989586,1850.9702569451035,1852.7816491165397,1873.7905785104087,1873.2186748676622,1866.6804696218198,1865.1288862714632,1869.7309620745295,1869.8983690941375,1865.8820332154198,1901.8707394411538,1871.495369662485,1854.094983585474,1851.0251231115806,1851.898266100829,1873.1614518381484,1873.5165325187347,1871.32753005671,1863.6912056412016,1872.5422109266526,1873.8006870218273,1865.0136220338966,1873.7944441911127,1871.214369595707,1853.1738227059104,1846.6409752258883,1852.2855390785294,1874.4840265897074,1873.5484293502625,1879.3053111294719,1874.1545579453239,1871.6102565480337,1869.860799157826,1872.1480894112929,1891.2496873977152,1871.3183841440002,1851.1224336615555,1847.1636887478462,1852.9622449758554,1869.5613965193054,1874.585860980085,1879.0426126571588,1874.3419985404123,1871.9788695630814,1871.9687457210512,1871.256306705135,1875.15426881044,1872.979980271316,1849.7869389631114,1845.957628836289
COIMBATORE,1857.7370813874822,1875.2461121204258,1865.334171821374,1889.16429619289,1870.5918793607962,1864.5579066388555,1859.5651478125062,1865.7953744512877,1868.2154748027415,1869.0626675168933,1847.83289015637,1846.8884901501642,1872.2772918338349,1876.666333273959,1873.4627255661849,1864.43725446817,1865.7867826491058,1861.04182958645,1875.6876456503355,1864.9565229068464,1866.6560756562499,1873.3090139170517,1854.6291830229056,1847.215157936816,1874.0045957450038,1869.7231790962123,1872.768860976963,1866.3710662000883,1870.0725308581734,1863.66404409912,1860.6833023385707,1865.9210442766662,1866.1735286338037,1874.8533770183858,1853.8210192472015,1848.0594754579208,1855.4787609174646,1871.9429879056854,1875.5711618396695,1867.3268779719938,1868.1231302661129,1863.7756584107485,1876.0619865466817,1864.9142411765865,1895.1148814917638,1862.9152631546788,1852.324769746854,1849.0519780009986,1857.1929092379462,1875.6415004095163,1866.8810117468897,1871.239210381379,1878.4852299012755,,,1875.868281328855,1871.903530530738,1871.2651298413878,1849.5318500760325,1848.1471118530237,1856.993377930203,1874.8065119706566,1875.8562344758375,1875.326034317436,1872.3710768646583,1871.011965358018,1860.6884916044685,1866.6260564243623,1871.2972028118959,1876.5589388917228,1848.1679514303053,1849.2939598616008,1858.766484103926,1875.868692665289,1875.4115536029315,1886.9116012257095,1872.0219023691516,1867.8050216940233,1863.160740676712,1865.662700777905,1868.6263499138645,1865.446242807724,1847.9118755576878,1846.8654696831504,1865.465349044849,1876.1392133053644,1876.4391256488695,1864.2807608959229,1872.648490465671,1872.834698889539,1875.8671044339135,1863.9884042860672,1868.4887754815275,1873.2922503726636,,1848.5820039198356,1872.2265725572668,1876.1234452872568,1876.0486550915411,1864.4869699595536,1869.5977655916968,1869.2911818303617,1871.6387856130966,1865.1200152724343,1893.8997899868737,1876.6799440706866,1852.8599289527876,1849.4175048438065
THANJAVUR,1870.7635333650874,1871.4599922570728,1872.2694300906805,1874.516683477509,1864.762771467641,1872.833244661498,1872.9867181972018,1877.0620232695703,1867.2962056897372,1876.3859617714995,1853.544434309835,1851.3084613639403,1868.294366362943,1872.329142115237,1871.0657472032112,1869.637288661133,1863.826082266528,1875.030917291647,1873.4488806131096,1874.9229928660236,1866.6287398251025,1872.6256088715609,1844.5333992933768,1851.3542514362225,1853.5666638797854,1869.6511502442197,1871.241903068649,1864.7528239222859,1863.2738585253903,1873.8618932765412,1871.6078710275585,1865.8624759254126,1865.398038508791,1872.570633876022,1853.7503616734316,1849.6065782724443,1853.7289799038856,1874.3533396857115,1870.5278275606051,1862.2749346643566,1865.4010927741247,1873.4672860254748,1872.9660904992897,1863.393826700644,1865.7273551330343,1875.1105771978769,1853.5075927944642,1849.604283708194,1857.3974667577106,1871.3024010264348,1870.9371974810217,1863.363901324038,1862.409035225694,1872.7215008864735,1870.7773381156428,1872.8409508065838,1862.1770803862548,1872.9221763691166,1854.7435295394423,1850.1759106525085,1870.8857983410862,1871.327253397549,1872.1968315147205,1864.773949569909,1863.0042480034974,1872.851753444756,1873.4288818825526,1876.3790568807428,1866.685619454544,1871.4402070533715,1852.6162377531919,1850.3372235236159,1866.4788129814417,1872.2380282352503,1872.078574096523,1875.8254970721907,1865.3100637271175,1870.900840557309,1875.6834458167832,1876.617908298922,1866.1074595492555,1874.5867253744634,1850.6987191608482,1850.8774917926467,1869.1395617165222,1873.4651727444725,1871.3555397365362,1863.4245799752405,1864.7066245975434,1874.7831019575774,1872.6092246272856,1870.947289044564,1865.7657961191644,1872.8088005482657,1853.3772271406697,1849.6768439028333,1866.0119975319665,1873.6012355014416,1870.7802487031815,1865.380342592135,1862.9264318360522,1875.524307828701,1873.7127037829798,1863.445244955868,1863.4672282984525,1873.5868487643522,1853.8298444716038,1851.5637182759986
