district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01
BHADRADRI KOTHAGUDEM,1850.9069193387156,1870.3185211521034,1871.2612378632944,1868.2984293832076,1894.0651442619053,1872.2731428723102,1897.5152554913288,1876.904912118941,1872.3013486159846,1863.206343929011,1875.430495677336,1872.5535946137045,1851.9497991337737,1872.398110036497,1873.2377423499647,1875.8718430369008,1892.7263171170646,1874.936459018997,1886.0996179119127,1889.5439916940313,1874.1272636943522,1865.6913862203407,1860.3148921294865,1878.4978488685003,1850.3439525703004,1873.5427736745323,1873.5707271155568,1877.9447492059091,1891.0052958097679,1868.785539087156,1888.2834761405745,1886.4574125171757,1873.3439821903487,1862.7540029964198,1865.2882629713638,1876.2546452851793,1849.7179782528365,1874.2129652757749,1872.175051083534,1870.7758827706982,1880.6675142966892,1875.7833783558792,1884.1193903225671,1895.6753477033492,1867.2901554566747,1850.6262222674272,1876.1931603582148,1876.6191522036138,1850.2892747633086,1870.9368261152756,1873.7716132966475,1865.8668815214264,1896.4056975789874,1865.3830740290907,1883.7918022769704,1886.0562884309225,1868.6405490993238,1854.9279533725232,1874.1564787131138,1877.5931484652247,1849.5684586338414,1864.9145185956286,1873.5001207342166,1867.6820108269515,1907.7631313600937,1876.0652310674504,1887.760249400514,1880.4777509669293,1872.0518813246358,1854.7582675420824,1875.408583272791,1877.969565184872,1850.718092709567,1872.6025548365124,1873.1030185618886,1871.9182796337668,1895.4140810993788,1870.8662922602807,1886.8852595507979,1869.4879276312363,1867.7134200063197,1852.10044108662,1876.5892512271432,1874.2900337685394,1852.0515608262358,1873.6850625023328,1873.7997888155803,1873.1193195346361,1890.2459209943177,1870.1371474614004,1890.9520942426611,1892.659599898883,1874.5721697746114,1867.1276325564381,1860.4383007445788,1877.685583632521,1850.5347134687197,1873.2640544871856,1873.7800913916064,1874.9319460112188,1893.5575881483946,1871.522131516721,1882.6816153795376,1913.8511164063646,1872.7462587870434,1856.6447523486831,1869.7568134840756,1876.3606748978802
NALGONDA,1849.6625786766742,1874.5773171431092,1871.568902930655,1866.1122183922964,1896.081365220564,1870.8419241883762,1875.3594798918014,1889.466429382945,1876.4768673638282,1869.969168143358,1855.0034772461233,1865.6423854728912,1850.839176607842,1876.1136592321898,1873.7489793990621,1899.4149026013272,1896.671055482558,1873.9409846948652,1871.922920962935,1875.703372281502,1871.6161354729065,1854.5679991420911,1858.605300067228,1867.3770297695103,1851.0035591846065,1871.8263983262716,1873.5214975120023,1872.492795168208,1892.6526311741266,1874.8837748097942,1881.5602707949834,1885.403098942161,1863.7710357132019,1853.7907380023487,1866.1810797450262,1866.0509485738214,1852.7934766402345,1872.2944637188825,1874.2249165893406,1874.134328358652,1894.564604693547,1872.5308641347174,1875.5741702444495,1872.8696625356317,1873.544596318018,1853.8649917088958,1866.623602475971,1861.2627603021124,1852.4426923232872,1871.283762195932,1874.1891408734527,1869.8138968242854,1891.951001619137,1881.7185677074222,1867.291284179068,1866.6252973533526,1873.999809017252,1870.513571465194,1855.076177232542,1854.8682555423488,1850.1046162092648,1873.4293996659835,1873.8563320703395,1876.4005698198537,1899.174809688725,1881.2773098115379,1886.637058442906,1896.2373100252307,1870.445989104436,1857.884467715144,1854.8179239281396,1871.9720476614839,1850.8901147416439,1876.008430086355,1873.1202457896595,1867.4605439774402,1896.9458653871995,1888.282050110582,1891.9726017543499,1910.4890805952427,1873.7698389974585,1859.7897257531336,1849.8864313755919,1869.2773858231938,1855.7788751784096,1875.8063545671287,1874.1572390988056,1868.9801492172685,1898.6025292368515,1874.3968913312774,1867.3990579763786,1886.929169156918,1873.9398487713693,1854.4728099413635,1859.9246101273338,1866.9954006288542,1849.1901160097568,1873.096207719211,1874.117679188222,1878.5727267971179,1893.8334132781054,1877.7497504720066,1883.8017503195015,1894.4018536175588,1862.7304724042033,1853.4743758300874,1868.3581367541142,1868.2145659891403
NAGARKURNOOL,1849.495483097078,1874.6404080106774,1875.0681160544202,1882.5066501345786,1890.9400410977482,1873.000843652298,1873.1489855854913,1896.8362023274458,1872.8585128416394,1871.9531010484877,1869.182219772256,1851.2398921786219,1851.0720873380174,1873.4539920452728,1873.3713558028578,1872.226912490171,1894.57471292508,1893.8211876904488,1873.7112493361924,1899.143166591447,1871.060693331932,1854.5233369668163,1850.3897027065284,1866.8815392205954,1852.251703199322,1870.6014158431883,1871.7601554713583,1872.5606139411798,1894.1753109821557,1886.056713302427,1872.9582667408504,1896.4680701907128,1867.0701997398573,1860.8184545194063,1858.3488767796573,1869.628700378258,1849.5676846326696,1868.268092731162,1874.4013094195468,1874.2134860192461,1894.9004884723408,1873.797368896207,1872.0494954011795,1889.5978798769704,1869.9973702362718,1854.2554460288957,1863.0280491087092,1870.6177847693502,1850.9708765365986,1875.5590787694089,1873.4648614177747,1872.9055991093244,1892.5290053021247,1876.0584862077428,1866.2516027304523,1884.8364012542286,1869.7253071494847,1855.151433804446,1867.2384323599138,1870.5794407701833,1850.6198157133028,1875.2927091705676,1873.4048125294742,1884.728898077182,1896.2599237752881,1874.113421681273,1870.488885204415,1891.7401483807184,1875.3559687440186,1854.2713693140438,1870.3896457705318,1870.0407576626337,1849.177595215899,1874.7368085109342,1873.0746513404586,1886.3777942177899,1891.624325513313,1873.9946554688015,1882.8800674103504,1925.1968315284353,1874.4322782754864,1856.4024534558098,1850.2927958042008,1870.9372859237735,1851.3113305869792,1873.9071230882737,1874.5667193043535,1869.2567627211197,1891.491305486616,1883.8299230517885,1874.3689045438134,1896.3448686059942,1870.4290678726902,1850.4800147714498,1847.2560762647886,1865.5415491447015,1853.0406233619092,1874.5771806135504,1872.7013941444334,1870.2054552580328,1894.619977792443,1891.8696528553462,1870.9437819220811,1897.3498788987265,1867.4661664878588,1856.5291428062958,1861.4275148783026,1872.0642154047305
KHAMMAM,1849.82439250176,1873.5773764371972,1872.9354448219137,1868.7177134692322,1892.0618449337426,1874.2579490775545,1871.1841180820074,1881.0153686036633,1866.731722374009,1852.6422941388573,1875.3414715036465,1871.991603895531,1851.609634444892,1871.514152459134,,1885.2560969964534,1893.9333553061447,1899.704223217396,1869.5633914730538,1888.151309279107,1872.6183681425553,1856.8493189843862,1869.1692588084852,1874.7688277161933,1850.2274803425016,1873.5160948843748,1873.452910386353,1891.6471887764817,1886.659770700879,1870.0885571937404,1873.6804900855595,1882.1876967642013,1884.8465110782777,1857.3842636400566,1870.359574238233,1872.2959600018823,1846.7520207891241,1875.0132377292027,1871.704145064319,1872.9722959260073,1887.8532187451785,1877.321144152581,1883.996809064962,1890.6609586261095,1872.8967937446214,1851.4938533496772,1869.3938609687987,1874.2678100315147,1850.818196486609,1873.0777485745855,1874.0831989061965,1869.5165906771263,1893.2892286149395,1879.4448610872887,1875.370144901111,1888.0352402610847,1872.7712749286566,1857.5593929071772,1865.1086507615469,1874.198399086809,1847.492469889904,1869.6182565947229,1873.1999368533623,1869.8175716055482,1897.0717430703053,1870.7992360698895,1868.7096430654092,1885.6160019486597,1869.0232374675631,1851.585494622976,1874.0436260593444,1875.2544936609575,1852.936914296858,1872.2028113075294,1872.89595621677,1869.6621321288192,1894.5587810177915,1878.5945038978696,1878.754886792342,1863.3312357808707,1872.2405839421458,1853.1348193746444,1874.813055222014,1871.3846260546663,1853.5396462221438,1873.3677927434405,1874.2867251884607,1876.4577226992874,1888.9145346689627,1890.6842114399044,1875.7232322825319,1894.8747809680651,1874.7052588944155,1858.7040291587584,1870.8148126394062,1874.4262893113544,1848.0146753481456,1873.9016804891542,1874.1737000747319,1887.1150419753899,1900.7434511831336,1870.6995920110483,1877.2423395301585,1908.4602486396345,1873.6631552517392,1856.430972032883,1868.6267076435527,1872.9554141939523
SANGAREDDY,1851.1599023268734,1869.1276875654085,1873.836364264094,1874.6407300449116,1899.4023003460452,1874.5265627676702,1879.1904638614496,1881.53344529726,1867.318857399384,1867.8639983761627,1874.5421855351015,1856.6799922952648,1850.9480905749117,1873.1761147577572,1872.6060362521614,1873.0860604149111,1890.7351776444275,1883.7639608372115,1891.8071437005046,1864.141020724138,1870.4517701910777,1852.47495514018,1856.7080044239374,1874.0932497736574,1853.446755896785,1870.4414405765795,1872.7583319238358,1873.493650709031,1891.3464595208131,1869.8986232931707,1893.1382391333386,1866.682426253736,1872.638447483182,1867.308033771598,1860.1564981647648,1873.7411529059618,1851.1357311322392,1870.2107659732924,1874.0012004456992,1875.2622647213113,1898.5166939257847,1877.692325155754,1900.0214339016775,1896.5330131634207,1873.4427887627896,1854.7033405842699,1872.4229747621212,1875.8009477292007,1851.0404411279767,1875.7092471140395,1874.0944965559545,1868.6277207679582,1892.5921586142429,1875.078430112563,,1881.6777130734552,1866.427417528622,1853.3577836240286,1874.3738354972763,1875.7420889765028,1850.6741959502217,1876.4492949281232,1874.004462452827,1870.8732669211192,1894.2390084981866,1869.956583830409,1886.1126614051213,1888.4202018082979,1873.8412249216647,1854.175449423052,1874.9346246813893,1873.959046436061,1849.110178335714,1866.8331709399638,1874.0984421348742,1876.0983958623344,1894.008737827435,1872.6706303916314,1896.0573005341191,1878.5662129163852,1864.2472636841765,1854.3095066914568,1859.9136131069772,1875.9319133501167,1851.7979428909914,1874.4625842267708,1875.1927889453711,1875.1802931670354,1890.4786331232804,1869.5977716819232,1895.0478229770974,1868.9624191821545,1870.5354967214018,1851.0836656223582,1859.2960803665567,1873.9687895317136,1851.3548747149914,1875.2403306655901,1871.2445880483074,1871.9486828821664,1890.357844370672,1873.5793363142366,,1868.0538920029228,1902.4123772828323,1854.5645260651243,1864.742848018577,1875.9614383369724
RANGAREDDY,1849.3394838907363,1876.9697236930404,1875.2007744405664,1896.7677639795493,1890.296932642779,1883.2109550227112,1871.3444463992782,1915.9425988883663,1858.9832071106894,1874.924333779336,1875.9325901140066,1850.656353895822,1851.0857333419176,1875.1713543732085,1875.4849173254613,1872.575876259248,1894.5084254866206,1886.9081586403395,1881.1821289836735,1889.573322633359,1865.8598202058358,1849.4518684715085,1850.4854916772156,1874.9423410095974,1851.9950129040067,1870.0803164779195,1865.5201432629617,1873.1562804893488,1893.2481699244966,1882.613389238115,1886.4730340094643,1894.3508075454774,1867.5757462530776,1869.5590186753598,1868.6792900614994,1874.5902525119643,1849.6848531559585,1870.7373503071544,1875.6323210170026,1872.9657826560622,1894.0556833429125,1879.4481206385085,1876.9222419635526,1908.3541531160934,1868.1800606199001,1855.1775868445905,1873.1246219401648,1875.7536050008218,1850.2011975118573,1873.9864034685259,1874.324954868372,1868.3015596351781,1893.3905625230043,1879.4708038879155,1865.435162259678,1884.4325904888676,1868.5116935128292,1854.0743199941514,1875.0967690708585,1876.5854313091422,1850.125759192235,1876.598618488991,1874.9718585695978,1878.3916490895633,1896.480797484379,1880.938775725187,1867.8063952647929,1916.0408161909395,1878.3753780017826,1854.767824231955,1874.6679523176506,1874.7142468241998,1849.342256383058,1875.3182400953478,1875.517430896895,1905.2817550155546,1891.929014739436,1880.7224230640322,1889.222358256178,1923.1222241632765,1865.032994015318,1851.827063543276,1849.6229228652778,1875.8029232274507,1850.934348572651,1875.3312417046104,1875.2843331161953,1872.5584682071676,1894.5075560302232,1877.3894244725118,1885.422284800233,1904.295276487985,1867.213489338511,1848.89579711601,1850.7194131649935,1872.8273134230737,1852.7372031755287,1875.5426413618598,1874.6418448409493,1869.2001445620442,1891.56047197153,1872.9140068576808,1863.859507045181,1897.85477091376,1864.7183649738697,1845.7575709678408,1869.822701798837,1876.6808815840766
KUMURAM BHEEM,1849.9715089872584,1868.2183991494412,1871.584428286794,1895.3546075967477,1898.3450859443526,1872.5509139631392,1880.2173628431312,1901.716860023729,1872.169720122738,1856.883207563437,1875.1188435439662,1874.5880068612034,1851.4166919263062,1870.8740170932374,1873.5809153765892,1878.5534511331712,1900.7391332941293,1886.7096593316953,1888.8903855531166,1872.8819567797639,1875.329643381934,1849.5018126410653,1875.50819624394,1878.1828821561137,1851.5863452838166,1855.8828113967352,1874.1819653964867,1880.3753594151021,1893.567145582156,1875.4992588137252,1869.07231262813,1875.8905850456822,1869.3863353770023,1853.4046800735691,1877.0493819590906,1873.0257878200246,1851.448161667646,1857.6624407894033,1870.680704952954,1875.2698609661736,1906.9467607882027,1875.9580071164007,1888.4259929101845,1868.6065699532617,1871.2892718735077,1851.494919385863,1875.3507658822746,1875.3867182946822,1851.518621209039,1859.4455582891692,1874.461682612531,1872.1640663391165,1897.6575140495054,1875.80340187591,1883.469419681739,1890.1507765493209,1871.064018333107,1856.5180585884657,1875.365353900874,1876.0850316799708,1850.1639618289398,1865.5121846791887,1873.821877954463,1872.131863851785,1893.3618570484455,1871.5303917327606,1882.721167965336,1922.9647733800998,1871.9289212102024,1849.0912109043184,1875.6191746801064,1876.9325324581962,1847.6808412864768,1873.2301604955042,1873.6029951359415,1872.4424678116068,1910.4527109314204,1875.2517770198847,1892.1431603801173,1923.6143398195181,1870.287509623916,1848.8211394235286,1874.4324531218244,1875.6428947121567,1849.810070846076,1874.6100136528908,1874.428762353696,1873.4524921120671,1909.4612050117626,1875.4818570042767,1887.4605909971567,1903.62619772511,1868.8806790807873,1849.889118188075,1875.0325660938256,1875.0023734500246,1848.2959988157834,1856.1229839106463,1873.833278935453,1868.8391372195272,1906.56209513787,1876.283797700326,1892.0254184372166,1877.130444213046,1873.0695787491718,1852.9153684809703,1875.336321067015,1876.9958070057708
MANCHERIAL,1849.7576631692498,1875.0096490348656,1867.5327483372216,1910.3750898214982,1900.3037757488125,1870.1421364237115,1876.3445008002984,1912.8609959012779,1873.9178585480988,1856.4024515648225,1875.5110099459357,1876.554625226841,1850.8560475620154,1867.6392422982824,1873.26992375031,1898.0162029046755,1896.5839427822777,1884.6024566009585,1887.5472887499857,1882.4188536030108,1874.3200682108816,1851.052499356618,1875.758950821646,1877.5367224006154,1851.3458930699264,1865.0548029731162,1874.1188485623136,1877.6626270003428,1894.2099407221065,1882.6862393937745,1870.4604474077278,1882.2444826527403,1871.462080166262,1852.585802573629,1876.5555007970565,1874.7078190784207,1851.3866318557107,1866.7743231287322,1868.8545133643124,1873.4452709049822,1907.2957335495896,1874.9037186068606,1895.6684814222651,1867.3027864620863,1873.6053494789176,1849.1162734759218,1875.149481333614,1875.8254678571634,1851.0675996506504,1867.3475570642402,1873.483273434342,1871.5968464576115,1900.3778752168853,1875.819278269489,1895.653606491035,1893.2533896596926,1873.6597420467983,1865.7134578885043,1875.4806824173006,1875.1844972496745,1849.480472397183,1867.0504002321743,1873.2782822885138,1873.1918372358678,1889.5653857482891,1870.5735820088694,1882.8158136070656,1923.6958766124064,1873.792353312974,1851.7853836111651,1875.283234929462,1877.3715599750383,1848.7238995466535,1872.1935136896132,1873.1109014044669,1868.3997397684916,1902.8956189097898,1876.6152142450553,1891.0009782656086,1921.906305020209,1868.839786223317,1852.369223332496,1877.313335303237,1876.3898161718446,1849.8135043205095,1872.7661221801743,1874.0670518762074,1874.5046134955626,1898.670684762575,1873.1818095879391,1876.7751215394524,1901.4197757749553,1870.8988910672747,1852.5464123374577,1875.573994406312,1875.660768661484,1848.701639336303,1865.9444180138357,1874.5951275940245,1866.9415122379457,1910.612905892408,1879.676999730018,1886.193778949077,1885.269442253757,1872.5271681446052,1852.4879685457977,1875.3323557768942,1879.319983835542
MULUGU,1850.6762312742987,1860.7378889714678,1864.159739096109,1901.2804194514767,1892.6228084082584,1872.6763847621878,1875.5899167526957,1910.7465468782805,1878.857129281421,1853.685291618107,1876.1387089796353,1877.365664783717,1850.4374961412095,1867.8239873135904,,1898.1835355063417,1889.7092210487904,1865.28993564123,1880.380579822801,1915.184325104586,1874.7235154297803,1851.6006906162118,1875.2771002856787,1875.8265425205393,1852.388907589871,1867.7210601220308,1875.3199528343969,1882.720217027239,1892.7244522053,1875.5730971257065,1879.613783941958,1905.1863310905662,1873.2702815662806,1848.394691054744,1875.796140371093,1875.9234555312073,1849.6005566632898,1876.8595217994439,1875.1399543846312,1874.6678857538109,1901.1487667855301,1876.7276767871017,1877.3838485768433,1904.9670871636893,1875.6637671439635,1847.923058292456,1876.5171596377572,1877.8023017902492,1850.2033244687987,1876.610176476662,1875.3679121576163,1876.2640867030732,1896.2131741795113,1875.6897908511664,1884.4025098482473,1882.0536433370164,1874.9939783187642,1863.954957892088,1875.0349891174542,1872.2358412843287,1849.8628582385227,1856.374209423648,1874.8730451236001,1867.4433597379082,1896.3347572673301,1875.6793933414103,1881.038811683362,1889.684403085723,1869.600064803728,1855.2367225980356,1877.7757405059513,1879.4171080727688,1849.4615914924295,1872.8851840156537,1875.204337862612,1864.969111603116,1890.2903656228102,1873.972631820158,1894.4271363555365,1868.5019112810478,1874.3932258970847,1854.5052616213525,1878.3583880111003,1875.8572169394772,1850.0449322322195,1874.549370437714,1875.2293415005547,1869.5437341125055,1890.5644212777236,1877.086040691804,1876.0606913238128,1892.6273923580404,1866.38477328253,1852.8676219397382,1876.3017810178865,1877.993387307498,1850.126140204141,1872.786875710328,1875.1962788606438,1889.494384242733,1925.1595155634075,1880.68892813276,1885.5733665471316,1925.206074298597,1866.4911865062752,1848.2342840802637,1875.3487566862507,1879.4614933891098
SIDDIPET,1850.5217992222083,1875.2990906550283,1872.0103926252423,1888.2475275348586,1906.9222817342077,1874.7946893335154,1881.2732064567638,1901.337174847582,1871.499538163859,1865.2107617974566,1874.171531365025,1859.1355732999643,1851.52189488945,1875.143972278403,1873.1794769545152,1875.4088754244756,1893.7882191155682,1882.297593563292,1885.4505733458925,1885.2393412257159,1873.6550630011764,1849.8649572300176,1874.8593619122535,1875.6346160523954,1850.536927712382,1849.9662606193801,1873.3326398635272,1872.0861998180194,1895.374306798455,1873.0126122697827,1892.979240008585,1897.9097996178914,1874.264608320305,1855.383212059989,1878.253809776864,1872.3237524556064,1849.2868538938565,1864.0685621124742,1873.5146635046588,1873.6730785231334,1893.7054196058402,1874.6004671573337,1879.2926303148422,1896.1075137920263,1871.0309708958353,1854.1746341411056,1874.4643577663503,1875.6336304913964,1850.8197793038153,1867.8552712885173,1873.8317525110647,1867.953142486569,1895.2412910278663,1881.6613065713068,1872.313469644032,1878.8202769475918,1876.260277060399,1852.2907823941061,1875.3498500870508,1876.5492017837635,1849.7241366934684,1874.631050632175,1873.5747584591327,1880.7376507799277,1897.337472549598,1873.2312100598006,1886.4397788170754,1908.9964611687649,1873.547719486158,1854.4628993768363,1873.8332295990745,1877.063507021157,1847.5624468169603,1871.240671351786,1874.0432380849616,1897.7229635644849,1904.8348913096697,1876.5247387917104,1890.3921485358735,1922.6884808114016,1868.367045622315,1847.5102906639017,1867.9809788349062,1875.86104458741,1849.1663697558406,1875.5249593591732,1874.797625689841,1871.7897574670235,1894.181517709758,1875.0852362129567,1884.769446739911,1903.633059079244,1868.8665276264287,1847.7634780147569,1874.2169214422145,1875.0920521795406,1848.5019017436853,1852.178583387685,1874.6195168096842,1863.4206312288704,1901.0880771142295,1870.5555827439086,1874.000727091553,1896.7953885535358,1872.7740905037629,1854.6595847232552,1875.481112498429,1875.521393101319
