district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_09_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2020_08_01,2020_10_01,2020_11_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01
KHERI,1875.0571145180854,1849.7673411239675,1876.5993709476998,1867.0700356288505,1922.3396703916346,1920.4754207839017,1929.1352499922484,1876.7272439483104,1860.359905381771,1875.9489062757098,1876.7529863797133,1879.011098338224,1875.5665843613701,1851.2658905169822,1876.1898456413433,1860.1532341690051,1915.0307509219604,1912.4736166842792,1914.6033143352176,1876.0555635832998,1855.0377376431022,1875.3940562885373,1877.5218673410986,1876.8634799333297,1874.7825164993603,1849.8759140159384,1868.1201747476885,1876.2234584519003,1914.7982466260685,1922.0525259350295,1921.2135631120202,1875.4354770689672,1853.6234877349536,1872.818640439729,1880.176020658429,1882.1904908629976,1875.9641569383994,1850.4756713372067,1875.4898955192878,1874.9926489822653,1923.361897953532,1915.630475572487,1919.4895961640086,1867.5892376421737,1873.744367691049,1874.7062556703702,1881.4216677422571,1873.1941566976484,1870.712185462687,1851.117073986369,1873.161064182153,1874.719031541408,1929.1319634226659,1923.1519123260912,1916.2672459032074,1867.3183328481946,1874.300784863818,1875.8909507019393,1876.2983599344511,1879.5469409943894,1878.8400241567285,1850.4325932639063,1875.454321615296,1875.4098430285892,1931.7323777877473,1907.016269237337,1922.7370048953426,1872.4755467185605,1869.0984406423772,1876.315673397761,1878.9587221947845,1878.767138093545,1872.9608826131794,1849.517505187705,1862.9143516213232,1875.617848146979,1913.5124402599622,1919.4003281390937,1919.8167076911325,1872.2094817325872,1875.4211672330814,1875.4720284389618,1850.6280539029785,1860.696701637257,1875.0720593029546,1907.0946610692504,1921.2871225061042,1922.279331877796,1866.8954512747673,1855.047251878464,1876.3628548072118,1880.6951802916221,1879.3364856759679,1874.2444948587543,1849.947940059886,1869.896752263617,1873.9328283392601,1915.0905841161941,1921.2682510508707,1918.0132765765768,1857.4824697491556,1873.7825505384485,1877.9497096466102,1881.6337216977126,1880.834117621549,,,,,,,,,,,,,,,
BAHRAICH,1875.008141320403,1847.4865168090282,1875.5475479294596,1872.7028077314017,1911.571550278577,1922.193383680074,1928.6019587967348,1870.6125161824082,1855.5209945529816,1874.547544299551,1875.8017386769607,1873.1963724694724,1870.7559483257412,1849.0352617626656,1876.0827892904977,1883.587978897209,1912.9732379614172,1916.991223166117,1922.3347500526038,1882.9828062608665,1859.4415640950454,1873.572940759695,1876.0187316150536,1873.6577169024654,1874.1548162206857,1849.2465323044378,1857.3077474372099,1872.3708104438497,1908.2446183977115,1919.0445517705705,1921.621147091599,1875.3289734955856,1857.8331456230705,1875.35123373959,1875.645233039889,1878.580657417661,1872.9469322175034,1849.551342208497,1872.3183202260052,1872.1180339808266,1910.3049482311737,1918.32568323865,1922.3191834182342,1884.0510554886366,1864.8128094030978,1874.4036604097034,1876.3419544804467,1876.064842002627,1871.4932224612223,1847.6347045865432,1873.879764736728,1870.449765273329,1914.7816944308681,1919.7765098547454,1924.5696046572114,1864.9423753614208,1853.2662441880184,1866.7382289745628,1875.2996327750714,1876.6960575002233,1874.6020249002015,1848.4946780770147,1871.9554859839545,1871.989392749432,1915.5941453695725,1918.6234634149353,1920.662133154645,1865.2616272830257,1864.432363643781,1869.411710712803,1875.4299986704114,1876.4495555626852,1873.2339410657828,1846.1437688505705,1875.4583161271253,1872.484140087979,1917.5857224213587,1921.3612105813806,,1870.2196956617572,1878.3792771395092,1873.4374815854112,1851.0430398352348,1857.4967558404608,1872.6042908629856,1909.2034095503739,1906.0419930308908,1922.547859448797,1883.2223522690958,1861.3877873025708,1877.649288603674,1875.8496365754022,1877.554540728593,1871.3660245864799,1847.2133229923188,1859.187368874489,1872.7443230496685,1913.4942285547183,1917.1826816483103,1922.9957198971817,1871.5197237217074,1869.735161386332,1876.6002425315714,1879.7022470365498,1878.310678364938,1898.0593075685676,1875.2710965965523,1877.8369968577178,,,,,,,,,,,,
SONBHADRA,1850.7248656236063,1855.6653663112143,1873.673108098555,1867.9292742739433,1910.8408868407769,1905.0227790821298,1927.266863182238,1862.5371820039818,1877.8224292320515,1872.6844481975347,1876.3124147971077,1872.6217191296755,1850.3000480939386,1856.8737773854023,1876.7235722174976,1875.3502272592987,1907.0667605604342,1902.8406529295646,1918.3845010325783,1867.7049528014331,1876.0476801641576,1850.305735420656,1876.4312885110141,1875.9798505103083,1882.2413311239184,1850.8346686574384,1852.2027333997487,1871.7558537713126,1908.5806354339989,1893.2714715548836,1926.1497883905972,,1880.399359444951,1850.220713436843,1876.7594870920543,1881.5482365645394,1879.7580697370827,1850.514087174942,1875.5045260090446,1875.895683517897,1906.4778782625006,1892.5407490242724,1910.830234742329,1882.6780893891898,1856.1318775414704,1850.4845163424059,1876.582273113011,1878.841140948855,1880.1374401120083,1851.624498744416,1876.1644772667105,1871.894562508177,1916.3240019726818,1891.955571918644,1888.1050319447095,1868.4173323323705,1872.0050395594399,1862.9621737109858,1876.475320625305,1881.9472583963188,1876.9384427218426,1855.3742082596834,1871.174657435128,1867.9021991936736,1920.473604254533,1895.6555705123506,1924.2639699020249,1868.268673856768,1875.9533195682402,1850.9259100101385,1877.0994919688476,1875.5154168137599,1866.5334772060037,1856.728722939172,1875.6854135814933,1864.7602422735372,1919.7318052012815,,1926.5410957338586,1876.4714915430588,1875.773126493723,1850.3630380663885,1857.1768425106015,1875.9652043174565,1852.9619458639497,1915.9365589040556,1896.030175745672,1926.9543680716085,1866.8668631558187,1876.1931995144323,1850.1196648931145,1878.9489690138732,1882.451279460529,1874.8846099599716,1850.671775909659,1870.3031013466516,1880.910916340983,1912.22409083249,1899.254358799539,1902.0004061116454,,,1850.5441560857544,1876.2942183840219,1882.2442919357316,1866.3071047442302,1874.7317333068788,1879.9886260599098,,,,,,,,,,,,
HARDOI,1874.8926432494004,1851.581109829857,1872.4600012828435,1873.7029054420136,1917.9685683557625,1917.6937337261531,1925.7684491784014,1874.270940227586,1877.2076302881617,1875.8996752777007,1875.752072966687,1878.818110399091,1874.6124741856356,1849.9947605900875,1874.2327606349254,1873.774280421736,1907.5559968047537,1916.604654392679,1927.4498498687099,1874.5450530081173,1855.241278430209,1872.1145863948288,1875.6777701133556,1877.6900460491518,1874.1821352153204,1848.874758778828,1873.9528149264277,1873.7734684126042,1912.6261060280115,1924.8499120483775,1932.3262129784496,1874.011494911341,1853.9242118219088,1856.474284198397,1875.7678670575074,1878.593159308278,1873.7869641590983,1849.3666933478441,1872.322732310089,1873.3568474180406,1918.430664388788,1921.6969116850635,1927.7943433508974,1878.5451065709467,1875.133488362445,1874.9509914692633,1875.9076426500753,1873.0047472125536,1854.4767884571754,1848.0149570881006,1869.8952345424407,1857.7577613316864,,1923.2263814035516,1920.392264349545,1866.5026244339213,1869.7605946033962,1875.584396801909,1875.1035517067753,1879.6437025781843,1877.6394988235943,1851.923393591407,1869.2310208563351,1874.301577411446,1907.3546832590241,1911.0890096785333,1925.8093367165275,1871.0727344412412,1874.7693694904667,1873.9068813018177,1875.1622953853,1877.6503436719004,1875.9311132401015,1850.552859907881,1870.498773281927,1871.5888886165221,1916.4291683441434,1925.0288452379805,1918.929236843839,1875.6639074820455,1875.2590218943703,1874.8391847672285,1848.5463071795155,1868.8871790243509,1874.1003952191472,1906.710155725085,1925.7301588952857,1923.6994181465536,1868.0804879829757,1854.2396335345973,1875.6502361682096,1876.274305376408,1877.9350778742116,1876.3315888080288,1848.625117230784,1873.476130823068,1873.8265405228024,1910.1074311387313,1916.4508659708933,1921.1256800902756,1858.682332648677,,1858.9416283192386,1876.6964920602838,1880.0209641884242,1881.7867924133095,1875.9987152625824,1875.0091834631146,,,,,,,,,,,,
AGRA,1868.8190911769668,1847.5238122605683,1876.3004142858822,1872.9606339483662,1908.9781388470037,1910.609842393695,1927.7140416315035,1865.5962126249983,1874.9972778325362,1870.947333138668,1874.3248652011234,1876.168582683289,1867.9021785174903,1850.0457517381462,1877.3804185374854,1872.5856762009523,1908.5650005081916,1918.0998803767632,1927.6981751284238,1867.8412456963802,1857.1942944045497,1875.3249445071813,1874.2293093118426,1875.842790648562,1871.9765826068979,1852.1106276919102,1857.6240147505114,1869.8035146717225,1902.9768560779223,1921.1369041839473,1929.000299004319,1875.6876165128601,1858.450720201696,1875.3553524261822,1875.464533964373,1875.2869965346201,1872.6886885609936,1849.1555002706098,1871.6300981212391,1873.3160289383234,1906.5563562589618,1920.8768601327617,1924.4227186997541,1872.9853541536525,1873.2727390823056,1872.7610514284606,1876.2076418096412,1876.719106021287,1874.3520507727726,1848.639511557401,1874.3591604902062,1881.3638115631077,1906.3569603538556,1920.452969863528,1925.5490628404884,1866.3751694905309,1875.863072811553,1875.263678371355,1873.5636895277853,1874.9064161645906,1869.572932101153,1846.4097073155033,1868.4085083844006,1874.3552478173583,1910.8899509082319,1915.5522595134998,1926.9711747545946,1886.0654145556548,1870.0011248454805,1871.5358335493934,1873.4717250100994,1874.8005644427917,1872.1551112551867,1848.6603242575268,1875.4492471078988,1863.1521876968716,1911.942769361361,1921.0087204166578,1927.6965034161894,1865.283348911825,1876.7528392830961,1873.1188184457208,1851.0080539411042,1877.0909226317556,1890.7658367290248,1905.1262244440836,1921.2246184648088,1929.01207573476,1866.1733352962758,1853.8560994312693,1875.845313166511,1875.31643122971,1874.045858528331,1871.2901789783075,1851.8984490064902,1860.4536580693637,1876.4154524333012,1908.1337889800855,1919.4809229806972,1925.231057443629,1875.1746906585524,1859.4641035758923,1867.8254651489137,1875.651946565969,1872.7138396377504,1919.0186019065384,1871.368059100805,1876.825162625652,1868.66901265909,1849.4664163798361,1871.0954950233418,1864.0019377072697,1904.2794748802446,1922.9796761858852,1923.552897834589,1873.0731050296502,1862.3209591558243,1873.5862163799793,1877.1863488568204,1873.230866251646
JHANSI,1864.5838873243176,1847.5801679800227,1876.091066259077,,1909.6315995385226,1901.098810966846,1924.8899799933126,1885.6338709485078,1875.236869810563,1856.163764592477,1876.0990335906208,1875.2078440141472,1847.894190727006,1849.1154142124324,,1873.9199977212268,1905.4943677270394,1900.537696037699,1924.7058130000025,1871.6000479699528,1860.9883941400988,1868.4414330130269,1876.258814651198,1876.06260720189,1878.1724219248665,1851.817583067943,1873.1397440174821,1886.4675604678764,1900.0420915869317,1901.023598910162,1911.5068615569796,1903.963046863461,1875.6596663543442,1875.7159522529691,1876.187704820218,1877.936889496026,1878.561228580458,1851.2139168510978,1866.1670966780932,1888.656464512364,1910.583553779813,1910.4758707916578,1927.1317978712566,1865.9361414412601,1875.7734915364001,1875.7183247224004,1876.3168141890794,1877.7986839373543,1876.941188191066,1854.7944458997156,1862.884595672849,1878.982519496224,1922.600579916138,1911.5095713338324,1926.8978925208105,1901.492182111035,1875.9718746506073,,1874.7797455196621,1877.687240051429,1867.493039535241,1855.083223322502,1873.653799326521,1874.3917721623793,1909.3667740884284,1907.4720195904104,1918.2471416508697,1869.3059266381854,1872.9479756467172,1853.5965795762456,1875.432067330247,1880.012765962533,1873.3336014945742,1849.694530959662,1877.4764818779238,1863.5521286197766,1909.3386690313807,1906.1538740062608,1925.7812323080204,1866.4008321822362,1875.357070393568,1875.666712514511,1847.7583708138823,1876.1473881327129,1893.5824937402442,1907.6877065205877,1896.6484503513402,1924.520437183038,1867.0877485414508,1874.6215559111965,,,1878.1320956261923,1845.8527411457883,1851.1171089364154,1874.4101341146472,1873.6770211700014,1901.8865700309684,1902.6856117643138,1926.1990776096627,1864.5545233507144,1877.7661676654868,1875.7661440061297,1876.0861016575332,1877.4616800254537,1880.0003681446385,1858.2192811761288,1874.9823849193901,,,,,,,,,,,,
SITAPUR,1874.5165963785844,1849.7336811512744,1877.606743087274,1873.0768320982909,1925.9441398380893,1923.6781441827382,1931.6036941184846,1870.7483203181976,1860.6112080102446,1876.082265294217,1876.0473291500198,1877.4699064624554,1873.993756140217,1850.9666236922528,1876.411742337158,1868.4081610955145,1917.8079627067093,1917.6641505962355,1924.159943056236,1878.4873427012033,1855.2728213471069,1876.3164108567107,1875.6177231808765,1877.6949531606133,1874.3260676290795,1849.5053334273084,1871.9388471662996,1875.0607471199291,1911.9584497236056,1925.1986461012864,1928.5284023848258,1875.641449413297,1853.695157256576,1872.7773041589671,1878.2450522700517,1882.530548647134,1874.2533923256822,1850.033360867931,1873.4606162503517,1874.781030306537,1922.700891396469,1925.6444641959972,1924.3356366748387,,1875.1587075878062,1875.3856629027232,1879.3213320191855,1872.7080187671045,1865.2575766877885,1849.3461645869054,1874.505841552837,1863.7664980056552,1928.8184114919593,1923.358632701352,1921.0229017491629,1864.7995083190074,1873.2590400138522,1875.8986069630594,1875.5298899893814,1878.2143996942325,1877.6046131243666,1849.590369609988,1878.0394629643752,1875.0183435283302,1926.2447778849116,1917.863624617882,1922.2954207581545,1865.6039733715052,1876.1689289755084,1875.1183878456188,1877.738627562047,1877.6745905551763,1873.8336424237154,1849.4634585460947,1866.1191382610668,1876.732558802678,1924.4792872866587,1921.0423091994114,,1876.0472418709733,1875.1683559708144,1874.691377316829,1851.1389234144697,1861.4886272908188,1875.0817137419483,1910.5855983935228,1919.1106128556353,1928.7058814561765,1875.4668051532744,1856.0991913524142,1875.0037233154603,1878.0322450024357,1877.8599605340507,1869.609621504564,1849.3883238653589,1872.7730584275826,1874.8596927648257,1908.4111111912553,1922.9886375730641,1918.6230161128344,1861.4093487426926,1871.077741884709,1875.3052911152856,1880.1566130593792,1879.534324423749,1905.2733165561701,1876.2168181734967,1875.6824744339167,,,,,,,,,,,,
SHAHJAHANPUR,1872.290237442284,1848.8080055901103,1859.0764642191364,1869.5465840263432,1907.6857909339196,1916.54284110858,1924.715672768728,1871.3493025043376,1872.0275609210028,1875.1441227273406,1873.7414414888772,1874.2314298950246,1868.4801930049273,1845.9136370920346,1867.524686900853,1869.4829578898539,1906.595482433232,1919.659713741772,1923.9032000226064,1872.0052015749482,1853.9640328381874,1874.2571463636473,1875.3480690788379,1873.2107333188817,1870.898133115667,1846.6749410428747,1867.8802132720202,1874.2920527842334,1914.5661104427168,1922.287735103322,1926.8157545333474,1868.738266162568,1855.7324858549557,1872.7350270081063,1875.4955428479216,1877.9008151322694,1870.3578338766795,1847.8181640078224,1874.1071094519805,1871.984431633006,1924.277913019638,1920.435670684436,1929.6856354092538,1865.4401811242092,1873.1480513546508,1874.8032707177151,1877.963133015879,1873.8781630681021,1868.208557917335,1847.691275864487,1850.0921191210111,1867.709595397614,1916.7570105316531,1918.5258752083316,1923.8428401676085,1883.9222683940852,1854.412732801351,1874.8512655381446,1873.0277877975213,1872.4667692112143,1871.2194682263012,1852.2483646762648,1851.5012987267535,1873.010431218595,1913.8854077076114,1917.5151924128802,1926.8769246370532,1870.8600307343165,1872.4424422542334,1874.4552115883603,1875.3065833679182,1872.6026252952397,1869.4270807629007,1846.3290205352318,1864.2753883456894,1869.635579415208,1909.0960882375582,1922.3669212794375,1921.5701336224563,1871.6986195072452,1873.1201836894584,1870.553996708621,1844.4398799805122,1867.3735838626535,1873.4679944178051,1907.9221498372438,1918.4916885960572,1924.3658538433667,1870.3779397472272,1852.3827793428138,1875.9463777091366,1875.588156806415,1873.4893350098523,1867.6185274538946,1844.9097652656008,1872.94366416071,1872.319888521826,1913.4444968698915,1917.440266203743,1922.0116949536607,1869.0901088673206,1863.0049255403815,1874.1758359904488,1875.5747944021405,1875.0257434593416,1861.9906038655583,1874.9284442908402,1875.8914390392413,,,,,,,,,,,,
PRAYAGRAJ,1876.600302678841,1849.93372477636,1877.0260219648335,1873.5895592101735,1920.7118820844041,1914.7105456478848,1920.5493524452977,1876.8741490373209,1875.9695206672448,1862.1792784884683,1875.7474488480814,1876.5586455376417,1874.0189279612066,1852.0838793487767,,1896.4765369844458,1912.0636370591485,1898.3012516044378,1907.5786932361339,1887.2433202238517,1875.162582235583,1875.778539649318,1875.6634375142494,1878.5316238783696,1878.6920388961848,1853.6686829453852,1864.7900021062758,1873.3745886233644,1913.4335756680975,1922.6164590301782,1910.0598462872915,1865.0455248934204,1864.9094997875256,1874.9758542902398,1875.011734040937,1874.627353650322,1875.624006939882,1852.0185968201765,1875.9214690632466,1875.4011832245076,1913.653451130802,1908.5986318054377,1913.506007985279,1866.3636551529821,1873.7156723841458,1875.0525819394459,1875.8682846840184,1881.1456356163483,1876.6861133691061,1853.170077746164,1873.6898619348965,1874.465004888182,1918.5275054788133,1904.848673174426,1903.7496644021248,1902.6084427049093,1868.0239661982475,1849.216333622742,1876.104736105544,1879.8612259413032,1877.7781555599374,1847.9226625698477,1876.4472513666838,1872.8696136087576,1916.7203709963117,1900.4166952902528,1918.877350690126,1886.4185556142265,1875.4543182722316,1848.8673763956085,1875.6068310977114,1879.3960936638293,1875.5106618729237,1848.766238122702,1875.627372305817,1869.6153326718963,1918.2741914194241,1903.9163878358704,1921.2864043684092,1872.3817468014438,1878.2961317483519,1877.7907976797633,1850.2463164735505,1875.1393758439053,1872.936492629909,1914.9962888140194,1901.0739785031606,1926.3914076029866,1868.669140818248,1871.8283043826596,1874.2449669688492,1876.135179592512,1878.516045549242,1854.2388443576942,1853.2466398346749,1875.6959673182992,1872.4874435095574,1913.1781553158496,1917.1211448891922,1926.8558110312354,1909.7385148116107,1877.62673929862,1874.5429856407104,1875.9127414577385,1878.0168861570453,1876.4138201331627,1864.6207066539073,1876.204639811091,,,,,,,,,,,,
UNNAO,1875.4424062682724,1851.5863275840456,1876.779409574284,1870.8887297542467,1911.177606187458,1913.3951389785207,1926.8171568565053,1866.2026432923928,1875.4731495042963,1876.0662728635552,1876.3902527632818,1878.6934925912187,1874.9318397611596,1851.1559723447635,1876.8249318554804,1874.360141730102,1913.636785045071,1921.276204217525,1926.0697925225259,1873.2096044316754,1856.2292062492147,1863.1457605315088,1876.062557691028,1878.2335618753375,1875.1935615999307,1849.8074325105788,1871.297959472507,1875.475172571076,1916.9677357724847,1924.6534405176758,1933.2771959938439,1880.2242589963473,1856.9145329813318,1853.1985724211008,1875.776347763599,1878.1536135576675,1873.5253738177942,1849.4811725675088,1875.6750716017546,1874.2145799903785,1921.2530087332282,1924.3817857145782,1920.9615357471648,1874.3983214390241,1876.3849572888284,1875.5160656856663,1875.9476278150273,1874.8613746483416,1872.1493290045871,1847.8526165661801,1877.7757560922391,1856.7882039062954,1920.3756020141427,1917.030815958999,1920.4976756768563,1866.6563773234855,1874.0346810710755,1875.5711842384167,1876.1571542954998,1880.332439570202,1878.2381891775283,1850.5564488892317,1877.3438547888518,1875.0408765637217,1906.6685225475765,1916.9858578864003,1925.607560573469,1865.403209142356,1872.6428484129244,1872.9527322947783,1877.3873102851808,1879.4260689727075,1877.7115026623585,1851.6499251622788,1875.1937591167239,1870.8317688609166,1913.5395557806312,1921.5484353895283,1922.949948815265,1875.814658106,1877.4491432387165,1874.6712704084748,1850.9627729959445,1875.4047309108878,1875.8810422436939,1915.1012278969708,1928.2998695796011,1926.331631756243,1868.981358836892,1855.6587582989469,1876.1304195520536,1877.1694045150116,1877.8741990673773,1875.2779012735803,1849.5520870166222,1873.1081088711921,1875.7919919817757,1913.0671230265739,1907.6893032096207,1924.9562212974336,1857.1797647368894,1875.606181877673,1857.1656169587013,1876.6608896415498,1881.6044941227933,1895.2695533721107,1876.2782225600263,1875.8382174549731,,,,,,,,,,,,
