district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01
PITHORAGARH,1868.7603796281899,1850.1447551776564,1853.63579915397,1870.9261407884542,1904.3419638861417,1921.6999656055818,1908.9490304920548,1868.967012793485,1856.7635364075716,1871.9231630240022,1870.4875258465756,1868.826352586084,1868.3261245902077,1849.22666384072,1849.0864504170027,1870.9173931552784,1932.4668699122878,1920.4186209976351,1916.1709569037428,1872.987538047049,1855.2558712727516,1873.0822453684448,1871.3158383320645,1868.568628823229,1868.179868395811,1849.4868135745685,1850.0691206537729,1874.6864018366964,1905.2373495489214,1922.2702340624628,1923.0416807785566,1872.9625875461236,1853.4623326875612,1873.373165775737,1870.9100754113533,1869.663964500574,1867.9517156538204,1849.0933027379663,1860.5448052304353,1873.3479136017497,1978.8471004386918,1920.0324651958238,1921.4306532980765,1875.6676926025737,1872.571198514046,1873.5605367304815,1870.8067091361038,1869.1090446565993,1868.5548676997794,1847.7250739172284,1855.1260671065143,1871.3503843654094,1972.9761430015728,1919.3500659865722,1919.0868842891248,1871.8338950769396,1851.7492479510447,1871.609139959405,1869.6259613277525,1868.0243050123936,1867.4716211376385,1847.0146129690825,1853.1762655110526,1872.6385092244411,1943.6446494301913,1925.4251493712884,1923.7423201192623,1872.4423979339376,1847.1757472574252,1871.6302970730587,1869.649773876199,1868.5461140511366,1868.6281293711781,1846.816994155881,1851.538710221259,1873.2975734070574,1915.9556581926363,1926.3076625856672,1909.3153222715002,1869.2245372358825,1859.4429769433534,1874.0807473729756,1870.3986771128386,1869.3412442172687,1868.0488569311005,1848.4272885580594,1851.0108667192362,1873.0556744395224,1932.8301016322919,1915.851807596793,1919.633048606793,1871.32882756874,1855.2149547245613,1863.6596677279244,1869.8422284807054,1867.9984619105899,1867.9293643421488,1848.6868755211783,1851.6520119422523,1872.228155879629,1906.5095831440053,1922.0989261213117,1921.2397648816545,1871.0322883751187,1855.4184068182474,1871.82844231867,1869.469491205738,1868.3639667618006
UTTARKASHI,1871.4281339156107,1848.6001247056558,1853.3384257776459,1873.43889600858,1911.4956166820314,1923.7330396651907,1906.770366945338,1874.289079865578,1853.240270210935,1873.6865747098873,1871.2386192844526,1871.4820350992527,1869.8774011071935,1849.0540471352056,1858.8315453280363,1870.1131172669711,1983.6906911935232,1924.2959515175849,1909.1408258194253,1869.3609045772018,1850.3396612762756,1872.4313611614266,1871.9475938085532,1871.4484473008117,1869.5596097028856,1848.9681653275363,1854.3844154108447,1860.6860939131561,1980.254227565527,1926.2745322162214,1908.6805232301351,1873.6594705610166,1849.9326889112167,1873.567944255978,1872.4977118493837,1871.9978754190995,1869.8569493869588,1857.795472815073,1855.4365164827227,1863.231862032249,1940.8034916944607,1926.9679432849005,1908.166915132257,1868.6369200028478,1865.9690709146173,1873.6403815860217,1871.6424826143011,1871.6300607523956,1871.6043911844993,1849.4293121494068,1855.248002133188,1858.0866654842498,1908.5820756174412,1916.382384980879,1912.9510895262742,1876.0507292143295,1859.016084177108,1873.5068594957602,1870.079564193828,1870.8800643932339,1869.822109974634,1848.3394914828996,1852.7875888860956,1872.9974371534215,1946.4827225839913,1910.5894800263056,1911.9098676165536,1883.7989395671602,1852.6419524117382,1871.7992154115298,1871.046981557295,1871.5721619149717,1871.547060531623,1849.3567079893887,1851.5079917909447,1868.8559123310067,1908.058317177892,1925.7486371834398,1904.2333384643555,1865.1109948049304,1853.2778130285076,1874.3486922460693,1870.2300504918346,1871.6497427933807,1870.9462694415472,1849.2984897382864,1862.1702659975135,1864.0560731727305,1986.3872383116295,1927.4365597021526,1903.9772494017307,1875.1790694194162,1849.0586968111918,1873.8916178093396,1871.7209541515629,1870.136517828192,1871.61185850199,1848.5187303140901,1854.4939419085265,1872.012449318652,1978.3485962584048,1917.0815893760712,1905.7621967894156,1875.1923496463571,1848.2192696000204,1873.0311206453098,1869.5041010941616,1871.8259770128163
CHAMOLI,1873.34972590286,1850.0529008306617,1855.4780229421706,1854.4352361018694,1931.186809821725,1919.534920316079,1907.3681951042374,1869.7714974303206,1865.904559667788,1873.927660773931,1872.8819093551451,1872.4800312512054,1872.6036471994778,1849.5999020703678,1855.2417104290057,1861.0272145840004,1916.4310250795406,1922.5601604360115,1915.643985544028,1875.1636578329299,1861.2004097056456,1875.4356754331006,1874.1681406474934,1872.92293283629,1872.8144985736587,1849.3168219879685,1858.2913652428117,1861.5708795872342,1906.9390321734204,1920.7041508192103,1921.0070335627588,1873.2287366163107,1854.9017931888407,1873.6240759977438,1874.621308841688,1874.0828901904465,1871.9816263811308,1853.3973364246658,1859.6476694802368,1864.4112133096858,1896.0153543707206,1922.5872476895952,1915.8719371438956,1873.7372601396223,1865.262622738609,1875.897097925062,1874.2337075345022,1872.3602849033023,1871.5549845781545,1850.6948744540364,1854.8444125806543,1858.2977951480964,1985.0425888950929,1920.0339695901482,1917.5161810081418,1875.1944315979515,1852.8958177914947,1872.339771099078,1872.5834107850017,1872.575099674758,1871.7210832315352,1847.6233019326419,1854.4438185817983,1865.5317717468297,1959.5279638990855,1926.8562381820536,1920.2248005864617,1871.3640345521728,1848.450999129543,1874.1655339059625,1871.625127354259,1872.3840825231857,1871.0059431427562,1848.3387980339614,1854.4247407491698,1856.3180325500864,1922.043304517727,1918.074015835914,1909.9215180265396,1871.2344952432113,1871.5462065305164,1875.6718245925933,1873.7884704474823,1873.0391503037047,1871.4688923855801,1849.1004885489688,1856.5556642154354,1862.925780681144,1917.5057255833892,1918.7680510954406,1913.855543772677,1875.0608407007317,1855.7216939628884,1854.2437288316778,1872.2777313718618,1871.154053094758,1871.3234892322657,1849.3190655365217,1862.2465371505523,1866.5428622090094,1907.0845335337972,1922.0386519585713,1915.8656109913527,1864.428858482148,1854.1614378549054,1873.6601872716997,1872.6828303580226,1873.2154420136706
PAURI GARHWAL,1868.8971162276973,1851.9312653184984,1851.301931506417,1875.5616410540822,1889.1407727146639,1924.5992691960423,1917.5989953581015,1874.8916379997358,1853.3813877538507,1875.2831642041494,1873.1216913316405,1872.29064055603,1868.6929220661239,1852.1530164275348,1869.4424810506941,1872.838514178986,1972.3367096346756,1925.9751838375332,1923.7012790889405,1873.1966064734959,1852.9123775467112,1874.6390495410371,1873.9537556279663,1870.2679212606915,1868.3712018346157,1849.7404616385631,1854.177159481246,1874.1121114631833,1953.4368972236925,1926.1448942642055,1919.6580256467792,1872.7691489075398,1845.5318181812422,1874.9177699155885,1873.4223789398638,1870.989410584318,1868.7409767589693,1849.659979621588,1849.112788304184,1876.7893527350757,1881.4581337951586,1925.499824502635,1910.2926553136735,1868.0586034968032,1873.3477175994874,1875.090599763978,1871.8722223567456,1870.983230610941,1871.277297408086,1852.3745757560644,1848.2214273996838,1870.8949089877176,1932.4514539573843,1921.664567892898,1924.3496647373754,1868.2754748080183,1856.8474165725784,1874.9721884939852,1871.3743743632392,1870.5178895058625,1869.1041218312241,1853.8701958130791,1848.3511046076824,1873.1517889100128,1908.2960503629008,1912.5184145660269,1920.4706792037994,1881.4705549158705,1853.777693612255,1875.267866356633,1872.6316631692696,1871.2530047991077,1869.8376522393255,1847.4660068527025,1854.261854253378,1877.7636220181892,1892.8028489706412,1921.3401359431261,1919.9631194036122,1887.9105466574752,1854.302517698419,1874.7698672356742,1874.6834261155575,1871.5927532919873,1869.9151990392184,1851.2899075823727,1872.8824919325946,1875.816227256014,1986.6524269331303,1922.9601138741364,1919.8313917186408,1869.6971067949708,1853.7069953045582,1875.594486300628,1871.998152957863,1868.9950819827268,1869.9545758741544,1851.2855853952285,1854.6221922052557,1874.6185592950505,1945.1221622754995,1916.3007232759937,1916.029025423663,1871.1176506195734,1845.553679088297,1873.8087896195584,1870.4071268483656,1870.0345079727651
TEHRI GARHWAL,1873.6874178797107,1849.8959525902721,1854.950104444754,1874.4622225086418,1884.5663270184314,1924.8196408362762,1911.4336949309532,1875.442752429481,1852.5392012238458,1877.2820056553167,1875.994832641135,1874.5199615471647,1872.3008676946667,1850.7658327328288,1865.8776707854977,1873.7668567169164,1989.6814770658057,1914.626372466206,1915.986136099769,1874.5649241969907,1850.6140944194478,1874.3919386450466,1876.2871956105078,1874.4947262195726,1872.137212252632,1850.3569200543645,1854.4124816355195,1866.7764814949237,1978.837429372357,1930.880352472573,1913.644198408252,1872.9454150871081,1848.1544915859365,1877.320571252196,1875.7846571534749,1874.7935190112314,1871.9476101138325,1855.2224680620473,1854.993295948994,1873.7587523804953,1935.1161133709184,1930.513944847979,1908.8782518929231,1866.1882611939575,1873.970339695434,1877.210471403971,1874.9943364614248,1874.9652457188536,1875.196046555768,1850.9176949832213,1853.9708107361698,1864.3886324837124,1911.6008548212797,1914.6607231059415,1918.7502143272918,1870.010182634569,1862.5558060771145,1877.6622405169726,1872.6328824000598,1874.2962407928446,1872.2059499089423,1850.3046654575644,1854.2669163873463,1872.543361307926,1927.59244367544,1904.379783346809,1912.4398818486013,1897.7355744462586,1857.1348509422323,1875.901133342326,1875.0086650293804,1874.7661670857722,1874.1240291082947,1849.4499704170612,1853.5456337234993,1873.8853887079028,1886.2020427224525,1920.8562009600284,1912.9222038206528,1874.11664597067,1852.962279563309,1875.9934634963254,1872.954701241908,1875.4376825233135,1874.5066487033016,1850.3740450805778,1869.179392469457,1871.0945910744056,1990.3414269140862,1923.6324688047798,1910.3355542204017,1871.6243484008596,1850.5366195512236,1876.0761315813982,1875.8523055126925,1872.4661684298749,1874.654091176804,1849.2748379771474,1854.4253724173761,1874.8095031894459,1980.0058909530967,1907.9371213567608,1910.5228789215657,1873.9858415451697,1847.3761852283521,1875.9121554463165,1871.826536148492,1874.5311663597308
DEHRADUN,1875.1261635608028,1849.9126982653747,1869.955934348257,1876.3350637195765,1894.8291241433606,1931.7252048810064,1913.4442017338959,1875.1525760505451,1855.0014219219522,1880.452604967652,1876.8151136502509,1876.6318513860513,1871.4611701040067,1853.6265526123373,1872.5294687217136,1876.3180972524135,1929.9716045969442,1904.2098908655573,1919.173073431656,1875.5963302597008,1852.5215017462037,1876.1382539543606,1878.378963319259,1874.4899982773682,1871.7456164902885,1852.2449127146015,1855.286034589707,1867.9354753757177,1990.0826848979098,1922.3377782596715,1915.6744644145813,1874.4559660872987,1851.979702343108,1877.9063285114717,1878.3367279549846,1876.2545868996212,1871.4935851066978,1851.846746626366,1855.1968881997614,1872.4785828356366,1934.6571421033075,1922.2883981048267,1910.0516983525654,1870.977977940334,1870.8641379723585,1877.2631225789205,1876.6122374088739,1876.7799472801642,1876.4086132694729,1851.2158534316577,1855.2956251571713,1859.2758511595512,1923.733005430176,1914.6179576167467,1917.0349651934707,1874.0120923591112,1877.543889393082,1878.3448165535563,1873.8084614898453,1875.223417062866,1871.4115691802695,1850.5544334964698,1858.5070967357772,1873.1540620521046,1923.441439051217,1900.2814115497133,1904.6999350669425,1883.4158426153697,1855.7359743623706,1876.997006703985,1877.3011103476408,1876.3689793746876,1873.0989420259211,1854.0102781449514,1860.4094669713802,1877.1096846624796,1894.2130851448103,1927.8765791662834,1917.9711657735738,1866.71083943177,1853.1060681612723,1876.8217188286992,1872.210770317534,1877.4171746907434,1875.5419466440371,1853.7615294442808,1873.4768054731608,1875.677376440277,1966.3350198103906,1927.9054332274795,1909.8674444703217,1865.361023937539,1855.2074076352048,1877.1055192923143,1878.1690592175796,1872.080554570958,1874.8691870976193,1850.200425752967,1854.8504131622244,1875.5320226091214,1989.5244097519906,1901.7527583172255,1913.8247222399432,1875.7955889957434,1848.964406685876,1879.0354715804037,1871.950434295315,1875.9207487570536
NAINITAL,1876.3893124450103,1851.8322779505838,1856.7539335860781,1874.2116601548557,1904.7703297670419,1911.7177870839191,1928.5404951021299,1865.5187129101735,1875.6660869772754,1880.1245833616376,1877.358852137534,1876.4615090744564,1875.46195887039,1850.8196640821432,1867.121700428947,1872.0423494339943,1908.5833246360937,1918.3102552687803,1923.066060263862,1887.934620456578,1872.6355425835493,1876.819223509308,1879.367701083655,1877.729189269442,1876.2136757523967,1850.2009803709498,1861.7388124095244,1875.4000676425574,1884.554510877858,1900.5899152431834,1922.2681491126914,1872.1403557944263,1858.272542213994,1877.888431135108,1879.3163717814573,1878.7411497601645,1874.246466389409,1850.4675934189427,1872.515512924221,1876.061357197935,1980.69148229781,1915.0452632684903,1922.068844946801,1863.2976641049381,1875.9134085607927,1877.6342761496608,1879.4790311301501,1877.243180363509,1857.4826489244726,1851.3092120185809,1856.1421188289669,1875.388142606774,1939.887555551173,1916.7901289146732,1914.0354864838062,1869.2677889671793,1851.8260948474579,1879.2668009395609,1877.1453030399707,1876.7024801896555,1872.6156984663332,1850.0058586202435,1856.1493159668914,1874.3034159126084,1908.3023335732564,1907.1536955787305,1922.619610753826,1876.0360719196167,1867.3914311987032,1879.7043091316693,1878.941260662673,1877.8243762589648,1872.1808598046864,1851.7129370420446,1870.4741940261745,1876.7539667303656,1898.9281160892588,1916.472775594146,1917.740628748971,1887.8103573879412,1869.3768710534678,1877.3305281854437,1878.7821224886084,1878.8700900960603,1872.6495497251633,1850.5188921211345,1870.2662100678824,1876.5257919962046,1911.723769642151,1910.5764175151737,1926.193355462872,1869.9860562005447,1874.0874011690407,1878.982329339991,1876.9257584520517,1873.0498853506322,1874.4549675443664,1851.7430664508875,1872.560428879918,1876.1580787065916,1899.601591626642,1909.9039625500805,1918.9181250074137,1870.7336967690537,1856.8907093772448,1878.0012687410826,1877.8580274045632,1878.667040121123
UDHAM SINGH NAGAR,1873.9767803894194,1847.2626307958233,1853.1064819125802,1873.0949417209008,1916.586844198643,1916.544017006487,1925.540052735378,1866.5389965716008,1865.0557395357587,1878.762443151517,1876.6567037814475,1875.2848613064234,1872.288620543071,1846.7220135236553,1865.9361279870552,1870.6310923318772,1910.557626945522,1925.5462208273386,1922.3044652826761,1881.7448343597366,1862.8868978810442,1873.6411149581127,1878.1949925399483,1875.590393897301,1872.8644490563925,1849.4932859264918,1859.4152060586757,1876.338794455361,1908.8740477564133,1907.4570269904839,1911.3035509021713,1873.3356128986252,1858.39869798061,1875.0451477914373,1877.2363163426335,1875.9758730559429,1871.6369720871323,1848.5248265810512,1870.8124647146903,1875.680363666391,1969.6666677048283,1916.0171985107017,1921.68719222304,1873.5376977358446,1874.8280687560546,1875.3346335601211,1877.5293298282727,1874.9787201509312,1860.0224923828125,1851.746706853886,1851.6986545965265,1875.1313949845842,1917.532032793498,1918.7889736912953,1918.7717600208982,1869.7296122164287,1852.7142492515766,1877.7607413404983,1877.9553897964151,1875.5752460277056,1871.9420238597706,1850.9627108751288,1851.2096367313125,1874.3492372113737,1921.274761461641,1906.5114832690263,1924.3514406514616,1874.6766665796954,1866.6730067082226,1876.8694324814655,1878.6537922164355,1875.1071338973964,1871.3410413808385,1849.4469566778073,1874.3183025093795,1877.287100719184,1913.64440630981,1918.1649763649752,1922.485203740997,1890.9982404642083,1865.2943538137993,1875.0523401925027,1878.0600161284183,1875.4000083986837,1870.918898680653,1850.1983431087694,1867.7254721163617,1875.3766177231437,1918.048255424308,1911.6729088552029,1922.513932438199,1870.1901777509033,1861.80536904487,1878.9043999484295,1876.9494909872585,1874.7322904665941,1872.6573278635062,1848.2368420881567,1868.988744670762,1875.5575826897687,1917.8390732602286,1918.075990845844,1918.3737960789078,1872.3698439582868,1853.178649904762,1876.2533012775082,1876.5750476358573,1876.650153950681
ALMORA,1876.0905596151827,1852.3738636898543,1857.4950317479588,1866.4938508947962,1903.6892071244054,1910.552094100985,1914.7168263225224,1864.5062136325614,1875.5136720379332,1879.3515042012589,1877.0777676331286,1876.6336693409387,1876.2595117206379,1851.297935932774,1862.4764041973592,1875.6144560908363,1908.6231672453232,1918.0304339944278,1915.194065579239,1872.3629719748774,1874.4894722203007,1878.6495952980276,1880.3297879473307,1877.46376710108,1875.4991801654176,1850.8908214024027,1861.771372264338,1875.9967871731426,1879.5400252242332,1916.5425643792034,1926.8428680226732,1873.6620698710228,1856.774492954608,1878.6685748437774,1880.3296490982093,1878.856975336319,1874.150033191152,1850.9928710803688,1873.1398358207355,1876.516363566344,1966.529923159796,1908.443679148874,1917.7862983898333,1864.0376299855284,1875.5109296714975,1878.6884018596072,1879.965580263573,1876.900464243473,1873.5760828628877,1850.9877760308573,1856.4232503334592,1875.0517177874945,1978.2834023574728,1920.395019689038,1913.9589555756636,1872.7403577219325,1852.6962877847416,1878.2372877355292,1876.1244477000198,1876.4828416703901,1873.4018346792557,1847.8339299551312,1856.1488334131654,1871.8338583557838,1907.327728087573,1920.5911698485022,1919.104251704655,1873.8735219156717,1850.7894997455985,1881.5130922117194,1877.7262990887784,1877.1755537524084,1872.1721627318675,1851.638983768619,1856.5862039787328,1875.432970761793,1894.7432460935659,1914.2458062964533,1913.3444277863784,1865.6780848415538,1873.9400307173564,1878.4416958406186,1878.8953467099943,1878.5287398299713,1873.4498062736072,1851.0013390850124,1865.9573875946678,1876.4725226501257,1914.269618843653,1906.389769295797,1918.448444973268,1872.900073704517,1860.9552553498384,1867.3244108453791,1876.306520951034,1871.9483171556094,1872.0388472261445,1852.3076326550606,1875.5537546756937,1876.6315451187163,1878.0904734622056,1908.3649045277818,1915.3052180929803,1872.5211261950592,1857.1889533989695,1878.9330332598358,1876.5954259477899,1877.3372094088086
HARIDWAR,1876.136153049196,1850.664335450727,1874.8152319771905,1873.732809935549,1897.3871808787899,1936.5624790038048,1921.7883818906016,1871.2470579368626,1857.7255150876392,1882.2795224222727,1882.475953892125,1880.7156191514914,1873.2726269727877,1851.5733425073167,1877.0098460938855,1877.0177353974198,2005.4284708221041,1906.22455132476,1918.2327226230846,1867.693305074503,1852.40409520879,1874.6686062789254,1879.6669797134384,1876.484969967801,1873.4191208644286,1850.8491184943487,1857.1626260575713,1865.3881323470919,1964.1815197614467,1924.1385897186608,1919.2648569800272,1875.7230498185452,1851.4978314213133,1877.2098797893852,1881.6533745548304,1876.9517975805502,1874.3184451565016,1851.4191554650954,1857.3719591993345,1870.1689241177655,1912.0934243849456,1922.0529830312826,1913.1909233825452,1865.9711603569115,1877.8954736042479,1875.8512266554285,1880.9237502213343,1881.2936885532338,1880.9173509911268,1850.618442464175,1858.7245587297346,1848.2218578062118,1918.522960507234,1910.5663174802237,1925.9411685454284,1875.4954600416247,1876.9324389398557,1875.7373954179461,1877.1767895287,1880.5430948276708,1873.4434123545616,1851.783858757328,1858.490981554866,1874.320120668237,1910.3893604966338,1900.5599963231448,1912.2232740071688,1911.9497341003037,1858.1474068993355,1878.6132556605965,1881.6068559801497,1880.7366000847371,1874.0840452222144,1849.9306083308898,1850.6707711871875,1878.066753027561,1893.0118809366206,1923.937021552618,1920.4343178909953,1866.8964528672607,1857.7256434005267,1875.988268378765,1875.1120891317244,1881.3609163865294,1876.7665943792085,1850.3552081809055,1876.2427933854733,1859.107071318677,1998.2650769935108,1931.9930475942415,1915.831510469206,1867.5444588404523,1853.4631145698202,1875.4891473974592,1881.9751517541947,1873.8407204513396,1876.3565632784057,1850.4781777039393,1857.1151396920166,1876.245832603153,1958.2023358623908,1906.6720139410058,1907.639409899429,1871.2854874677344,1851.4942545678405,1880.8467097438026,1873.9298597546242,1878.032884450901
