district,2014_01_01,2014_02_01,2014_03_01,2014_04_01,2014_05_01,2014_06_01,2014_07_01,2014_08_01,2014_09_01,2014_10_01,2014_11_01,2014_12_01,2015_01_01,2015_02_01,2015_03_01,2015_04_01,2015_05_01,2015_06_01,2015_07_01,2015_08_01,2015_09_01,2015_10_01,2015_11_01,2015_12_01,2016_01_01,2016_02_01,2016_03_01,2016_04_01,2016_05_01,2016_06_01,2016_07_01,2016_08_01,2016_09_01,2016_10_01,2016_11_01,2016_12_01,2017_01_01,2017_02_01,2017_03_01,2017_04_01,2017_05_01,2017_06_01,2017_07_01,2017_08_01,2017_09_01,2017_10_01,2017_11_01,2017_12_01,2018_01_01,2018_02_01,2018_03_01,2018_04_01,2018_05_01,2018_06_01,2018_07_01,2018_08_01,2018_09_01,2018_10_01,2018_11_01,2018_12_01,2019_01_01,2019_02_01,2019_03_01,2019_04_01,2019_05_01,2019_06_01,2019_07_01,2019_08_01,2019_09_01,2019_10_01,2019_11_01,2019_12_01,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01
SOUTH TWENTY FOUR PARGANAS,1852.5384397080152,1853.9906328007346,1877.051448765083,1876.571874920273,1916.9704937821768,1886.4512646773455,1907.8905850075525,1867.1375636725722,1875.8121738125815,1851.4123643477983,1877.2708296528845,1879.0233510330143,1874.61120008905,1854.210415784195,1877.1231955234373,1860.1918253642261,1922.158625774931,1892.5207826820783,1888.6889321372312,1915.342033428281,1860.4289838783825,1850.525021460833,1880.1851109766667,1882.4814499581635,1863.9348890974577,1857.3791620085676,1870.00385524379,1870.78313156074,1922.000923533621,1893.350316085887,1900.1779651219554,1930.6539564636319,1856.4510971630818,1851.8237544337903,1876.665962065601,1877.461237355268,1849.9375095223206,1857.0566837565766,1877.190403897705,1862.3506663810224,1915.863688156673,1888.8298918045473,1886.9411671626265,1881.5482786704918,1860.033320267341,1849.375087472114,1875.7165174178936,1879.7206319029176,1851.465452211948,1862.9505539755307,1875.3121118582155,1876.9145019619787,1916.4418195800374,1887.987853300489,1893.947145828512,1868.1221423189222,1867.4030108965405,1848.9382359092658,1878.629520431541,1883.4762051701305,1851.1401300201717,1877.5898949442446,1877.1096971713937,1876.252636143183,1917.8388413450352,1891.4093008811737,1903.7902097861404,1868.019789792036,1869.2520642932088,1852.5579410607656,1875.4096243717506,1880.152388223417,1882.543170446584,1853.7620089080963,1867.553751474341,1867.3994217655377,1918.2245605064404,1889.052982767106,1913.7328391501298,1865.4997466332475,1867.8386253828958,1850.306023414456,1879.6980375979977,1881.255603024574,1876.7437189490681,1854.8602893927202,1877.1373179751897,1876.5793927569132,1921.2015743408747,1885.3483606561522,1889.1929966022115,1916.8076718379598,1874.2182677110663,1876.3872781789873,1880.8384241380443,1879.3580418342783,1861.176627328915,1857.4363667788396,1873.9017689204045,1897.5837412217363,1920.99798278929,1893.8546552087055,1889.452510936597,1896.8193852974957,1868.239387695142,1849.8257716227654,1876.1106020065786,1882.3058743424756
PURULIYA,1856.6314047518792,1851.752350779129,1877.4032339245339,1873.6262959713174,1912.5265665269146,1891.8224232247385,1918.37512341581,1863.6206198105176,1869.5755972132836,1849.0774026439792,1876.8086014120247,1876.7843562765884,1867.536639341397,1851.3118357593905,1873.4531827083767,1868.4059256371113,1921.92426585949,1889.0178870782997,1926.6137981206366,1879.1663676541232,1873.5436572961198,1849.055176229735,1875.7516572232037,1879.8055528213692,1869.3307449849547,1856.7564993627116,1873.0468582797498,1873.7217473872647,1923.3000418215754,1888.3021134754192,1908.8275175958051,1879.218666483296,1872.4850670045794,1850.2345043814237,1875.8549122852046,1877.1085527368805,1866.3573686974464,1859.3315069897792,1876.7097966020779,1872.7775753766111,1916.7023414766747,1888.1269047866003,1901.1113773623765,1876.0340553064275,1872.0692164306274,1853.6324199990618,1875.1438872711042,1879.8518365958842,1877.378466921723,1852.986858643098,1874.184305868933,1874.1918101605868,1917.566878979244,1887.9899816711488,1900.2387856100318,1868.6853006603867,1871.3490953767991,1861.6501783134656,1876.3385060672092,1876.7082523397282,1859.0361081573199,1850.1981698504994,1876.3913877027164,1872.1425301794961,1918.6697041083148,1893.9642968913975,1900.488570287643,1910.0978427235932,1872.708985537957,1869.6072694694737,1877.5339537448033,1876.8846102372922,1852.333940928635,1848.6822337285053,1873.7719821039288,1873.8262613524005,1905.9719457955348,1888.7197112227564,1919.3799809891457,1917.6645560112806,1873.571312995618,1847.443079002149,1876.995750559734,1878.423885732335,1867.9645438103255,1851.0502292293415,1874.0439360360883,1868.9721441256154,1923.3314515639895,1891.7319055838077,1920.6468636244813,1879.1380853007936,1872.8372641266806,1849.3079961541437,1879.1044523414353,1876.2195007808853,1866.7368400288638,1857.1526612228156,1870.465401526678,1869.6720895059616,1923.881345979152,1887.781055168446,1891.06979670939,1875.585397948983,1870.1681876189598,1854.0279794876626,1875.5376570195708,1879.6583851074777
BANKURA,1879.4739346581691,1856.2361331828572,1877.1975062830354,1865.951209297509,1909.6966035664013,1892.6806923278646,1899.9525657266938,1868.768842315304,1853.2817015402845,1849.9851873181217,1878.6938072616135,1880.6031451981783,1852.7743686104457,1857.525355706562,1875.9993975914317,1863.9977794809763,1918.0901649682544,1889.8596647093102,1906.5592847157623,1865.1090251130342,1862.3676482007215,1852.18295640482,1875.6349252660316,1883.1821576510965,1850.532305321887,1858.912555624708,1868.676838547256,1874.6188496772825,1925.480807973822,1892.2578443692644,1914.2064464929138,1867.1391971530104,1876.807213988057,1868.8729771125188,1875.7748905198453,1881.1362246796002,1850.2984665383751,1871.869458463381,1876.8002608663608,1875.5974031814324,1916.6790379579265,1890.137194861001,1902.9130546796043,1865.6067879236005,1873.2098787377527,1850.2392979850224,1874.9123820939558,1881.8478665706446,1882.3541438125712,1852.6954156618845,1873.4891146179455,1876.2843413442722,1914.9028890169895,1880.9171362077673,1889.9246613488222,1886.5130630712329,1866.8487740172482,1851.1758722007762,1878.0856946137746,1879.4611088219388,1880.2875313870716,1854.9594353507166,1869.079542412711,1875.913604865378,1914.332405677222,1892.552889219685,1893.1625916724795,1920.3027773089655,1875.7081469855816,1850.3105559167238,1881.192438333315,1882.3679912025684,1865.5953346031663,1856.366299237199,1876.7451067425593,1867.839289005771,1911.8152743316587,1894.0713421280504,1900.006069785298,1918.1145396707109,1855.2463539240612,1850.34256178313,1879.3785278627008,1883.2034133077561,1850.972174101853,,1876.043103685077,1866.1799041811676,1925.5527434313292,1894.146206986105,1907.376550894861,1865.3796761187373,1876.5666871708693,1858.6159606774895,1876.2648573669792,1880.6864449250922,1850.579762223696,1861.6265904777847,1875.8166140065382,1874.2498950899587,1923.3893311405268,1892.6705339572786,1890.971105500251,1866.5782624180956,1876.6767941178966,1871.6737320344089,1875.4655144345804,1882.2213553264846
MURSHIDABAD,1875.0258012918905,1852.5357914442636,1876.9261628576373,1872.493308641498,1920.5626758638089,1891.8159196486931,1920.4084442604799,1873.9262603888449,1871.4795549702326,1870.7995603644258,1878.4164064978688,1878.6373976914765,1873.80110342434,1852.9982855283183,1874.604395775695,1866.6031988782613,1921.5430551191068,1900.4776469359049,1918.1742697522352,1866.964121365342,1870.006166538478,1871.7078196485004,1875.338024906641,1876.8857788421283,1875.7619435254442,1854.053029482368,1878.6132151159165,1870.175013838646,1921.7644794583139,1899.3369493890984,1925.931306892352,1877.562598050612,1870.4925056973095,1870.3467783124665,1876.310480125265,1876.2445141886162,1855.2979566040078,1852.7927231790507,1870.1364656153012,1873.328198564014,1918.768979902892,1898.1324452938568,1916.862467786666,1865.344994131906,1867.4150073915037,1847.3597051052561,1875.0387801592046,1879.392698344842,1871.0869989193886,1851.849081879311,1875.3952248902242,1874.4769174684327,1921.5280781043675,1893.6928447765445,1906.4509160355103,1882.4866277270537,1873.1617550699832,1851.8031316491963,1876.278520301062,1879.2217195912724,1871.6978602261197,1852.1622030927058,1874.7287562997312,1871.9621338019188,1921.5735556162545,1891.799084243262,1910.5256018284203,1879.220695380111,1873.794182101665,1854.1006669948179,1876.8466502513788,1873.4115688577097,1875.784331950967,1854.2682887953954,1872.4641494704351,1870.7943658790202,1920.51896428919,1890.5297885387267,1928.392101149842,1873.5520083938063,1872.1053390309237,1872.1705206651768,1877.2275656411339,1879.421415340147,1876.0812277270059,1853.8674435060195,1874.8525581290057,1869.4588574873324,1925.6620042983827,1898.2657171673766,1921.5545799382612,1865.9758179374064,1871.370908274084,1877.2692669484811,1876.735195710158,1876.5573790260717,1874.3807059811468,1852.9658225667456,1875.7168342319205,1880.9169892205862,1918.1712795583994,1899.3506153821413,1925.4232970932583,1866.3653929337436,1869.2563368059245,1869.2542772146596,1875.4464714228338,1877.5617549978133
PASCHIM MEDINIPUR,1879.8825681975477,1855.4704573204258,1876.0661758446654,1864.9034105832839,1914.921376998649,1892.057071078084,1891.1839884544052,1898.9530062586084,1862.1061941773978,1850.1079625805512,1879.067002565272,1880.9411640074302,1850.501102424629,1855.581075059094,1876.0113551037243,1867.0200117620884,1923.437558414608,1889.4250914026936,1895.9281139413845,1872.425606816259,1865.0707419909354,1851.4954923176474,1876.1632407275208,1880.098862231268,1850.1082428229952,1859.0747090894897,1872.7402417390629,1869.042369140671,1928.3325667453498,1890.9436010284473,1906.562107279516,1872.5260126960684,1875.2271308474408,1869.3122374127922,1877.3623018539033,1879.5953393331313,1850.1100092048907,1872.208607268737,1876.2650137266871,1874.1311128630248,1919.0863199605717,1889.525565127748,1882.9799742738815,1887.5481159754002,1871.9453093731906,1848.72799354167,1874.8546102584683,1881.5382770902609,1879.891233205111,1850.7781567876,1875.3034366342881,1873.7049650806364,1916.1654841548234,1889.0233832896135,1882.855549492389,1915.1130050879933,1869.2077612559747,1850.1445128540786,1879.9238416104135,1880.839620892941,1880.0727094090767,1854.089152731882,1875.3936611997485,1871.5964699614283,1923.346699369131,1891.6773520503127,1893.7000762774057,1919.3674576266876,1875.372246400408,1849.5049483471544,1882.813369404594,1880.9499998969884,1864.8952063322322,1855.2269574545587,1873.6061972943521,1864.5429544477033,1907.5646391895214,1894.1881788413427,1890.5042899250323,1915.5908125768938,1863.746848839322,1851.7279945028004,1881.7433338865217,1881.4734383225452,1850.3937305740003,1856.03797829457,1875.7821248179798,1869.899510399924,1925.4776666893986,1895.0148870911344,1897.7318262153392,1873.457993891409,1871.188346620334,1855.5084683509442,1878.4017854435801,1877.9720252558207,1850.4217742928636,1860.739493817974,1875.8065393660333,1873.9775792391704,1917.5074906573855,1888.679612481752,1888.863652625294,1866.0844458887682,1873.7551891634496,1874.6526047142424,1877.4187044703065,1882.363211712571
PURBA BARDDHAMAN,1873.7324249135686,1852.955979763172,1879.1626675642551,1869.9491385575577,1922.5627861185983,1889.7938215679262,1922.7838545104612,1881.6913472129713,1869.7102928161924,1858.1852062710063,1876.500870947164,1878.152860553815,1874.7939693949345,1852.5124859161494,1873.9359194302322,1866.3363935303157,1921.5473328189655,1893.0010111288589,1914.9710864924466,1867.4038564056568,1869.5612964128056,1872.2045379289464,1875.351919954679,1876.7520128035474,1859.3306797317143,1849.0451658785903,1876.3441446769789,1871.702667045535,1919.4709412965653,1891.491772526969,1921.9326802520643,1881.5119687430195,1873.8640104204446,1870.9987002194734,1875.0917760196241,1875.8735907291243,1849.8505019273382,1850.0505569402874,1874.0414126758546,1871.506041236732,1916.9896080007584,1891.48051936243,1900.8722327788932,1866.307540649647,1869.3126819940237,1846.4147161502642,1874.7257451928306,1879.157536944521,1870.7256077663205,1851.8691106178308,1874.8995248466395,1872.775913536196,1923.3880339780337,1890.0447996215232,1892.7800359266373,1885.4669350285735,1873.5363023555592,1847.4413993719281,1876.5284140712615,1878.2325453038588,1872.8514058043882,1854.6661537686664,1871.9761024147024,1873.8114513494124,1921.3124900035723,1887.5966518155956,1905.3358381768703,1888.5668243196271,1874.3016652948736,1847.9660881918694,1876.3290492644103,1876.2426575310308,1876.2614793444768,1853.9890693555806,1871.3962163004455,1867.3935630287624,1919.8642751320765,1885.5805141939893,1918.8905259557127,1888.3275384730846,1873.0336836973295,1862.363846059282,1875.9255369556167,1878.0849749682234,1873.9494150859261,1851.9831810261244,1874.404285576827,1871.0798460906967,1927.592520076729,1892.0634835004482,1913.1756165537702,1867.8202474235839,1872.0393567217156,1879.1232816743354,1875.0803613630794,1873.6808067057157,1855.1525617568514,1850.3966591855246,1876.9787925340163,1871.2685448523043,1920.199096217196,1889.8252708422622,1903.1338414823206,1866.2674924349928,1872.196394851828,1870.6971376365368,1875.022668420255,1876.8540553232797
BIRBHUM,1882.0158023474146,1851.2555697659925,1877.6167293487404,1867.2910845497759,1913.120680258321,1888.7335408198423,1911.9772831242828,1873.1935421836745,1867.39087779936,1861.8422456988185,1876.68404294134,1880.5578543515821,1877.1693492386876,1854.4574962526183,1876.1634131774945,1863.9988593554292,1921.0197649871668,1897.640719391742,1919.7043381087262,1870.1186399797934,1872.0808396838108,1874.9821876067087,1879.29504158868,1880.5887363994466,1863.0297185960844,1857.9961809013378,1878.0520474195775,1872.2344307520275,1917.8482381846693,1898.3279740996315,1925.3240195387855,1866.2489904365918,1875.7943489834886,1876.7123887812304,1876.235177661389,1879.0759645151838,1849.6137946797392,1857.1809723824088,1870.316800832102,1874.4051132724119,1916.8059921584813,1891.7667080528638,,1866.2338745295438,1868.5104863814215,1850.3970434250607,,1878.7455015212765,1881.126311933057,1850.877872588996,1876.0251544840794,1875.867582514027,1918.1943534114332,1888.0913259072463,1900.9091651279482,1896.8697081783914,1870.4970306905939,1850.8776329779355,1878.4399563456325,1879.7052706859251,1880.6896574245748,1852.068853897051,1873.3346781424793,1875.470307309883,1919.001120129564,1892.382641807478,1894.3303474809088,1885.745859203314,1876.1901581983657,1850.703909231782,1877.3586036663744,1876.2777391246032,1879.2073573274608,1855.1835437109078,1876.3900567303879,1868.0543007861381,1922.2341088914068,1894.123157433823,1912.6791989201222,1875.7568856502553,1865.263873844125,1868.2560113375082,1876.7612971424608,1882.6524341750537,1877.0070880818614,1855.4787981743714,1876.0622202166792,1865.2243921009542,1922.2849791750102,1894.4297734850331,1920.851215902073,1869.0088062594386,1864.3909963587068,1882.7371047637348,1876.775184087067,1880.2215290242382,1860.448379270282,1856.868199217878,1878.4438219847148,1873.0073604282218,1920.022555297246,1896.5432510355215,1926.6204210292897,1865.6976442867917,1873.0250658234677,1872.4610987999245,1876.4333989581764,1878.0135293835563
NADIA,1856.8510116502296,1852.702601636285,1875.8902190801534,1875.1262565856666,1922.6815424871247,1891.35804811727,1928.1704793562187,1871.8302753406197,1874.6252946479092,1851.1184912396193,1879.0450774040623,1883.6203986635262,1875.3492695497364,1853.989657611651,1875.2916621980416,1863.8739985032398,1918.7241116650102,1895.0637388604116,1894.3656942971843,1875.5856487576816,1872.7450696362398,1851.9160215909121,1875.3140559552864,1882.2059846242375,1880.3822095658857,1855.314072808455,1870.4222275859888,1875.2589264014498,1916.7104743855555,1894.4791958363585,1919.5466956396854,1925.3056594342197,1866.047257326269,1851.815523790088,1875.3657452112566,1875.3860471529226,1857.1546402367262,1856.524543115484,1875.7376694626714,1865.5545254099477,1911.9127447152314,1895.9673311440217,1904.8621438689167,1866.5464918794905,1874.3292434076327,1848.7953101998914,1875.5484621461285,1880.7189790823666,1851.5363489713268,1857.2901919835533,1873.8694201085764,1875.0124290675353,1919.4367888829972,1890.310179204683,1892.8099214624976,1865.9241068724373,1874.5327049354926,1853.4514103912175,1875.2233065270234,1881.0396926187448,1851.7130955002806,1863.2068897964975,1875.3250016647112,1873.4573356986364,1920.664680076027,1889.2033524131189,1923.2778414687634,1865.6352536563204,1872.9625532089055,1851.6441937243978,1875.2332589680173,1879.6728252991043,1882.5026326003608,1853.1954943646442,1858.8873188422826,1861.2074528326214,1919.0723309788214,1892.6378605922512,1927.7325135884012,1872.4831502646616,1862.8377263502061,1852.4282036852665,1875.3228759522078,1880.2930891529174,1880.7445906978176,1855.2853846186233,1868.1186186384891,1871.205268533866,1927.1002701587438,1887.5460042394118,1895.9224134663157,1876.7324370934862,1867.4518896484908,1872.8993553408372,1875.486356550807,1879.5754301271813,1878.2555328148976,1855.290839117759,1875.8035950352075,1876.367993630293,1911.6141337022689,1894.1882615572151,1900.9136043985873,1867.3409053923147,1874.400571884804,1851.7465631481562,1875.2740937136195,1881.9728510988887
NORTH TWENTY FOUR PARGANAS,,1853.2068270969712,1877.6685114692125,1877.0145783787425,1916.5157228664118,1889.6657364832636,1920.6811020780633,1866.0567956120465,1877.9499134307744,1849.0209372935528,1879.7969975586227,1882.907487369009,1876.6232505637663,1852.1774852772185,1877.6825047576717,1856.9940533948384,1914.2278175095482,1895.5001236935748,1889.2927879212923,1908.7347913234069,1863.9824784724299,1850.4515156777363,1877.5078137781609,1883.228924427332,1876.9358682223638,1856.1934469270418,1862.8658021244314,1872.1422766293238,1923.4245843373267,1893.0999744664405,,1934.793912275437,1864.2148913500582,1851.9415797904912,1876.789572395891,1877.2933759772354,1852.8156513399917,1856.8636065451813,1877.8421097257967,1861.4034863352617,1914.3673953903894,1889.939183047062,1894.7954935015748,1877.1322278608286,1869.7867572439015,1848.7397322505701,1875.875558579824,1879.063867945264,1850.645444458632,1857.2709589513024,,1876.5315129878863,1916.8844522279248,1887.0953254712038,1890.0297994237667,1868.5422058394215,1872.5970880133557,1850.72409606029,1876.353150274313,1882.3149169354294,1850.6829694435576,1869.457171229445,1870.6622148121353,1877.1273297711923,1915.135948960962,1890.7192654313928,1913.8026803227183,1867.5962861978373,,1850.5473001055639,1875.5743045774575,1878.097393941324,1883.5147180967779,1853.1133440415852,1860.4236337384998,1854.6046087011528,1915.695438688758,1889.134401472501,1918.302961913836,1865.7873597329599,1862.7787938279598,1850.079252192731,1876.8232079287675,1881.2363544784505,1879.9488369875824,1854.7412422438306,1868.256322291963,1877.9144811099625,1921.4796477231175,1888.5757255406506,1888.4905885993346,1911.9606584206917,1872.3867800480505,1875.7643514899755,1877.7549779486096,1878.9048308696829,1874.1119319648135,1857.0544435375027,1876.3356777477454,1870.308882339447,1921.09682061554,1894.8529359820197,1890.8115826813519,1891.63638232182,1877.1146506173418,1850.144686895699,1876.1351136266417,1882.572017405198
PURBA MEDINIPUR,1870.998561407512,1852.8306429758775,1873.9258071606794,1872.1477996952874,1924.2746673795064,1883.9248585361024,1907.2941093649258,1875.2000537978668,1871.2589578446186,1850.7532405063712,1877.3883277697987,1876.1432831151308,1854.0455432665847,1847.6597333173977,1873.9147634136632,1869.2068734132736,1926.763141867258,1883.730632383811,1890.813232013623,1878.8782494575144,1873.8718888991848,1853.9306834589204,1876.0523245951124,1874.82638153112,1850.4390516521942,1847.5339183535693,1878.029753442122,1873.3974876420918,1923.260951040961,1890.0662693944835,1905.501562004461,1907.79714533509,1872.9537148190457,1867.3030179764949,1876.8632472625422,1876.498120089063,1851.3611290791412,1858.715624207414,1873.5999346307303,1869.8456558725188,1915.9645805235555,1886.756790938514,1887.5153831271816,1874.34741135465,1868.941886470864,1846.0788226774198,1874.4194587094437,1872.7716651865323,1867.3182987046653,1856.7423889331822,1874.4080604558735,1871.3335106169286,1921.817506274702,1884.1544796510966,1886.9209847474933,1875.478400815311,1873.4911530230984,1846.0353988535064,1877.005887882358,1875.140930510743,1868.9304386836043,1854.9242059356586,1873.024640518179,1870.855200504094,1925.1423532768877,1888.2692063732597,1899.4165361641194,1876.7576783489228,1872.5797955003186,1848.6475523947481,1876.6723557391185,1872.9144928412052,1871.4517306759467,1849.4126257910928,1874.354912145044,1872.2561231132395,1921.9242248620546,1887.902925589946,1912.1887037538652,1875.6281778970244,1873.6910754805617,1849.2956345829043,1879.539394697959,1877.1758069317466,1850.6637837143867,1848.247833800982,1873.954603979376,1873.4820857498319,1929.5417931146499,1888.6543059482217,1891.874237725715,1881.2180685141882,1874.6372492469252,1865.4009062280686,1877.2963510607399,1872.0239140810397,1847.387483175442,1850.2921757025852,1878.746648404931,1881.234719374547,1917.4990382362305,1879.6903054405175,1890.0263739527888,1868.3709236289308,1872.3863753252149,1869.4763782444375,1874.863406187676,1875.0455794012166
